DAY_NDX,Q_CFS
730730.0,34.9
730731.0,38.2
730732.0,41.8
730733.0,40.6
730734.0,45.2
730735.0,89.8
730736.0,331
730737.0,333
730738.0,226
730739.0,138
730740.0,91.3
730741.0,74.2
730742.0,55.7
730743.0,48.4
730744.0,43
730745.0,38.9
730746.0,35.8
730747.0,33.8
730748.0,34.5
730749.0,48.6
730750.0,54.9
730751.0,71.5
730752.0,65.4
730753.0,62.6
730754.0,285
730755.0,255
730756.0,221
730757.0,142
730758.0,94.9
730759.0,71
730760.0,72.4
730761.0,76.4
730762.0,68.5
730763.0,62.5
730764.0,51.4
730765.0,48.8
730766.0,50.3
730767.0,93.2
730768.0,168
730769.0,112
730770.0,80.8
730771.0,60.8
730772.0,50.9
730773.0,45.8
730774.0,40.2
730775.0,36.7
730776.0,35.8
730777.0,32.6
730778.0,30.7
730779.0,48.1
730780.0,36.8
730781.0,35.9
730782.0,34
730783.0,87.1
730784.0,54.8
730785.0,47.9
730786.0,42.8
730787.0,38.3
730788.0,35
730789.0,31.5
730790.0,28.6
730791.0,26.3
730792.0,24.9
730793.0,24.8
730794.0,73.4
730795.0,49.4
730796.0,44.4
730797.0,40.5
730798.0,43.8
730799.0,148
730800.0,243
730801.0,163
730802.0,103
730803.0,77.7
730804.0,64.5
730805.0,54.5
730806.0,51.8
730807.0,103
730808.0,84.2
730809.0,66.3
730810.0,55.3
730811.0,48.5
730812.0,42.5
730813.0,37.5
730814.0,34.1
730815.0,31.1
730816.0,28.4
730817.0,27
730818.0,24.7
730819.0,0
730820.0,0
730821.0,0
730822.0,0
730823.0,0
730824.0,0
730825.0,0
730826.0,0
730827.0,0
730828.0,0
730829.0,0
730830.0,0
730831.0,0
730832.0,0
730833.0,0
730834.0,0
730835.0,0
730836.0,0
730837.0,0
730838.0,0
730839.0,0
730840.0,0
730841.0,0
730842.0,19.1
730843.0,17.7
730844.0,16.8
730845.0,16.9
730846.0,17.8
730847.0,15.8
730848.0,14.8
730849.0,14.1
730850.0,13.6
730851.0,13.1
730852.0,12.7
730853.0,11.6
730854.0,10.1
730855.0,10.7
730856.0,10.4
730857.0,9.96
730858.0,9.77
730859.0,9.8
730860.0,9.03
730861.0,8.24
730862.0,8.6
730863.0,8.51
730864.0,8.17
730865.0,8.04
730866.0,10.2
730867.0,8.69
730868.0,9
730869.0,11.3
730870.0,12
730871.0,9.77
730872.0,8.06
730873.0,7.47
730874.0,6.99
