crop,VEGCLASS,LULC_B,irrigation code,nominal yield (T per ha),min shortwave for nominal yield (W/m2),K_sub_y,food,conversion rate (T food per T crop),agrimet source,Planting Date Method,Planting Threshold,T30 Baseline [days],Earliest Planting Date,GDD Equation,GDD Base Temp [C],Term Date Method,CGDD P to T,Killing Frost Temp [C],Min Growing Season [days],useGDD,CGDD P/GU to EFC,GDD per 10% P to EFC,Precipitation Threshold,Interp Method EFC to T (1-CGDD; 2-constant),GDD per 10% EFC to T,Depletion Fraction,Kc value EFC to T if constant,Planting or Greenup Percentile,EFC Percentile,T Percentile,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%,160%,170%,180%,190%,200%
Wheat,295,24,0,2.78,80,1.05,Wheat Flour,0.79,Spring Grain,1,4.7,0,59,1,0,1,2060,-273,0,1,935,134,2,1,94,0.55,0,0,70,200,0.2,0.2,0.3,0.6,0.83,0.94,0.98,1,1,1,1,1,1,1,1,1,0.96,0.76,0.6,0.43,0.28
Oranges,296,29,2,1.56,80,1,Oranges,1,Corn,1,8,0,90,2,10,3,1025,-4,0,1,510,51,2,1,69,0.55,0,0,100,200,0.3,0.3,0.32,0.35,0.4,0.51,0.6,0.7,0.8,0.9,1,1,1,1,0.98,0.95,0.92,0.89,0.86,0.83,0.8
Tomatoes,297,29,2,65.11,80,1.05,Tomatoes,1,Avg of ONYN;PEAS;POTA;PPMT;SBRY;TBER,1,6.5,0,110,1,5,3,1350,-4,0,1,610,61,2,1,74,0.5,0,0,100,200,0.21,0.26,0.3,0.36,0.46,0.56,0.69,0.82,0.91,0.96,0.97,0.97,0.96,0.94,0.91,0.87,0.83,0.76,0.69,0.6,0.5
Beans,298,29,2,20.71,80,1.15,Beans,1,Corn,1,8,0,90,2,10,3,1025,-4,0,1,510,51,2,1,69,0.55,0,0,100,200,0.3,0.3,0.32,0.35,0.4,0.51,0.6,0.7,0.8,0.9,1,1,1,1,0.98,0.95,0.92,0.89,0.86,0.83,0.8
Hay,36,28,1,3,80,1,None,1,Alfalfa Mean,2,240,0,-1,1,0,2,0,-3.89,0,1,700,117,2,2,0,0.6,0.85,0,60,200,0.15,0.2,0.4,0.58,0.69,0.79,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Grass Seed,59,22,1,1.5,80,1,None,1,Bluegrass Seed (Fall Seeded),1,6,0,20,1,0,1,1630,-273,40,1,590,59,2,1,104,0.6,0,0,100,200,0.3,0.36,0.47,0.63,0.78,0.88,0.93,0.96,0.97,0.97,0.97,0.96,0.95,0.93,0.89,0.8,0.5,0.35,0.3,0.27,0.25
Corn,12,26,2,5,80,1,None,1,Corn,1,8,0,90,2,10,3,1025,-4,0,1,510,51,2,1,69,0.55,0,0,100,200,0.3,0.3,0.32,0.35,0.4,0.51,0.6,0.7,0.8,0.9,1,1,1,1,0.98,0.95,0.92,0.89,0.86,0.83,0.8
Pasture,181,23,1,1,80,1,None,1,Pasture,2,103,0,55,1,0,2,2328,-7,40,1,522,65,2,1,150,0.6,0,0,80,200,0.25,0.3,0.36,0.43,0.5,0.6,0.63,0.66,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.65,0.6,0.4
Orchards/Vineyards/Tree Farms,69,21,1,2,80,1,None,1,Average of APPL;BLUB;POP1;POP2;POP3;WGRP,1,6,0,103,1,10,2,1100,-4,40,1,195,20,2,1,91,0.55,0,0,100,200,0.16,0.21,0.28,0.38,0.49,0.56,0.63,0.67,0.71,0.75,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.82,0.8,0.77
Other Crops,47,29,1,5,80,1,None,1,Avg of ONYN;PEAS;POTA;PPMT;SBRY;TBER),1,6.5,0,110,1,5,3,1350,-4,0,1,610,61,2,1,74,0.5,0,0,100,200,0.21,0.26,0.3,0.36,0.46,0.56,0.69,0.82,0.91,0.96,0.97,0.97,0.96,0.94,0.91,0.87,0.83,0.76,0.69,0.6,0.5
Fallow,61,25,1,1,80,1,None,1,Pasture,1,5,0,94,1,0,2,2700,-5,0,1,1300,163,2,1,117,-1,0,0,80,200,0.25,0.3,0.36,0.43,0.5,0.6,0.63,0.66,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.65,0.6,0.4
Clover,58,27,1,2,80,1,None,1,Alfalfa Mean,2,240,0,-1,1,0,2,0,-3.89,0,1,700,117,2,2,0,0.5,0.85,0,60,200,0.15,0.2,0.4,0.58,0.69,0.79,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
