REGION,PVT,VEGCLASS,ABBREV,STARTAGE,ENDAGE,RNDAGE,LAI,GAP_FRAC,CARBON,DEAD_FUEL,LIVE_FUEL,HEIGHT_M,DBH,FUEL_DEPTH,FINE_FUEL_FRAC,FRAC_1HR_LIVE,FRAC_100HR_LIVE,NEXT_PVT,NEXT_VEGCLASS,NEXT_ABBREV
1,9,4009320,DF:Gc2,252,999,252,8,0.3,0,0,0,0,0,0,0,0,0,9,4009320,DF:Gc2
1,9,4002000,DF:GF,1,10,2,0.5,0.3,0,0,0,0,0,0,0,0,0,9,4004100,DF:Yo
1,9,4002100,DF:GFp,1,10,3,0.5,0.3,0,0,0,0,0,0,0,0,0,9,4004400,DF:Yop
1,9,4009210,DF:Gm1,215,500,218,8,0.3,0,0,0,0,0,0,0,0,0,9,4009210,DF:Gm1
1,9,4009220,DF:Gm2,215,500,219,8,0.3,0,0,0,0,0,0,0,0,0,9,4009220,DF:Gm2
1,9,4009110,DF:Go1,215,500,220,8,0.3,0,0,0,0,0,0,0,0,0,9,4009110,DF:Go1
1,9,4008410,DF:L1p,140,164,146,8,0.3,0,0,0,0,0,0,0,0,0,9,4008410,DF:L1p
1,9,4008320,DF:Lc2,160,251,167,8,0.3,0,0,0,0,0,0,0,0,0,9,4009320,DF:Gc2
1,9,4008210,DF:Lm1,140,251,148,8,0.3,0,0,0,0,0,0,0,0,0,9,4009210,DF:Gm1
1,9,4008220,DF:Lm2,140,251,149,8,0.3,0,0,0,0,0,0,0,0,0,9,4009220,DF:Gm2
1,9,4008110,DF:Lo1,140,214,150,8,0.3,0,0,0,0,0,0,0,0,0,9,4009110,DF:Go1
1,9,4007410,DF:M1p,101,120,112,8,0.3,0,0,0,0,0,0,0,0,0,9,4007410,DF:M1p
1,9,4007310,DF:Mc1,101,159,113,8,0.3,0,0,0,0,0,0,0,0,0,9,4008320,DF:Lc2
1,9,4007320,DF:Mc2,101,159,114,8,0.3,0,0,0,0,0,0,0,0,0,9,4008320,DF:Lc2
1,9,4007210,DF:Mm1,101,159,115,8,0.3,0,0,0,0,0,0,0,0,0,9,4008210,DF:Lm1
1,9,4007220,DF:Mm2,101,159,116,8,0.3,0,0,0,0,0,0,0,0,0,9,4008220,DF:Lm2
1,9,4007110,DF:Mo1,101,139,117,8,0.3,0,0,0,0,0,0,0,0,0,9,4008110,DF:Lo1
