UGB_DH_ID,UGB_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1022,Oakridge,3.644137657,3.727467448,3.812702725,3.899887061,3.989065024,4.080282202,4.173585226,4.269021791,4.366640687,4.466491815,4.568626219,4.673096111,4.779954896,4.8892572,5.001058898,5.115417144
1023,Westfir,4.574982221,4.778161639,4.990364452,5.211991399,5.443461015,5.685210422,5.937696156,6.201395027,6.476805022,6.764446243,7.064861891,7.378619291,7.706310962,8.04855574,8.405999941,8.779318588
1024,Cottage Grove,3.402225968,3.465129253,3.529195549,3.594446357,3.660903579,3.728589518,3.797526894,3.867738844,3.939248932,4.012081161,4.086259974,4.16181027,4.238757404,4.317127203,4.396945971,4.478240497
1025,Lowell,3.964936735,4.082162179,4.202853455,4.327113032,4.455046409,4.586762204,4.722372246,4.86199167,5.005739016,5.153736327,5.306109258,5.462987174,5.624503269,5.790794672,5.962002568,6.138272316
1026,Creswell,3.53365301,3.607221784,3.68232222,3.758986208,3.8372463,3.917135724,3.998688404,4.081938968,4.166922763,4.253675877,4.342235143,4.432638167,4.524923333,4.619129828,4.715297651,4.813467637
1027,Veneta,3.567411959,3.643871305,3.721969383,3.801741315,3.883222977,3.966451013,4.051462852,4.138296726,4.226991687,4.317587621,4.410125273,4.504646259,4.601193087,4.699809176,4.800538876,4.903427488
1028,Eugene,1.25,1.334189542,1.424049387,1.519961439,1.622333324,1.731600123,1.84822622,1.972707275,2.105572332,2.247386067,2.39875119,2.560311001,2.732752128,2.916807448,3.113259193,3.322942285
1029,Coburg,3.967747396,4.085307235,4.206350239,4.33097961,4.459301607,4.591425638,4.727464354,4.867533743,5.011753228,5.160245773,5.313137982,5.470560214,5.632646687,5.799535598,5.971369237,6.148294112
1030,Junction City,3.508606302,3.580077001,3.653003567,3.727415654,3.803343524,3.880818053,3.959870747,4.040533753,4.122839874,4.206822579,4.292516021,4.379955048,4.469175218,4.560212813,4.653104853,4.747889115
1031,Harrisburg,3.620455262,3.699485623,3.780241125,3.862759427,3.947079008,4.033239188,4.121280145,4.211242935,4.303169509,4.397102734,4.493086413,4.591165305,4.691385146,4.79379267,4.898435632,5.00536283
1032,Monroe,4.133727894,4.272993661,4.416951308,4.565758905,4.719579847,4.878583034,5.042943056,5.212840387,5.388461578,5.569999467,5.757653389,5.951629393,6.15214047,6.359406789,6.573655934,6.795123157
1033,Halsey,4.015096817,4.134704014,4.257874234,4.384713617,4.515331466,4.649840337,4.788356143,4.930998247,5.077889569,5.229156691,5.384929965,5.545343627,5.71053591,5.880649166,6.05582999,6.236229339
1034,Brownsville,3.817740391,3.915523851,4.015811831,4.118668479,4.224159584,4.332352625,4.443316805,4.557123101,4.673844308,4.793555085,4.916332004,5.042253598,5.171400411,5.303855051,5.43970224,5.579028871
1035,Sweet Home,3.427203564,3.49038525,3.554731712,3.620264423,3.687005253,3.754976473,3.824200767,3.894701234,3.966501401,4.03962523,4.114097121,4.189941928,4.26718496,4.345851995,4.425969283,4.507563561
1036,Sodaville,4.460217704,4.639413723,4.825809215,5.019693428,5.221367234,5.431143592,5.649348033,5.876319169,6.112409215,6.357984538,6.613426221,6.879130663,7.155510183,7.442993671,7.742027244,8.053074945
1037,Waterloo,4.60049054,4.801086564,5.010429212,5.228899866,5.456896536,5.694834585,5.943147491,6.202287629,6.472727101,6.754958595,7.04949628,7.356876746,7.677659977,8.012430378,8.361797833,8.726398821
1038,Lebanon,3.292554723,3.345282513,3.398854699,3.453284804,3.508586566,3.564773943,3.62186112,3.679862505,3.738792738,3.798666695,3.859499488,3.921306473,3.98410325,4.04790567,4.112729839,4.178592117
1039,Tangent,3.91300654,4.020943846,4.13185852,4.245832691,4.362950753,4.483299427,4.606967828,4.734047528,4.864632624,4.998819811,5.136708449,5.27840064,5.424001302,5.573618248,5.727362263,5.88534719
1040,Corvallis,1.93,2.014334593,2.102354327,2.194220232,2.290100371,2.390170155,2.494612656,2.603618947,2.717388451,2.836129305,2.96005874,3.08940348,3.224400156,3.365295738,3.51234799,3.665825936
1041,Adair Village,4.025849042,4.151225521,4.280506583,4.413813829,4.551272644,4.69301232,4.839166176,4.989871683,5.145270591,5.305509066,5.470737827,5.641112285,5.816792692,5.99794429,6.184737468,6.377347922
1042,Albany,3.106005794,3.143180956,3.180801059,3.218871431,3.257397458,3.296384596,3.335838363,3.375764345,3.416168192,3.457055626,3.498432432,3.54030447,3.582677665,3.625558017,3.668951595,3.712864542
1043,Scio,4.023050355,4.143600192,4.267762279,4.395644856,4.527359407,4.663020757,4.802747169,4.946660453,5.094886068,5.247553231,5.404795033,5.566748552,5.733554973,5.905359713,6.082312544,6.264567729
1044,Idanha,4.927447015,5.181170696,5.447959095,5.728484941,6.023455598,6.33361486,6.659744817,7.002667829,7.363248603,7.742396372,8.141067186,8.560266323,9.001050826,9.464532168,9.951879051,10.46432036
1045,Jefferson,3.653215745,3.734713649,3.818029653,3.903204316,3.9902791,4.079296396,4.170299538,4.263332826,4.358441552,4.455672014,4.555071545,4.656688535,4.760572452,4.866773867,4.97534448,5.086337145
1046,Detroit,4.679506442,4.891248086,5.112570766,5.343908012,5.585712972,5.838459294,6.102642062,6.378778761,6.667410289,6.969102023,7.284444919,7.614056676,7.95858294,8.318698574,8.695108978,9.088551467
1047,Mill City,3.770214606,3.863116343,3.958307268,4.05584379,4.155783706,4.258186239,4.363112069,4.470623373,4.580783859,4.693658807,4.809315102,4.927821281,5.049247566,5.173665913,5.301150048,5.431775515
1048,Gates,4.263241221,4.413539907,4.569137307,4.730220225,4.896982049,5.069622988,5.248350308,5.43337858,5.624929942,5.823234362,6.028529918,6.241063077,6.461088999,6.688871838,6.924685061,7.168811774
1049,Lyons,3.914284727,4.022363145,4.133425747,4.247554929,4.364835364,4.485354063,4.609200437,4.736466368,4.867246275,5.001637183,5.139738796,5.281653571,5.427486795,5.577346661,5.731344351,5.889594114
1050,Stayton,3.395481099,3.45587239,3.517337786,3.579896393,3.643567654,3.708371357,3.774327646,3.841457019,3.90978034,3.979318845,4.050094146,4.122128242,4.195443521,4.270062769,4.346009179,4.423306356
1051,Aumsville,3.619849239,3.698404947,3.778665422,3.860667659,3.944449458,4.030049437,4.117507054,4.206862621,4.298157327,4.391433253,4.486733396,4.584101683,4.683582995,4.785223189,4.889069115,4.99516864
1052,Turner,3.789530913,3.88391138,3.980642446,4.079782656,4.18139201,4.285532005,4.392265666,4.501657591,4.613773985,4.728682704,4.84645329,4.967157021,5.090866949,5.217657945,5.347606743,5.480791992
1053,Monmouth,3.293793108,3.344489889,3.395966975,3.448236376,3.501310287,3.555201091,3.609921361,3.665483865,3.721901565,3.779187624,3.837355408,3.896418488,3.956390644,4.017285867,4.079118367,4.141902568
1054,Falls City,3.997042795,4.10986772,4.225877366,4.345161627,4.467812937,4.593926338,4.723599554,4.85693307,4.994030203,5.134997191,5.279943269,5.428980753,5.582225134,5.739795159,5.901812928,6.06840399
1055,Dallas,3.325138872,3.378283513,3.432277549,3.487134554,3.542868321,3.599492864,3.657022418,3.715471449,3.774854653,3.83518696,3.896483538,3.958759801,4.022031405,4.086314259,4.151624526,4.217978626
1056,Silverton,3.413961234,3.475780339,3.538718848,3.602797031,3.668035525,3.73445534,3.802077867,3.870924885,3.941018567,4.012381486,4.085036626,4.159007387,4.23431759,4.31099149,4.389053782,4.468529604
1057,Salem/Keizer,2.04,2.106756961,2.175698476,2.246896034,2.32042346,2.396356998,2.474775385,2.555759936,2.639394625,2.725766175,2.814964148,2.907081036,3.002212357,3.100456755,3.201916103,3.306695606
1058,Scotts Mills,4.374818252,4.54048789,4.712431258,4.890885936,5.076098499,5.268324862,5.467830629,5.674891464,5.889793469,6.112833581,6.34431998,6.58457252,6.833923163,7.092716445,7.36130995,7.6400748
1059,Mt. Angel,3.633473531,3.713221134,3.794719041,3.878005667,3.963120271,4.050102973,4.138994774,4.229837576,4.322674199,4.417548403,4.514504909,4.61358942,4.714848642,4.818330304,4.924083186,5.032157135
1060,Willamina,3.765483541,3.855109719,3.946869184,4.04081271,4.136992284,4.235461127,4.33627373,4.439485877,4.545154684,4.653338624,4.764097563,4.877492789,4.993587053,5.112444597,5.234131192,5.358714177
1061,Sheridan,3.503529081,3.570984749,3.639739184,3.709817391,3.781244858,3.854047564,3.928251987,4.003885114,4.080974454,4.159548044,4.239634461,4.321262833,4.404462848,4.489264765,4.575699427,4.663798271
1062,Gervais,3.715348225,3.802541389,3.891780834,3.983114583,4.076591786,4.172262747,4.270178949,4.370393085,4.472959083,4.577932138,4.68536874,4.795326703,4.9078652,5.023044792,5.140927462,5.261576645
1063,Amity,3.831138398,3.927559415,4.02640713,4.127742616,4.231628486,4.338128925,4.447309738,4.559238383,4.673984017,4.791617537,4.912211624,5.035840789,5.162581419,5.292511821,5.425712275,5.562265081
1064,Molalla,3.439765256,3.50339497,3.568201723,3.63420729,3.701433845,3.769903976,3.839640685,3.910667404,3.983007994,4.056686759,4.131728455,4.208158293,4.28600195,4.36528558,4.446035821,4.528279802
1065,Woodburn,3.240658187,3.288917357,3.337895192,3.387602394,3.438049824,3.489248507,3.541209629,3.593944545,3.647464778,3.701782022,3.756908147,3.812855197,3.869635399,3.92726116,3.98574507,4.04509991
1066,Hubbard,3.644411712,3.725125637,3.807627159,3.891955867,3.97815223,4.066257611,4.156314289,4.248365481,4.342455359,4.438629075,4.53693278,4.637413649,4.740119898,4.845100815,4.952406777,5.062089278
1067,St. Paul,4.304894203,4.460785572,4.62232217,4.789708427,4.963156174,5.142884913,5.329122095,5.522103407,5.722073073,5.929284159,6.143998894,6.366489006,6.597036061,6.835931822,7.083478618,7.339989724
1068,Donald,3.986643949,4.102220114,4.22114693,4.343521535,4.469443882,4.599016824,4.732346195,4.869540896,5.010712988,5.155977777,5.305453915,5.459263492,5.617532138,5.780389126,5.947967474,6.120404061
1069,Dayton,3.691857893,3.77507293,3.860163646,3.947172321,4.036142183,4.127117441,4.220143294,4.315265964,4.412532713,4.51199187,4.613692851,4.717686188,4.82402355,4.932757773,5.043942881,5.157634119
1070,Aurora,3.985172784,4.100579582,4.219328451,4.341516174,4.467242337,4.596609409,4.729722829,4.866691085,5.007625812,5.152641874,5.301857463,5.455394192,5.613377199,5.775935242,5.943200812,6.115310232
1071,McMinnville,3.190754379,3.233573831,3.276967913,3.320944338,3.36551092,3.410675578,3.45644634,3.502831339,3.549838817,3.597477129,3.64575474,3.69468023,3.744262292,3.794509738,3.845431497,3.897036619
1072,Lafayette,3.617021231,3.693717381,3.772039813,3.852023013,3.933702194,4.01711332,4.102293114,4.189279081,4.278109517,4.368823535,4.461461074,4.55606292,4.652670726,4.751327026,4.852075257,4.954959776
1073,Barlow,4.923581539,5.174984481,5.439224306,5.716956477,6.008869929,6.315688769,6.638174083,6.977125816,7.33338476,7.707834637,8.101404296,8.515070011,8.949857906,9.406846501,9.887169385,10.39201803
1074,Dundee,3.655279885,3.735261278,3.816992747,3.900512588,3.985859931,4.073074765,4.162197951,4.253271247,4.346337323,4.441439784,4.538623186,4.637933065,4.739415949,4.843119385,4.949091963,5.057383332
1075,Canby,3.308943518,3.362458315,3.416838594,3.472098354,3.528251817,3.585313437,3.643297902,3.702220137,3.762095307,3.822938826,3.884766353,3.947593802,4.011437346,4.076313416,4.142238713,4.209230205
1076,Carlton,3.770293949,3.860767686,3.953412473,4.048280408,4.145424839,4.244900392,4.346763008,4.451069966,4.557879923,4.667252942,4.779250527,4.893935658,5.011372827,5.131628074,5.254769021,5.380864917
1077,Estacada,3.642946818,3.723285492,3.805395893,3.889317091,3.975089022,4.062752498,4.152349236,4.24392187,4.337513974,4.433170085,4.53093572,4.630857402,4.732982677,4.837360142,4.944039466,5.053071411
1078,Newberg,3.255505774,3.303719999,3.352648279,3.40230119,3.452689464,3.50382399,3.555715822,3.608376174,3.66181643,3.716048138,3.771083022,3.826932975,3.883610069,3.941126554,3.999494861,4.058727607
