HBVCALIB,TT,CFMAX,CFR,FC,BETA,PERC,UZL,K0,K1,K2,WP,ET_MULT,W2A_SLP,W2A_INT,NAME,end
0,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME0,0
1,0,3.735868,0.000569559,150.5303,1.376337,0.1968587,7.272516,0.4946375,0.1270905,0.007691,10,1,0,0,HillsCreek1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAME2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAME3,0
4,0,3.275990009,0.08029265,200.5250397,1.347611547,0.176873103,0.95709491,0.548164785,0.250585526,0.006222,10,1,0,0,FallCreek4,0
5,0,2.744131,0.0261,279.8479,1.238121,0.1871359,1.112796,0.5874996,0.2863221,0.0322,10,1,0,0,NAME5,0
6,0,2.98283,0.05384339,520.944,1.01923,0.163961,8.50326,0.218876,0.151643,0.03676,10,1,0,0,COT6,0
7,0,4.66722,0.0342195,391.659,2.49585,0.19992,2.088,0.592536,0.294571,0.005459,10,1,0,0,FRN7,0
8,0,2.63851,0.013664,330.131,1.11329,0.19864,9.12835,0.569176,0.231618,0.030676,10,0.826,0.4185,4.4309,CGR8,0
9,0,2.53,0.054128975,219.772,1.146,0.188,4.427,0.585,0.26,0.03,10,0.355,0.635107,4.9,BLU9,0
10,0,4.056,0.01,191.49,2.244,0.191,1.365,0.534,0.279,0.061,10,1,0,0,NAME10,0
11,0,4.056,0.01,191.49,2.244,0.191,1.365,0.534,0.279,0.061,10,1,0,0,SantiamFoster11,0
12,0,3.45186,0.00876,210.118,1.67101,0.109949,8.45676,0.09435045,0.12173,0.01193084,10,1.23289,0.450870183,4.767708225,DET12,0
13,0,4.012602329,0.069926143,346.865,2.07613,0.183729,47.2572,0.172888,0.260546,0.0494,10,1.32336,0,0,NAME13,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAME14,0
15,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME15,0
16,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1.9135,0.598888122,4.97186,McKenzieOutlet16,0
17,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME17,0
18,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME18,0
19,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME19,0
20,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,NAME20,0
21,0,6,0.06852,536.06,4.828,0.2,30.85,0.274,0.151,0.0006,10,1,0,0,Luckiamute21,0
