# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-12-13 19:52:28 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14171000 MARYS RIVER NEAR PHILOMATH, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14171000
#            TS   parameter     statistic     Description
#        113868       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113868_00060_00003	113868_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14171000	2001-01-01	189	A
USGS	14171000	2001-01-02	172	A
USGS	14171000	2001-01-03	157	A
USGS	14171000	2001-01-04	147	A
USGS	14171000	2001-01-05	140	A
USGS	14171000	2001-01-06	135	A
USGS	14171000	2001-01-07	127	A
USGS	14171000	2001-01-08	124	A
USGS	14171000	2001-01-09	124	A
USGS	14171000	2001-01-10	136	A
USGS	14171000	2001-01-11	130	A
USGS	14171000	2001-01-12	118	A
USGS	14171000	2001-01-13	135	A
USGS	14171000	2001-01-14	347	A
USGS	14171000	2001-01-15	339	A
USGS	14171000	2001-01-16	274	A
USGS	14171000	2001-01-17	232	A
USGS	14171000	2001-01-18	206	A
USGS	14171000	2001-01-19	191	A
USGS	14171000	2001-01-20	181	A
USGS	14171000	2001-01-21	199	A
USGS	14171000	2001-01-22	203	A
USGS	14171000	2001-01-23	188	A
USGS	14171000	2001-01-24	195	A
USGS	14171000	2001-01-25	207	A
USGS	14171000	2001-01-26	209	A
USGS	14171000	2001-01-27	192	A
USGS	14171000	2001-01-28	181	A
USGS	14171000	2001-01-29	224	A
USGS	14171000	2001-01-30	277	A
USGS	14171000	2001-01-31	253	A
USGS	14171000	2001-02-01	231	A
USGS	14171000	2001-02-02	219	A
USGS	14171000	2001-02-03	218	A
USGS	14171000	2001-02-04	241	A
USGS	14171000	2001-02-05	261	A
USGS	14171000	2001-02-06	262	A
USGS	14171000	2001-02-07	246	A
USGS	14171000	2001-02-08	229	A
USGS	14171000	2001-02-09	225	A
USGS	14171000	2001-02-10	214	A
USGS	14171000	2001-02-11	226	A
USGS	14171000	2001-02-12	215	A
USGS	14171000	2001-02-13	195	A
USGS	14171000	2001-02-14	183	A
USGS	14171000	2001-02-15	175	A
USGS	14171000	2001-02-16	178	A
USGS	14171000	2001-02-17	170	A
USGS	14171000	2001-02-18	181	A
USGS	14171000	2001-02-19	193	A
USGS	14171000	2001-02-20	178	A
USGS	14171000	2001-02-21	271	A
USGS	14171000	2001-02-22	305	A
USGS	14171000	2001-02-23	276	A
USGS	14171000	2001-02-24	250	A
USGS	14171000	2001-02-25	226	A
USGS	14171000	2001-02-26	203	A
USGS	14171000	2001-02-27	187	A
USGS	14171000	2001-02-28	176	A
USGS	14171000	2001-03-01	181	A
USGS	14171000	2001-03-02	242	A
USGS	14171000	2001-03-03	227	A
USGS	14171000	2001-03-04	206	A
USGS	14171000	2001-03-05	195	A
USGS	14171000	2001-03-06	177	A
USGS	14171000	2001-03-07	166	A
USGS	14171000	2001-03-08	160	A
USGS	14171000	2001-03-09	172	A
USGS	14171000	2001-03-10	171	A
USGS	14171000	2001-03-11	159	A
USGS	14171000	2001-03-12	151	A
USGS	14171000	2001-03-13	144	A
USGS	14171000	2001-03-14	143	A
USGS	14171000	2001-03-15	146	A
USGS	14171000	2001-03-16	151	A
USGS	14171000	2001-03-17	232	A
USGS	14171000	2001-03-18	244	A
USGS	14171000	2001-03-19	248	A
USGS	14171000	2001-03-20	257	A
USGS	14171000	2001-03-21	240	A
USGS	14171000	2001-03-22	220	A
USGS	14171000	2001-03-23	203	A
USGS	14171000	2001-03-24	190	A
USGS	14171000	2001-03-25	213	A
USGS	14171000	2001-03-26	238	A
USGS	14171000	2001-03-27	274	A
USGS	14171000	2001-03-28	474	A
USGS	14171000	2001-03-29	438	A
USGS	14171000	2001-03-30	368	A
USGS	14171000	2001-03-31	326	A
USGS	14171000	2001-04-01	311	A
USGS	14171000	2001-04-02	289	A
USGS	14171000	2001-04-03	279	A
USGS	14171000	2001-04-04	261	A
USGS	14171000	2001-04-05	243	A
USGS	14171000	2001-04-06	245	A
USGS	14171000	2001-04-07	268	A
USGS	14171000	2001-04-08	252	A
USGS	14171000	2001-04-09	253	A
USGS	14171000	2001-04-10	242	A
USGS	14171000	2001-04-11	301	A
USGS	14171000	2001-04-12	312	A
USGS	14171000	2001-04-13	307	A
USGS	14171000	2001-04-14	283	A
USGS	14171000	2001-04-15	263	A
USGS	14171000	2001-04-16	246	A
USGS	14171000	2001-04-17	236	A
USGS	14171000	2001-04-18	219	A
USGS	14171000	2001-04-19	214	A
USGS	14171000	2001-04-20	214	A
USGS	14171000	2001-04-21	195	A
USGS	14171000	2001-04-22	179	A
