Datetime,11/1/2019,11/2/2019,11/3/2019,11/4/2019,11/5/2019,11/6/2019,11/7/2019,11/8/2019,11/9/2019,11/10/2019,11/11/2019,11/12/2019,11/13/2019,11/14/2019,11/15/2019,11/16/2019,11/17/2019,11/18/2019,11/19/2019,11/20/2019,11/21/2019,11/22/2019,11/23/2019,11/24/2019,11/25/2019,11/26/2019,11/27/2019,11/28/2019,11/29/2019,11/30/2019,12/1/2019,12/2/2019,12/3/2019,12/4/2019,12/5/2019,12/6/2019,12/7/2019,12/8/2019,12/9/2019,12/10/2019,12/11/2019,12/12/2019,12/13/2019,12/14/2019,12/15/2019,12/16/2019,12/17/2019,12/18/2019,12/19/2019,12/20/2019,12/21/2019,12/22/2019,12/23/2019,12/24/2019,12/25/2019,12/26/2019,12/27/2019,12/28/2019,12/29/2019,12/30/2019,12/31/2019,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
56.25,8603021.877,8507023.424,8411694.62,8003716.931,7919449.916,7835815.751,7752879.319,7670712.522,7589404.453,7509066.237,7429733.463,7351359.162,7273996.839,7197698.788,7122517.786,7048507.095,6975719.252,6904205.338,6834017.648,6765205.813,6697821.156,6631912.099,6567527.546,6504715.19,6290021.653,6236386.097,6184352.758,6133959.647,6085244.289,6038245.903,5992997.901,5949536.596,5907895.642,5868106.268,5830198.979,5794205.006,5760151.949,5728065.712,5564212.687,5538224.948,5514200.399,5492158.164,5472117.127,5454093.026,5438102.08,5424156.879,5412270.254,5402451.889,5394712.437,5389056.982,5385492.544,5384022.997,5384651.73,5387377.534,5392201.618,5399120.352,5408130.587,5419225.545,5432398.931,5447641.061,5464941.526,5484287.978,5505666.859,5529061.706,5554456.542,5581832.239,5611168.705,5642444.633,5675636.54,5710719.733,5747668.306,5786454.902,5827050.953,5869424.502,5913546.497,5959383.045,6006900.735,6056063.251,6106835.007,6159179.202,6213082.763,6609198.279,6675699.513,6868660.945,6940068.093,7013004.344,7087408.931,7163226.172,7240400.625,7318876.608,7398598.679,7479512.609,7561562.955,7644693.552,7728849.927,7813974.944,7900012.435,7986907.203,8074602.11,8163040.265,8404380.779,8500879.169,8598112.332,8696018.775,8794538.941,8893612.549,8993178.829,9093178.469,9193552.637,9294241.535,9395186.575,9496330.379,9597614.601,9698982.589,9800378.177,9901786.112,10003285.56,10104775.33,10206144.28,10307307.7,10503959.7,10607734.89,10537920.28,10635383.92,10732347.62,10828848.19,10924851.73,11020281.97,11115075.25,11209174.68,11302533.51,11395108.19,11486858.51,11577748.9,11667743.27,11756809.92,12187417.18,12280653.99,12372823.39,12607284.64,12704286.84,12800142.21,12894823.15,12988305.46,13080563.71,13171576.6,13261321.85,13349780.34,13436935.13,13522808.96,13607499.16,13690967.01
56.225,8049717.021,7905240.055,7819106.288,7733506.389,7648498.312,7564140.473,7320718.071,7242293.514,7164635.334,6783483.147,6711014.588,6639336.052,6568496.22,6498545.626,6429534.342,6361512.21,6294529.995,6228636.611,6163881.434,6100312.218,6037977.412,5976924.77,5917200.422,5658077.022,5609169.351,5561575.834,5515332.171,5470475.219,5427038.128,5385057.294,5344564.474,5305592.123,5268171.072,5232330.76,5198100.862,5165508.961,5134580.559,5105340.921,5077814.854,5052024.842,5027991.749,5005735.048,4985275.137,4966627.549,4949809.437,4934834.016,4921716.121,4910465.72,4901093.477,4893607.737,4888016.845,4884325.205,4882537.687,4882657.071,4884684.054,4888618.866,4894459.421,4902202.707,4911843.391,4923375.214,4936790.527,4952079.593,4969232.675,4988236.098,5009077.343,5031740.183,5056209.318,5082465.74,5110489.744,5140262.322,5171759.596,5204959.545,5239836.669,5276365.931,5314519.747,5354269.603,5395586.753,5438440.831,5655094.734,5705409.98,5757261.457,5810708.743,5865677.425,5922084.977,6349218.414,6413414.687,6478953.395,6545785.394,6613860.38,6683130.6,6753546.677,6825060.625,6897623.532,6971185.789,7045697.788,7121110.617,7197374.204,7274437.318,7352250.813,7430763.692,7509925.419,7783248.359,7872404.749,7962270.259,8052789.021,8143903.313,8515497.573,8611030.242,8706987.13,8803312.603,8899948.243,8996839.11,9093929.337,9191163.057,9288485.099,9385879.003,9483416.167,9580999.463,9678522.719,9775904.105,9873075.235,9969976.071,9968653.339,10061713.48,10154335.49,10246549.74,10338323.08,10429582.95,10520266.76,10610321.2,10699698.28,11087642.39,11270077.05,11365225.14,11459476.34,11552798.2,11876581.27,11970161.14,12062693.67,12307144.63,12528116.07,12626192.66,12723094.89,12818797.02,12913275.39,13030403.63,13123597.53,13215506.01,13306111.01,13395431.52,13483554.26,13570442.11
56.2,6041716.689,5978388.067,5915432.404,5852888.09,5614897.938,5309923.123,5256761.093,5204104.415,5152012.647,5100562.032,5049773.738,4999610.81,4950106.795,4901295.418,4853210.765,4805886.381,4759357.07,4713654.943,4668813.904,4624865.529,4581843.003,4539777.004,4479905.475,4365774.028,4329985.548,4295225.532,4062087.617,4030959.065,4000861.488,3971818.565,3943854.157,3916989.79,3699508.449,3546602.337,3526368.894,3507217.016,3489162.308,3472221.635,3456408.271,3441736.029,3428219.262,3415868.732,3404695.921,3394710.874,3385923.459,3378341.928,3371973.995,3366825.937,3362903.676,3360211.876,3358754.123,3358532.931,3359550.272,3361807.043,3365302.706,3370036.365,3376004.789,3383206.006,3391634.992,3401286.546,3412154.208,3424231.163,3437508.62,3451977.608,3467627.724,3484447.666,3702591.327,3723259.62,3745122.673,3768165.599,3792370.276,3817719.306,3844193.851,3871773.819,3900439.118,3930168.221,3960939.062,3992728.5,4158726.935,4195951.64,4234197.812,4273513.169,4436857.117,4659959.935,4704883.673,4750772.011,4797586.558,4845291.077,4893850.405,4943229.204,4993393.388,5044307.078,5095936.728,5331066.988,5450283.704,5507929.138,5566164.598,5624952.41,5684253.288,5744029.2,5804241.935,5945865.089,6026078.413,6091384.491,6157054.2,6223048.072,6289325.207,6355845.78,6422570.502,6489460.804,6556476.323,6623579.027,6690731.424,7018182.819,7089729.82,7161280.767,7232893.426,7304495.859,7376009.134,7447371.359,7518533.561,7589451.608,7776477.66,7847657.801,7918464.444,7988923.423,8059010.16,8128670.12,8197857.736,8266531.39,8334656.817,8700451.436,8821665.162,8895339.053,8968298.419,9040519.222,9111977.423,9182651.136,9252519.192,9321561.679,9488108.879,9559763.336,9630525.131,9700377.042,9858988.588,9928599.752,9997242.012,10064902.45,10131567.79,10197255.62,10262035.72,10325880.63
56.175,3609427.878,3481029.157,3448139.844,3415415.981,3382879.804,3237502.838,3207402.976,3177549.746,3147980.794,3118746.891,3089856.479,3061277.405,3033027.889,3005127.623,2977595.363,2950450.4,2923712.964,2875452.87,2849856.828,2824715.603,2800047.279,2775870.478,2752202.75,2570672.377,2504673.378,2485756.102,2467366.118,2345922,2329746.75,2314119.022,2299051.005,2284555.964,2270646.624,2230438.855,2151994.903,2140950.169,2130505.336,2120669.784,2111452.486,2102862.018,2094906.819,2087593.99,2080931.032,2074924.778,2069581.658,2064906.629,2060905.987,2057583.484,2054943.942,2052991.112,2051728.076,2051157.78,2051281.431,2052101.574,2053618.745,2055833.747,2058745.911,2062355.371,2066660.384,2071659.076,2077349.571,2083728.654,2090793.11,2098538.383,2106960.456,2116053.968,2125812.892,2136231.467,2147302.86,2159019.839,2171374.23,2207195.265,2221088.127,2235598.039,2250715.087,2266429.09,2282728.393,2299601.742,2370122.379,2389223.859,2408895.5,2429178.564,2513108.311,2535020.408,2557462.209,2580410.938,2603847.44,2627752.959,2677015.657,2800146.95,2826734.478,2853760.076,3028988.397,3058471.343,3088376.953,3179379.193,3210551.323,3242084.894,3273958.74,3306152.231,3389243.749,3423859.487,3458765.665,3493941.518,3548882.923,3584877.712,3621073.05,3657445.76,3794404.271,3831820.445,3869341.381,3906943.234,3998028.399,4036581.815,4234547.198,4329116.698,4699607.492,4743676.711,4787704.401,4959105.432,5005020.441,5050805.101,5142615.695,5189492.316,5236173.346,5282678.478,5328990.028,5375068.879,5510394.472,5556465.151,5602201.851,5761467.124,5808682.144,5855486.692,5901860.536,6089402.12,6135759.888,6181621.043,6447216.334,6573377.815,6623158.16,6672365.262,6720983.849,6768999.722,6816398.812,6863167.992,6909294.802,6999517.625,7044552.743,7161882.749,7206812.703,7251099.886
56.15,3413620.521,3378859.653,3344205.011,3309676.232,3275296.291,3241089.15,3207082.6,3173308.633,3139809.738,3106641.127,3073814.287,2879318.647,2852062.42,2825119.431,2798507.962,2772246.416,2746353.815,2720848.193,2695748.077,2671072.241,2646837.854,2623063.569,2599767.169,2576965.95,2554677.325,2532918.711,2511706.783,2491057.475,2470987.584,2451513.169,2432649.05,2414411.162,2396813.339,2379870.526,2363596.68,2348004.524,2333108.015,2318918.641,2305449.123,2292710.331,2280713.628,2269469.267,2258987.005,2249276.107,2240345.341,2232202.736,2224856.321,2218312.273,2212577.136,2207656.84,2203556.203,2200280.04,2197831.935,2196215.099,2195432.125,2195484.744,2196374.312,2198102.19,2200667.389,2204069.909,2208308.268,2213380.49,2219283.857,2226015.528,2233571.674,2241947.602,2251138.618,2261138.793,2271942.076,2283541.671,2295929.922,2309098.924,2323040.4,2337744.346,2353201.992,2369402.715,2386335.647,2403989.671,2422352.681,2441412.698,2461171.943,2481679.454,2502898.423,2524787.841,2547317.447,2570464.391,2594208.909,2618533.092,2643418.907,2668849.184,2740109.666,2767385.038,2795165.348,2823433.055,2852170.868,2881360.134,2910983.069,2958248.293,2988762.65,3019651.138,3050895.603,3082475.787,3114373.038,3146566.853,3179038.952,3211767.967,3244735.369,3277920.531,3338316.219,3371972.845,3405782.756,3592794.507,3632493.209,3672361.747,3712376.159,3752536.814,3834998.55,3891155.756,3931952.4,4037890.128,4079006.804,4120088.525,4047602.756,4084935.122,4122142.241,4159251.659,4196250.034,4262180.144,4406018.416,4445022.212,4589340.223,4628281.891,4666926.253,4705256.141,4743253.892,4780903.449,4989146.397,5064292.597,5161677.521,5201679.21,5298648.376,5337905.876,5376681.907,5414964.365,5452740.65,5509764.08,5546773.696,5583241.69,5619158.552,5910004.415,6244989.166,6282602.779
56.125,3358543.68,3324103.076,3289774.002,3255575.206,3221529.284,3187659.191,3106406.661,3039918.184,3008823.366,2978024.56,2947532.702,2917326.64,2887425.124,2857849.184,2828619.252,2799756,2747897.212,2720754.265,2694026.913,2667734.985,2641896.991,2616532.999,2591661.159,2567300.339,2484087.016,2462920.671,2442285.176,2422196.516,2402670.675,2383723.157,2365369.225,2347623.3,2330500.166,2314013.043,2298176.233,2283002.233,2268503.906,2254693.508,2241582.457,2229181.691,2217502.265,2206554.276,2196346.977,2186889.263,2178189.905,2170256.477,2163096.67,2156716.732,2151122.915,2146320.385,2142314.912,2139109.62,2136709.437,2135116.405,2134333.29,2134361.894,2081232.526,2083168.441,2085872.808,2089345.148,2093584.017,2098587.494,2104352.813,2110876.97,2118156.24,2179246.318,2188145.78,2197830.642,2208294.412,2219530.721,2231532.118,2244290.911,2257798.807,2272046.673,2287024.893,2302723.973,2353793.998,2371526.823,2389959.716,2409079.697,2428886.287,2449411.573,2470625.991,2492495.89,2514994.828,2538103.217,2561802.428,2586074.913,2610904.689,2636274.209,2662167.608,2688567.941,2715458.382,2742821.505,2770640.243,2798896.689,2827573.176,2856652.157,2886114.644,2915942.368,3007165.555,3040220.685,3073641.053,3107406.466,3141496.496,3193181.98,3253990.588,3308892.541,3345133.734,3381602.554,3418277.248,3455135.342,3492154.962,3529314.837,3566591.53,3643746.166,3723769.099,3763086.507,3802474.462,3841896.67,3944937.374,4082812.403,4012524.207,4049080.4,4085502.829,4137286.984,4196813.716,4291309.138,4399427.231,4438170.282,4476669.601,4514904.156,4552856.52,4590508.306,4627842.686,4664843.919,4867839.137,4941334.188,5037026.156,5076352.817,5115247.9,5153698.064,5334092.068,5649360.24,5688806.845,5727729.089,5766115.556,5803956.51,5841242.217,5935803.98,5972224.607,6008110.417
56.1,3557553.607,3496394.52,3453584.386,3417742.384,3382065.409,3346577.74,3311307.381,3225855.625,3153342.763,3120164.022,3087314.734,3054774.464,3022565.569,2990710.767,2959232.292,2928153.943,2897498.077,2867287.409,2837544.417,2808291.817,2779551.364,2751345.654,2723695.842,2696623.923,2670151.172,2548640.463,2527426.084,2506787.194,2486740.26,2467301.989,2448487.405,2430312.014,2412790.478,2395937.221,2379766.427,2364290.835,2349524.149,2335478.025,2322165.206,2281809.916,2270058.058,2259061.139,2248828.294,2239369.739,2230693.047,2222806.151,2215716.141,2209429.749,2203953.465,2199291.617,2195450.093,2192431.779,2190241.241,2216723.728,2216273.601,2216667.357,2217904.635,2219986.156,2222910.599,2226677.963,2231285.003,2236730.157,2243009.818,2250119.659,2258055.836,2266812.937,2276385.316,2286766.36,2297949.58,2309926.802,2322690.214,2336230.921,2350539.428,2365605.999,2381419.817,2436732.542,2454762.138,2473519.029,2492990.474,2513163.371,2534035.197,2555637.202,2585216.971,2608394.24,2632210.702,2656644.12,2681674.541,2758268.714,2810298.698,2837752.713,2865731.977,2894217.379,2923189.446,2952629.429,2982517.015,3012833.092,3043556.869,3074668.992,3106148.548,3137975.105,3265741.196,3302667.949,3339992.185,3377689.863,3415737.066,3454109.754,3492783.409,3531733.99,3617166.997,3657020.717,3697072.757,3737297.998,3777672.038,3911583.413,3952819.485,3994140.054,4035578.413,4077090.452,4140193.678,4330757.821,4373620.361,4416396.841,4373065.905,4412850.514,4452460.841,4549172.501,4589618.298,4629855.317,4711855.339,4752733.233,4793328.912,5086754.688,5128783.921,5170466.274,5294911.042,5336275.481,5377231.742,5545436.898,5627759.041,5677858.827,5852815.407,5897069.192,5940798.091,5983990.082,6026631.344,6068710.578,6110215.885,6151137.41,6205764.307,6178354.883,6217887.325,6256861.705
56.075,4693296.719,4640012.748,4587092.886,4534568.409,4482474.504,4430846.486,4379721.756,4329142.018,4279156.53,4089268.365,4045009.969,4001280.145,3958108.342,3915524.535,3873558.567,3832239.498,3791597.432,3751661.429,3712459.77,3674021.644,3636375.072,3599547.418,3563566.703,3528459.379,3494251.903,3356618.847,3328630.935,3301526.841,3275327.026,3250051.426,3225719.33,3202349.243,3179959.279,3158566.639,3138187.875,3118839.016,3100535.047,3083290.696,3067119.123,3052033.362,3038046.052,3025167.229,3013408.491,3002778.959,2993287.105,2984941.399,2977748.227,2971714.236,2966844.637,2963143.34,2960614.386,2959259.728,2959081.583,2960080.472,2962256.264,2965607.657,2970132.955,2975829.292,2982692.759,2990718.795,2999901.404,3010234.331,3021709.888,3034320.126,3048055.921,3062906.719,3078862.745,3095911.098,3114039.788,3133235.524,3153484.1,3174770.4,3197079.176,3220393.618,3244696.783,3425381.488,3456197.565,3488038.202,3520880.335,3554700.115,3589485.031,3625259.844,3661979.985,3699597.888,3738074.196,3777374.767,3817468.064,3858324.243,3899913.331,3942205.746,3985172.298,4028783.012,4073008.828,4117818.86,4163183.917,4209073.896,4255458.171,4302306.77,4349588.808,4397274.441,4549865.807,4603134.791,4656837.996,4710942.189,4765413.88,4820219.967,4875327.22,4930702.146,4986311.644,5042123.006,5098104.172,5154221.39,5210443.905,5266739.268,5323075.942,5379442.459,5435870.747,5492308.027,5548698.001,5604995.058,5661162.058,5717164.466,5772972.439,5828557.047,5950669.47,6007191.978,6063457.107,6119424.329,6175058.327,6230328.217,6285206.891,6339669.46,6393692.465,6447254.926,6500335.6,6552915.593,6604976.006,6727446.674,6782257.844,6836502.781,6890163.892,6943223.195,7011984.403,7089604.51,7143184.042,7196114.59,7248380.385,7299966.311,7350858.292,7049202.75,7096526.098,7143218.577
56.05,4073578.181,4031222.765,3989020.563,3946997.902,3905183.056,3863604.717,3822295.341,3781292.115,3740640.031,3642072.584,3603643.369,3565581.173,3527912.321,3490663.278,3453860.369,3417530.615,3381700.899,3346397.127,3311646.322,3277474.252,3243906.823,3210970.082,3053110.151,3026417.891,3000344.62,2974911.368,2950137.777,2926043.206,2902647.434,2879968.29,2858024.716,2836834.124,2816413.785,2796780.552,2777950.305,2759938.782,2742761.027,2726431.664,2710964.205,2696371.602,2682666.95,2669861.529,2657966.483,2646992.677,2636949.72,2627846.25,2619691.04,2612490.916,2606253.956,2600985.175,2596690.284,2593373.878,2591039.58,2589690.453,2589328.588,2589956.072,2591572.907,2594179.51,2597774.627,2602357.284,2607924.555,2614473.377,2621999.988,2630498.956,2639966.103,2650394.604,2661777.494,2674107.113,2687375.243,2701573.247,2716690.402,2732717.095,2749641.489,2767452.579,2846513.265,2867453.42,2889268.432,2911942.841,2935461.881,2959808.7,2984980.371,3011014.921,3037873.907,3065514.706,3093905.143,3123017.78,3152829.216,3183317.583,3214460.038,3246234.993,3278621.553,3311596.597,3345139.233,3379227.036,3413837.579,3448947.882,3484535.101,3520576.114,3557047.801,3593926.482,3631188.478,3668809.973,3828437.725,3872151.879,3916277.066,3960785.987,4005650.366,4119657.415,4165585.245,4316977.698,4364179.718,4411580.361,4459149.819,4506860.513,4554682.914,4769688.094,4819111.591,4868621.027,4918157.346,4967676.393,5017139.726,5066515.03,5056949.826,5189896.6,5515363.575,5631175.635,5684195.781,5736989.727,5851270.473,5903814.678,6050232.801,6102633.542,6154638.013,6206222.675,6257365.8,6308047.888,6506420.2,6557038.215,6607123.183,6656657.552,6792935.775,6861799.036,6914704.411,6966999.572,7018666.553,7069688.638,7120050.785,7413089.553,7463595.722,7734469.173,7808696.905,7858709.583
56.025,4321388.575,4276897.815,4232561.343,4188406.342,4144461.76,4100759.189,4057332.572,4014220.26,3971471.773,3929148.09,3835760.71,3795411.906,3755479.385,3657641.621,3619146.323,3581141.807,3543656.284,3506717.526,3470352.276,3434588.306,3218628.98,3189777.381,3161516.775,3133868.324,3106853.185,3080492.813,3054807.485,3029817.039,3005541.604,2982000.43,2959212.032,2937195.218,2915967.621,2895546.286,2875948.405,2857190.435,2839287.217,2822254.768,2806106.166,2790856.104,2776517.954,2763103.031,2750623.677,2739090.913,2728514.731,2718905.27,2710270.612,2702619.425,2695959.205,2690296.122,2685635.614,2681983.263,2679343.038,2677719.053,2677113.218,2677528.031,2678964.079,2681422.098,2684901.5,2689400.961,2694918.426,2701451.102,2708995.169,2717546.806,2727100.43,2737650.162,2749189.685,2761711.358,2775206.511,2789667.356,2805083.02,2821444.686,2838739.864,2894875.356,2968202.139,2989656.025,3012020.94,3035282.633,3059425.087,3084431.697,3169047.03,3196317.11,3224457.959,3253423.878,3283180.336,3313699.415,3344955.547,3376925.516,3409586.398,3442915.565,3476889.801,3511486.917,3546683.403,3582456.336,3618782.058,3655636.913,3692996.802,3765313.224,3803977.062,3843069.378,3985869.286,4182367.239,4278223.952,4321674.815,4505616.858,4555630.96,4606005.066,4656706.996,4707705.598,5011954.355,5066009.611,5120273.23,5174713.176,5229297.566,5283994.364,5338795.343,5393745.467,5448786.547,5503855.693,5558903.679,5706722.924,5902181.567,5956864.406,6034025.893,6090092.323,6145928.938,6230239.957,6285799.149,6341020.083,6620830.007,6677192.816,6777158.423,6832987.985,6888319.273,6943130.538,6997402.532,7051115.27,7104250.827,7156792.304,7208723.39,7260028.217,7310692.971,7360702.665,7515373.006,7568321.948,7695359.854,7748207.849,7800313.647,7851666.082,7976067.877,8026395.991,8076001.452
