Datetime,11/1/2019,11/2/2019,11/3/2019,11/4/2019,11/5/2019,11/6/2019,11/7/2019,11/8/2019,11/9/2019,11/10/2019,11/11/2019,11/12/2019,11/13/2019,11/14/2019,11/15/2019,11/16/2019,11/17/2019,11/18/2019,11/19/2019,11/20/2019,11/21/2019,11/22/2019,11/23/2019,11/24/2019,11/25/2019,11/26/2019,11/27/2019,11/28/2019,11/29/2019,11/30/2019,12/1/2019,12/2/2019,12/3/2019,12/4/2019,12/5/2019,12/6/2019,12/7/2019,12/8/2019,12/9/2019,12/10/2019,12/11/2019,12/12/2019,12/13/2019,12/14/2019,12/15/2019,12/16/2019,12/17/2019,12/18/2019,12/19/2019,12/20/2019,12/21/2019,12/22/2019,12/23/2019,12/24/2019,12/25/2019,12/26/2019,12/27/2019,12/28/2019,12/29/2019,12/30/2019,12/31/2019,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
56.25,7483392.503,7405193.725,7327356.402,7069935.607,6997903.115,6926285.341,6855139.661,6784532.654,6714546.149,6645285.46,6576780.123,6508980.266,6441931.402,6375682.437,6310280.579,6245773.281,6182209.447,6119634.833,6058095.923,5997640.652,5938313.81,5880160.91,5823226.499,5767555.124,5560218.521,5513088.434,5467239.781,5422708.637,5379531.074,5337741.47,5297373.476,5258459.052,5221029.668,5185117.041,5150748.528,5117953.906,5086760.05,5057192.137,4895515.349,4871361.518,4848828.304,4827934.349,4808698.779,4791138.299,4775267.919,4761103.133,4748655.805,4737938.523,4728960.971,4721732.834,4716260.649,4712550.708,4710609.067,4710437.418,4712038.425,4715412.33,4720558.65,4727473.993,4736155.457,4746597.229,4758793.258,4772734.343,4788412.011,4805815.369,4824931.341,4845746.371,4868245.933,4892413.806,4918230.864,4945679.917,4974740.147,5005389.52,5037605.522,5071364.67,5106640.574,5143409.025,5181640.728,5221308.567,5262382.524,5304831.851,5348651.221,5586739.848,5638256.303,5816000.299,5871969.941,5929258.302,5987817.446,6047600.889,6108564.085,6170662.972,6233853.004,6298090.603,6363331.222,6429529.346,7092365.686,7166580.951,7241666.324,7317573.383,7394250.563,7471648.717,7701221.961,7786634.835,7872778.366,7959597.598,8047038.785,8135046.487,8223565.987,8312543.541,8401924.675,8491655.16,8581682.459,8671951.858,8762411.063,8853007.54,9480186.91,9576543.187,9673020.998,9769522.777,9865939.579,9962186.911,10153962.54,10252902.26,10178293.59,10271006.26,10363264.02,10455101.02,10546486.26,10637344.44,10727613.12,10817236.59,10906167.66,10994363.96,11081786.02,11168398.26,11254164.84,11339055.02,11764152.08,11853291.84,11941415.51,12170852.45,12263875.01,12355802.56,12446607,12536263.4,12624746.58,12888214.07,13238984.74,13327053.21,13413817.48,13499300.57,13583598.81,13666674.94
56.225,8048125.153,7903692,7817598.569,7732037.383,7647064.774,7562740.084,7319798.697,7241396.857,7163758.613,6782622.421,6710168.467,6638501.29,6567671.889,6497729.64,6428725.543,6360709.206,6293730.932,6227839.171,6163084.689,6099515.473,6037179.74,5976124.316,5916396.491,5657646.311,5608728.904,5561123.797,5514868.774,5469998.609,5426548.769,5384553.33,5344046.138,5305057.792,5267620.745,5231763.743,5197516.458,5164906.476,5133959.529,5104701.115,5077155.575,5051346.091,5027292.598,5005015.497,4984534.491,4965866.271,4949025.674,4934028.23,4920887.386,4909614.035,4900218.147,4892708.53,4887093.297,4883376.854,4881563.836,4881657.257,4883658.276,4887565.966,4893378.704,4901093.245,4910704.489,4922206.64,4935591.584,4950849.355,4967969.752,4986940.258,5007746.73,5030375.03,5054807.538,5081026.406,5109012.393,5138744.867,5170201.11,5203359.1,5238192.411,5274676.47,5312783.691,5352485.793,5393753.104,5436555.487,5652712.38,5702967.355,5754756.243,5808137.462,5863037.758,5919373.911,6346434.095,6410555.028,6476016.079,6542768.102,6610760.099,6679945.011,6750274.621,6821698.393,6894168.806,6967636.483,7042051.353,7117364.27,7193524.7,7270483.033,7348188.04,7426589.88,7505638.017,7778330.423,7867353.752,7957083.187,8047463.092,8138436.442,8509886.05,8605270.126,8701076.798,8797247.883,8893727.28,8990458.427,9087385.458,9184453.894,9281607.175,9378829.768,9476190.291,9573593.235,9670932.663,9768127.902,9865109.64,9961818.765,9960301.078,10053164.64,10145587.52,10237598.7,10329165.96,10420217.43,10510690.52,10600531.69,10689692.95,11016506.99,11170314.24,11263261.02,11355329.23,11446485.25,11768120.33,11859569.36,11949989.6,12192347.75,12410492.91,12506488.51,12601328.98,12694988.36,12787443.47,12902567.9,12993777.01,13083719.94,13172378.39,13259770.91,13345983.5,13430979.05
56.2,5631412.911,5574085.9,5517029.595,5460279.694,5227975.78,4955699.39,4907068.303,4858850.002,4811102.608,4763898.957,4717258.78,4671144.586,4625587.767,4580620.436,4536275.421,4492584.654,4449580.247,4407293.594,4365756.089,4324999.125,4285053.199,4245948.629,4188921.744,4078251.337,4045060.656,4012777.885,3844759.479,3815350.055,3786874.734,3759356.657,3732817.889,3707280.317,3491025.849,3339245.072,3320036.685,3301807.786,3284575.598,3268353.576,3253157.146,3238999.764,3225893.808,3213852.193,3202885.685,3193003.611,3184216.913,3176534.025,3169962.3,3164509.094,3160179.968,3156980.484,3154914.408,3153985.867,3154196.475,3155548.385,3158041.418,3161675.573,3166449.415,3172361.33,3179407.013,3187583.054,3196884.611,3207305.046,3218837.003,3231473.665,3245205.885,3260023.794,3413070.551,3431040.046,3450102.407,3470242.565,3491446.168,3513697.25,3536979.665,3561274.578,3586564.946,3612831.035,3640053.293,3668210.908,3801212.406,3833726.595,3867170.58,3901594.054,4059961.086,4278004.287,4317790.732,4358466.79,4399998.375,4442353.018,4485497.532,4529401.239,4574032.745,4619359.76,4665351.788,4837221.236,4930352.872,4980858.979,5031906.497,5083461.699,5135488.885,5187954.509,5240823.05,5374071.394,5446858.184,5504714.764,5562916.139,5621423.918,5680202.94,5739215.711,5798425.457,6166658.393,6229278.052,6291995.122,6354772.109,6677862.088,6745062.382,6812282.769,6879579.756,6946883.74,7014118.299,7081223.335,7148150.772,7214858.452,7349556.834,7415882.405,7481866.052,7547532.173,7612858.522,7677792.179,7742287.398,8080952.864,8146797.482,8395255.249,8511607.588,8580464.582,8648650.286,8716142.274,8782916.868,8848952.36,8914228.658,8978726.029,9139312.519,9206465.992,9272773.982,9338219.269,9492472.089,9557770.633,9622147.99,9685589.63,9748082.816,9675531.032,9735374.038,9794340.167
56.175,3609427.878,3481029.157,3448139.844,3415415.981,3382879.804,3237502.838,3207402.976,3177549.746,3147980.794,3118746.891,3089856.479,3061277.405,3033027.889,3005127.623,2977595.363,2950450.4,2923712.964,2875452.87,2849856.828,2824715.603,2800047.279,2775870.478,2752202.75,2570672.377,2504673.378,2485756.102,2467366.118,2345922,2329746.75,2314119.022,2299051.005,2284555.964,2270646.624,2230438.855,2151994.903,2140950.169,2130505.336,2120669.784,2111452.486,2102862.018,2094906.819,2087593.99,2080931.032,2074924.778,2069581.658,2064906.629,2060905.987,2057583.484,2054943.942,2052991.112,2051728.076,2051157.78,2051281.431,2052101.574,2053618.745,2055833.747,2058745.911,2062355.371,2066660.384,2071659.076,2077349.571,2083728.654,2090793.11,2098538.383,2106960.456,2116053.968,2125812.892,2136231.467,2147302.86,2159019.839,2171374.23,2207195.265,2221088.127,2235598.039,2250715.087,2266429.09,2282728.393,2299601.742,2370122.379,2389223.859,2408895.5,2429178.564,2513108.311,2535020.408,2557462.209,2580410.938,2603847.44,2627752.959,2677015.657,2800146.95,2826734.478,2853760.076,3028988.397,3058471.343,3088376.953,3179379.193,3210551.323,3242084.894,3273958.74,3306152.231,3389243.749,3423859.487,3458765.665,3493941.518,3548882.923,3584877.712,3621073.05,3657445.76,3794404.271,3831820.445,3869341.381,3906943.234,3998028.399,4036581.815,4234547.198,4329116.698,4699607.492,4743676.711,4787704.401,4959105.432,5005020.441,5050805.101,5142615.695,5189492.316,5236173.346,5282678.478,5328990.028,5375068.879,5510394.472,5556465.151,5602201.851,5761467.124,5808682.144,5855486.692,5901860.536,6089402.12,6135759.888,6181621.043,6447216.334,6573377.815,6623158.16,6672365.262,6720983.849,6768999.722,6816398.812,6863167.992,6909294.802,6999517.625,7044552.743,7161882.749,7206812.703,7251099.886
56.15,3412811.855,3378078.162,3343449.087,3308944.271,3274586.068,3240399.431,3206411.162,3172653.993,3139169.55,3106013.661,3073196.703,2879011.09,2851759.68,2824820.026,2798210.533,2771950.223,2746057.498,2720550.764,2695448.919,2670769.748,2646531.656,2622752.676,2599450.966,2576643.076,2554347.658,2532581.263,2511360.689,2490702.611,2470623.21,2451138.542,2432263.801,2414014.673,2396405.61,2379450.815,2363164.494,2347559.863,2332649.891,2318447.177,2304963.825,2292210.828,2280199.798,2268940.615,2258443.408,2248717.069,2239770.617,2231612.325,2224249.359,2217688.759,2211937.071,2206999.36,2202881.059,2199587.234,2197120.601,2195485.238,2194683.119,2194716.345,2195586.398,2197293.402,2199837.603,2203218.507,2207434.757,2212484.128,2218364.15,2225071.858,2232603.425,2240953.785,2250118.616,2260091.864,2270867.108,2282438.048,2294796.408,2307934.9,2321844.262,2336516.094,2351939.649,2368105.417,2385002.282,2402619.127,2420943.848,2439963.968,2459682.33,2480146.363,2501319.877,2523161.494,2545642.558,2568739.353,2592432.118,2616702.695,2641533.174,2666907.251,2737739.87,2764950.026,2792663.389,2820862.174,2849529.212,2878646.098,2908194.552,2955383.319,2985818.871,3016627.074,3047789.029,3079284.851,3111095.517,3143200.894,3175582.085,3208218.709,3241091.126,3274179.327,3334475.831,3368031.544,3401737.948,3588183.621,3627764.859,3667513.215,3707405.962,3747442.36,3829776.626,3885803.398,3926466.891,4032269.244,4073248.817,4114191.088,4041564.138,4078753.965,4115816.199,4152778.385,4189627.429,4255406.354,4398492.778,4437330.691,4581481.461,4620253.786,4658727.695,4696885.894,4734710.598,4772186.244,4980254.168,5055224.603,5151939.325,5191745.24,5288517.643,5327578.751,5366157.649,5404242.48,5441821.385,5498647.188,5535458.559,5571728.68,5607448.038,5898096.027,6232881.669,6270296.297
56.125,3358543.68,3324103.076,3289774.002,3255575.206,3221529.284,3187659.191,3106406.661,3039918.184,3008823.366,2978024.56,2947532.702,2917326.64,2887425.124,2857849.184,2828619.252,2799756,2747897.212,2720754.265,2694026.913,2667734.985,2641896.991,2616532.999,2591661.159,2567300.339,2484087.016,2462920.671,2442285.176,2422196.516,2402670.675,2383723.157,2365369.225,2347623.3,2330500.166,2314013.043,2298176.233,2283002.233,2268503.906,2254693.508,2241582.457,2229181.691,2217502.265,2206554.276,2196346.977,2186889.263,2178189.905,2170256.477,2163096.67,2156716.732,2151122.915,2146320.385,2142314.912,2139109.62,2136709.437,2135116.405,2134333.29,2134361.894,2081232.526,2083168.441,2085872.808,2089345.148,2093584.017,2098587.494,2104352.813,2110876.97,2118156.24,2179246.318,2188145.78,2197830.642,2208294.412,2219530.721,2231532.118,2244290.911,2257798.807,2272046.673,2287024.893,2302723.973,2353793.998,2371526.823,2389959.716,2409079.697,2428886.287,2449411.573,2470625.991,2492495.89,2514994.828,2538103.217,2561802.428,2586074.913,2610904.689,2636274.209,2662167.608,2688567.941,2715458.382,2742821.505,2770640.243,2798896.689,2827573.176,2856652.157,2886114.644,2915942.368,3007165.555,3040220.685,3073641.053,3107406.466,3141496.496,3193181.98,3253990.588,3308892.541,3345133.734,3381602.554,3418277.248,3455135.342,3492154.962,3529314.837,3566591.53,3643746.166,3723769.099,3763086.507,3802474.462,3841896.67,3944937.374,4082812.403,4012524.207,4049080.4,4085502.829,4137286.984,4196813.716,4291309.138,4399427.231,4438170.282,4476669.601,4514904.156,4552856.52,4590508.306,4627842.686,4664843.919,4867839.137,4941334.188,5037026.156,5076352.817,5115247.9,5153698.064,5334092.068,5649360.24,5688806.845,5727729.089,5766115.556,5803956.51,5841242.217,5935803.98,5972224.607,6008110.417
56.1,3557553.607,3496394.52,3453584.386,3417742.384,3382065.409,3346577.74,3311307.381,3225855.625,3153342.763,3120164.022,3087314.734,3054774.464,3022565.569,2990710.767,2959232.292,2928153.943,2897498.077,2867287.409,2837544.417,2808291.817,2779551.364,2751345.654,2723695.842,2696623.923,2670151.172,2548640.463,2527426.084,2506787.194,2486740.26,2467301.989,2448487.405,2430312.014,2412790.478,2395937.221,2379766.427,2364290.835,2349524.149,2335478.025,2322165.206,2281809.916,2270058.058,2259061.139,2248828.294,2239369.739,2230693.047,2222806.151,2215716.141,2209429.749,2203953.465,2199291.617,2195450.093,2192431.779,2190241.241,2216723.728,2216273.601,2216667.357,2217904.635,2219986.156,2222910.599,2226677.963,2231285.003,2236730.157,2243009.818,2250119.659,2258055.836,2266812.937,2276385.316,2286766.36,2297949.58,2309926.802,2322690.214,2336230.921,2350539.428,2365605.999,2381419.817,2436732.542,2454762.138,2473519.029,2492990.474,2513163.371,2534035.197,2555637.202,2585216.971,2608394.24,2632210.702,2656644.12,2681674.541,2758268.714,2810298.698,2837752.713,2865731.977,2894217.379,2923189.446,2952629.429,2982517.015,3012833.092,3043556.869,3074668.992,3106148.548,3137975.105,3265741.196,3302667.949,3339992.185,3377689.863,3415737.066,3454109.754,3492783.409,3531733.99,3617166.997,3657020.717,3697072.757,3737297.998,3777672.038,3911583.413,3952819.485,3994140.054,4035578.413,4077090.452,4140193.678,4330757.821,4373620.361,4416396.841,4373065.905,4412850.514,4452460.841,4549172.501,4589618.298,4629855.317,4711855.339,4752733.233,4793328.912,5086754.688,5128783.921,5170466.274,5294911.042,5336275.481,5377231.742,5545436.898,5627759.041,5677858.827,5852815.407,5897069.192,5940798.091,5983990.082,6026631.344,6068710.578,6110215.885,6151137.41,6205764.307,6178354.883,6217887.325,6256861.705
56.075,3923567.382,3882359.213,3841312.639,3800453.072,3759808.4,3719407.553,3679281.546,3639466.088,3600003.401,3494997.844,3458075.971,3421514.427,3385338.495,3349573.716,3314246.677,3279382.397,3245007.592,3211147.544,3177827.404,3145073.105,3112909.409,3081360.553,3050451.56,3020207.059,2990649.856,2857947.909,2834172.402,2811061.518,2788633.5,2766906.595,2745898.394,2725625.449,2706104.439,2687351.394,2669381.561,2652210.318,2635851.609,2620319.117,2605625.613,2591783.869,2578806.004,2566702.574,2555484.134,2545160.59,2535741.062,2527233.762,2519646.508,2512985.947,2507258.594,2502469.662,2498623.972,2495725.957,2493778.091,2492783.633,2492743.756,2493659.762,2495531.392,2498358.514,2502139.957,2506873.373,2512556.027,2519184.4,2526754.061,2535260.449,2544697.309,2555058.124,2566336.119,2578523.214,2591610.546,2605589.254,2620448.783,2636179.229,2652768.731,2670205.563,2688477.212,2778305.264,2799968.835,2822459.014,2845760.945,2869856.774,2894742.331,2920448.502,2946938.797,2974173.339,3002120.852,3030755.924,3060054.054,3089993.611,3120552.178,3151707.864,3183439.686,3215725.621,3248543.124,3281869.91,3315684.216,3349962.716,3384682.994,3419822.246,3455356.361,3491262.795,3631376.197,3672806.428,3714659.931,3756909.863,3799530.159,3842493.061,3885771.204,3929337.87,3973165.694,4017227.439,4061496.26,4105944.92,4150546.573,4296555.569,4342073.229,4387672.598,4433389.514,4479174.457,4524975.558,4570751.9,4616468.946,4662096.204,4707606.957,4919119.467,5031219.154,5078839.237,5126275.962,5173491.668,5220453.383,5267131.396,5313500.294,5359536.359,5405218.09,5450525.155,5585567.617,5913871.008,5960592.286,6076883.918,6126456.037,6175530.209,6224088.713,6272114.086,6335909.129,6408631.097,6457380.126,6505548.197,6699648.766,6747313.548,6794335.601,6796757.043,6842335.822,6887299.369
56.05,4072480.048,4030153.882,3987980.234,3945983.898,3904193.287,3862637.514,3821349.587,3780365.723,3739731.327,3641480.339,3603060.735,3565006.896,3527344.869,3490101.536,3453303.502,3416977.788,3381150.3,3345848.34,3311098.092,3276925.882,3243357.617,3210419.066,3052821.968,3026123.162,3000043.344,2974602.432,2949820.344,2925717.415,2902312.032,2879623.138,2857669.257,2836467.94,2816036.18,2796391.108,2777549.021,2759525.241,2742335.089,2725992.495,2710511.664,2695905.55,2682186.83,2669367.202,2657457.671,2646468.961,2636410.961,2627292.03,2619121.081,2611905.496,2605652.1,2600366.326,2596055.138,2592721.043,2590369.334,2589002.658,2588622.546,2589230.948,2590828.979,2593415.803,2596991.281,2601552.767,2607098.867,2613626.099,2621130.145,2629606.689,2639050.157,2649454.004,2660811.823,2673115.952,2686357.617,2700527.765,2715617.062,2731614.505,2748508.952,2766288.703,2845024.016,2865927.261,2887703.83,2910339.656,2933818.025,2958123.336,2983251.968,3009240.972,3036052.878,3063644.649,3091984.386,3121045.208,3150803.158,3181236.089,3212321.577,3244038.17,3276364.28,3309278.038,3342757.299,3376779.498,3411322.766,3446364.261,3481880.723,3517849.586,3554246.476,3591048.549,3628232.545,3665773.533,3824952.505,3868572.779,3912602.416,3957013.28,4001777.652,4115683.3,4161506.944,4312793.121,4359887.473,4407177.244,4454634.577,4502230.777,4549937.014,4764823.382,4814125.282,4863510.615,4912920.88,4962311.087,5011644.187,5060887.309,5051187.693,5166726.89,5491561.366,5606744.13,5659137.07,5711307.71,5824969.468,5876897.471,6022704.963,6074499.112,6125901.17,6176888.991,6227440.428,6277535.424,6475326.494,6525368.701,6574883.848,6623853.551,6759051.47,6827344.075,6879685.34,6931422.382,6982537.65,7033013.872,7082836.424,7375342.005,7425321.114,7521597.441,7581777.737,7630090.844
56.025,4320960.978,4276482.121,4232156.669,4188011.954,4144077.217,4100383.168,4056964.486,4013859.815,3971118.234,3928800.723,3835533.687,3795188.116,3755258.68,3657423.121,3618929.586,3580926.392,3543442.044,3506503.433,3470139.065,3434374.949,3218520.538,3189667.028,3161404.219,3133753.122,3106735.927,3080372.322,3054683.762,3029689.935,3005410.827,2981865.833,2959073.467,2937052.245,2915820.387,2895394.79,2875792.354,2857029.388,2839121.468,2822083.729,2805929.837,2790674.779,2776330.752,2762910.245,2750425.454,2738887.107,2728304.9,2718689.562,2710049.173,2702391.668,2695724.835,2690054.993,2685388.313,2681729.057,2679082.219,2677451.328,2676838.586,2677245.758,2678674.607,2681124.838,2684596.158,2689087.538,2694597.215,2701121.368,2708656.912,2717199.586,2726744.099,2737284.575,2748814.253,2761325.493,2774810.507,2789260.478,2804665.562,2821015.326,2838299.043,2894422.486,2967622.9,2989062.239,3011412.901,3034659.018,3058785.603,3083776.196,3168374.484,3195627.078,3223749.559,3252696.229,3282433.291,3312931.946,3344167.212,3376115.874,3408754.569,3442060.666,3476012.126,3510584.556,3545756.503,3581504.456,3617803.729,3654631.988,3691964.105,3764252.314,3802887.499,3841949.839,3984719.184,4181185.985,4277010.518,4320429.054,4504187.568,4554163.76,4604499.221,4655161.33,4706119.083,5010326.99,5064339.928,5118560.639,5172956.798,5227496.811,5282148.352,5336903.486,5391806.148,5446798.884,5501818.805,5556817.125,5704585.529,5899992.449,5939905.28,6010036.845,6065409.569,6120556.593,6204182.87,6259062.462,6313608.206,6592749.257,6648448.63,6747755.944,6802934.12,6857620.045,6911792.707,6965431.681,7018518.454,7071034.216,7122963.246,7174288.497,7224994.1,7275066.538,7324491.262,7478360.337,7530731.657,7657197.964,7709482.148,7761031.19,7811832.158,7861898.277,7911280.976,7959957.333
