WATERRIGHTID,X,Y,PODID,POUID,PERMITCODE,PODRATE,USECODE,PRIORITYDOY,YEAR,BEGINDOY,ENDDOY,REACHCOMID,LENGTH_OR_COMID,SPECIAL,CERTIFICATE,UGB,CW3M_YEAR
198189,482909.8926,4927215.397,3,255403,2,0.43,16,-99,-99,1,365,23763055,6350,0,-99,0,-99
198189,483041.9508,4928006.633,4,255403,2,0.43,16,-99,-99,1,365,23763055,6350,0,-99,0,-99
204423,509804.4218,4957242.702,7,264442,-99,0.6242,16,-99,-99,1,365,-99,-99,0,-99,0,-99
204423,509986.5108,4956835.92,6,264442,-99,0.6242,16,-99,-99,1,365,-99,-99,0,-99,0,-99
204423,510221.4752,4956284.68,5,264442,-99,0.8556,16,-99,-99,1,365,-99,-99,0,-99,0,-99
179887,485327.9104,4925023.952,1,228505,2,,16,-99,-99,60,304,23763753,19702,0,-99,0,-99
183718,508125.3636,4981145.488,2,233289,4,1.56,16,-99,-99,60,304,-99,-99,0,-99,0,-99
1000007,521783,5011044,24738,-7,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,7,1801
1000019,499264,5013659,24703,-19,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,19,1801
1000025,488633,5031149,24693,-25,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,25,1801
1000044,483274,4966590,24659,-44,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,44,1801
1000048,500393,5049321,24654,-48,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,48,1801
1000049,543195,4843805,24653,-49,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,49,1801
1000065,491497,4933331,24618,-65,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,65,1801
1000066,503848,4966169,24617,-66,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,66,1801
1000068,514019,4926761,24615,-68,4,636.5,1024,1,1801,1,365,-99,-99,0,-99,68,1801
