OID_,POU_INDEX,POU_ID,IDU_ID,IDU_WW2100,WRIS_ID,AREA_POU,PERCENT_POU,AREA_IDU,PERCENT_IDU,USECODE,PERMITCODE,XCOORD,YCOORD,CERTIFICATE
1,1,99968,33853,33853,111472,171093.425348902004771,23.057361087127344,39883.792004694696516,98.911429671450009,16,2,497780.849499999545515,4881469.879699999466538,-99
2,2,99968,34267,34267,111472,171093.425348902004771,15.893430994542015,27192.615494025998487,100.000000000000000,16,2,497695.553399999625981,4881648.649399999529123,-99
3,3,99968,34288,34288,111472,171093.425348902004771,58.055654158426520,99723.254670877504395,99.605059658538892,16,2,497835.325500000268221,4881793.495999999344349,-99
4,4,99968,34326,34326,111472,171093.425348902004771,1.862164250723289,24601.861841101799655,12.950404415581021,16,2,497765.834699999541044,4882020.501599999144673,-99
5,5,91805,37396,37396,104314,222.902235575313995,100.000000000000000,78677.768647210396011,0.283310316761528,16,2,538739.191300000064075,4886334.119899999350309,-99
6,6,33805,39852,39852,53148,179874.645258681994164,69.047583160466189,125464.147982199006947,98.991701826408217,16,2,508186.437099999748170,4889336.480499999597669,-99
7,7,33805,39861,39861,53148,179874.645258681994164,30.592254633411532,55964.129091275797691,98.326750352414450,16,2,508379.680599999614060,4889490.617699999362230,-99
8,8,33838,41698,41698,53180,19619.354627479900955,6.442240345441173,334078.274870441993698,0.378332287490664,16,2,514960.609199999831617,4892357.485200000926852,-99
9,9,33838,42255,42255,53180,19619.354627479900955,93.557768747267147,139503.097828492987901,13.157722457640558,16,2,514791.593600000254810,4892602.637299999594688,-99
10,10,33840,38353,38353,53182,154466.091096632997505,19.692689528385920,30418.534772361799696,99.999976902016641,16,2,508738.092400000430644,4887510.311200000345707,-99
11,11,33840,38750,38750,53182,154466.091096632997505,79.570865030559546,123038.247245917998953,99.895770311829395,16,2,508473.619099999777973,4887565.379399999976158,-99
12,12,33840,38751,38751,53182,154466.091096632997505,0.623160724110193,518957.994028869026806,0.185481681149118,16,2,508227.543999999761581,4887129.104399999603629,-99
13,13,33840,38817,38817,53182,154466.091096632997505,0.002625682604129,153295.767025892011588,0.002645728164508,16,2,508905.997899999842048,4887880.984200000762939,-99
14,14,33840,38821,38821,53182,154466.091096632997505,0.110651545032537,354625.594419530010782,0.048197061644566,16,2,508993.976900000125170,4887576.816800000146031,-99
15,15,17360,33293,33293,26304,63303.109602151496802,0.071205330792041,23637.716151116601395,0.190691809249646,16,-99,500969.542500000447035,4880565.208499999716878,-99
16,16,17360,33313,33313,26304,63303.109602151496802,97.326421762004287,73982.102549403294688,83.277778431225073,16,-99,501167.204400000162423,4880603.254499999806285,-99
17,17,39062,36926,36926,57534,2942.319626575049824,93.358544429172483,694099.386988018988632,0.395751217667009,16,2,547464.487399999983609,4885658.232599999755621,-99
18,18,17424,31234,31234,26377,60476.325136320403544,99.541005580145296,60199.509091822103073,99.998726047401092,16,-99,512663.231999999843538,4877703.229199999943376,-99
19,19,17718,32208,32208,26679,27824.179715695900086,30.810575498561970,112951.099506886996096,7.589824212058546,16,-99,503572.132000000216067,4878871.689899999648333,-99
20,20,17718,32225,32225,26679,27824.179715695900086,69.034853281491195,40865.971571890397172,47.003364669106652,16,-99,503534.546000000089407,4879068.994999999180436,-99
21,21,46655,31120,31120,63527,9744.683059753029738,30.000676007150023,70356.216332758500357,4.155241633309586,16,2,517050.553100000135601,4878105.082599999383092,-99
22,22,17716,32245,32245,26677,44185.922013681600220,0.159033467139372,44985.913921464198211,0.156205348831045,16,-99,503288.325500000268221,4879113.893699999898672,-99
23,23,17716,32293,32293,26677,44185.922013681600220,99.504779581986668,44544.163175890200364,98.704524164862676,16,-99,503416.477099999785423,4879344.511099999770522,-99
24,24,16854,35284,35284,25788,80002.800171541995951,29.879283720995115,25611.420626006100065,93.334391703844659,16,-99,496315.171400000341237,4883177.604800000786781,-99
25,25,18230,33726,33726,27198,62663.778502886198112,43.052967312876142,378270.271543962007854,7.132100539052084,16,-99,500735.466699999757111,4880638.543400000780821,-99
26,26,46099,46078,46078,63049,13879.207954924300793,100.000000000000000,115790.161027669004397,11.986517534601020,16,2,514826.331199999898672,4898704.557800000533462,-99
27,27,45058,43452,43452,62258,143623.368192474998068,53.796370294490195,94780.111404546405538,81.519379791039896,16,2,513026.980700000189245,4894741.169500000774860,-99
28,28,45058,43502,43502,62258,143623.368192474998068,26.339623793786615,37831.037141253298614,99.996874842775298,16,2,512869.555100000463426,4894906.465099999681115,-99
29,29,45058,43598,43598,62258,143623.368192474998068,19.077274964973817,27609.159590709299664,99.240343676579428,16,2,512813.954800000414252,4895042.190899999812245,-99
