DAY_NDX,Q_CFS
722335,2410
722336,3470
722337,3660
722338,3360
722339,3360
722340,1690
722341,1410
722342,2990
722343,1680
722344,2860
722345,3360
722346,2700
722347,2260
722348,2230
722349,2000
722350,1870
722351,1780
722352,1750
722353,1670
722354,1800
722355,1820
722356,1790
722357,1730
722358,1670
722359,1570
722360,1540
722361,1540
722362,1520
722363,1430
722364,1350
722365,1340
722366,1340
722367,1300
722368,1270
722369,1680
722370,2790
722371,4500
722372,12400
722373,5640
722374,5010
722375,6490
722376,8490
722377,5930
722378,5700
722379,6380
722380,4720
722381,4040
722382,3050
722383,3220
722384,4020
722385,3660
722386,3300
722387,3160
722388,3060
722389,2520
722390,2700
722391,4000
722392,4300
722393,3770
722394,3180
722395,2900
722396,3590
722397,6580
722398,11600
722399,11300
722400,9770
722401,8390
722402,7430
722403,6940
722404,6730
722405,5610
722406,4300
722407,4280
722408,4720
722409,4800
722410,4280
722411,4110
722412,4110
722413,3900
722414,2880
722415,1830
722416,1630
722417,1620
722418,1620
722419,1590
722420,1620
722421,1930
722422,2320
722423,2150
722424,2120
722425,2060
722426,2360
722427,2320
722428,2180
722429,2170
722430,2900
722431,3200
722432,3010
722433,3700
722434,3550
722435,4210
722436,4650
722437,6120
722438,5360
722439,5610
722440,5640
722441,6180
722442,5960
722443,5560
722444,5090
722445,4180
722446,4000
722447,4070
722448,4180
722449,3030
722450,2880
722451,3010
722452,2700
722453,2680
722454,2540
722455,3100
722456,3600
722457,4200
722458,4000
722459,4600
722460,5200
722461,7400
722462,7800
722463,7600
722464,7400
722465,6000
722466,4960
722467,4550
722468,4450
722469,4070
722470,3730
722471,4090
722472,4000
722473,3700
722474,3680
722475,3620
722476,3320
722477,2840
722478,2340
722479,2470
722480,2360
722481,2840
722482,2520
722483,2440
722484,2230
722485,1720
722486,1480
722487,1410
722488,1350
722489,1380
722490,2240
722491,2460
722492,2040
722493,1370
722494,1270
722495,1260
722496,1230
722497,1220
722498,1430
722499,1430
722500,1530
722501,1290
722502,1220
722503,1200
722504,1310
722505,1660
722506,1140
722507,1100
722508,1080
722509,1100
722510,1100
722511,1130
722512,1120
722513,1100
722514,1050
722515,1060
722516,1200
722517,1220
722518,1150
722519,1140
722520,1120
722521,1100
722522,1030
722523,1060
722524,1050
722525,1270
722526,1550
722527,1220
722528,1090
722529,1060
722530,1060
722531,1040
722532,1180
722533,1500
722534,1050
722535,1060
722536,1050
722537,1050
722538,1060
722539,1040
722540,1080
722541,1080
722542,1030
722543,1060
722544,1070
722545,1020
722546,1060
722547,1060
722548,1070
722549,1080
722550,1090
722551,1090
722552,1080
722553,1080
722554,1070
722555,1090
722556,1090
722557,1080
722558,1080
722559,1110
722560,1120
722561,1090
722562,1120
722563,978
722564,1120
722565,1130
722566,1130
722567,1230
722568,1170
722569,1140
722570,1140
722571,1110
722572,1070
722573,1090
722574,1100
722575,1100
722576,1120
722577,1100
722578,1060
722579,1110
722580,1330
722581,1480
722582,1520
722583,1500
722584,1500
722585,1500
722586,1490
722587,1680
722588,1840
722589,1870
722590,1890
722591,1680
722592,1330
722593,1440
722594,1970
722595,2260
722596,2240
722597,2260
722598,2290
722599,2360
722600,2340
722601,2480
722602,2680
722603,2540
722604,2590
722605,2570
722606,2610
722607,2580
722608,2460
722609,2460
722610,2430
722611,2400
722612,2380
