DAY_NDX,Q_CFS
722335,120
722336,120
722337,120
722338,110
722339,100
722340,100
722341,90
722342,90
722343,90
722344,130
722345,800
722346,1370
722347,1070
722348,774
722349,669
722350,386
722351,199
722352,170
722353,156
722354,165
722355,151
722356,134
722357,126
722358,134
722359,156
722360,134
722361,130
722362,156
722363,134
722364,121
722365,113
722366,109
722367,109
722368,106
722369,106
722370,147
722371,316
722372,2030
722373,3200
722374,2320
722375,1900
722376,2280
722377,2120
722378,2170
722379,1820
722380,1120
722381,834
722382,1030
722383,1310
722384,1610
722385,2130
722386,2020
722387,1880
722388,1630
722389,1120
722390,1140
722391,1430
722392,1520
722393,1900
722394,1780
722395,1530
722396,1050
722397,1040
722398,1380
722399,1810
722400,1700
722401,1350
722402,678
722403,432
722404,399
722405,341
722406,225
722407,209
722408,310
722409,304
722410,310
722411,263
722412,236
722413,209
722414,194
722415,179
722416,170
722417,160
722418,156
722419,151
722420,179
722421,225
722422,194
722423,165
722424,156
722425,147
722426,147
722427,147
722428,142
722429,138
722430,225
722431,241
722432,179
722433,184
722434,204
722435,258
722436,236
722437,280
722438,241
722439,225
722440,304
722441,528
722442,386
722443,341
722444,545
722445,269
722446,269
722447,455
722448,716
722449,519
722450,463
722451,425
722452,553
722453,487
722454,463
722455,447
722456,440
722457,412
722458,367
722459,605
722460,1860
722461,2480
722462,1790
722463,1150
722464,697
722465,553
722466,263
722467,247
722468,236
722469,225
722470,209
722471,189
722472,280
722473,241
722474,189
722475,184
722476,179
722477,179
722478,174
722479,170
722480,156
722481,113
722482,109
722483,106
722484,102
722485,98
722486,94
722487,87
722488,81
722489,74
722490,68
722491,71
722492,71
722493,63
722494,60
722495,63
722496,66
722497,60
722498,57
722499,52
722500,49
722501,60
722502,77
722503,74
722504,71
722505,63
722506,57
722507,57
722508,49
722509,52
722510,44
722511,35
722512,47
722513,47
722514,49
722515,52
722516,57
722517,60
722518,49
722519,54
722520,49
722521,42
722522,42
722523,52
722524,54
722525,54
722526,57
722527,57
722528,52
722529,52
722530,54
722531,52
722532,42
722533,37
722534,39
722535,42
722536,35
722537,44
722538,42
722539,30
722540,39
722541,37
722542,37
722543,39
722544,49
722545,52
722546,39
722547,37
722548,37
722549,28
722550,35
722551,52
722552,54
722553,39
722554,39
722555,39
722556,39
722557,44
722558,47
722559,49
722560,54
722561,52
722562,60
722563,54
722564,47
722565,49
722566,52
722567,60
722568,63
722569,81
722570,74
722571,54
722572,52
722573,52
722574,49
722575,49
722576,54
722577,60
722578,68
722579,81
722580,84
722581,81
722582,77
722583,71
722584,66
722585,66
722586,63
