DAY_NDX,Q_CFS
730365,189
730366,172
730367,157
730368,147
730369,140
730370,135
730371,127
730372,124
730373,124
730374,136
730375,130
730376,118
730377,135
730378,347
730379,339
730380,274
730381,232
730382,206
730383,191
730384,181
730385,199
730386,203
730387,188
730388,195
730389,207
730390,209
730391,192
730392,181
730393,224
730394,277
730395,253
730396,231
730397,219
730398,218
730399,241
730400,261
730401,262
730402,246
730403,229
730404,225
730405,214
730406,226
730407,215
730408,195
730409,183
730410,175
730411,178
730412,170
730413,181
730414,193
730415,178
730416,271
730417,305
730418,276
730419,250
730420,226
730421,203
730422,187
730423,176
730424,181
730425,242
730426,227
730427,206
730428,195
730429,177
730430,166
730431,160
730432,172
730433,171
730434,159
730435,151
730436,144
730437,143
730438,146
730439,151
730440,232
730441,244
730442,248
730443,257
730444,240
730445,220
730446,203
730447,190
730448,213
730449,238
730450,274
730451,474
730452,438
730453,368
730454,326
730455,311
730456,289
730457,279
730458,261
730459,243
730460,245
730461,268
730462,252
730463,253
730464,242
730465,301
730466,312
730467,307
730468,283
730469,263
730470,246
730471,236
730472,219
730473,214
730474,214
730475,195
730476,179
730477,172
730478,166
730479,155
730480,146
730481,138
730482,144
730483,146
730484,166
730485,236
730486,205
730487,178
730488,162
730489,150
730490,141
730491,130
730492,121
730493,114
730494,109
730495,104
730496,99
730497,97
730498,109
730499,195
730500,201
730501,178
730502,148
730503,132
730504,121
730505,109
730506,101
730507,94
730508,88
730509,84
730510,81
730511,78
730512,76
730513,78
730514,75
730515,69
730516,67
730517,69
730518,76
730519,79
730520,77
730521,77
730522,71
730523,62
730524,58
730525,58
730526,57
730527,71
730528,75
730529,61
730530,56
730531,52
730532,51
730533,49
730534,44
730535,41
730536,39
730537,38
730538,39
730539,42
730540,43
730541,46
730542,110
730543,112
730544,78
730545,62
730546,54
730547,46
730548,41
730549,40
730550,36
730551,35
730552,34
730553,33
730554,29
730555,29
730556,28
730557,27
730558,25
730559,25
730560,25
730561,25
730562,25
730563,25
730564,24
730565,24
730566,24
730567,24
730568,23
730569,21
730570,21
730571,19
730572,19
730573,19
730574,20
730575,27
730576,27
730577,26
730578,23
730579,21
730580,21
730581,20
730582,19
730583,20
730584,17
730585,16
730586,15
730587,15
730588,15
