DAY_NDX,Q_CFS
733650,22000
733651,33500
733652,29500
733653,25000
733654,24200
733655,28200
733656,35300
733657,34500
733658,32000
733659,29400
733660,25500
733661,23700
733662,23500
733663,23200
733664,21000
733665,20400
733666,22000
733667,23000
733668,21600
733669,19100
733670,17700
733671,16300
733672,14400
733673,13000
733674,13000
733675,13700
733676,13200
733677,12400
733678,11700
733679,10900
733680,10400
733681,10200
733682,10900
733683,11500
733684,11600
733685,11300
733686,10600
733687,10200
733688,9780
733689,9200
733690,8710
733691,8540
733692,9160
733693,10700
733694,10400
733695,10300
733696,10400
733697,10500
733698,9810
733699,9210
733700,8830
733701,8640
733702,8400
733703,8210
733704,8540
733705,9340
733706,10600
733707,12400
733708,11300
733709,9990
733710,9340
733711,8960
733712,8780
733713,8580
733714,8320
733715,8120
733716,7950
733717,7920
733718,7850
733719,7820
733720,8830
733721,12300
733722,12400
733723,10800
733724,9850
733725,9190
733726,8660
733727,8390
733728,8260
733729,8090
733730,8010
733731,8060
733732,7940
733733,7930
733734,9210
733735,13300
733736,13300
733737,14800
733738,28000
733739,36200
733740,31200
733741,26900
733742,28400
733743,28300
733744,25000
733745,22800
733746,20100
733747,18000
733748,17000
733749,15200
733750,14000
733751,14700
733752,14500
733753,14300
733754,13600
733755,12900
733756,11800
733757,10900
733758,10500
733759,10500
733760,11900
733761,12500
733762,11500
733763,10500
733764,9830
733765,9380
733766,10100
733767,17200
733768,20500
733769,20500
733770,19000
733771,16800
733772,15600
733773,15000
733774,14800
733775,14100
733776,12500
733777,11300
733778,10500
733779,9860
733780,9900
733781,10300
733782,11100
733783,11000
733784,10700
733785,10200
733786,10100
733787,9930
733788,10100
733789,10600
733790,12300
733791,13100
733792,14100
733793,14400
733794,13600
733795,14000
733796,15600
733797,17100
733798,16200
733799,14300
733800,13000
733801,13200
733802,15400
733803,29000
733804,43700
733805,52100
733806,55600
733807,49000
733808,39100
733809,32600
733810,30900
733811,29400
733812,27000
733813,22800
733814,19100
733815,17000
733816,15900
733817,14700
733818,13800
733819,13200
733820,12500
733821,12100
733822,11500
733823,10500
733824,9600
733825,9400
733826,9200
733827,9000
733828,8800
733829,8500
733830,8420
733831,8190
733832,8070
733833,7970
733834,7890
733835,7710
733836,7560
733837,7530
733838,7480
733839,7450
733840,7310
733841,7460
733842,7640
733843,7860
733844,7720
733845,7580
733846,7450
733847,7370
733848,7340
733849,7350
733850,7370
733851,7370
733852,7370
733853,7320
733854,7040
733855,7020
733856,7080
733857,7030
733858,6960
733859,6700
733860,6510
733861,6420
733862,6310
733863,6250
733864,6310
733865,6600
733866,6490
733867,6550
733868,6480
733869,6410
733870,6360
733871,6250
733872,6120
733873,5870
733874,5750
733875,5670
733876,5550
733877,5310
733878,5300
733879,5140
733880,4950
733881,4830
733882,4810
733883,4770
733884,4740
733885,4700
733886,5010
733887,4990
733888,4880
733889,4980
733890,5000
733891,5080
733892,5260
733893,5220
733894,5250
733895,5190
733896,5090
733897,5060
733898,4990
733899,5020
733900,5290
733901,5350
733902,5270
733903,5210
733904,5090
733905,5030
733906,4960
733907,5010
733908,5080
733909,5080
733910,5400
733911,5910
733912,6480
733913,6540
733914,6080
733915,5920
733916,5730
733917,5680
733918,5600
733919,5550
733920,5580
733921,5530
733922,5500
733923,5440
733924,5360
733925,5280
733926,5270
733927,5280
733928,5570
733929,5930
733930,6210
733931,6290
733932,6550
733933,6700
733934,6600
733935,6970
733936,7300
733937,7240
733938,7190
733939,7170
733940,7140
733941,7190
733942,7160
733943,7130
733944,7140
733945,7390
733946,9150
733947,11400
733948,12600
733949,13300
