DAY_NDX,Q_CFS
722335,7460
722336,7420
722337,8140
722338,8350
722339,8100
722340,7620
722341,7120
722342,6500
722343,6500
722344,7300
722345,14200
722346,25600
722347,27600
722348,24400
722349,21300
722350,19400
722351,17100
722352,15200
722353,14400
722354,14000
722355,11700
722356,10800
722357,11200
722358,10900
722359,9610
722360,10000
722361,9960
722362,8240
722363,7060
722364,7440
722365,6840
722366,6270
722367,5970
722368,5770
722369,5810
722370,5630
722371,11500
722372,32000
722373,45400
722374,44200
722375,35400
722376,40900
722377,41400
722378,42600
722379,40500
722380,36000
722381,28300
722382,27400
722383,26500
722384,26500
722385,25700
722386,23800
722387,22000
722388,20700
722389,19700
722390,19100
722391,19000
722392,19600
722393,22200
722394,24100
722395,21900
722396,20200
722397,21300
722398,25000
722399,32200
722400,36500
722401,34700
722402,29200
722403,22900
722404,20100
722405,19000
722406,17100
722407,15100
722408,14500
722409,15900
722410,16700
722411,15700
722412,14600
722413,13800
722414,13100
722415,12500
722416,9870
722417,8930
722418,8560
722419,8180
722420,8260
722421,8690
722422,9840
722423,9870
722424,9940
722425,9940
722426,9870
722427,10700
722428,12400
722429,12500
722430,12300
722431,13500
722432,13700
722433,13500
722434,15200
722435,18400
722436,23300
722437,27000
722438,28600
722439,24500
722440,21500
722441,24200
722442,29400
722443,28800
722444,25500
722445,21900
722446,18400
722447,18300
722448,18100
722449,16900
722450,14500
722451,13200
722452,13400
722453,12500
722454,11700
722455,11400
722456,12500
722457,12400
722458,12000
722459,12400
722460,19800
722461,30700
722462,34600
722463,31800
722464,26800
722465,21600
722466,17200
722467,13100
722468,11800
722469,11700
722470,13300
722471,14100
722472,14600
722473,14000
722474,12700
722475,12400
722476,11600
722477,11000
722478,10100
722479,9610
722480,9080
722481,8930
722482,8900
722483,8770
722484,8120
722485,7400
722486,6670
722487,6330
722488,6030
722489,6090
722490,6100
722491,6070
722492,6090
722493,6140
722494,5920
722495,5520
722496,5340
722497,5200
722498,5400
722499,5380
722500,5130
722501,5100
722502,5240
722503,5360
722504,5330
722505,5520
722506,5260
722507,5010
722508,4940
722509,4800
722510,4740
722511,4770
722512,4890
722513,4790
722514,4740
722515,4800
722516,5170
722517,5450
722518,5290
722519,5190
722520,5150
722521,5100
722522,5190
722523,5190
722524,5130
722525,5130
722526,5100
722527,5100
722528,5050
722529,4980
722530,4910
722531,4890
722532,4790
722533,4770
722534,4840
722535,4520
722536,4670
722537,4870
722538,5080
722539,5080
722540,5030
722541,4860
722542,4840
722543,4800
722544,4940
722545,5100
722546,5050
722547,4910
722548,4890
722549,4920
722550,4940
722551,4980
722552,5010
722553,4960
722554,4910
722555,4890
722556,4940
722557,4960
722558,4990
722559,5010
722560,5130
722561,5150
722562,5190
722563,5270
722564,5220
722565,5260
722566,5220
722567,5330
722568,5240
722569,5060
722570,4960
722571,4840
722572,4840
722573,4940
722574,4890
722575,5010
722576,5150
722577,5290
722578,5430
722579,5760
722580,5970
722581,6160
722582,6370
722583,6750
722584,6710
722585,6650
722586,6670
722587,6750
722588,6900
722589,6790
722590,6630
722591,6540
722592,6560
722593,6570
722594,6670
722595,6540
722596,6420
722597,6460
722598,6770
722599,6770
722600,6790
722601,6810
722602,6810
722603,6790
722604,6900
722605,6940
722606,6920
722607,6880
722608,6860
722609,6750
722610,6420
722611,6380
722612,6460
722613,6460
722614,6480
722615,6500
722616,6480
722617,6650
722618,7080
722619,7440
722620,7560
722621,7640
722622,7780
722623,7830
722624,7740
722625,8030
722626,9080
722627,13600
722628,15400
722629,14400
722630,12800
722631,11800
722632,12200
722633,13800
722634,13900
722635,13400
722636,13300
722637,12900
722638,13100
722639,15000
722640,14000
722641,13100
722642,12600
722643,12900
722644,14500
722645,14000
722646,12200
722647,11600
722648,11200
722649,10800
722650,10500
722651,9310
722652,8930
722653,8410
722654,7760
722655,7660
722656,8900
722657,13400
722658,13900
722659,12500
722660,12100
722661,15700
722662,21800
722663,28800
722664,30200
722665,26500
722666,22400
722667,19300
722668,17300
722669,16300
722670,18000
722671,32700
722672,41300
722673,43600
722674,42800
722675,37900
722676,30500
722677,24500
722678,19800
722679,18700
722680,16800
722681,15600
722682,14900
722683,14100
722684,13500
722685,13200
722686,14000
722687,14300
722688,13600
722689,14900
722690,18700
722691,20000
722692,22800
722693,20300
722694,16900
722695,14500
722696,13000
722697,12200
722698,11500
722699,11900
722700,13600
722701,14500
722702,14500
722703,15000
722704,20500
722705,31700
722706,28500
722707,24200
722708,25900
722709,31600
722710,37400
722711,38400
722712,52000
722713,68000
722714,68100
722715,57800
722716,49200
722717,47000
722718,49000
722719,47600
722720,47000
722721,45900
722722,42600
722723,34200
722724,27600
722725,23700
722726,18700
722727,18500
722728,19500
722729,18400
722730,17400
722731,14500
722732,14100
722733,13500
722734,13500
722735,12400
722736,11700
722737,12900
722738,12200
722739,11200
722740,10300
722741,9560
722742,9010
722743,8580
722744,8300
722745,8050
722746,7720
722747,7660
722748,8470
722749,9790
722750,10700
722751,10300
722752,9700
722753,11100
722754,11800
722755,10900
722756,12400
722757,13400
722758,13400
722759,13300
722760,12700
722761,11800
722762,11500
722763,11500
722764,11600
722765,10900
722766,10100
722767,9440
722768,9060
722769,10500
722770,12300
722771,14000
722772,23000
722773,33700
722774,31600
722775,24600
722776,20500
722777,18600
722778,17000
722779,16700
722780,16100
722781,15100
722782,13900
722783,12500
722784,11200
722785,10800
722786,10200
722787,9510
722788,9060
722789,8800
722790,8620
722791,8280
722792,7890
722793,7660
722794,7720
722795,10500
722796,14300
722797,13400
722798,13800
722799,17100
722800,18900
722801,17700
722802,16200
722803,15700
722804,15100
722805,13700
722806,12500
722807,11700
722808,11000
722809,10800
722810,12800
722811,16300
722812,15300
722813,13600
722814,12200
722815,11000
722816,10100
722817,9510
722818,9260
722819,8770
