DAY_NDX,Q_CFS
722335,330
722336,300
722337,280
722338,260
722339,240
722340,220
722341,210
722342,190
722343,185
722344,897
722345,1770
722346,1420
722347,1110
722348,1030
722349,942
722350,800
722351,718
722352,646
722353,592
722354,615
722355,595
722356,560
722357,520
722358,497
722359,475
722360,428
722361,425
722362,450
722363,408
722364,381
722365,350
722366,348
722367,353
722368,333
722369,333
722370,551
722371,1060
722372,3220
722373,4950
722374,3450
722375,3210
722376,4540
722377,4320
722378,3800
722379,2830
722380,2150
722381,1950
722382,2630
722383,3380
722384,3380
722385,2800
722386,2400
722387,2000
722388,1950
722389,2190
722390,2480
722391,2480
722392,2480
722393,2880
722394,2530
722395,2060
722396,2400
722397,3710
722398,4690
722399,5580
722400,3920
722401,2580
722402,1950
722403,1600
722404,1340
722405,1160
722406,1010
722407,875
722408,844
722409,789
722410,729
722411,682
722412,634
722413,588
722414,551
722415,516
722416,485
722417,458
722418,438
722419,422
722420,452
722421,469
722422,428
722423,416
722424,403
722425,387
722426,383
722427,371
722428,355
722429,344
722430,341
722431,326
722432,312
722433,338
722434,389
722435,490
722436,583
722437,909
722438,906
722439,797
722440,754
722441,756
722442,682
722443,628
722444,586
722445,545
722446,517
722447,501
722448,474
722449,438
722450,414
722451,407
722452,438
722453,397
722454,365
722455,343
722456,324
722457,311
722458,316
722459,683
722460,1300
722461,1820
722462,1340
722463,1130
722464,945
722465,823
722466,730
722467,656
722468,599
722469,549
722470,504
722471,470
722472,439
722473,413
722474,387
722475,363
722476,339
722477,330
722478,315
722479,299
722480,281
722481,267
722482,263
722483,251
722484,232
722485,217
722486,204
722487,191
722488,182
722489,172
722490,162
722491,156
722492,146
722493,138
722494,130
722495,127
722496,123
722497,110
722498,103
722499,99
722500,99
722501,106
722502,167
722503,140
722504,121
722505,114
722506,105
722507,95
722508,89
722509,85
722510,81
722511,68
722512,66
722513,62
722514,60
722515,62
722516,79
722517,106
722518,77
722519,71
722520,70
722521,57
722522,54
722523,58
722524,57
722525,55
722526,61
722527,58
722528,52
722529,48
722530,45
722531,44
722532,33
722533,30
722534,26
722535,26
722536,27
722537,33
