DAY_NDX,Q_CFS
732190,6630   
732191,6400   
732192,6170   
732193,5970   
732194,5720   
732195,5700   
732196,5850   
732197,5970   
732198,5910   
732199,6200   
732200,6820   
732201,7040   
732202,6970   
732203,6770   
732204,6500   
732205,6280   
732206,6310   
732207,6380   
732208,6250   
732209,6090   
732210,6010   
732211,5880   
732212,5680   
732213,5400   
732214,5180   
732215,4950   
732216,4680   
732217,4660   
732218,4800   
732220,6410   
732221,6760   
732222,6740   
732223,6510   
732224,6370   
732225,6240   
732226,6010   
732227,5820   
732228,5610   
732229,5450   
732230,5290   
732231,4890   
732232,4460   
732233,4020   
732234,3610   
732235,3180   
732236,2670   
732237,2100   
732238,1640   
732239,1360   
732240,1220   
732241,1130   
732242,1050   
732243,971   
732244,927   
732245,875   
732246,832   
732247,845   
732248,1050   
732249,1290   
732250,1130   
732251,1000   
732252,925   
732253,896   
732254,910   
732255,897   
732256,971   
732257,1470   
732258,2240   
732259,2440   
732260,2360   
732261,2200   
732262,2030   
732263,1920   
732264,1880   
732265,2030   
732266,2120   
732267,2130   
732268,2060   
732269,1940   
732270,1840   
732271,1740   
732272,1720   
732273,1850   
732274,1890   
732275,1800   
732276,1680   
732277,1530   
732278,1370   
732279,1280   
732280,1340   
732281,1420   
732282,1480   
732283,1440   
732284,1390   
732285,1310   
732286,1230   
732287,1180   
732288,1190   
732289,1210   
732290,1300   
732291,1170   
732292,1050   
732293,989   
732294,1010   
732295,1250   
732296,1420   
732297,1420   
732298,1330   
732299,1270   
732300,1170   
732301,1080   
732302,985   
732303,900   
732304,832   
732305,777   
732306,725   
732307,653   
732308,604   
732309,614   
732310,583   
732311,546   
732312,509   
732313,462   
732314,421   
732315,401   
732316,399   
732317,429   
732318,441   
732319,398   
732320,365   
732321,344   
732322,329   
732323,300   
732324,287   
732325,261   
732326,230   
732327,209   
732328,241   
732329,270   
732330,285   
732331,402   
732332,591   
732333,706   
732334,662   
732335,560   
732336,600   
732337,673   
732338,617   
732339,510   
732340,432   
732341,404   
732342,458   
732343,506   
732344,489   
732345,494   
732346,447   
732347,373   
732348,331   
732349,306   
732350,296   
732351,324   
732352,338   
732353,327   
732354,312   
732355,296   
732356,315   
732357,312   
732358,296   
732359,281   
732360,255   
732361,230   
732362,218   
732363,232   
732364,220   
732365,228   
732366,225   
732367,209   
732368,209   
732369,213   
732370,213   
732371,207   
732372,216   
732373,218   
732374,207   
732375,218   
732376,229   
732377,216   
732378,215   
732379,209   
732380,212   
732381,205   
732382,192   
732383,238   
732384,282   
732385,249   
732386,224   
732387,211   
732388,196   
732389,178   
732390,178   
732391,180   
732392,173   
732393,193   
732394,212   
732395,209   
732396,191   
732397,188   
732398,180   
732399,177   
732400,182   
732401,201   
732402,195   
732403,183   
732404,180   
732405,177   
732406,168   
732407,167   
732408,172   
732409,164   
732410,155   
732411,172   
732412,182   
732413,190   
732414,191   
732415,195   
732416,182   
732417,163   
732418,164   
732419,172   
732420,170   
732421,164   
732422,168   
732423,169   
732424,163   
732425,157   
732426,152   
732427,157   
732428,153   
732429,156   
732430,157   
732431,156   
732432,154   
732433,154   
732434,152   
732435,162   
732436,175   
732437,177   
732438,168   
732439,151   
732440,152   
732441,158   
732442,164   
732443,168   
732444,160   
732445,158   
732446,172   
732447,205   
732448,206   
732449,187   
732450,205   
732451,234   
732452,223   
732453,222   
732454,199   
732455,173   
732456,173   
732457,166   
732458,153   
732459,145   
732460,148   
732461,180   
732462,192   
732463,186   
732464,193   
732465,189   
732466,179   
732467,186   
732468,171   
732469,166   
732470,175   
732471,187   
732472,185   
732473,180   
732474,180   
732475,185   
732476,177   
732477,169   
732478,247   
732479,284   
732480,221   
732481,191   
732482,193   
732483,184   
732484,194   
732485,191   
732486,186   
732487,190   
732488,196   
732489,188   
732490,188   
732491,190   
732492,187   
732493,184   
732494,189   
732495,212   
732496,551   
732497,700   
732498,944   
732499,1560   
732500,3040   
732501,3540   
732502,3490   
732503,3380   
732504,3480   
732505,3360   
732506,3340   
732507,3260   
732508,3110   
732509,3090   
732510,2940   
732511,2730   
732512,2460   
732513,2200   
732514,1960   
732515,2230   
732516,2740   
732517,3320   
732518,3590   
732519,3760   
732520,4090   
732521,4190   
732522,4200   
732523,4140   
732524,4000   
732525,3750   
732526,3470   
732527,3160   
732528,2820   
732529,2440   
732530,2050   
732531,1740   
732532,1560   
732533,1520   
732534,1590   
732535,2140   
732536,2780   
732537,3500   
732538,4620   
732543,5580   
732544,5240   
732545,5010   
732546,4840   
732547,4770   
732548,4910   
732549,5100   
732550,5320   
732551,5340   
732552,5220   
732553,5030   
732554,4770   
732555,4470   
732556,4210   
732557,4360   
732558,4570   
732559,4610   
732560,4720   
732561,4860   
732562,5000   
732563,5070   
732564,5080   
732565,4990   
732566,4810   
732567,4550   
732568,4230   
732569,3870   
732570,3500   
732571,3100   
732572,2700   
732573,2330   
732574,2040   
732575,1860   
732576,1720   
732577,1600   
732578,1490   
732579,1370   
732580,1250   
732581,1150   
732582,1080   
732583,1020   
732584,950   
732585,910   
732586,872   
732587,816   
732588,771   
732589,744   
732590,715   
732591,698   
732592,682   
732593,686   
732594,721   
732595,745   
732596,895   
732597,997   
732598,934   
732599,884   
732600,930   
732601,1400   
732602,1890   
732603,1910   
732604,1760   
732605,1790   
732606,2280   
732607,2490   
732608,2570   
732609,2560   
732610,2820   
732611,3060   
732612,3200   
732613,3460   
732614,3520   
732615,3520   
732616,3640   
732617,3670   
732618,3630   
732619,3570   
732620,3490   
732621,3400   
732622,3250   
732623,3090   
732624,2900   
732625,2750   
732626,2640   
732627,2510   
732628,2350   
732629,2120   
732630,1870   
732631,1640   
732632,1470   
732633,1430   
732634,1370   
732635,1240   
732636,1130   
732637,1080   
732638,1360   
732639,1520   
732640,1350   
732641,1200   
732642,1060   
732643,981   
732644,944   
732645,985   
732646,895   
732647,825   
732648,779   
732649,743   
732650,691   
732651,728   
732652,898   
732653,937   
732654,1020   
732655,1050   
732656,1020   
732657,981   
732658,932   
732659,886   
732660,796   
732661,764   
732662,854   
732663,907   
732664,821   
732665,758   
732666,831   
732667,847   
732668,796   
732669,789   
732670,742   
732671,673   
732672,627   
732673,597   
732674,568   
732675,553   
732676,586   
732677,663   
732678,717   
732679,674   
732680,600   
732681,551   
732682,506   
732683,466   
732684,427   
732685,393   
732686,369   
732687,353   
732688,350   
732689,321   
732690,303   
732691,274   
732692,263   
732693,251   
732694,265   
732695,339   
732696,377   
732697,332   
732698,268   
732699,237   
732700,214   
732701,246   
732702,264   
732703,258   
732704,240   
732705,251   
732706,244   
732707,243   
732708,257   
732709,269   
732710,278   
732711,292   
732712,245   
732713,225   
732714,230   
732715,301   
732716,323   
732717,265   
732718,184   
732719,194   
732720,210   
732721,209   
732722,220   
732723,235   
732724,216   
732725,190   
732726,188   
732727,185   
732728,183   
732729,187   
732730,218   
732731,207   
732732,178   
732733,170   
732734,207   
732735,252   
732736,236   
732737,210   
732738,180   
732739,168   
732740,173   
732741,190   
732742,195   
732743,185   
732744,187   
732745,179   
732746,161   
732747,163   
732748,183   
732749,179   
732750,182   
732751,201   
732752,197   
732753,221   
732754,266   
732755,244   
732756,214   
732757,220   
732758,228   
732759,213   
732760,201   
732761,176   
732762,160   
732763,155   
732764,179   
732765,200   
732766,193   
732767,170   
732768,163   
732769,165   
732770,176   
732771,184   
732772,197   
732773,197   
732774,196   
732775,205   
732776,198   
732777,184   
732778,180   
732779,190   
732780,195   
732781,169   
732782,158   
732783,164   
732784,175   
732785,199   
732786,264   
732787,281   
732788,231   
732789,188   
732790,158   
732791,145   
732792,149   
732793,152   
732794,148   
732795,152   
732796,163   
732797,184   
732798,194   
732799,192   
732800,205   
732801,226   
732802,215   
732803,188   
732804,178   
732805,170   
732806,182   
732807,188   
732808,179   
732809,175   
732810,171   
732811,197   
732812,214   
732813,217   
732814,231   
732815,226   
732816,201   
732817,183   
732818,176   
732819,175   
732820,179   
732821,191   
732822,183   
732823,175   
732824,183   
732825,250   
732826,328   
732827,265   
732828,427   
732829,362   
732830,369   
732831,371   
732832,291   
732833,236   
732834,193   
732835,186   
732836,203   
732837,208   
732838,206   
732839,203   
732840,191   
732841,183   
732842,184   
732843,194   
732844,227   
732845,301   
732846,470   
732847,699   
732848,892   
732849,710   
732850,479   
732851,328   
732852,264   
732853,223   
732854,208   
732855,221   
732856,198   
732857,176   
732858,204   
732859,228   
732860,228   
732861,220   
732862,216   
732863,209   
732864,209   
732865,226   
732866,242   
732867,257   
732868,261   
732869,284   
732870,295   
732871,336   
732872,450   
732873,384   
732874,351   
732875,743   
732876,1070   
732877,1280   
732878,1330   
732879,1060   
732880,784   
732881,642   
732882,539   
732883,460   
732884,410   
732885,434   
732886,471   
732887,622   
732888,702   
732889,776   
732890,1100   
732891,3460   
732892,5480   
732898,5270   
732899,4600   
732900,3920   
732901,3240   
732902,2590   
732903,1970   
732904,1570   
732905,1400   
732906,1470   
732907,1960   
732908,2550   
732909,2900   
732910,3030   
732911,3220   
732912,3600   
732913,3780   
732914,3850   
732915,3910   
732916,4060   
732917,4120   
732918,4120   
732919,4110   
732920,3950   
732921,3850   
732922,3930   
732923,4000   
732924,4200   
732925,4410   
732926,4560   
732927,4780   
732928,5060   
732929,5230   
732930,5380   
732931,5530   
732932,5770   
732933,5900   
732934,5840   
732935,5600   
732936,5300   
732937,5000   
732938,4670   
732939,4330   
732940,3980   
732941,3640   
732942,3310   
732943,2980   
732944,2640   
732945,2290   
732946,2130   
732947,1930   
732948,1810   
732949,2050   
732950,2550   
732951,3110   
732952,3390   
732953,3640   
732954,3670   
732955,3580   
732956,3500   
732957,3720   
732958,3940   
732959,3990   
732960,4030   
732961,4060   
732962,4050   
732963,3970   
732964,3810   
732965,3600   
732966,3330   
732967,3040   
732968,2730   
732969,2410   
732970,2090   
732971,1810   
732972,1620   
732973,1490   
732974,1420   
732975,1360   
732976,1280   
732977,1230   
732978,1180   
732979,1130   
732980,1200   
732981,1180   
732982,1110   
732983,1040   
732984,970   
732985,923   
732986,986   
732987,1050   
732988,948   
732989,911   
732990,957   
732991,1090   
732992,1420   
732993,1880   
732994,2030   
732995,1950   
732996,1880   
732997,1910   
732998,1860   
732999,1830   
733000,1740   
733001,1600   
733002,1600   
733003,1610   
733004,1620   
733005,1790   
733006,1850   
733007,1950   
733008,2050   
733009,2060   
733010,1990   
733011,1850   
733012,1700   
733013,1580   
733014,1530   
733015,1520   
733016,1490   
733017,1440   
733018,1430   
733019,1430   
733020,1350   
733021,1250   
733022,1180   
733023,1160   
733024,1140   
733025,1090   
733026,1020   
733027,955   
733028,917   
733029,905   
733030,884   
733031,906   
733032,1190   
733033,1500   
733034,1650   
733035,1620   
733036,1520   
733037,1430   
733038,1370   
733039,1320   
733040,1200   
733041,1070   
733042,1010   
733043,977   
733044,933   
733045,882   
733046,838   
733047,809   
733048,767   
733049,717   
733050,693   
733051,673   
733052,633   
733053,611   
733054,587   
733055,550   
733056,523   
733057,501   
733058,458   
733059,435   
733060,474   
733061,457   
733062,421   
733063,404   
733064,521   
733065,626   
733066,512   
733067,452   
733068,416   
733069,392   
733070,336   
733071,301   
733072,313   
733073,495   
733074,703   
733075,547   
733076,452   
733077,408   
733078,473   
733079,418   
733080,363   
733081,376   
733082,378   
733083,321   
733084,288   
733085,265   
733086,242   
733087,223   
733088,219   
733089,195   
733090,196   
733091,207   
733092,216   
733093,218   
733094,208   
733095,195   
733096,188   
733097,225   
733098,242   
733099,257   
733100,260   
733101,269   
733102,246   
733103,234   
733104,246   
733105,253   
733106,266   
733107,268   
733108,248   
733109,210   
733110,207   
733111,208   
733112,231   
733113,233   
733114,231   
733115,220   
733116,220   
733117,216   
733118,223   
733119,228   
733120,244   
733121,270   
733122,245   
733123,211   
733124,223   
733125,207   
733126,208   
733127,198   
733128,213   
733129,215   
733130,196   
733131,187   
733132,186   
733133,179   
733134,181   
733135,188   
733136,173   
733137,171   
733138,181   
733139,185   
733140,190   
733141,207   
733142,220   
733143,205   
733144,184   
733145,180   
733146,189   
733147,185   
733148,195   
733149,221   
733150,250   
733151,279   
733152,304   
733153,274   
733154,233   
733155,204   
733156,289   
733157,277   
733158,229   
733159,193   
733160,179   
733161,177   
733162,195   
733163,227   
733164,234   
733165,207   
733166,196   
733167,202   
733168,195   
733169,197   
733170,207   
733171,199   
733172,177   
733173,189   
733174,199   
733175,208   
733176,213   
733177,224   
733178,222   
733179,201   
733180,200   
733181,200   
733182,205   
733183,205   
733184,229   
733185,239   
733186,208   
733187,193   
733188,185   
733189,189   
733190,208   
733191,214   
733192,203   
733193,202   
733194,199   
733195,214   
733196,337   
733197,465   
733198,439   
733199,354   
733200,319   
733201,266   
733202,227   
733203,227   
733204,229   
733205,217   
733206,203   
733207,191   
733208,182   
733209,199   
733210,210   
733211,207   
733212,210   
733213,216   
733214,223   
733215,220   
733216,205   
733217,199   
733218,205   
733219,218   
733220,209   
733221,202   
733222,195   
733223,200   
733224,240   
733225,245   
733226,259   
733227,425   
733228,455   
733229,480   
733230,593   
733231,520   
733232,531   
733233,464   
733234,403   
733235,539   
733236,1180   
733237,1450   
733238,1240   
733239,907   
733240,638   
733241,485   
733242,384   
733243,334   
733244,435   
733245,480   
733246,416   
733247,356   
733248,326   
733249,297   
733250,266   
733251,248   
733252,245   
733253,232   
733254,204   
733255,262   
733256,341   
733257,297   
733258,271   
733259,239   
733260,210   
733261,227   
733262,233   
733263,210   
733264,199   
733265,195   
733266,287   
733267,444   
733268,484   
733269,413   
733270,330   
733271,365   
733272,436   
733273,401   
733274,361   
733275,362   
733276,377   
733277,358   
733278,423   
733279,541   
733280,860   
733281,1760   
733282,2390   
733283,2800   
733284,2830   
733285,3060   
