; USGS 14148000 MF WILLAMETTE RIVER BLW N FORK  NR OAKRIDGE  OR.,,,,
day_index,Q_cfs,year,month,day
40177,7320,2010,1,1
40178,6410,2010,1,2
40179,5100,2010,1,3
40180,4530,2010,1,4
40181,6570,2010,1,5
40182,9630,2010,1,6
40183,9260,2010,1,7
40184,7930,2010,1,8
40185,7030,2010,1,9
40186,5710,2010,1,10
40187,4870,2010,1,11
40188,4690,2010,1,12
40189,4560,2010,1,13
40190,4370,2010,1,14
40191,4200,2010,1,15
40192,3980,2010,1,16
40193,3330,2010,1,17
40194,2850,2010,1,18
40195,2360,2010,1,19
40196,2410,2010,1,20
40197,3030,2010,1,21
40198,2920,2010,1,22
40199,2490,2010,1,23
40200,2510,2010,1,24
40201,2880,2010,1,25
40202,2890,2010,1,26
40203,2850,2010,1,27
40204,2610,2010,1,28
40205,2280,2010,1,29
40206,2040,2010,1,30
40207,1850,2010,1,31
40208,1820,2010,2,1
40209,1940,2010,2,2
40210,1890,2010,2,3
40211,1840,2010,2,4
40212,1780,2010,2,5
40213,1730,2010,2,6
40214,1700,2010,2,7
40215,1640,2010,2,8
40216,1580,2010,2,9
40217,1530,2010,2,10
40218,1580,2010,2,11
40219,1640,2010,2,12
40220,1660,2010,2,13
40221,1680,2010,2,14
40222,1770,2010,2,15
40223,1810,2010,2,16
40224,1790,2010,2,17
40225,1730,2010,2,18
40226,1670,2010,2,19
40227,1610,2010,2,20
40228,1550,2010,2,21
40229,1490,2010,2,22
40230,1440,2010,2,23
40231,1590,2010,2,24
40232,1780,2010,2,25
40233,1750,2010,2,26
40234,1730,2010,2,27
40235,1640,2010,2,28
40236,1580,2010,3,1
40237,1530,2010,3,2
40238,1530,2010,3,3
40239,1500,2010,3,4
40240,1440,2010,3,5
40241,1420,2010,3,6
40242,1390,2010,3,7
40243,1380,2010,3,8
40244,1340,2010,3,9
40245,1340,2010,3,10
40246,1350,2010,3,11
40247,1500,2010,3,12
40248,1590,2010,3,13
40249,1550,2010,3,14
40250,1530,2010,3,15
40251,1550,2010,3,16
40252,1550,2010,3,17
40253,1510,2010,3,18
40254,1470,2010,3,19
40255,1430,2010,3,20
40256,1430,2010,3,21
40257,1610,2010,3,22
40258,1550,2010,3,23
40259,1510,2010,3,24
40260,1590,2010,3,25
40261,1840,2010,3,26
40262,2040,2010,3,27
40263,2090,2010,3,28
40264,3570,2010,3,29
40265,5450,2010,3,30
40266,4400,2010,3,31
40267,3580,2010,4,1
40268,3320,2010,4,2
40269,3390,2010,4,3
40270,3090,2010,4,4
40271,2780,2010,4,5
40272,2560,2010,4,6
40273,2490,2010,4,7
40274,2680,2010,4,8
40275,2560,2010,4,9
40276,2420,2010,4,10
40277,2380,2010,4,11
40278,2370,2010,4,12
40279,2370,2010,4,13
40280,2440,2010,4,14
40281,2630,2010,4,15
40282,2580,2010,4,16
40283,2560,2010,4,17
40284,2550,2010,4,18
40285,2550,2010,4,19
40286,2610,2010,4,20
40287,3010,2010,4,21
40288,2800,2010,4,22
40289,2600,2010,4,23
40290,2440,2010,4,24
40291,2270,2010,4,25
40292,2170,2010,4,26
40293,2790,2010,4,27
40294,3280,2010,4,28
40295,3560,2010,4,29
40296,3670,2010,4,30
40297,3440,2010,5,1
40298,3300,2010,5,2
40299,3420,2010,5,3
40300,3890,2010,5,4
40301,3510,2010,5,5
40302,3120,2010,5,6
40303,2840,2010,5,7
40304,2620,2010,5,8
40305,2470,2010,5,9
40306,2710,2010,5,10
40307,2980,2010,5,11
40308,2860,2010,5,12
40309,2720,2010,5,13
40310,2620,2010,5,14
40311,2590,2010,5,15
40312,2640,2010,5,16
40313,2670,2010,5,17
40314,2850,2010,5,18
40315,2920,2010,5,19
40316,3480,2010,5,20
40317,3830,2010,5,21
40318,3930,2010,5,22
40319,3920,2010,5,23
40320,3810,2010,5,24
40321,3660,2010,5,25
40322,3700,2010,5,26
40323,3910,2010,5,27
40324,3900,2010,5,28
40325,3750,2010,5,29
40326,3610,2010,5,30
40327,3550,2010,5,31
40328,4330,2010,6,1
40329,9410,2010,6,2
40330,13400,2010,6,3
40331,14800,2010,6,4
40332,12500,2010,6,5
40333,10600,2010,6,6
40334,9160,2010,6,7
40335,8050,2010,6,8
40336,7160,2010,6,9
40337,6830,2010,6,10
40338,6810,2010,6,11
40339,6100,2010,6,12
40340,5150,2010,6,13
40341,4210,2010,6,14
40342,3710,2010,6,15
40343,3430,2010,6,16
40344,3120,2010,6,17
40345,2820,2010,6,18
40346,2700,2010,6,19
40347,2620,2010,6,20
40348,2530,2010,6,21
40349,2350,2010,6,22
40350,2150,2010,6,23
40351,2100,2010,6,24
40352,2060,2010,6,25
40353,1990,2010,6,26
40354,1920,2010,6,27
40355,1880,2010,6,28
40356,1850,2010,6,29
40357,1820,2010,6,30
40358,1770,2010,7,1
40359,1760,2010,7,2
40360,1740,2010,7,3
40361,1700,2010,7,4
40362,1670,2010,7,5
40363,1630,2010,7,6
40364,1620,2010,7,7
40365,1580,2010,7,8
40366,1550,2010,7,9
40367,1530,2010,7,10
40368,1520,2010,7,11
40369,1490,2010,7,12
40370,1490,2010,7,13
40371,1490,2010,7,14
40372,1460,2010,7,15
40373,1500,2010,7,16
40374,1770,2010,7,17
40375,1940,2010,7,18
40376,2080,2010,7,19
40377,2150,2010,7,20
40378,2130,2010,7,21
40379,2120,2010,7,22
40380,2140,2010,7,23
40381,2160,2010,7,24
40382,2130,2010,7,25
40383,2120,2010,7,26
40384,2110,2010,7,27
40385,2140,2010,7,28
40386,2120,2010,7,29
40387,2110,2010,7,30
40388,2100,2010,7,31
40389,2100,2010,8,1
40390,2350,2010,8,2
40391,2850,2010,8,3
40392,2930,2010,8,4
40393,2910,2010,8,5
40394,2890,2010,8,6
40395,2880,2010,8,7
40396,2870,2010,8,8
40397,2900,2010,8,9
40398,2890,2010,8,10
40399,2870,2010,8,11
40400,2860,2010,8,12
40401,2830,2010,8,13
40402,2850,2010,8,14
40403,2850,2010,8,15
40404,2830,2010,8,16
40405,2620,2010,8,17
40406,2120,2010,8,18
40407,2080,2010,8,19
40408,2090,2010,8,20
40409,2090,2010,8,21
40410,2110,2010,8,22
40411,2110,2010,8,23
40412,2100,2010,8,24
40413,2080,2010,8,25
40414,2070,2010,8,26
40415,2070,2010,8,27
40416,2080,2010,8,28
40417,2090,2010,8,29
40418,2150,2010,8,30
40419,2170,2010,8,31
40420,2130,2010,9,1
40421,2160,2010,9,2
40422,1950,2010,9,3
40423,1550,2010,9,4
40424,1220,2010,9,5
40425,1040,2010,9,6
40426,1050,2010,9,7
40427,1140,2010,9,8
40428,1200,2010,9,9
40429,1170,2010,9,10
40430,1100,2010,9,11
40431,1070,2010,9,12
40432,1060,2010,9,13
40433,1040,2010,9,14
40434,1040,2010,9,15
40435,1040,2010,9,16
40436,1050,2010,9,17
40437,1130,2010,9,18
40438,1450,2010,9,19
40439,1570,2010,9,20
40440,1300,2010,9,21
40441,1190,2010,9,22
40442,1150,2010,9,23
40443,1120,2010,9,24
40444,1100,2010,9,25
40445,1070,2010,9,26
40446,957,2010,9,27
40447,862,2010,9,28
40448,855,2010,9,29
40449,850,2010,9,30
40450,839,2010,10,1
40451,833,2010,10,2
40452,833,2010,10,3
40453,840,2010,10,4
40454,841,2010,10,5
40455,836,2010,10,6
40456,830,2010,10,7
40457,829,2010,10,8
40458,840,2010,10,9
40459,896,2010,10,10
40460,885,2010,10,11
40461,1150,2010,10,12
40462,1270,2010,10,13
40463,1260,2010,10,14
40464,1250,2010,10,15
40465,1250,2010,10,16
40466,1250,2010,10,17
40467,1240,2010,10,18
40468,1240,2010,10,19
40469,1230,2010,10,20
40470,1230,2010,10,21
40471,1240,2010,10,22
40472,1290,2010,10,23
40473,1970,2010,10,24
40474,2210,2010,10,25
40475,2320,2010,10,26
40476,1950,2010,10,27
40477,1800,2010,10,28
40478,1950,2010,10,29
40479,1850,2010,10,30
40480,1900,2010,10,31
40481,1930,2010,11,1
40482,1890,2010,11,2
40483,1860,2010,11,3
40484,1810,2010,11,4
40485,1740,2010,11,5
40486,1680,2010,11,6
40487,2310,2010,11,7
40488,2370,2010,11,8
40489,2260,2010,11,9
40490,2770,2010,11,10
