; USGS 14150000 MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER  OR,,,,
day_index,Q_cfs,year,month,day
40177,2700,2010,1,1
40178,4020,2010,1,2
40179,4280,2010,1,3
40180,4310,2010,1,4
40181,5690,2010,1,5
40182,7750,2010,1,6
40183,8540,2010,1,7
40184,9170,2010,1,8
40185,9840,2010,1,9
40186,9500,2010,1,10
40187,9390,2010,1,11
40188,8560,2010,1,12
40189,7230,2010,1,13
40190,5180,2010,1,14
40191,3160,2010,1,15
40192,1930,2010,1,16
40193,1360,2010,1,17
40194,1480,2010,1,18
40195,1520,2010,1,19
40196,2070,2010,1,20
40197,3110,2010,1,21
40198,3050,2010,1,22
40199,3190,2010,1,23
40200,2780,2010,1,24
40201,2950,2010,1,25
40202,2960,2010,1,26
40203,2920,2010,1,27
40204,2640,2010,1,28
40205,2300,2010,1,29
40206,1930,2010,1,30
40207,1690,2010,1,31
40208,1680,2010,2,1
40209,1670,2010,2,2
40210,1700,2010,2,3
40211,1800,2010,2,4
40212,1550,2010,2,5
40213,1360,2010,2,6
40214,1360,2010,2,7
40215,1240,2010,2,8
40216,1260,2010,2,9
40217,1270,2010,2,10
40218,1280,2010,2,11
40219,1300,2010,2,12
40220,1310,2010,2,13
40221,1310,2010,2,14
40222,1290,2010,2,15
40223,1330,2010,2,16
40224,1310,2010,2,17
40225,1340,2010,2,18
40226,1350,2010,2,19
40227,1320,2010,2,20
40228,1330,2010,2,21
40229,1300,2010,2,22
40230,1300,2010,2,23
40231,1340,2010,2,24
40232,1340,2010,2,25
40233,1300,2010,2,26
40234,1270,2010,2,27
40235,1270,2010,2,28
40236,1290,2010,3,1
40237,1210,2010,3,2
40238,1070,2010,3,3
40239,1070,2010,3,4
40240,1070,2010,3,5
40241,1070,2010,3,6
40242,1070,2010,3,7
40243,1090,2010,3,8
40244,1080,2010,3,9
40245,1070,2010,3,10
40246,1160,2010,3,11
40247,1280,2010,3,12
40248,1270,2010,3,13
40249,1300,2010,3,14
40250,1350,2010,3,15
40251,1290,2010,3,16
40252,1300,2010,3,17
40253,1310,2010,3,18
40254,1290,2010,3,19
40255,1310,2010,3,20
40256,1290,2010,3,21
40257,1270,2010,3,22
40258,1320,2010,3,23
40259,1290,2010,3,24
40260,1290,2010,3,25
40261,1320,2010,3,26
40262,1310,2010,3,27
40263,1270,2010,3,28
40264,1320,2010,3,29
40265,1360,2010,3,30
40266,1310,2010,3,31
40267,1310,2010,4,1
40268,1310,2010,4,2
40269,1350,2010,4,3
40270,1360,2010,4,4
40271,1290,2010,4,5
40272,1250,2010,4,6
40273,1280,2010,4,7
40274,1260,2010,4,8
40275,1240,2010,4,9
40276,1300,2010,4,10
40277,1310,2010,4,11
40278,1310,2010,4,12
40279,1330,2010,4,13
40280,1280,2010,4,14
40281,1270,2010,4,15
40282,1340,2010,4,16
40283,1240,2010,4,17
40284,1220,2010,4,18
40285,1250,2010,4,19
40286,1260,2010,4,20
40287,1400,2010,4,21
40288,1370,2010,4,22
40289,1240,2010,4,23
40290,1260,2010,4,24
40291,1270,2010,4,25
40292,1270,2010,4,26
40293,1350,2010,4,27
40294,1410,2010,4,28
40295,1350,2010,4,29
40296,1300,2010,4,30
40297,1250,2010,5,1
40298,1270,2010,5,2
40299,1320,2010,5,3
40300,1790,2010,5,4
40301,2330,2010,5,5
40302,2380,2010,5,6
40303,2170,2010,5,7
40304,1760,2010,5,8
40305,1490,2010,5,9
40306,1480,2010,5,10
40307,1740,2010,5,11
40308,2870,2010,5,12
40309,2940,2010,5,13
40310,2970,2010,5,14
40311,2890,2010,5,15
40312,2950,2010,5,16
40313,2920,2010,5,17
40314,3080,2010,5,18
40315,2880,2010,5,19
40316,3140,2010,5,20
40317,2930,2010,5,21
40318,3030,2010,5,22
40319,3040,2010,5,23
40320,3040,2010,5,24
40321,4020,2010,5,25
40322,4160,2010,5,26
40323,4200,2010,5,27
40324,4210,2010,5,28
40325,4140,2010,5,29
40326,4180,2010,5,30
40327,4170,2010,5,31
40328,5290,2010,6,1
40329,10400,2010,6,2
40330,11600,2010,6,3
40331,11900,2010,6,4
40332,12500,2010,6,5
40333,13600,2010,6,6
40334,13900,2010,6,7
40335,13800,2010,6,8
40336,13800,2010,6,9
40337,11400,2010,6,10
40338,8280,2010,6,11
40339,6380,2010,6,12
40340,5320,2010,6,13
40341,4750,2010,6,14
40342,4750,2010,6,15
40343,4400,2010,6,16
40344,4060,2010,6,17
40345,4080,2010,6,18
40346,4120,2010,6,19
40347,4000,2010,6,20
40348,4010,2010,6,21
40349,3520,2010,6,22
40350,3210,2010,6,23
40351,3190,2010,6,24
40352,3070,2010,6,25
40353,3160,2010,6,26
40354,3260,2010,6,27
40355,3100,2010,6,28
40356,3220,2010,6,29
40357,3030,2010,6,30
40358,3130,2010,7,1
40359,3090,2010,7,2
40360,3190,2010,7,3
40361,3100,2010,7,4
40362,2970,2010,7,5
40363,2950,2010,7,6
40364,2980,2010,7,7
40365,3050,2010,7,8
40366,3010,2010,7,9
40367,2980,2010,7,10
40368,2950,2010,7,11
40369,3060,2010,7,12
40370,2980,2010,7,13
40371,2860,2010,7,14
40372,2780,2010,7,15
40373,2740,2010,7,16
40374,2730,2010,7,17
40375,2720,2010,7,18
40376,2730,2010,7,19
40377,2700,2010,7,20
40378,2730,2010,7,21
40379,2760,2010,7,22
40380,2530,2010,7,23
40381,2510,2010,7,24
40382,2510,2010,7,25
40383,2480,2010,7,26
40384,2360,2010,7,27
40385,2100,2010,7,28
40386,1900,2010,7,29
40387,1880,2010,7,30
40388,1920,2010,7,31
40389,1960,2010,8,1
40390,2080,2010,8,2
40391,2540,2010,8,3
40392,2470,2010,8,4
40393,2510,2010,8,5
40394,2530,2010,8,6
40395,2550,2010,8,7
40396,2590,2010,8,8
40397,2570,2010,8,9
40398,2600,2010,8,10
40399,2580,2010,8,11
40400,2610,2010,8,12
40401,2540,2010,8,13
40402,2610,2010,8,14
40403,2530,2010,8,15
40404,2600,2010,8,16
40405,2470,2010,8,17
40406,1810,2010,8,18
40407,1730,2010,8,19
40408,1650,2010,8,20
40409,1610,2010,8,21
40410,1620,2010,8,22
40411,1590,2010,8,23
40412,1920,2010,8,24
40413,2010,2010,8,25
40414,1890,2010,8,26
40415,1920,2010,8,27
40416,1930,2010,8,28
40417,1920,2010,8,29
40418,1980,2010,8,30
40419,1980,2010,8,31
40420,1980,2010,9,1
40421,1920,2010,9,2
40422,1890,2010,9,3
40423,1880,2010,9,4
40424,1870,2010,9,5
40425,1870,2010,9,6
40426,1840,2010,9,7
40427,1890,2010,9,8
40428,1870,2010,9,9
40429,1850,2010,9,10
40430,1850,2010,9,11
40431,1830,2010,9,12
40432,1830,2010,9,13
40433,1840,2010,9,14
40434,1850,2010,9,15
40435,1840,2010,9,16
40436,1850,2010,9,17
40437,1850,2010,9,18
40438,1870,2010,9,19
40439,1740,2010,9,20
40440,1690,2010,9,21
40441,1590,2010,9,22
40442,1530,2010,9,23
40443,1540,2010,9,24
40444,1530,2010,9,25
40445,1530,2010,9,26
40446,1530,2010,9,27
40447,1530,2010,9,28
40448,1540,2010,9,29
40449,1480,2010,9,30
40450,1400,2010,10,1
40451,1400,2010,10,2
40452,1390,2010,10,3
40453,1400,2010,10,4
40454,1440,2010,10,5
40455,1440,2010,10,6
40456,1430,2010,10,7
40457,1400,2010,10,8
40458,1380,2010,10,9
40459,1390,2010,10,10
40460,1390,2010,10,11
40461,1370,2010,10,12
40462,1380,2010,10,13
40463,1360,2010,10,14
40464,1350,2010,10,15
40465,1380,2010,10,16
40466,1360,2010,10,17
40467,1360,2010,10,18
40468,1370,2010,10,19
40469,1370,2010,10,20
40470,1350,2010,10,21
40471,1350,2010,10,22
40472,1310,2010,10,23
40473,1330,2010,10,24
40474,1320,2010,10,25
40475,1330,2010,10,26
40476,1330,2010,10,27
40477,1330,2010,10,28
40478,1300,2010,10,29
40479,1320,2010,10,30
40480,1330,2010,10,31
40481,1350,2010,11,1
40482,1390,2010,11,2
40483,1420,2010,11,3
40484,1410,2010,11,4
40485,1410,2010,11,5
40486,1390,2010,11,6
40487,1370,2010,11,7
40488,1430,2010,11,8
40489,2470,2010,11,9
40490,2030,2010,11,10
40491,2420,2010,11,11
40492,2380,2010,11,12
40493,2450,2010,11,13
40494,2450,2010,11,14
40495,2420,2010,11,15
40496,2470,2010,11,16
40497,2440,2010,11,17
40498,2560,2010,11,18
40499,2550,2010,11,19
40500,2410,2010,11,20
40501,2480,2010,11,21
40502,2570,2010,11,22
40503,2580,2010,11,23
40504,3480,2010,11,24
40505,3930,2010,11,25
40506,3980,2010,11,26
40507,4030,2010,11,27
40508,4030,2010,11,28
40509,3980,2010,11,29
40510,4000,2010,11,30
40511,5070,2010,12,1
40512,7890,2010,12,2
40513,9430,2010,12,3
40514,9400,2010,12,4
40515,8340,2010,12,5
40516,6400,2010,12,6
40517,5390,2010,12,7
40518,5370,2010,12,8
40519,5300,2010,12,9
40520,5370,2010,12,10
40521,3080,2010,12,11
40522,2410,2010,12,12
40523,2510,2010,12,13
40524,2410,2010,12,14
40525,3870,2010,12,15
40526,8370,2010,12,16
40527,11600,2010,12,17
40528,11600,2010,12,18
40529,11900,2010,12,19
40530,12000,2010,12,20
40531,12100,2010,12,21
40532,12200,2010,12,22
40533,12000,2010,12,23
40534,10900,2010,12,24
40535,8770,2010,12,25
40536,6350,2010,12,26
40537,4640,2010,12,27
40538,4470,2010,12,28
40539,4600,2010,12,29
40540,4590,2010,12,30
40541,6320,2010,12,31
40542,7830,2011,1,1
40543,7860,2011,1,2
40544,7070,2011,1,3
40545,5180,2011,1,4
40546,2900,2011,1,5
40547,1810,2011,1,6
40548,1400,2011,1,7
40549,1470,2011,1,8
40550,1420,2011,1,9
40551,1750,2011,1,10
40552,4110,2011,1,11
40553,4570,2011,1,12
40554,4570,2011,1,13
40555,4570,2011,1,14
40556,4570,2011,1,15
40557,4600,2011,1,16
40558,4590,2011,1,17
40559,4590,2011,1,18
40560,6520,2011,1,19
40561,10400,2011,1,20
40562,12100,2011,1,21
40563,12200,2011,1,22
40564,12200,2011,1,23
40565,12200,2011,1,24
