; USGS 14150800 WINBERRY CREEK NEAR LOWELL OR,,,,
day_index,Q_cfs,year,month,day
40177,579,2010,1,1
40178,381,2010,1,2
40179,245,2010,1,3
40180,178,2010,1,4
40181,151,2010,1,5
40182,448,2010,1,6
40183,384,2010,1,7
40184,274,2010,1,8
40185,216,2010,1,9
40186,170,2010,1,10
40187,141,2010,1,11
40188,122,2010,1,12
40189,107,2010,1,13
40190,91.9,2010,1,14
40191,82.2,2010,1,15
40192,115,2010,1,16
40193,121,2010,1,17
40194,116,2010,1,18
40195,103,2010,1,19
40196,88.8,2010,1,20
40197,77.7,2010,1,21
40198,71.2,2010,1,22
40199,64,2010,1,23
40200,81.3,2010,1,24
40201,127,2010,1,25
40202,134,2010,1,26
40203,135,2010,1,27
40204,118,2010,1,28
40205,100,2010,1,29
40206,89.7,2010,1,30
40207,82.6,2010,1,31
40208,89.6,2010,2,1
40209,114,2010,2,2
40210,104,2010,2,3
40211,95.2,2010,2,4
40212,86.2,2010,2,5
40213,78.5,2010,2,6
40214,82.8,2010,2,7
40215,80.8,2010,2,8
40216,76.2,2010,2,9
40217,71,2010,2,10
40218,72.2,2010,2,11
40219,72.6,2010,2,12
40220,70.8,2010,2,13
40221,73.3,2010,2,14
40222,78.9,2010,2,15
40223,87.8,2010,2,16
40224,84.7,2010,2,17
40225,78.8,2010,2,18
40226,70.3,2010,2,19
40227,61.8,2010,2,20
40228,54.2,2010,2,21
40229,48,2010,2,22
40230,46.2,2010,2,23
40231,78,2010,2,24
40232,130,2010,2,25
40233,114,2010,2,26
40234,98.5,2010,2,27
40235,82.1,2010,2,28
40236,70.9,2010,3,1
40237,63.5,2010,3,2
40238,64.1,2010,3,3
40239,67.8,2010,3,4
40240,63,2010,3,5
40241,57.3,2010,3,6
40242,52.5,2010,3,7
40243,62.2,2010,3,8
40244,56.5,2010,3,9
40245,57.6,2010,3,10
40246,68.1,2010,3,11
40247,118,2010,3,12
40248,167,2010,3,13
40249,151,2010,3,14
40250,132,2010,3,15
40251,124,2010,3,16
40252,108,2010,3,17
40253,91.7,2010,3,18
40254,79.5,2010,3,19
40255,69.9,2010,3,20
40256,69,2010,3,21
40257,94.1,2010,3,22
40258,89.9,2010,3,23
40259,81.9,2010,3,24
40260,90.4,2010,3,25
40261,118,2010,3,26
40262,167,2010,3,27
40263,157,2010,3,28
40264,308,2010,3,29
40265,530,2010,3,30
40266,423,2010,3,31
40267,313,2010,4,1
40268,300,2010,4,2
40269,324,2010,4,3
40270,267,2010,4,4
40271,206,2010,4,5
40272,174,2010,4,6
40273,187,2010,4,7
40274,213,2010,4,8
40275,188,2010,4,9
40276,165,2010,4,10
40277,161,2010,4,11
40278,169,2010,4,12
40279,172,2010,4,13
40280,178,2010,4,14
40281,218,2010,4,15
40282,192,2010,4,16
40283,167,2010,4,17
40284,146,2010,4,18
40285,130,2010,4,19
40286,144,2010,4,20
40287,327,2010,4,21
40288,274,2010,4,22
40289,211,2010,4,23
40290,174,2010,4,24
40291,143,2010,4,25
40292,123,2010,4,26
40293,183,2010,4,27
40294,275,2010,4,28
40295,351,2010,4,29
40296,389,2010,4,30
40297,335,2010,5,1
40298,294,2010,5,2
40299,298,2010,5,3
40300,330,2010,5,4
40301,267,2010,5,5
40302,209,2010,5,6
40303,170,2010,5,7
40304,142,2010,5,8
40305,122,2010,5,9
40306,127,2010,5,10
40307,185,2010,5,11
40308,164,2010,5,12
40309,143,2010,5,13
40310,123,2010,5,14
40311,109,2010,5,15
40312,97.3,2010,5,16
40313,91,2010,5,17
40314,97.4,2010,5,18
40315,97.2,2010,5,19
40316,134,2010,5,20
40317,153,2010,5,21
40318,201,2010,5,22
40319,291,2010,5,23
40320,266,2010,5,24
40321,213,2010,5,25
40322,224,2010,5,26
40323,274,2010,5,27
40324,249,2010,5,28
40325,196,2010,5,29
40326,157,2010,5,30
40327,142,2010,5,31
40328,131,2010,6,1
40329,377,2010,6,2
40330,738,2010,6,3
40331,1020,2010,6,4
40332,687,2010,6,5
40333,423,2010,6,6
40334,303,2010,6,7
40335,223,2010,6,8
40336,200,2010,6,9
40337,378,2010,6,10
40338,572,2010,6,11
40339,372,2010,6,12
40340,253,2010,6,13
40341,185,2010,6,14
40342,144,2010,6,15
40343,122,2010,6,16
40344,107,2010,6,17
40345,91,2010,6,18
40346,79.6,2010,6,19
40347,80.3,2010,6,20
40348,70.8,2010,6,21
40349,62.5,2010,6,22
40350,56.4,2010,6,23
40351,51.2,2010,6,24
40352,46.9,2010,6,25
40353,43.3,2010,6,26
40354,39.7,2010,6,27
40355,37,2010,6,28
40356,35.1,2010,6,29
40357,33.5,2010,6,30
40358,31,2010,7,1
40359,34.5,2010,7,2
40360,31.5,2010,7,3
40361,28.1,2010,7,4
40362,26.2,2010,7,5
40363,24.8,2010,7,6
40364,23,2010,7,7
40365,21.4,2010,7,8
40366,20.3,2010,7,9
40367,18.9,2010,7,10
40368,18.1,2010,7,11
40369,17.7,2010,7,12
40370,17.3,2010,7,13
40371,16.4,2010,7,14
40372,15.6,2010,7,15
40373,14.9,2010,7,16
40374,14.3,2010,7,17
40375,13.8,2010,7,18
40376,13.5,2010,7,19
40377,13.2,2010,7,20
40378,12.9,2010,7,21
40379,12.5,2010,7,22
40380,11.9,2010,7,23
40381,11.6,2010,7,24
40382,11,2010,7,25
40383,10.5,2010,7,26
40384,10.1,2010,7,27
40385,9.8,2010,7,28
40386,9.54,2010,7,29
40387,9.32,2010,7,30
40388,9.05,2010,7,31
40389,9.08,2010,8,1
40390,8.87,2010,8,2
40391,8.63,2010,8,3
40392,8.4,2010,8,4
40393,8.26,2010,8,5
40394,8.05,2010,8,6
40395,7.77,2010,8,7
40396,7.66,2010,8,8
40397,7.7,2010,8,9
40398,7.6,2010,8,10
40399,7.41,2010,8,11
40400,7.16,2010,8,12
40401,6.87,2010,8,13
40402,6.62,2010,8,14
40403,6.2,2010,8,15
40404,6.08,2010,8,16
40405,6.14,2010,8,17
40406,6.84,2010,8,18
40407,6.6,2010,8,19
40408,6.17,2010,8,20
40409,5.99,2010,8,21
40410,5.8,2010,8,22
40411,5.74,2010,8,23
40412,5.66,2010,8,24
40413,5.39,2010,8,25
40414,5.23,2010,8,26
40415,5.19,2010,8,27
40416,5.23,2010,8,28
40417,5.24,2010,8,29
40418,8.45,2010,8,30
40419,10.5,2010,8,31
40420,8.14,2010,9,1
40421,10.1,2010,9,2
40422,7.22,2010,9,3
40423,6.18,2010,9,4
40424,5.76,2010,9,5
40425,5.47,2010,9,6
40426,5.86,2010,9,7
40427,11.3,2010,9,8
40428,31.5,2010,9,9
40429,15.3,2010,9,10
40430,9.16,2010,9,11
40431,7.55,2010,9,12
40432,6.85,2010,9,13
40433,6.44,2010,9,14
40434,6.17,2010,9,15
40435,6,2010,9,16
40436,6.15,2010,9,17
40437,12.8,2010,9,18
40438,80.8,2010,9,19
40439,58.4,2010,9,20
40440,32.8,2010,9,21
40441,19.6,2010,9,22
40442,14.3,2010,9,23
40443,12.2,2010,9,24
40444,10.3,2010,9,25
40445,9.01,2010,9,26
40446,7.97,2010,9,27
40447,7.49,2010,9,28
40448,7.29,2010,9,29
40449,7.06,2010,9,30
40450,6.36,2010,10,1
40451,6.14,2010,10,2
40452,6.13,2010,10,3
40453,6.27,2010,10,4
40454,6.05,2010,10,5
40455,5.97,2010,10,6
40456,5.77,2010,10,7
40457,5.65,2010,10,8
40458,6.42,2010,10,9
40459,10.8,2010,10,10
40460,14.9,2010,10,11
40461,9.15,2010,10,12
40462,7.53,2010,10,13
40463,6.41,2010,10,14
40464,6,2010,10,15
40465,5.81,2010,10,16
40466,5.74,2010,10,17
40467,5.69,2010,10,18
40468,5.5,2010,10,19
40469,5.3,2010,10,20
40470,5.14,2010,10,21
40471,6.19,2010,10,22
40472,10.6,2010,10,23
40473,84.8,2010,10,24
40474,71.4,2010,10,25
40475,152,2010,10,26
40476,90.1,2010,10,27
40477,66.4,2010,10,28
40478,90.2,2010,10,29
40479,64.6,2010,10,30
40480,54.9,2010,10,31
40481,43.4,2010,11,1
40482,34.6,2010,11,2
40483,29.1,2010,11,3
40484,24.5,2010,11,4
40485,21.6,2010,11,5
40486,19.4,2010,11,6
40487,144,2010,11,7
40488,139,2010,11,8
40489,120,2010,11,9
40490,247,2010,11,10
40491,168,2010,11,11
40492,116,2010,11,12
40493,90.2,2010,11,13
40494,107,2010,11,14
40495,141,2010,11,15
40496,213,2010,11,16
40497,168,2010,11,17
40498,337,2010,11,18
40499,256,2010,11,19
40500,176,2010,11,20
40501,135,2010,11,21
40502,132,2010,11,22
40503,163,2010,11,23
40504,114,2010,11,24
40505,90.3,2010,11,25
40506,104,2010,11,26
40507,206,2010,11,27
40508,213,2010,11,28
40509,178,2010,11,29
40510,192,2010,11,30
40511,384,2010,12,1
40512,510,2010,12,2
40513,396,2010,12,3
40514,259,2010,12,4
40515,202,2010,12,5
40516,214,2010,12,6
40517,209,2010,12,7
40518,198,2010,12,8
40519,187,2010,12,9
40520,369,2010,12,10
40521,470,2010,12,11
40522,540,2010,12,12
40523,777,2010,12,13
40524,838,2010,12,14
40525,587,2010,12,15
40526,369,2010,12,16
40527,255,2010,12,17
40528,227,2010,12,18
40529,226,2010,12,19
40530,217,2010,12,20
40531,181,2010,12,21
40532,154,2010,12,22
40533,130,2010,12,23
40534,112,2010,12,24
40535,107,2010,12,25
40536,122,2010,12,26
40537,135,2010,12,27
40538,324,2010,12,28
40539,881,2010,12,29
40540,427,2010,12,30
40541,274,2010,12,31
40542,205,2011,1,1
40543,172,2011,1,2
40544,144,2011,1,3
40545,125,2011,1,4
40546,114,2011,1,5
40547,113,2011,1,6
40548,118,2011,1,7
40549,173,2011,1,8
40550,162,2011,1,9
40551,137,2011,1,10
40552,120,2011,1,11
40553,110,2011,1,12
40554,217,2011,1,13
40555,397,2011,1,14
40556,403,2011,1,15
40557,2510,2011,1,16
40558,1380,2011,1,17
40559,665,2011,1,18
40560,788,2011,1,19
