; USGS 14151000 FALL CREEK BLW WINBERRY CREEK  NEAR FALL CREEK  OR,,,,
day_index,Q_cfs,year,month,day
40177,1120,2010,1,1
40178,1240,2010,1,2
40179,1320,2010,1,3
40180,1840,2010,1,4
40181,1820,2010,1,5
40182,2000,2010,1,6
40183,2160,2010,1,7
40184,2090,2010,1,8
40185,1730,2010,1,9
40186,1110,2010,1,10
40187,756,2010,1,11
40188,571,2010,1,12
40189,409,2010,1,13
40190,378,2010,1,14
40191,379,2010,1,15
40192,474,2010,1,16
40193,712,2010,1,17
40194,774,2010,1,18
40195,768,2010,1,19
40196,663,2010,1,20
40197,402,2010,1,21
40198,236,2010,1,22
40199,156,2010,1,23
40200,121,2010,1,24
40201,125,2010,1,25
40202,129,2010,1,26
40203,132,2010,1,27
40204,134,2010,1,28
40205,136,2010,1,29
40206,138,2010,1,30
40207,140,2010,1,31
40208,142,2010,2,1
40209,142,2010,2,2
40210,100,2010,2,3
40211,57.4,2010,2,4
40212,53.1,2010,2,5
40213,53.4,2010,2,6
40214,53.5,2010,2,7
40215,53.4,2010,2,8
40216,53.4,2010,2,9
40217,53.4,2010,2,10
40218,53.5,2010,2,11
40219,55.7,2010,2,12
40220,57.8,2010,2,13
40221,58.5,2010,2,14
40222,58.4,2010,2,15
40223,60,2010,2,16
40224,60,2010,2,17
40225,59.6,2010,2,18
40226,59.7,2010,2,19
40227,58.2,2010,2,20
40228,57.8,2010,2,21
40229,57.9,2010,2,22
40230,58.6,2010,2,23
40231,60.2,2010,2,24
40232,61.4,2010,2,25
40233,62,2010,2,26
40234,60,2010,2,27
40235,60,2010,2,28
40236,60,2010,3,1
40237,60,2010,3,2
40238,65,2010,3,3
40239,63.6,2010,3,4
40240,62.9,2010,3,5
40241,63,2010,3,6
40242,63.5,2010,3,7
40243,64.5,2010,3,8
40244,64.5,2010,3,9
40245,64.5,2010,3,10
40246,64.6,2010,3,11
40247,67.5,2010,3,12
40248,63.4,2010,3,13
40249,62.8,2010,3,14
40250,62.8,2010,3,15
40251,63.7,2010,3,16
40252,61.3,2010,3,17
40253,61.7,2010,3,18
40254,61.2,2010,3,19
40255,61.2,2010,3,20
40256,62.1,2010,3,21
40257,62.7,2010,3,22
40258,61.7,2010,3,23
40259,62.2,2010,3,24
40260,63.6,2010,3,25
40261,64.8,2010,3,26
40262,65.5,2010,3,27
40263,65.9,2010,3,28
40264,86.2,2010,3,29
40265,88.8,2010,3,30
40266,81.6,2010,3,31
40267,85.4,2010,4,1
40268,90.9,2010,4,2
40269,85.2,2010,4,3
40270,82.1,2010,4,4
40271,82.3,2010,4,5
40272,70.2,2010,4,6
40273,76.3,2010,4,7
40274,80.1,2010,4,8
40275,81,2010,4,9
40276,81.2,2010,4,10
40277,86.5,2010,4,11
40278,84.5,2010,4,12
40279,83,2010,4,13
40280,83.4,2010,4,14
40281,84,2010,4,15
40282,83,2010,4,16
40283,83,2010,4,17
40284,83,2010,4,18
40285,82.9,2010,4,19
40286,84,2010,4,20
40287,90.2,2010,4,21
40288,82.5,2010,4,22
40289,81.3,2010,4,23
40290,81.1,2010,4,24
40291,81.1,2010,4,25
40292,81.4,2010,4,26
40293,278,2010,4,27
40294,573,2010,4,28
40295,1550,2010,4,29
40296,1630,2010,4,30
40297,1620,2010,5,1
40298,1570,2010,5,2
40299,1310,2010,5,3
40300,1170,2010,5,4
40301,1050,2010,5,5
40302,722,2010,5,6
40303,545,2010,5,7
40304,521,2010,5,8
40305,425,2010,5,9
40306,386,2010,5,10
40307,388,2010,5,11
40308,606,2010,5,12
40309,618,2010,5,13
40310,562,2010,5,14
