; USGS 14152000 MIDDLE FORK WILLAMETTE RIVER AT JASPER  OR,,,,
day_index,Q_cfs,year,month,day
40177,6350,2010,1,1
40178,7100,2010,1,2
40179,6920,2010,1,3
40180,7220,2010,1,4
40181,8550,2010,1,5
40182,11400,2010,1,6
40183,12300,2010,1,7
40184,12600,2010,1,8
40185,12900,2010,1,9
40186,11700,2010,1,10
40187,11100,2010,1,11
40188,10200,2010,1,12
40189,8760,2010,1,13
40190,6750,2010,1,14
40191,4560,2010,1,15
40192,3410,2010,1,16
40193,3030,2010,1,17
40194,3150,2010,1,18
40195,3060,2010,1,19
40196,3410,2010,1,20
40197,4330,2010,1,21
40198,4100,2010,1,22
40199,4130,2010,1,23
40200,3620,2010,1,24
40201,3940,2010,1,25
40202,3960,2010,1,26
40203,3900,2010,1,27
40204,3530,2010,1,28
40205,3060,2010,1,29
40206,2630,2010,1,30
40207,2330,2010,1,31
40208,2370,2010,2,1
40209,2470,2010,2,2
40210,2410,2010,2,3
40211,2450,2010,2,4
40212,2190,2010,2,5
40213,1900,2010,2,6
40214,1900,2010,2,7
40215,1760,2010,2,8
40216,1730,2010,2,9
40217,1730,2010,2,10
40218,1740,2010,2,11
40219,1810,2010,2,12
40220,1830,2010,2,13
40221,1840,2010,2,14
40222,1840,2010,2,15
40223,1930,2010,2,16
40224,1880,2010,2,17
40225,1880,2010,2,18
40226,1850,2010,2,19
40227,1790,2010,2,20
40228,1750,2010,2,21
40229,1720,2010,2,22
40230,1700,2010,2,23
40231,1820,2010,2,24
40232,1950,2010,2,25
40233,1890,2010,2,26
40234,1840,2010,2,27
40235,1790,2010,2,28
40236,1780,2010,3,1
40237,1680,2010,3,2
40238,1530,2010,3,3
40239,1530,2010,3,4
40240,1510,2010,3,5
40241,1480,2010,3,6
40242,1460,2010,3,7
40243,1510,2010,3,8
40244,1480,2010,3,9
40245,1480,2010,3,10
40246,1560,2010,3,11
40247,1980,2010,3,12
40248,2210,2010,3,13
40249,2080,2010,3,14
40250,2030,2010,3,15
40251,1900,2010,3,16
40252,1850,2010,3,17
40253,1810,2010,3,18
40254,1750,2010,3,19
40255,1740,2010,3,20
40256,1720,2010,3,21
40257,1740,2010,3,22
40258,1750,2010,3,23
40259,1710,2010,3,24
40260,1740,2010,3,25
40261,2010,2010,3,26
40262,2170,2010,3,27
40263,2020,2010,3,28
40264,3030,2010,3,29
40265,3970,2010,3,30
40266,3310,2010,3,31
40267,2740,2010,4,1
40268,2770,2010,4,2
40269,2980,2010,4,3
40270,2730,2010,4,4
40271,2480,2010,4,5
40272,2400,2010,4,6
40273,2370,2010,4,7
40274,2350,2010,4,8
40275,2230,2010,4,9
40276,2170,2010,4,10
40277,2270,2010,4,11
40278,2220,2010,4,12
40279,2220,2010,4,13
40280,2110,2010,4,14
40281,2170,2010,4,15
40282,2150,2010,4,16
40283,1970,2010,4,17
40284,1890,2010,4,18
40285,1850,2010,4,19
40286,1890,2010,4,20
40287,2220,2010,4,21
40288,2100,2010,4,22
40289,1880,2010,4,23
40290,1840,2010,4,24
40291,1800,2010,4,25
40292,1780,2010,4,26
40293,2660,2010,4,27
40294,3310,2010,4,28
40295,4220,2010,4,29
40296,4140,2010,4,30
40297,3880,2010,5,1
40298,3660,2010,5,2
40299,3440,2010,5,3
40300,3700,2010,5,4
40301,4170,2010,5,5
40302,3830,2010,5,6
40303,3350,2010,5,7
40304,2830,2010,5,8
40305,2400,2010,5,9
40306,2340,2010,5,10
40307,2620,2010,5,11
40308,4000,2010,5,12
40309,4140,2010,5,13
40310,4120,2010,5,14
40311,3840,2010,5,15
40312,3750,2010,5,16
40313,3660,2010,5,17
40314,3820,2010,5,18
40315,3690,2010,5,19
40316,4490,2010,5,20
40317,4500,2010,5,21
40318,4810,2010,5,22
40319,4980,2010,5,23
40320,4960,2010,5,24
40321,5740,2010,5,25
40322,5980,2010,5,26
40323,6100,2010,5,27
40324,6120,2010,5,28
40325,5870,2010,5,29
40326,5520,2010,5,30
40327,5490,2010,5,31
40328,6480,2010,6,1
40329,13000,2010,6,2
40330,17700,2010,6,3
40331,19500,2010,6,4
40332,18800,2010,6,5
40333,17900,2010,6,6
40334,17000,2010,6,7
40335,16200,2010,6,8
40336,16200,2010,6,9
40337,14000,2010,6,10
40338,11300,2010,6,11
40339,9290,2010,6,12
40340,7750,2010,6,13
40341,6830,2010,6,14
40342,6560,2010,6,15
40343,5990,2010,6,16
