; USGS 14154500 ROW RIVER ABOVE PITCHER CREEK  NEAR DORENA  OR,,,,
day_index,Q_cfs,year,month,day
40177,4680,2010,1,1
40178,2150,2010,1,2
40179,1240,2010,1,3
40180,863,2010,1,4
40181,705,2010,1,5
40182,1930,2010,1,6
40183,1800,2010,1,7
40184,1210,2010,1,8
40185,977,2010,1,9
40186,768,2010,1,10
40187,630,2010,1,11
40188,568,2010,1,12
40189,596,2010,1,13
40190,660,2010,1,14
40191,547,2010,1,15
40192,656,2010,1,16
40193,746,2010,1,17
40194,687,2010,1,18
40195,573,2010,1,19
40196,472,2010,1,20
40197,402,2010,1,21
40198,354,2010,1,22
40199,308,2010,1,23
40200,354,2010,1,24
40201,802,2010,1,25
40202,780,2010,1,26
40203,776,2010,1,27
40204,628,2010,1,28
40205,514,2010,1,29
40206,442,2010,1,30
40207,418,2010,1,31
40208,424,2010,2,1
40209,526,2010,2,2
40210,480,2010,2,3
40211,430,2010,2,4
40212,408,2010,2,5
40213,366,2010,2,6
40214,347,2010,2,7
40215,333,2010,2,8
40216,320,2010,2,9
40217,298,2010,2,10
40218,297,2010,2,11
40219,408,2010,2,12
40220,516,2010,2,13
40221,466,2010,2,14
40222,550,2010,2,15
40223,517,2010,2,16
40224,458,2010,2,17
40225,403,2010,2,18
40226,348,2010,2,19
40227,304,2010,2,20
40228,268,2010,2,21
40229,237,2010,2,22
40230,216,2010,2,23
40231,303,2010,2,24
40232,512,2010,2,25
40233,484,2010,2,26
40234,484,2010,2,27
40235,404,2010,2,28
40236,339,2010,3,1
40237,302,2010,3,2
40238,299,2010,3,3
40239,329,2010,3,4
40240,335,2010,3,5
40241,310,2010,3,6
40242,280,2010,3,7
40243,285,2010,3,8
40244,259,2010,3,9
40245,253,2010,3,10
40246,260,2010,3,11
40247,534,2010,3,12
40248,807,2010,3,13
40249,677,2010,3,14
40250,622,2010,3,15
40251,650,2010,3,16
40252,559,2010,3,17
40253,458,2010,3,18
40254,384,2010,3,19
40255,333,2010,3,20
40256,311,2010,3,21
40257,404,2010,3,22
40258,406,2010,3,23
40259,363,2010,3,24
40260,512,2010,3,25
40261,1090,2010,3,26
40262,1250,2010,3,27
40263,1050,2010,3,28
40264,3040,2010,3,29
40265,3910,2010,3,30
40266,2340,2010,3,31
40267,1550,2010,4,1
40268,1510,2010,4,2
40269,1760,2010,4,3
40270,1370,2010,4,4
40271,1100,2010,4,5
40272,971,2010,4,6
40273,1030,2010,4,7
40274,1280,2010,4,8
40275,1060,2010,4,9
40276,886,2010,4,10
40277,909,2010,4,11
40278,952,2010,4,12
40279,953,2010,4,13
40280,945,2010,4,14
40281,1020,2010,4,15
40282,945,2010,4,16
40283,891,2010,4,17
40284,820,2010,4,18
40285,765,2010,4,19
40286,735,2010,4,20
40287,1160,2010,4,21
40288,1020,2010,4,22
40289,823,2010,4,23
40290,696,2010,4,24
40291,594,2010,4,25
40292,533,2010,4,26
40293,1720,2010,4,27
40294,2190,2010,4,28
40295,2050,2010,4,29
40296,2150,2010,4,30
40297,1740,2010,5,1
40298,1450,2010,5,2
40299,1330,2010,5,3
40300,1450,2010,5,4
40301,1120,2010,5,5
40302,940,2010,5,6
40303,809,2010,5,7
40304,707,2010,5,8
40305,627,2010,5,9
40306,611,2010,5,10
40307,936,2010,5,11
40308,884,2010,5,12
40309,748,2010,5,13
40310,655,2010,5,14
40311,598,2010,5,15
40312,552,2010,5,16
40313,530,2010,5,17
40314,528,2010,5,18
40315,484,2010,5,19
40316,679,2010,5,20
40317,717,2010,5,21
40318,842,2010,5,22
40319,1030,2010,5,23
40320,988,2010,5,24
40321,846,2010,5,25
40322,840,2010,5,26
40323,1140,2010,5,27
40324,1050,2010,5,28
40325,856,2010,5,29
40326,700,2010,5,30
40327,621,2010,5,31
40328,624,2010,6,1
40329,1920,2010,6,2
40330,3680,2010,6,3
40331,4870,2010,6,4
40332,2760,2010,6,5
40333,1660,2010,6,6
40334,1180,2010,6,7
40335,897,2010,6,8
40336,795,2010,6,9
40337,1300,2010,6,10
40338,1950,2010,6,11
40339,1410,2010,6,12
40340,1020,2010,6,13
40341,789,2010,6,14
40342,648,2010,6,15
40343,566,2010,6,16
40344,490,2010,6,17
40345,433,2010,6,18
40346,390,2010,6,19
40347,365,2010,6,20
40348,337,2010,6,21
40349,307,2010,6,22
40350,282,2010,6,23
40351,260,2010,6,24
40352,242,2010,6,25
40353,228,2010,6,26
40354,210,2010,6,27
40355,197,2010,6,28
40356,189,2010,6,29
40357,185,2010,6,30
40358,174,2010,7,1
40359,171,2010,7,2
40360,174,2010,7,3
40361,161,2010,7,4
40362,152,2010,7,5
40363,144,2010,7,6
40364,137,2010,7,7
40365,128,2010,7,8
40366,123,2010,7,9
40367,116,2010,7,10
40368,109,2010,7,11
40369,107,2010,7,12
40370,106,2010,7,13
40371,100,2010,7,14
40372,95.9,2010,7,15
40373,92.7,2010,7,16
40374,89.4,2010,7,17
40375,85.7,2010,7,18
40376,84.1,2010,7,19
40377,81.7,2010,7,20
40378,79.3,2010,7,21
40379,78.1,2010,7,22
40380,74.7,2010,7,23
40381,73,2010,7,24
40382,68.9,2010,7,25
40383,65.1,2010,7,26
40384,63,2010,7,27
40385,60.2,2010,7,28
40386,58.9,2010,7,29
40387,56,2010,7,30
40388,54.2,2010,7,31
40389,53.5,2010,8,1
40390,52.6,2010,8,2
40391,51.2,2010,8,3
40392,47.5,2010,8,4
40393,46,2010,8,5
40394,45,2010,8,6
40395,43.7,2010,8,7
40396,42,2010,8,8
40397,42.1,2010,8,9
40398,42.1,2010,8,10
40399,42,2010,8,11
40400,40.2,2010,8,12
40401,39.6,2010,8,13
40402,37.4,2010,8,14
40403,35.6,2010,8,15
40404,35.2,2010,8,16
40405,33.9,2010,8,17
40406,34.5,2010,8,18
40407,36.6,2010,8,19
40408,34.3,2010,8,20
40409,33.2,2010,8,21
40410,33,2010,8,22
40411,32,2010,8,23
40412,31.9,2010,8,24
40413,30.1,2010,8,25
40414,28.4,2010,8,26
40415,27.8,2010,8,27
40416,28.2,2010,8,28
40417,29.2,2010,8,29
40418,35.9,2010,8,30
40419,59.5,2010,8,31
40420,47.6,2010,9,1
40421,43.8,2010,9,2
40422,39.1,2010,9,3
40423,34.5,2010,9,4
40424,32.3,2010,9,5
40425,30.3,2010,9,6
40426,30.4,2010,9,7
40427,48.6,2010,9,8
40428,80.9,2010,9,9
40429,75.1,2010,9,10
40430,50.3,2010,9,11
40431,41.7,2010,9,12
40432,37.8,2010,9,13
40433,36.2,2010,9,14
40434,34.3,2010,9,15
40435,33,2010,9,16
40436,32.7,2010,9,17
40437,49.5,2010,9,18
40438,287,2010,9,19
40439,299,2010,9,20
40440,152,2010,9,21
40441,96.2,2010,9,22
40442,74.6,2010,9,23
40443,64.6,2010,9,24
40444,55.9,2010,9,25
40445,49.4,2010,9,26
40446,45.7,2010,9,27
40447,43.2,2010,9,28
40448,42.1,2010,9,29
40449,40.9,2010,9,30
40450,39.5,2010,10,1
40451,38.4,2010,10,2
40452,37.4,2010,10,3
40453,37.7,2010,10,4
40454,38.5,2010,10,5
40455,37.4,2010,10,6
40456,36.5,2010,10,7
40457,35.2,2010,10,8
40458,35.2,2010,10,9
40459,40.4,2010,10,10
40460,51.3,2010,10,11
40461,47.4,2010,10,12
40462,41.2,2010,10,13
40463,37.2,2010,10,14
40464,34.6,2010,10,15
40465,33.3,2010,10,16
40466,33,2010,10,17
40467,33,2010,10,18
40468,33,2010,10,19
40469,32.9,2010,10,20
40470,32,2010,10,21
40471,33.1,2010,10,22
40472,43.9,2010,10,23
40473,576,2010,10,24
40474,763,2010,10,25
40475,1040,2010,10,26
40476,571,2010,10,27
40477,363,2010,10,28
40478,565,2010,10,29
40479,371,2010,10,30
40480,365,2010,10,31
40481,336,2010,11,1
40482,243,2010,11,2
40483,188,2010,11,3
40484,149,2010,11,4
40485,125,2010,11,5
40486,111,2010,11,6
40487,966,2010,11,7
40488,940,2010,11,8
40489,684,2010,11,9
40490,1290,2010,11,10
40491,801,2010,11,11
40492,514,2010,11,12
40493,389,2010,11,13
40494,420,2010,11,14
40495,514,2010,11,15
40496,680,2010,11,16
40497,563,2010,11,17
40498,1280,2010,11,18
40499,1040,2010,11,19
40500,685,2010,11,20
40501,536,2010,11,21
40502,503,2010,11,22
40503,650,2010,11,23
40504,448,2010,11,24
40505,348,2010,11,25
40506,413,2010,11,26
40507,1040,2010,11,27
40508,877,2010,11,28
40509,668,2010,11,29
40510,723,2010,11,30
40511,2410,2010,12,1
40512,2320,2010,12,2
40513,1680,2010,12,3
40514,1060,2010,12,4
40515,960,2010,12,5
40516,1030,2010,12,6
40517,998,2010,12,7
40518,1130,2010,12,8
40519,1200,2010,12,9
40520,2160,2010,12,10
40521,2540,2010,12,11
40522,2900,2010,12,12
40523,4030,2010,12,13
40524,4610,2010,12,14
40525,2770,2010,12,15
40526,1670,2010,12,16
40527,1170,2010,12,17
40528,1190,2010,12,18
40529,1390,2010,12,19
40530,1390,2010,12,20
40531,1180,2010,12,21
40532,956,2010,12,22
40533,802,2010,12,23
40534,670,2010,12,24
40535,650,2010,12,25
40536,825,2010,12,26
40537,843,2010,12,27
40538,2150,2010,12,28
40539,4440,2010,12,29
40540,1980,2010,12,30
40541,1280,2010,12,31
40542,987,2011,1,1
40543,867,2011,1,2
40544,747,2011,1,3
40545,672,2011,1,4
40546,630,2011,1,5
40547,617,2011,1,6
40548,624,2011,1,7
40549,820,2011,1,8
40550,791,2011,1,9
40551,668,2011,1,10
40552,587,2011,1,11
40553,541,2011,1,12
40554,1440,2011,1,13
40555,2550,2011,1,14
40556,1920,2011,1,15
40557,8700,2011,1,16
40558,5960,2011,1,17
40559,2620,2011,1,18
40560,2280,2011,1,19
40561,1680,2011,1,20
40562,1270,2011,1,21
40563,1050,2011,1,22
40564,862,2011,1,23
40565,733,2011,1,24
40566,647,2011,1,25
40567,574,2011,1,26
40568,524,2011,1,27
40569,489,2011,1,28
