; USGS 14155500 ROW RIVER NEAR COTTAGE GROVE  OR,,,,
day_index,Q_cfs,year,month,day
40177,1420,2010,1,1
40178,1630,2010,1,2
40179,1640,2010,1,3
40180,1930,2010,1,4
40181,2470,2010,1,5
40182,2560,2010,1,6
40183,2720,2010,1,7
40184,2630,2010,1,8
40185,2390,2010,1,9
40186,1900,2010,1,10
40187,1270,2010,1,11
40188,789,2010,1,12
40189,704,2010,1,13
40190,709,2010,1,14
40191,678,2010,1,15
40192,665,2010,1,16
40193,872,2010,1,17
40194,880,2010,1,18
40195,869,2010,1,19
40196,763,2010,1,20
40197,576,2010,1,21
40198,401,2010,1,22
40199,295,2010,1,23
40200,237,2010,1,24
40201,242,2010,1,25
40202,252,2010,1,26
40203,259,2010,1,27
40204,264,2010,1,28
40205,298,2010,1,29
40206,366,2010,1,30
40207,370,2010,1,31
40208,373,2010,2,1
40209,414,2010,2,2
40210,588,2010,2,3
40211,583,2010,2,4
40212,584,2010,2,5
40213,583,2010,2,6
40214,521,2010,2,7
40215,402,2010,2,8
40216,279,2010,2,9
40217,279,2010,2,10
40218,279,2010,2,11
40219,282,2010,2,12
40220,284,2010,2,13
40221,286,2010,2,14
40222,289,2010,2,15
40223,292,2010,2,16
40224,293,2010,2,17
40225,297,2010,2,18
40226,297,2010,2,19
40227,294,2010,2,20
40228,288,2010,2,21
40229,266,2010,2,22
40230,247,2010,2,23
40231,249,2010,2,24
40232,250,2010,2,25
40233,253,2010,2,26
40234,254,2010,2,27
40235,256,2010,2,28
40236,258,2010,3,1
40237,258,2010,3,2
40238,258,2010,3,3
40239,258,2010,3,4
40240,245,2010,3,5
40241,217,2010,3,6
40242,217,2010,3,7
40243,217,2010,3,8
40244,217,2010,3,9
40245,217,2010,3,10
40246,217,2010,3,11
40247,212,2010,3,12
40248,208,2010,3,13
40249,208,2010,3,14
40250,210,2010,3,15
40251,213,2010,3,16
40252,213,2010,3,17
40253,213,2010,3,18
40254,213,2010,3,19
40255,213,2010,3,20
40256,215,2010,3,21
40257,216,2010,3,22
40258,216,2010,3,23
40259,217,2010,3,24
40260,217,2010,3,25
40261,414,2010,3,26
40262,881,2010,3,27
40263,1030,2010,3,28
40264,1270,2010,3,29
40265,1730,2010,3,30
40266,2790,2010,3,31
40267,3440,2010,4,1
40268,3390,2010,4,2
40269,3390,2010,4,3
40270,3290,2010,4,4
40271,2580,2010,4,5
40272,1660,2010,4,6
40273,1110,2010,4,7
40274,956,2010,4,8
40275,802,2010,4,9
40276,560,2010,4,10
40277,569,2010,4,11
40278,570,2010,4,12
40279,570,2010,4,13
40280,572,2010,4,14
40281,437,2010,4,15
40282,268,2010,4,16
40283,208,2010,4,17
40284,208,2010,4,18
40285,525,2010,4,19
40286,1070,2010,4,20
40287,1070,2010,4,21
40288,1070,2010,4,22
40289,950,2010,4,23
40290,809,2010,4,24
40291,710,2010,4,25
40292,636,2010,4,26
40293,1480,2010,4,27
40294,2360,2010,4,28
40295,2560,2010,4,29
40296,2410,2010,4,30
40297,1920,2010,5,1
40298,1920,2010,5,2
40299,1640,2010,5,3
40300,1400,2010,5,4
40301,1200,2010,5,5
40302,752,2010,5,6
40303,586,2010,5,7
40304,585,2010,5,8
40305,585,2010,5,9
40306,586,2010,5,10
40307,585,2010,5,11
40308,585,2010,5,12
40309,587,2010,5,13
40310,586,2010,5,14
40311,588,2010,5,15
40312,501,2010,5,16
40313,450,2010,5,17
40314,504,2010,5,18
40315,645,2010,5,19
40316,873,2010,5,20
40317,911,2010,5,21
40318,967,2010,5,22
40319,1400,2010,5,23
40320,1300,2010,5,24
40321,1060,2010,5,25
40322,1060,2010,5,26
40323,1340,2010,5,27
40324,1400,2010,5,28
40325,999,2010,5,29
40326,727,2010,5,30
