; USGS 14157500 COAST FORK WILLAMETTE RIVER NEAR GOSHEN  OR,,,,
day_index,Q_cfs,year,month,day
40177,5840,2010,1,1
40178,4840,2010,1,2
40179,3670,2010,1,3
40180,3380,2010,1,4
40181,4200,2010,1,5
40182,4800,2010,1,6
40183,4800,2010,1,7
40184,4300,2010,1,8
40185,3900,2010,1,9
40186,3080,2010,1,10
40187,2350,2010,1,11
40188,1900,2010,1,12
40189,1920,2010,1,13
40190,2030,2010,1,14
40191,1770,2010,1,15
40192,2160,2010,1,16
40193,2780,2010,1,17
40194,2580,2010,1,18
40195,2220,2010,1,19
40196,1920,2010,1,20
40197,1570,2010,1,21
40198,1180,2010,1,22
40199,964,2010,1,23
40200,808,2010,1,24
40201,1250,2010,1,25
40202,1210,2010,1,26
40203,1130,2010,1,27
40204,1000,2010,1,28
40205,903,2010,1,29
40206,1040,2010,1,30
40207,1080,2010,1,31
40208,1080,2010,2,1
40209,1260,2010,2,2
40210,1430,2010,2,3
40211,1390,2010,2,4
40212,1360,2010,2,5
40213,1280,2010,2,6
40214,1210,2010,2,7
40215,1060,2010,2,8
40216,764,2010,2,9
40217,724,2010,2,10
40218,715,2010,2,11
40219,942,2010,2,12
40220,946,2010,2,13
40221,927,2010,2,14
40222,979,2010,2,15
40223,1070,2010,2,16
40224,964,2010,2,17
40225,888,2010,2,18
40226,820,2010,2,19
40227,765,2010,2,20
40228,705,2010,2,21
40229,655,2010,2,22
40230,583,2010,2,23
40231,755,2010,2,24
40232,932,2010,2,25
40233,1020,2010,2,26
40234,1060,2010,2,27
40235,884,2010,2,28
40236,783,2010,3,1
40237,732,2010,3,2
40238,725,2010,3,3
40239,781,2010,3,4
40240,742,2010,3,5
40241,664,2010,3,6
40242,620,2010,3,7
40243,670,2010,3,8
40244,645,2010,3,9
40245,656,2010,3,10
40246,647,2010,3,11
40247,1300,2010,3,12
40248,1980,2010,3,13
40249,1410,2010,3,14
40250,1140,2010,3,15
40251,976,2010,3,16
40252,851,2010,3,17
40253,751,2010,3,18
40254,685,2010,3,19
40255,631,2010,3,20
40256,604,2010,3,21
40257,631,2010,3,22
40258,612,2010,3,23
40259,584,2010,3,24
40260,643,2010,3,25
40261,1460,2010,3,26
40262,2780,2010,3,27
40263,2600,2010,3,28
40264,4290,2010,3,29
40265,6990,2010,3,30
40266,6830,2010,3,31
40267,6700,2010,4,1
40268,6640,2010,4,2
40269,7380,2010,4,3
40270,6400,2010,4,4
40271,5180,2010,4,5
40272,4100,2010,4,6
40273,3020,2010,4,7
40274,2610,2010,4,8
40275,2350,2010,4,9
40276,1760,2010,4,10
40277,2400,2010,4,11
40278,2200,2010,4,12
40279,2050,2010,4,13
40280,1860,2010,4,14
40281,1790,2010,4,15
40282,1250,2010,4,16
40283,999,2010,4,17
40284,893,2010,4,18
40285,965,2010,4,19
40286,2100,2010,4,20
40287,2400,2010,4,21
40288,2270,2010,4,22
40289,2020,2010,4,23
40290,1630,2010,4,24
40291,1420,2010,4,25
40292,1240,2010,4,26
40293,3620,2010,4,27
40294,5480,2010,4,28
40295,5170,2010,4,29
40296,4930,2010,4,30
40297,3840,2010,5,1
40298,3450,2010,5,2
40299,3040,2010,5,3
40300,2500,2010,5,4
40301,2230,2010,5,5
40302,1540,2010,5,6
40303,1170,2010,5,7
40304,1090,2010,5,8
40305,1030,2010,5,9
40306,1030,2010,5,10
40307,1070,2010,5,11
40308,1020,2010,5,12
40309,983,2010,5,13
40310,950,2010,5,14
40311,920,2010,5,15
40312,846,2010,5,16
40313,789,2010,5,17
40314,864,2010,5,18
40315,1040,2010,5,19
40316,1500,2010,5,20
40317,1770,2010,5,21
40318,1950,2010,5,22
40319,2460,2010,5,23
40320,2340,2010,5,24
40321,1900,2010,5,25
40322,2300,2010,5,26
40323,2910,2010,5,27
40324,2900,2010,5,28
40325,2180,2010,5,29
40326,1520,2010,5,30
40327,1540,2010,5,31
40328,1700,2010,6,1
40329,3000,2010,6,2
40330,7760,2010,6,3
40331,10300,2010,6,4
40332,9190,2010,6,5
40333,6030,2010,6,6
40334,3650,2010,6,7
40335,2490,2010,6,8
40336,2370,2010,6,9
40337,2450,2010,6,10
40338,3370,2010,6,11
40339,2950,2010,6,12
40340,2230,2010,6,13
40341,1930,2010,6,14
40342,1650,2010,6,15
40343,1450,2010,6,16
40344,1310,2010,6,17
40345,1130,2010,6,18
40346,923,2010,6,19
40347,896,2010,6,20
40348,765,2010,6,21
40349,650,2010,6,22
40350,585,2010,6,23
40351,551,2010,6,24
40352,489,2010,6,25
40353,432,2010,6,26
40354,412,2010,6,27
40355,441,2010,6,28
40356,450,2010,6,29
40357,451,2010,6,30
40358,414,2010,7,1
40359,314,2010,7,2
40360,312,2010,7,3
40361,320,2010,7,4
40362,312,2010,7,5
40363,306,2010,7,6
40364,300,2010,7,7
40365,291,2010,7,8
40366,283,2010,7,9
40367,267,2010,7,10
40368,259,2010,7,11
40369,251,2010,7,12
40370,239,2010,7,13
40371,228,2010,7,14
40372,221,2010,7,15
40373,215,2010,7,16
40374,206,2010,7,17
40375,199,2010,7,18
40376,193,2010,7,19
40377,190,2010,7,20
40378,186,2010,7,21
40379,184,2010,7,22
40380,181,2010,7,23
40381,179,2010,7,24
