; USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE  OR,,,,
day_index,Q_cfs,year,month,day
40177,515,2010,1,1
40178,541,2010,1,2
40179,560,2010,1,3
40180,552,2010,1,4
40181,603,2010,1,5
40182,832,2010,1,6
40183,848,2010,1,7
40184,756,2010,1,8
40185,720,2010,1,9
40186,709,2010,1,10
40187,700,2010,1,11
40188,711,2010,1,12
40189,729,2010,1,13
40190,729,2010,1,14
40191,697,2010,1,15
40192,715,2010,1,16
40193,718,2010,1,17
40194,719,2010,1,18
40195,689,2010,1,19
40196,655,2010,1,20
40197,629,2010,1,21
40198,607,2010,1,22
40199,583,2010,1,23
40200,562,2010,1,24
40201,552,2010,1,25
40202,539,2010,1,26
40203,521,2010,1,27
40204,508,2010,1,28
40205,496,2010,1,29
40206,480,2010,1,30
40207,464,2010,1,31
40208,455,2010,2,1
40209,446,2010,2,2
40210,437,2010,2,3
40211,435,2010,2,4
40212,434,2010,2,5
40213,429,2010,2,6
40214,423,2010,2,7
40215,421,2010,2,8
40216,416,2010,2,9
40217,416,2010,2,10
40218,421,2010,2,11
40219,428,2010,2,12
40220,422,2010,2,13
40221,421,2010,2,14
40222,422,2010,2,15
40223,423,2010,2,16
40224,424,2010,2,17
40225,429,2010,2,18
40226,433,2010,2,19
40227,434,2010,2,20
40228,431,2010,2,21
40229,425,2010,2,22
40230,419,2010,2,23
40231,423,2010,2,24
40232,420,2010,2,25
40233,417,2010,2,26
40234,412,2010,2,27
40235,405,2010,2,28
40236,402,2010,3,1
40237,402,2010,3,2
40238,405,2010,3,3
40239,400,2010,3,4
40240,393,2010,3,5
40241,390,2010,3,6
40242,388,2010,3,7
40243,386,2010,3,8
40244,383,2010,3,9
40245,379,2010,3,10
40246,379,2010,3,11
40247,382,2010,3,12
40248,375,2010,3,13
40249,368,2010,3,14
40250,362,2010,3,15
40251,358,2010,3,16
40252,355,2010,3,17
40253,352,2010,3,18
40254,349,2010,3,19
40255,346,2010,3,20
40256,345,2010,3,21
40257,344,2010,3,22
40258,339,2010,3,23
40259,337,2010,3,24
40260,343,2010,3,25
40261,351,2010,3,26
40262,345,2010,3,27
40263,348,2010,3,28
40264,403,2010,3,29
40265,423,2010,3,30
40266,459,2010,3,31
40267,525,2010,4,1
40268,543,2010,4,2
40269,545,2010,4,3
40270,538,2010,4,4
40271,532,2010,4,5
40272,523,2010,4,6
40273,509,2010,4,7
40274,503,2010,4,8
40275,487,2010,4,9
40276,477,2010,4,10
40277,469,2010,4,11
40278,460,2010,4,12
40279,451,2010,4,13
40280,448,2010,4,14
40281,455,2010,4,15
40282,459,2010,4,16
40283,466,2010,4,17
40284,491,2010,4,18
40285,518,2010,4,19
40286,546,2010,4,20
40287,571,2010,4,21
40288,563,2010,4,22
40289,544,2010,4,23
40290,537,2010,4,24
40291,533,2010,4,25
40292,527,2010,4,26
40293,557,2010,4,27
40294,585,2010,4,28
40295,573,2010,4,29
40296,553,2010,4,30
40297,542,2010,5,1
40298,539,2010,5,2
40299,554,2010,5,3
40300,583,2010,5,4
40301,572,2010,5,5
40302,555,2010,5,6
40303,543,2010,5,7
40304,534,2010,5,8
40305,528,2010,5,9
40306,529,2010,5,10
40307,527,2010,5,11
40308,518,2010,5,12
40309,507,2010,5,13
40310,501,2010,5,14
40311,503,2010,5,15
40312,509,2010,5,16
40313,517,2010,5,17
40314,525,2010,5,18
40315,524,2010,5,19
40316,535,2010,5,20
40317,521,2010,5,21
40318,502,2010,5,22
40319,486,2010,5,23
40320,474,2010,5,24
40321,465,2010,5,25
40322,461,2010,5,26
40323,463,2010,5,27
40324,458,2010,5,28
40325,453,2010,5,29
40326,447,2010,5,30
40327,443,2010,5,31
40328,441,2010,6,1
40329,507,2010,6,2
40330,741,2010,6,3
40331,829,2010,6,4
40332,867,2010,6,5
40333,769,2010,6,6
40334,767,2010,6,7
40335,762,2010,6,8
40336,781,2010,6,9
40337,821,2010,6,10
40338,816,2010,6,11
40339,784,2010,6,12
40340,750,2010,6,13
40341,723,2010,6,14
40342,696,2010,6,15
40343,666,2010,6,16
40344,637,2010,6,17
40345,606,2010,6,18
40346,577,2010,6,19
40347,553,2010,6,20
40348,532,2010,6,21
40349,514,2010,6,22
40350,497,2010,6,23
40351,484,2010,6,24
40352,478,2010,6,25
40353,470,2010,6,26
40354,460,2010,6,27
40355,448,2010,6,28
40356,439,2010,6,29
40357,431,2010,6,30
40358,426,2010,7,1
40359,424,2010,7,2
40360,420,2010,7,3
40361,417,2010,7,4
40362,414,2010,7,5
40363,411,2010,7,6
40364,409,2010,7,7
40365,407,2010,7,8
40366,404,2010,7,9
40367,401,2010,7,10
40368,399,2010,7,11
40369,396,2010,7,12
40370,393,2010,7,13
40371,389,2010,7,14
40372,384,2010,7,15
40373,379,2010,7,16
40374,374,2010,7,17
40375,370,2010,7,18
40376,366,2010,7,19
40377,362,2010,7,20
40378,358,2010,7,21
40379,354,2010,7,22
40380,347,2010,7,23
40381,342,2010,7,24
40382,337,2010,7,25
40383,332,2010,7,26
40384,327,2010,7,27
40385,324,2010,7,28
40386,320,2010,7,29
40387,316,2010,7,30
40388,311,2010,7,31
40389,308,2010,8,1
40390,305,2010,8,2
40391,302,2010,8,3
40392,299,2010,8,4
40393,297,2010,8,5
40394,295,2010,8,6
40395,292,2010,8,7
40396,288,2010,8,8
40397,286,2010,8,9
40398,284,2010,8,10
40399,282,2010,8,11
40400,281,2010,8,12
40401,279,2010,8,13
40402,278,2010,8,14
40403,276,2010,8,15
40404,274,2010,8,16
40405,273,2010,8,17
40406,272,2010,8,18
40407,269,2010,8,19
40408,267,2010,8,20
40409,266,2010,8,21
40410,264,2010,8,22
40411,262,2010,8,23
40412,262,2010,8,24
40413,261,2010,8,25
40414,259,2010,8,26
40415,257,2010,8,27
40416,255,2010,8,28
40417,254,2010,8,29
40418,254,2010,8,30
40419,252,2010,8,31
40420,252,2010,9,1
40421,250,2010,9,2
40422,249,2010,9,3
40423,248,2010,9,4
40424,247,2010,9,5
40425,245,2010,9,6
40426,244,2010,9,7
40427,244,2010,9,8
40428,242,2010,9,9
40429,241,2010,9,10
40430,240,2010,9,11
40431,239,2010,9,12
40432,239,2010,9,13
40433,238,2010,9,14
40434,238,2010,9,15
40435,237,2010,9,16
40436,237,2010,9,17
40437,239,2010,9,18
40438,243,2010,9,19
40439,243,2010,9,20
40440,241,2010,9,21
40441,242,2010,9,22
40442,242,2010,9,23
40443,241,2010,9,24
40444,239,2010,9,25
40445,239,2010,9,26
40446,238,2010,9,27
40447,237,2010,9,28
40448,235,2010,9,29
40449,234,2010,9,30
40450,232,2010,10,1
40451,230,2010,10,2
40452,229,2010,10,3
40453,227,2010,10,4
40454,225,2010,10,5
40455,224,2010,10,6
40456,222,2010,10,7
40457,221,2010,10,8
40458,224,2010,10,9
40459,223,2010,10,10
40460,221,2010,10,11
40461,221,2010,10,12
40462,221,2010,10,13
40463,220,2010,10,14
40464,220,2010,10,15
40465,219,2010,10,16
40466,217,2010,10,17
40467,216,2010,10,18
40468,215,2010,10,19
40469,214,2010,10,20
40470,212,2010,10,21
40471,213,2010,10,22
40472,213,2010,10,23
40473,232,2010,10,24
40474,245,2010,10,25
40475,249,2010,10,26
40476,249,2010,10,27
40477,254,2010,10,28
40478,259,2010,10,29
40479,262,2010,10,30
40480,275,2010,10,31
40481,282,2010,11,1
40482,296,2010,11,2
40483,305,2010,11,3
40484,314,2010,11,4
40485,321,2010,11,5
40486,324,2010,11,6
40487,336,2010,11,7
40488,332,2010,11,8
40489,338,2010,11,9
40490,345,2010,11,10
40491,345,2010,11,11
40492,348,2010,11,12
40493,347,2010,11,13
40494,351,2010,11,14
40495,353,2010,11,15
40496,358,2010,11,16
40497,365,2010,11,17
40498,398,2010,11,18
40499,395,2010,11,19
40500,401,2010,11,20
40501,408,2010,11,21
40502,420,2010,11,22
40503,420,2010,11,23
40504,416,2010,11,24
40505,415,2010,11,25
40506,417,2010,11,26
40507,422,2010,11,27
40508,415,2010,11,28
40509,407,2010,11,29
40510,414,2010,11,30
40511,425,2010,12,1
40512,420,2010,12,2
40513,412,2010,12,3
40514,410,2010,12,4
40515,408,2010,12,5
40516,410,2010,12,6
40517,408,2010,12,7
40518,415,2010,12,8
40519,432,2010,12,9
40520,458,2010,12,10
40521,474,2010,12,11
40522,751,2010,12,12
40523,1230,2010,12,13
