; USGS 14158790 SMITH RIVER ABV SMITH R RESV NR BELKNAP SPRNGS OR,,,,
day_index,Q_cfs,year,month,day
40177,499,2010,1,1
40178,392,2010,1,2
40179,245,2010,1,3
40180,200,2010,1,4
40181,342,2010,1,5
40182,558,2010,1,6
40183,333,2010,1,7
40184,230,2010,1,8
40185,200,2010,1,9
40186,167,2010,1,10
40187,147,2010,1,11
40188,159,2010,1,12
40189,166,2010,1,13
40190,174,2010,1,14
40191,140,2010,1,15
40192,170,2010,1,16
40193,200,2010,1,17
40194,170,2010,1,18
40195,150,2010,1,19
40196,130,2010,1,20
40197,110,2010,1,21
40198,95.1,2010,1,22
40199,81.4,2010,1,23
40200,79.9,2010,1,24
40201,113,2010,1,25
40202,105,2010,1,26
40203,93,2010,1,27
40204,83,2010,1,28
40205,78.3,2010,1,29
40206,76.1,2010,1,30
40207,72.9,2010,1,31
40208,70.3,2010,2,1
40209,69.5,2010,2,2
40210,70,2010,2,3
40211,76.6,2010,2,4
40212,85,2010,2,5
40213,80.3,2010,2,6
40214,76,2010,2,7
40215,70.7,2010,2,8
40216,64.1,2010,2,9
40217,60.1,2010,2,10
40218,73.5,2010,2,11
40219,138,2010,2,12
40220,128,2010,2,13
40221,125,2010,2,14
40222,119,2010,2,15
40223,117,2010,2,16
40224,108,2010,2,17
40225,98.5,2010,2,18
40226,86.1,2010,2,19
40227,74.9,2010,2,20
40228,66.4,2010,2,21
40229,59.1,2010,2,22
40230,55.5,2010,2,23
40231,68.6,2010,2,24
40232,74.9,2010,2,25
40233,79.7,2010,2,26
40234,76.3,2010,2,27
40235,68.9,2010,2,28
40236,63.3,2010,3,1
40237,61.8,2010,3,2
40238,62.5,2010,3,3
40239,58.4,2010,3,4
40240,54.3,2010,3,5
40241,50.7,2010,3,6
40242,47.3,2010,3,7
40243,45.3,2010,3,8
40244,41.7,2010,3,9
40245,40,2010,3,10
40246,43.6,2010,3,11
40247,60.7,2010,3,12
40248,54.5,2010,3,13
40249,50.6,2010,3,14
40250,51.5,2010,3,15
40251,57.1,2010,3,16
40252,59.4,2010,3,17
40253,56,2010,3,18
40254,52.9,2010,3,19
40255,50.8,2010,3,20
40256,61.4,2010,3,21
40257,73.2,2010,3,22
40258,68.7,2010,3,23
40259,64.9,2010,3,24
40260,76.5,2010,3,25
40261,84.3,2010,3,26
40262,83.8,2010,3,27
40263,118,2010,3,28
40264,763,2010,3,29
40265,467,2010,3,30
40266,261,2010,3,31
40267,180,2010,4,1
40268,149,2010,4,2
40269,121,2010,4,3
40270,105,2010,4,4
40271,93.2,2010,4,5
40272,86.3,2010,4,6
40273,89.4,2010,4,7
40274,99.8,2010,4,8
40275,89.2,2010,4,9
40276,84,2010,4,10
40277,84.4,2010,4,11
40278,97.7,2010,4,12
40279,106,2010,4,13
40280,119,2010,4,14
40281,152,2010,4,15
40282,157,2010,4,16
40283,174,2010,4,17
40284,188,2010,4,18
40285,210,2010,4,19
40286,222,2010,4,20
40287,219,2010,4,21
40288,171,2010,4,22
40289,148,2010,4,23
40290,140,2010,4,24
40291,124,2010,4,25
40292,116,2010,4,26
40293,193,2010,4,27
40294,179,2010,4,28
40295,161,2010,4,29
40296,147,2010,4,30
40297,147,2010,5,1
40298,160,2010,5,2
40299,218,2010,5,3
40300,209,2010,5,4
40301,166,2010,5,5
40302,140,2010,5,6
40303,124,2010,5,7
