; USGS 14158850 MCKENZIE R BLW TRAIL BR DAM NR BELKNAP SPRINGS  OR,,,,
day_index,Q_cfs,year,month,day
40177,1530,2010,1,1
40178,1490,2010,1,2
40179,1340,2010,1,3
40180,1310,2010,1,4
40181,1420,2010,1,5
40182,1750,2010,1,6
40183,1620,2010,1,7
40184,1470,2010,1,8
40185,1480,2010,1,9
40186,1430,2010,1,10
40187,1390,2010,1,11
40188,1380,2010,1,12
40189,1390,2010,1,13
40190,1400,2010,1,14
40191,1360,2010,1,15
40192,1480,2010,1,16
40193,1490,2010,1,17
40194,1480,2010,1,18
40195,1390,2010,1,19
40196,1330,2010,1,20
40197,1330,2010,1,21
40198,1310,2010,1,22
40199,1200,2010,1,23
40200,1190,2010,1,24
40201,1230,2010,1,25
40202,1200,2010,1,26
40203,1140,2010,1,27
40204,1140,2010,1,28
40205,1090,2010,1,29
40206,1090,2010,1,30
40207,1030,2010,1,31
40208,1090,2010,2,1
40209,1050,2010,2,2
40210,1030,2010,2,3
40211,1040,2010,2,4
40212,1040,2010,2,5
40213,1040,2010,2,6
40214,1020,2010,2,7
40215,1040,2010,2,8
40216,1030,2010,2,9
40217,980,2010,2,10
40218,1020,2010,2,11
40219,1100,2010,2,12
40220,1050,2010,2,13
40221,1050,2010,2,14
40222,1070,2010,2,15
40223,1080,2010,2,16
40224,1060,2010,2,17
40225,1030,2010,2,18
40226,1030,2010,2,19
40227,1040,2010,2,20
40228,1030,2010,2,21
40229,1030,2010,2,22
40230,970,2010,2,23
40231,1000,2010,2,24
40232,1040,2010,2,25
40233,1040,2010,2,26
40234,1000,2010,2,27
40235,969,2010,2,28
40236,984,2010,3,1
40237,990,2010,3,2
40238,990,2010,3,3
40239,990,2010,3,4
40240,993,2010,3,5
40241,951,2010,3,6
40242,938,2010,3,7
40243,944,2010,3,8
40244,925,2010,3,9
40245,942,2010,3,10
40246,923,2010,3,11
40247,948,2010,3,12
40248,950,2010,3,13
40249,918,2010,3,14
40250,911,2010,3,15
40251,908,2010,3,16
40252,906,2010,3,17
