; USGS 14161500 LOOKOUT CREEK NEAR BLUE RIVER  OR,,,,
day_index,Q_cfs,year,month,day
40177,836,2010,1,1
40178,599,2010,1,2
40179,379,2010,1,3
40180,287,2010,1,4
40181,357,2010,1,5
40182,539,2010,1,6
40183,379,2010,1,7
40184,278,2010,1,8
40185,231,2010,1,9
40186,187,2010,1,10
40187,156,2010,1,11
40188,147,2010,1,12
40189,142,2010,1,13
40190,159,2010,1,14
40191,145,2010,1,15
40192,223,2010,1,16
40193,242,2010,1,17
40194,216,2010,1,18
40195,177,2010,1,19
40196,146,2010,1,20
40197,123,2010,1,21
40198,108,2010,1,22
40199,94.1,2010,1,23
40200,101,2010,1,24
40201,126,2010,1,25
40202,121,2010,1,26
40203,110,2010,1,27
40204,99.1,2010,1,28
40205,93.1,2010,1,29
40206,87.5,2010,1,30
40207,84.4,2010,1,31
40208,84.8,2010,2,1
40209,94,2010,2,2
40210,90.8,2010,2,3
40211,90.6,2010,2,4
40212,90.3,2010,2,5
40213,87.2,2010,2,6
40214,86.8,2010,2,7
40215,82.6,2010,2,8
40216,78.1,2010,2,9
40217,75.8,2010,2,10
40218,106,2010,2,11
40219,137,2010,2,12
40220,137,2010,2,13
40221,136,2010,2,14
40222,134,2010,2,15
40223,126,2010,2,16
40224,116,2010,2,17
40225,103,2010,2,18
40226,93.4,2010,2,19
40227,83.8,2010,2,20
40228,76.7,2010,2,21
40229,69.8,2010,2,22
40230,67.9,2010,2,23
40231,102,2010,2,24
40232,142,2010,2,25
40233,133,2010,2,26
40234,117,2010,2,27
40235,101,2010,2,28
40236,90.9,2010,3,1
40237,83.5,2010,3,2
40238,80.4,2010,3,3
40239,75.5,2010,3,4
40240,69.5,2010,3,5
40241,64.7,2010,3,6
40242,61.4,2010,3,7
40243,58.6,2010,3,8
40244,54.6,2010,3,9
40245,53.6,2010,3,10
40246,64.5,2010,3,11
40247,92.3,2010,3,12
40248,94.7,2010,3,13
40249,84.8,2010,3,14
40250,80.7,2010,3,15
40251,81.1,2010,3,16
40252,78.5,2010,3,17
40253,73,2010,3,18
40254,67.5,2010,3,19
40255,64.2,2010,3,20
40256,69.2,2010,3,21
40257,78.2,2010,3,22
40258,71.3,2010,3,23
40259,67.3,2010,3,24
40260,87.2,2010,3,25
40261,139,2010,3,26
40262,136,2010,3,27
40263,134,2010,3,28
40264,479,2010,3,29
40265,508,2010,3,30
40266,341,2010,3,31
40267,246,2010,4,1
40268,223,2010,4,2
40269,218,2010,4,3
40270,190,2010,4,4
40271,164,2010,4,5
40272,152,2010,4,6
40273,153,2010,4,7
40274,168,2010,4,8
40275,149,2010,4,9
40276,132,2010,4,10
40277,127,2010,4,11
40278,125,2010,4,12
40279,129,2010,4,13
40280,140,2010,4,14
40281,171,2010,4,15
40282,169,2010,4,16
40283,175,2010,4,17
40284,177,2010,4,18
40285,181,2010,4,19
40286,183,2010,4,20
40287,182,2010,4,21
40288,148,2010,4,22
40289,127,2010,4,23
40290,117,2010,4,24
40291,104,2010,4,25
40292,97.6,2010,4,26
40293,145,2010,4,27
40294,164,2010,4,28
40295,180,2010,4,29
40296,184,2010,4,30
40297,180,2010,5,1
40298,174,2010,5,2
40299,225,2010,5,3
40300,237,2010,5,4
40301,196,2010,5,5
40302,162,2010,5,6
40303,139,2010,5,7
40304,123,2010,5,8
40305,114,2010,5,9
40306,126,2010,5,10
40307,118,2010,5,11
40308,109,2010,5,12
40309,103,2010,5,13
40310,100,2010,5,14
40311,99.8,2010,5,15
40312,97.8,2010,5,16
40313,96.4,2010,5,17
40314,100,2010,5,18
40315,107,2010,5,19
40316,140,2010,5,20
40317,131,2010,5,21
40318,121,2010,5,22
40319,114,2010,5,23
40320,108,2010,5,24
40321,103,2010,5,25
40322,113,2010,5,26
40323,119,2010,5,27
40324,111,2010,5,28
40325,101,2010,5,29
40326,94.1,2010,5,30
40327,96.8,2010,5,31
40328,97.1,2010,6,1
40329,501,2010,6,2
40330,627,2010,6,3
40331,726,2010,6,4
40332,542,2010,6,5
40333,366,2010,6,6
40334,288,2010,6,7
40335,218,2010,6,8
40336,201,2010,6,9
40337,214,2010,6,10
40338,195,2010,6,11
40339,166,2010,6,12
40340,141,2010,6,13
40341,121,2010,6,14
40342,107,2010,6,15
40343,98.6,2010,6,16
40344,91.1,2010,6,17
40345,82.1,2010,6,18
40346,76.1,2010,6,19
40347,70.7,2010,6,20
40348,66.4,2010,6,21
40349,62.2,2010,6,22
40350,58.7,2010,6,23
40351,54.8,2010,6,24
40352,52.2,2010,6,25
40353,50.1,2010,6,26
40354,47.3,2010,6,27
40355,44.6,2010,6,28
40356,43.2,2010,6,29
40357,41.6,2010,6,30
40358,40.5,2010,7,1
40359,40.7,2010,7,2
40360,39.2,2010,7,3
40361,37.6,2010,7,4
40362,36.2,2010,7,5
40363,34,2010,7,6
40364,33,2010,7,7
40365,31.9,2010,7,8
40366,30.9,2010,7,9
40367,29.9,2010,7,10
40368,29.4,2010,7,11
40369,28.9,2010,7,12
40370,28.1,2010,7,13
40371,26.9,2010,7,14
40372,25.9,2010,7,15
40373,25.2,2010,7,16
40374,24.5,2010,7,17
40375,23.9,2010,7,18
40376,23.4,2010,7,19
40377,23,2010,7,20
40378,22.6,2010,7,21
40379,22.1,2010,7,22
40380,21.6,2010,7,23
40381,21,2010,7,24
40382,20.7,2010,7,25
40383,20.2,2010,7,26
40384,19.8,2010,7,27
40385,19.5,2010,7,28
40386,19.1,2010,7,29
40387,18.7,2010,7,30
40388,18.4,2010,7,31
40389,18.1,2010,8,1
40390,17.8,2010,8,2
40391,17.5,2010,8,3
40392,17.2,2010,8,4
40393,16.9,2010,8,5
40394,16.6,2010,8,6
40395,16.3,2010,8,7
40396,16.1,2010,8,8
40397,15.9,2010,8,9
40398,15.6,2010,8,10
40399,15.4,2010,8,11
40400,15.2,2010,8,12
40401,14.9,2010,8,13
40402,14.3,2010,8,14
40403,14,2010,8,15
40404,13.8,2010,8,16
40405,13.6,2010,8,17
40406,14,2010,8,18
40407,13.4,2010,8,19
40408,13.3,2010,8,20
40409,13,2010,8,21
40410,12.8,2010,8,22
40411,12.8,2010,8,23
40412,12.5,2010,8,24
40413,12.1,2010,8,25
40414,12,2010,8,26
40415,12,2010,8,27
40416,11.9,2010,8,28
40417,11.8,2010,8,29
40418,16.2,2010,8,30
40419,14.4,2010,8,31
40420,17.3,2010,9,1
40421,14.9,2010,9,2
40422,13.2,2010,9,3
40423,12.5,2010,9,4
40424,12,2010,9,5
40425,11.7,2010,9,6
40426,12.8,2010,9,7
40427,17.1,2010,9,8
40428,17.6,2010,9,9
40429,15,2010,9,10
40430,13.2,2010,9,11
40431,12.5,2010,9,12
40432,12.1,2010,9,13
40433,11.7,2010,9,14
40434,11.5,2010,9,15
40435,11.4,2010,9,16
40436,11.6,2010,9,17
40437,16.3,2010,9,18
40438,48.4,2010,9,19
40439,55.6,2010,9,20
40440,27.8,2010,9,21
40441,21.1,2010,9,22
40442,18.3,2010,9,23
40443,17.3,2010,9,24
40444,15.9,2010,9,25
40445,14.9,2010,9,26
40446,14.3,2010,9,27
40447,13.8,2010,9,28
40448,13.5,2010,9,29
40449,13.1,2010,9,30
40450,12.6,2010,10,1
40451,12.5,2010,10,2
40452,12.2,2010,10,3
40453,12.2,2010,10,4
40454,11.8,2010,10,5
40455,11.8,2010,10,6
40456,11.7,2010,10,7
40457,11.4,2010,10,8
40458,23.2,2010,10,9
40459,25.2,2010,10,10
40460,21.6,2010,10,11
40461,17.4,2010,10,12
40462,15.5,2010,10,13
40463,14.2,2010,10,14
40464,13.5,2010,10,15
40465,13,2010,10,16
40466,12.6,2010,10,17
40467,12.3,2010,10,18
40468,11.9,2010,10,19
40469,11.8,2010,10,20
40470,11.5,2010,10,21
40471,12.3,2010,10,22
40472,16.3,2010,10,23
40473,95.4,2010,10,24
40474,163,2010,10,25
40475,142,2010,10,26
40476,98.9,2010,10,27
40477,80.8,2010,10,28
40478,84.8,2010,10,29
40479,77.6,2010,10,30
40480,103,2010,10,31
40481,88.8,2010,11,1
40482,96.8,2010,11,2
40483,81.9,2010,11,3
40484,67.9,2010,11,4
40485,58.9,2010,11,5
40486,53,2010,11,6
40487,103,2010,11,7
40488,99.5,2010,11,8
40489,111,2010,11,9
40490,171,2010,11,10
40491,133,2010,11,11
40492,108,2010,11,12
40493,91.9,2010,11,13
40494,112,2010,11,14
40495,137,2010,11,15
40496,159,2010,11,16
40497,136,2010,11,17
40498,250,2010,11,18
40499,202,2010,11,19
40500,155,2010,11,20
40501,126,2010,11,21
40502,114,2010,11,22
40503,101,2010,11,23
40504,85.4,2010,11,24
40505,76.5,2010,11,25
40506,88.9,2010,11,26
40507,147,2010,11,27
40508,133,2010,11,28
40509,113,2010,11,29
40510,199,2010,11,30
40511,518,2010,12,1
40512,417,2010,12,2
40513,305,2010,12,3
40514,225,2010,12,4
40515,176,2010,12,5
40516,165,2010,12,6
40517,166,2010,12,7
40518,203,2010,12,8
40519,271,2010,12,9
40520,442,2010,12,10
40521,611,2010,12,11
40522,867,2010,12,12
40523,1050,2010,12,13
40524,841,2010,12,14
