; USGS 14162200 BLUE RIVER AT BLUE RIVER  OR,,,,
day_index,Q_cfs,year,month,day
40177,1240,2010,1,1
40178,1890,2010,1,2
40179,1860,2010,1,3
40180,1780,2010,1,4
40181,1690,2010,1,5
40182,1790,2010,1,6
40183,1880,2010,1,7
40184,1760,2010,1,8
40185,1260,2010,1,9
40186,828,2010,1,10
40187,683,2010,1,11
40188,629,2010,1,12
40189,565,2010,1,13
40190,540,2010,1,14
40191,640,2010,1,15
40192,772,2010,1,16
40193,1010,2010,1,17
40194,1210,2010,1,18
40195,1040,2010,1,19
40196,808,2010,1,20
40197,543,2010,1,21
40198,406,2010,1,22
40199,356,2010,1,23
40200,357,2010,1,24
40201,371,2010,1,25
40202,388,2010,1,26
40203,395,2010,1,27
40204,399,2010,1,28
40205,399,2010,1,29
40206,399,2010,1,30
40207,397,2010,1,31
40208,394,2010,2,1
40209,343,2010,2,2
40210,236,2010,2,3
40211,129,2010,2,4
40212,84.7,2010,2,5
40213,87.2,2010,2,6
40214,89.4,2010,2,7
40215,68.4,2010,2,8
40216,58.8,2010,2,9
40217,59.1,2010,2,10
40218,60.1,2010,2,11
40219,60.4,2010,2,12
40220,61.5,2010,2,13
40221,58.9,2010,2,14
40222,59.5,2010,2,15
40223,60.2,2010,2,16
40224,60.9,2010,2,17
40225,61.2,2010,2,18
40226,61.1,2010,2,19
40227,59,2010,2,20
40228,59.2,2010,2,21
40229,59.6,2010,2,22
40230,60,2010,2,23
40231,60.7,2010,2,24
40232,63.5,2010,2,25
40233,63.7,2010,2,26
40234,63.7,2010,2,27
40235,64.5,2010,2,28
40236,66.6,2010,3,1
40237,66.7,2010,3,2
40238,67,2010,3,3
40239,67.2,2010,3,4
40240,67.4,2010,3,5
40241,67.6,2010,3,6
40242,66.8,2010,3,7
40243,56.9,2010,3,8
40244,50.8,2010,3,9
40245,51,2010,3,10
40246,51.1,2010,3,11
40247,52.2,2010,3,12
40248,53.5,2010,3,13
40249,53.3,2010,3,14
40250,53.2,2010,3,15
40251,53.3,2010,3,16
40252,53.2,2010,3,17
40253,52,2010,3,18
40254,50,2010,3,19
40255,50.2,2010,3,20
40256,50.5,2010,3,21
40257,50.9,2010,3,22
40258,51,2010,3,23
40259,51.3,2010,3,24
40260,51.8,2010,3,25
40261,54.5,2010,3,26
40262,55.1,2010,3,27
40263,50.5,2010,3,28
40264,50.9,2010,3,29
40265,54,2010,3,30
40266,217,2010,3,31
40267,453,2010,4,1
40268,456,2010,4,2
40269,459,2010,4,3
40270,459,2010,4,4
40271,422,2010,4,5
40272,366,2010,4,6
40273,324,2010,4,7
40274,222,2010,4,8
40275,222,2010,4,9
40276,223,2010,4,10
40277,223,2010,4,11
40278,223,2010,4,12
40279,224,2010,4,13
40280,225,2010,4,14
40281,226,2010,4,15
40282,227,2010,4,16
40283,228,2010,4,17
40284,228,2010,4,18
40285,229,2010,4,19
40286,230,2010,4,20
40287,231,2010,4,21
40288,231,2010,4,22
40289,232,2010,4,23
40290,232,2010,4,24
40291,233,2010,4,25
40292,233,2010,4,26
40293,480,2010,4,27
40294,688,2010,4,28
40295,721,2010,4,29
40296,778,2010,4,30
40297,777,2010,5,1
40298,777,2010,5,2
40299,660,2010,5,3
40300,593,2010,5,4
40301,503,2010,5,5
40302,342,2010,5,6
40303,314,2010,5,7
40304,314,2010,5,8
40305,314,2010,5,9
40306,453,2010,5,10
40307,562,2010,5,11
40308,562,2010,5,12
40309,562,2010,5,13
40310,561,2010,5,14
40311,560,2010,5,15
40312,559,2010,5,16
40313,476,2010,5,17
40314,392,2010,5,18
40315,393,2010,5,19
40316,489,2010,5,20
40317,583,2010,5,21
40318,584,2010,5,22
40319,584,2010,5,23
40320,544,2010,5,24
40321,500,2010,5,25
40322,442,2010,5,26
40323,413,2010,5,27
40324,414,2010,5,28
40325,415,2010,5,29
40326,414,2010,5,30
40327,415,2010,5,31
40328,662,2010,6,1
40329,1510,2010,6,2
40330,2140,2010,6,3
40331,2250,2010,6,4
40332,2250,2010,6,5
40333,1770,2010,6,6
40334,1090,2010,6,7
40335,771,2010,6,8
40336,714,2010,6,9
40337,850,2010,6,10
40338,978,2010,6,11
40339,646,2010,6,12
40340,418,2010,6,13
40341,385,2010,6,14
40342,417,2010,6,15
40343,358,2010,6,16
40344,348,2010,6,17
40345,291,2010,6,18
40346,240,2010,6,19
40347,240,2010,6,20
40348,233,2010,6,21
40349,209,2010,6,22
40350,198,2010,6,23
40351,183,2010,6,24
40352,183,2010,6,25
40353,183,2010,6,26
40354,180,2010,6,27
40355,159,2010,6,28
40356,149,2010,6,29
40357,149,2010,6,30
40358,103,2010,7,1
40359,86.5,2010,7,2
40360,86.5,2010,7,3
40361,86.6,2010,7,4
40362,86.5,2010,7,5
40363,103,2010,7,6
40364,122,2010,7,7
40365,122,2010,7,8
40366,122,2010,7,9
40367,122,2010,7,10
40368,122,2010,7,11
40369,90.3,2010,7,12
40370,61.3,2010,7,13
40371,58.9,2010,7,14
40372,58.7,2010,7,15
40373,58.7,2010,7,16
40374,58.7,2010,7,17
40375,58.7,2010,7,18
40376,58.6,2010,7,19
40377,58.5,2010,7,20
40378,58.6,2010,7,21
40379,58.7,2010,7,22
40380,58.6,2010,7,23
40381,58.6,2010,7,24
40382,58.7,2010,7,25
40383,58.8,2010,7,26
40384,58.9,2010,7,27
40385,58.9,2010,7,28
40386,58.9,2010,7,29
40387,58.9,2010,7,30
40388,58.9,2010,7,31
40389,58.9,2010,8,1
40390,58.8,2010,8,2
40391,58.8,2010,8,3
40392,58.9,2010,8,4
40393,58.7,2010,8,5
40394,58.6,2010,8,6
40395,58.6,2010,8,7
40396,58.5,2010,8,8
40397,58.5,2010,8,9
40398,58.5,2010,8,10
40399,58.3,2010,8,11
40400,58.1,2010,8,12
40401,58.1,2010,8,13
40402,57.9,2010,8,14
40403,58.1,2010,8,15
40404,58.1,2010,8,16
40405,133,2010,8,17
40406,572,2010,8,18
40407,579,2010,8,19
40408,632,2010,8,20
40409,631,2010,8,21
40410,628,2010,8,22
40411,514,2010,8,23
40412,387,2010,8,24
40413,387,2010,8,25
40414,384,2010,8,26
40415,320,2010,8,27
40416,287,2010,8,28
40417,286,2010,8,29
40418,286,2010,8,30
40419,286,2010,8,31
40420,285,2010,9,1
40421,285,2010,9,2
40422,284,2010,9,3
40423,284,2010,9,4
40424,284,2010,9,5
40425,283,2010,9,6
40426,283,2010,9,7
40427,282,2010,9,8
40428,282,2010,9,9
40429,282,2010,9,10
40430,281,2010,9,11
40431,281,2010,9,12
40432,287,2010,9,13
40433,342,2010,9,14
40434,362,2010,9,15
40435,365,2010,9,16
40436,364,2010,9,17
40437,364,2010,9,18
40438,401,2010,9,19
40439,620,2010,9,20
40440,592,2010,9,21
40441,589,2010,9,22
40442,513,2010,9,23
40443,499,2010,9,24
40444,496,2010,9,25
40445,495,2010,9,26
40446,493,2010,9,27
40447,489,2010,9,28
40448,481,2010,9,29
40449,479,2010,9,30
40450,478,2010,10,1
40451,475,2010,10,2
40452,473,2010,10,3
40453,471,2010,10,4
40454,470,2010,10,5
40455,467,2010,10,6
40456,466,2010,10,7
40457,464,2010,10,8
40458,463,2010,10,9
40459,461,2010,10,10
40460,459,2010,10,11
40461,456,2010,10,12
40462,491,2010,10,13
40463,547,2010,10,14
40464,550,2010,10,15
40465,547,2010,10,16
40466,544,2010,10,17
40467,541,2010,10,18
40468,538,2010,10,19
40469,533,2010,10,20
40470,557,2010,10,21
40471,612,2010,10,22
40472,789,2010,10,23
40473,813,2010,10,24
40474,812,2010,10,25
40475,1140,2010,10,26
40476,1600,2010,10,27
40477,1600,2010,10,28
40478,1530,2010,10,29
40479,1400,2010,10,30
40480,1320,2010,10,31
40481,1180,2010,11,1
40482,996,2010,11,2
40483,752,2010,11,3
40484,612,2010,11,4
40485,573,2010,11,5
40486,560,2010,11,6
40487,641,2010,11,7
40488,813,2010,11,8
40489,792,2010,11,9
40490,793,2010,11,10
40491,784,2010,11,11
40492,764,2010,11,12
40493,734,2010,11,13
40494,540,2010,11,14
40495,625,2010,11,15
40496,761,2010,11,16
40497,798,2010,11,17
40498,1420,2010,11,18
40499,1230,2010,11,19
40500,791,2010,11,20
40501,565,2010,11,21
40502,471,2010,11,22
40503,429,2010,11,23
40504,263,2010,11,24
40505,212,2010,11,25
40506,224,2010,11,26
40507,534,2010,11,27
40508,754,2010,11,28
40509,540,2010,11,29
40510,599,2010,11,30
40511,1920,2010,12,1
40512,2010,2010,12,2
40513,1530,2010,12,3
40514,1030,2010,12,4
40515,668,2010,12,5
40516,650,2010,12,6
40517,711,2010,12,7
40518,783,2010,12,8
40519,1270,2010,12,9
40520,1460,2010,12,10
40521,1030,2010,12,11
40522,1080,2010,12,12
40523,1070,2010,12,13
40524,1020,2010,12,14
40525,1170,2010,12,15
40526,2370,2010,12,16
40527,3000,2010,12,17
40528,2900,2010,12,18
40529,2920,2010,12,19
40530,2590,2010,12,20
40531,1740,2010,12,21
40532,949,2010,12,22
40533,445,2010,12,23
40534,310,2010,12,24
40535,386,2010,12,25
40536,425,2010,12,26
40537,488,2010,12,27
40538,938,2010,12,28
40539,1670,2010,12,29
40540,1590,2010,12,30
40541,1310,2010,12,31
40542,1090,2011,1,1
40543,802,2011,1,2
40544,589,2011,1,3
40545,497,2011,1,4
40546,484,2011,1,5
40547,382,2011,1,6
40548,322,2011,1,7
40549,408,2011,1,8
40550,350,2011,1,9
40551,331,2011,1,10
40552,294,2011,1,11
40553,284,2011,1,12
40554,821,2011,1,13
40555,1950,2011,1,14
40556,2020,2011,1,15
40557,1590,2011,1,16
40558,1320,2011,1,17
40559,1360,2011,1,18
40560,1730,2011,1,19
40561,2280,2011,1,20
40562,2410,2011,1,21
40563,2340,2011,1,22
40564,2350,2011,1,23
40565,2250,2011,1,24
40566,2130,2011,1,25
40567,1700,2011,1,26
40568,1230,2011,1,27
40569,843,2011,1,28
40570,589,2011,1,29
40571,392,2011,1,30
40572,248,2011,1,31
40573,195,2011,2,1
40574,209,2011,2,2
40575,181,2011,2,3
40576,120,2011,2,4
40577,105,2011,2,5
40578,105,2011,2,6
40579,94.2,2011,2,7
40580,91.7,2011,2,8
40581,93.2,2011,2,9
40582,94.1,2011,2,10
40583,95.2,2011,2,11
40584,96,2011,2,12
40585,96.8,2011,2,13
40586,69.7,2011,2,14
40587,53.3,2011,2,15
40588,56.6,2011,2,16
40589,56.3,2011,2,17
40590,56,2011,2,18
40591,56,2011,2,19
40592,56,2011,2,20
40593,56.1,2011,2,21
40594,69.2,2011,2,22
40595,73.1,2011,2,23
40596,69.4,2011,2,24
40597,55.2,2011,2,25
40598,55.1,2011,2,26
40599,54.9,2011,2,27
40600,55.4,2011,2,28
40601,58.2,2011,3,1
40602,58.9,2011,3,2
40603,59,2011,3,3
40604,59.7,2011,3,4
40605,62.5,2011,3,5
40606,61.9,2011,3,6
40607,61.4,2011,3,7
40608,63.5,2011,3,8
40609,65.3,2011,3,9
40610,66.6,2011,3,10
40611,292,2011,3,11
40612,502,2011,3,12
40613,503,2011,3,13
40614,488,2011,3,14
40615,488,2011,3,15
40616,495,2011,3,16
40617,501,2011,3,17
40618,501,2011,3,18
40619,436,2011,3,19
40620,344,2011,3,20
40621,305,2011,3,21
40622,277,2011,3,22
40623,256,2011,3,23
40624,256,2011,3,24
40625,257,2011,3,25
40626,260,2011,3,26
40627,321,2011,3,27
40628,465,2011,3,28
40629,537,2011,3,29
40630,546,2011,3,30
40631,668,2011,3,31
40632,1010,2011,4,1
40633,1450,2011,4,2
40634,1640,2011,4,3
40635,1630,2011,4,4
40636,1630,2011,4,5
