; USGS 14162500 MCKENZIE RIVER NEAR VIDA  OR,,,,
day_index,Q_cfs,year,month,day
40177,9360,2010,1,1
40178,8910,2010,1,2
40179,7630,2010,1,3
40180,7120,2010,1,4
40181,8250,2010,1,5
40182,10700,2010,1,6
40183,9710,2010,1,7
40184,8720,2010,1,8
40185,7980,2010,1,9
40186,6900,2010,1,10
40187,6180,2010,1,11
40188,6100,2010,1,12
40189,5980,2010,1,13
40190,5920,2010,1,14
40191,5830,2010,1,15
40192,6330,2010,1,16
40193,6320,2010,1,17
40194,6460,2010,1,18
40195,5980,2010,1,19
40196,5490,2010,1,20
40197,5060,2010,1,21
40198,4790,2010,1,22
40199,4310,2010,1,23
40200,4250,2010,1,24
40201,4580,2010,1,25
40202,4560,2010,1,26
40203,4380,2010,1,27
40204,4250,2010,1,28
40205,4010,2010,1,29
40206,3800,2010,1,30
40207,3670,2010,1,31
40208,3720,2010,2,1
40209,3790,2010,2,2
40210,3540,2010,2,3
40211,3370,2010,2,4
40212,3280,2010,2,5
40213,3250,2010,2,6
40214,3190,2010,2,7
40215,3150,2010,2,8
40216,3080,2010,2,9
40217,3000,2010,2,10
40218,3140,2010,2,11
40219,3370,2010,2,12
40220,3370,2010,2,13
40221,3360,2010,2,14
40222,3390,2010,2,15
40223,3390,2010,2,16
40224,3300,2010,2,17
40225,3180,2010,2,18
40226,3110,2010,2,19
40227,3040,2010,2,20
40228,2970,2010,2,21
40229,2920,2010,2,22
40230,2860,2010,2,23
40231,3140,2010,2,24
40232,3560,2010,2,25
40233,3410,2010,2,26
40234,3260,2010,2,27
40235,3080,2010,2,28
40236,3000,2010,3,1
40237,2970,2010,3,2
40238,2970,2010,3,3
40239,2930,2010,3,4
40240,2870,2010,3,5
40241,2800,2010,3,6
40242,2750,2010,3,7
40243,2730,2010,3,8
40244,2670,2010,3,9
40245,2670,2010,3,10
40246,2770,2010,3,11
40247,3130,2010,3,12
40248,3190,2010,3,13
40249,3000,2010,3,14
40250,2920,2010,3,15
40251,2900,2010,3,16
40252,2860,2010,3,17
40253,2790,2010,3,18
40254,2740,2010,3,19
40255,2640,2010,3,20
40256,2680,2010,3,21
40257,2970,2010,3,22
40258,2940,2010,3,23
40259,2870,2010,3,24
40260,2990,2010,3,25
40261,3630,2010,3,26
40262,3530,2010,3,27
40263,3440,2010,3,28
40264,6470,2010,3,29
40265,7450,2010,3,30
40266,5840,2010,3,31
40267,5240,2010,4,1
40268,5350,2010,4,2
40269,5430,2010,4,3
40270,5020,2010,4,4
40271,4650,2010,4,5
40272,4470,2010,4,6
40273,4380,2010,4,7
40274,4470,2010,4,8
40275,4230,2010,4,9
40276,4020,2010,4,10
40277,4010,2010,4,11
40278,3990,2010,4,12
40279,3990,2010,4,13
40280,4010,2010,4,14
40281,4230,2010,4,15
40282,4160,2010,4,16
40283,4060,2010,4,17
40284,4030,2010,4,18
40285,4070,2010,4,19
40286,4130,2010,4,20
40287,4320,2010,4,21
40288,4080,2010,4,22
40289,3870,2010,4,23
40290,3780,2010,4,24
40291,3670,2010,4,25
40292,3600,2010,4,26
40293,4320,2010,4,27
40294,5010,2010,4,28
40295,5200,2010,4,29
40296,5230,2010,4,30
40297,5030,2010,5,1
40298,4910,2010,5,2
40299,5080,2010,5,3
40300,5310,2010,5,4
40301,4820,2010,5,5
40302,4400,2010,5,6
40303,4210,2010,5,7
40304,4100,2010,5,8
40305,3970,2010,5,9
40306,4130,2010,5,10
40307,4250,2010,5,11
40308,4120,2010,5,12
40309,4030,2010,5,13
40310,3990,2010,5,14
40311,3970,2010,5,15
40312,3970,2010,5,16
40313,3950,2010,5,17
40314,4000,2010,5,18
40315,4070,2010,5,19
40316,4520,2010,5,20
40317,4570,2010,5,21
40318,4430,2010,5,22
40319,4290,2010,5,23
40320,4190,2010,5,24
40321,4030,2010,5,25
40322,4060,2010,5,26
40323,4140,2010,5,27
40324,4070,2010,5,28
40325,3870,2010,5,29
40326,3710,2010,5,30
40327,3780,2010,5,31
40328,4660,2010,6,1
40329,9650,2010,6,2
40330,12500,2010,6,3
40331,13500,2010,6,4
40332,12500,2010,6,5
40333,11200,2010,6,6
40334,9190,2010,6,7
40335,7560,2010,6,8
