; USGS 14164700 CEDAR CREEK AT SPRINGFIELD  OR,,,,
day_index,Q_cfs,year,month,day
40177,148,2010,1,1
40178,106,2010,1,2
40179,79.6,2010,1,3
40180,62.9,2010,1,4
40181,56,2010,1,5
40182,99.1,2010,1,6
40183,95.3,2010,1,7
40184,80.1,2010,1,8
40185,68.4,2010,1,9
40186,57.4,2010,1,10
40187,49.2,2010,1,11
40188,48.9,2010,1,12
40189,44.1,2010,1,13
40190,38.7,2010,1,14
40191,37.7,2010,1,15
40192,50.2,2010,1,16
40193,60.2,2010,1,17
40194,61.6,2010,1,18
40195,54.4,2010,1,19
40196,46,2010,1,20
40197,39.1,2010,1,21
40198,35.7,2010,1,22
40199,31.5,2010,1,23
40200,31.6,2010,1,24
40201,37.1,2010,1,25
40202,36.2,2010,1,26
40203,32.5,2010,1,27
40204,29.8,2010,1,28
40205,27.4,2010,1,29
40206,28,2010,1,30
40207,30.5,2010,1,31
40208,34,2010,2,1
40209,39.9,2010,2,2
40210,38.2,2010,2,3
40211,35.3,2010,2,4
40212,32.1,2010,2,5
40213,29,2010,2,6
40214,26.6,2010,2,7
40215,23.8,2010,2,8
40216,22,2010,2,9
40217,20.3,2010,2,10
40218,20.3,2010,2,11
40219,25.8,2010,2,12
40220,22.7,2010,2,13
40221,24.2,2010,2,14
40222,23.9,2010,2,15
40223,28.5,2010,2,16
40224,27.7,2010,2,17
40225,25.8,2010,2,18
40226,23.5,2010,2,19
40227,21.6,2010,2,20
40228,19.2,2010,2,21
40229,17.2,2010,2,22
40230,17.7,2010,2,23
40231,21.5,2010,2,24
40232,23,2010,2,25
40233,26.7,2010,2,26
40234,27.5,2010,2,27
40235,24.6,2010,2,28
40236,21.9,2010,3,1
40237,20.4,2010,3,2
40238,21.8,2010,3,3
40239,21.7,2010,3,4
40240,20.4,2010,3,5
40241,19.3,2010,3,6
40242,18.3,2010,3,7
40243,20,2010,3,8
40244,18,2010,3,9
40245,18.4,2010,3,10
40246,18.1,2010,3,11
40247,36.1,2010,3,12
40248,54,2010,3,13
40249,43,2010,3,14
40250,35.9,2010,3,15
40251,30.8,2010,3,16
40252,26.5,2010,3,17
40253,23.4,2010,3,18
40254,21,2010,3,19
40255,19.6,2010,3,20
40256,19.3,2010,3,21
40257,19.2,2010,3,22
40258,17.6,2010,3,23
40259,16.6,2010,3,24
