; USGS 14164900 McKENZIE RIVER ABV HAYDEN BR  AT SPRINGFIELD OR,,,,
day_index,Q_cfs,year,month,day
40177,14100,2010,1,1
40178,13200,2010,1,2
40179,10100,2010,1,3
40180,8700,2010,1,4
40181,9380,2010,1,5
40182,13900,2010,1,6
40183,13400,2010,1,7
40184,11400,2010,1,8
40185,10200,2010,1,9
40186,8600,2010,1,10
40187,7310,2010,1,11
40188,7030,2010,1,12
40189,6820,2010,1,13
40190,6770,2010,1,14
40191,6540,2010,1,15
40192,7520,2010,1,16
40193,7670,2010,1,17
40194,8120,2010,1,18
40195,7260,2010,1,19
40196,6570,2010,1,20
40197,5890,2010,1,21
40198,5490,2010,1,22
40199,5040,2010,1,23
40200,4670,2010,1,24
40201,5330,2010,1,25
40202,5320,2010,1,26
40203,5080,2010,1,27
40204,4880,2010,1,28
40205,4640,2010,1,29
40206,4350,2010,1,30
40207,4260,2010,1,31
40208,4200,2010,2,1
40209,4500,2010,2,2
40210,4260,2010,2,3
40211,4030,2010,2,4
40212,3880,2010,2,5
40213,3760,2010,2,6
40214,3720,2010,2,7
40215,3620,2010,2,8
40216,3530,2010,2,9
40217,3400,2010,2,10
40218,3520,2010,2,11
40219,3800,2010,2,12
40220,3920,2010,2,13
40221,3840,2010,2,14
40222,3920,2010,2,15
40223,3970,2010,2,16
40224,3860,2010,2,17
40225,3740,2010,2,18
40226,3600,2010,2,19
40227,3460,2010,2,20
40228,3370,2010,2,21
40229,3240,2010,2,22
40230,3170,2010,2,23
40231,3500,2010,2,24
40232,4040,2010,2,25
40233,4050,2010,2,26
40234,3880,2010,2,27
40235,3620,2010,2,28
40236,3440,2010,3,1
40237,3360,2010,3,2
40238,3350,2010,3,3
40239,3330,2010,3,4
40240,3220,2010,3,5
40241,3130,2010,3,6
40242,3030,2010,3,7
40243,3050,2010,3,8
40244,2940,2010,3,9
40245,2940,2010,3,10
40246,3010,2010,3,11
40247,3790,2010,3,12
40248,4260,2010,3,13
40249,3880,2010,3,14
40250,3640,2010,3,15
40251,3490,2010,3,16
40252,3390,2010,3,17
40253,3250,2010,3,18
40254,3170,2010,3,19
40255,3050,2010,3,20
40256,3010,2010,3,21
40257,3310,2010,3,22
40258,3290,2010,3,23
40259,3210,2010,3,24
40260,3280,2010,3,25
40261,4280,2010,3,26
40262,4660,2010,3,27
40263,4250,2010,3,28
40264,7330,2010,3,29
40265,12300,2010,3,30
40266,9340,2010,3,31
40267,7550,2010,4,1
40268,7300,2010,4,2
40269,8120,2010,4,3
40270,7160,2010,4,4
40271,6450,2010,4,5
40272,6050,2010,4,6
40273,5880,2010,4,7
40274,5830,2010,4,8
40275,5590,2010,4,9
40276,5220,2010,4,10
40277,5140,2010,4,11
40278,5040,2010,4,12
40279,4950,2010,4,13
40280,4960,2010,4,14
40281,5340,2010,4,15
40282,5180,2010,4,16
40283,4950,2010,4,17
40284,4780,2010,4,18
40285,4710,2010,4,19
40286,4720,2010,4,20
40287,5020,2010,4,21
40288,4790,2010,4,22
40289,4460,2010,4,23
40290,4260,2010,4,24
40291,4140,2010,4,25
40292,3980,2010,4,26
40293,5090,2010,4,27
40294,6510,2010,4,28
40295,6850,2010,4,29
40296,6860,2010,4,30
40297,6370,2010,5,1
40298,6100,2010,5,2
40299,5980,2010,5,3
40300,6440,2010,5,4
40301,5880,2010,5,5
40302,5310,2010,5,6
40303,4970,2010,5,7
40304,4780,2010,5,8
40305,4550,2010,5,9
40306,4570,2010,5,10
40307,4740,2010,5,11
40308,4580,2010,5,12
40309,4470,2010,5,13
40310,4370,2010,5,14
40311,4260,2010,5,15
40312,4240,2010,5,16
40313,4160,2010,5,17
40314,4240,2010,5,18
40315,4310,2010,5,19
40316,4860,2010,5,20
40317,5090,2010,5,21
40318,5210,2010,5,22
40319,5140,2010,5,23
40320,4910,2010,5,24
40321,4630,2010,5,25
40322,4700,2010,5,26
40323,4840,2010,5,27
40324,4700,2010,5,28
40325,4510,2010,5,29
40326,4240,2010,5,30
40327,4270,2010,5,31
40328,4470,2010,6,1
40329,10000,2010,6,2
40330,18700,2010,6,3
40331,19600,2010,6,4
40332,19300,2010,6,5
40333,16300,2010,6,6
40334,12900,2010,6,7
40335,9830,2010,6,8
40336,8930,2010,6,9
40337,9930,2010,6,10
40338,10100,2010,6,11
40339,8610,2010,6,12
40340,7220,2010,6,13
40341,6230,2010,6,14
40342,5910,2010,6,15
40343,5640,2010,6,16
40344,5420,2010,6,17
40345,5170,2010,6,18
40346,4870,2010,6,19
40347,4560,2010,6,20
40348,4350,2010,6,21
40349,4040,2010,6,22
40350,3900,2010,6,23
40351,3670,2010,6,24
40352,3600,2010,6,25
40353,3450,2010,6,26
40354,3380,2010,6,27
40355,3330,2010,6,28
40356,3250,2010,6,29
40357,3160,2010,6,30
40358,3060,2010,7,1
40359,2990,2010,7,2
40360,2950,2010,7,3
40361,2880,2010,7,4
40362,2830,2010,7,5
40363,2760,2010,7,6
40364,2820,2010,7,7
40365,2750,2010,7,8
40366,2650,2010,7,9
40367,2670,2010,7,10
40368,2630,2010,7,11
40369,2620,2010,7,12
40370,2560,2010,7,13
40371,2520,2010,7,14
40372,2500,2010,7,15
40373,2480,2010,7,16
40374,2470,2010,7,17
40375,2480,2010,7,18
40376,2480,2010,7,19
40377,2520,2010,7,20
40378,2510,2010,7,21
40379,2490,2010,7,22
40380,2430,2010,7,23
40381,2410,2010,7,24
40382,2500,2010,7,25
40383,2510,2010,7,26
40384,2620,2010,7,27
40385,2590,2010,7,28
40386,2610,2010,7,29
40387,2600,2010,7,30
40388,2540,2010,7,31
40389,2520,2010,8,1
40390,2500,2010,8,2
40391,2520,2010,8,3
40392,2470,2010,8,4
40393,2510,2010,8,5
40394,2500,2010,8,6
40395,2470,2010,8,7
40396,2450,2010,8,8
40397,2450,2010,8,9
40398,2460,2010,8,10
40399,2470,2010,8,11
40400,2450,2010,8,12
40401,2480,2010,8,13
40402,2370,2010,8,14
40403,2190,2010,8,15
40404,2090,2010,8,16
40405,2100,2010,8,17
40406,2420,2010,8,18
40407,2450,2010,8,19
40408,2550,2010,8,20
40409,2550,2010,8,21
40410,2500,2010,8,22
40411,2500,2010,8,23
40412,2330,2010,8,24
40413,2300,2010,8,25
40414,2270,2010,8,26
