; USGS 14165000 MOHAWK RIVER NEAR SPRINGFIELD  OR,,,,
day_index,Q_cfs,year,month,day
40177,3220,2010,1,1
40178,2290,2010,1,2
40179,1550,2010,1,3
40180,1210,2010,1,4
40181,1110,2010,1,5
40182,1990,2010,1,6
40183,1760,2010,1,7
40184,1400,2010,1,8
40185,1200,2010,1,9
40186,997,2010,1,10
40187,864,2010,1,11
40188,856,2010,1,12
40189,887,2010,1,13
40190,1080,2010,1,14
40191,952,2010,1,15
40192,1380,2010,1,16
40193,1630,2010,1,17
40194,1570,2010,1,18
40195,1290,2010,1,19
40196,1080,2010,1,20
40197,928,2010,1,21
40198,821,2010,1,22
40199,729,2010,1,23
40200,688,2010,1,24
40201,828,2010,1,25
40202,779,2010,1,26
40203,693,2010,1,27
40204,633,2010,1,28
40205,582,2010,1,29
40206,568,2010,1,30
40207,608,2010,1,31
40208,607,2010,2,1
40209,687,2010,2,2
40210,677,2010,2,3
40211,714,2010,2,4
40212,681,2010,2,5
40213,627,2010,2,6
40214,598,2010,2,7
40215,551,2010,2,8
40216,515,2010,2,9
40217,484,2010,2,10
40218,530,2010,2,11
40219,691,2010,2,12
40220,661,2010,2,13
40221,663,2010,2,14
40222,652,2010,2,15
40223,734,2010,2,16
40224,704,2010,2,17
40225,655,2010,2,18
40226,596,2010,2,19
40227,541,2010,2,20
40228,493,2010,2,21
40229,450,2010,2,22
40230,435,2010,2,23
40231,543,2010,2,24
40232,533,2010,2,25
40233,575,2010,2,26
40234,610,2010,2,27
40235,544,2010,2,28
40236,497,2010,3,1
40237,467,2010,3,2
40238,456,2010,3,3
40239,453,2010,3,4
40240,416,2010,3,5
40241,388,2010,3,6
40242,368,2010,3,7
40243,393,2010,3,8
40244,359,2010,3,9
40245,362,2010,3,10
40246,421,2010,3,11
40247,922,2010,3,12
40248,1140,2010,3,13
40249,903,2010,3,14
40250,762,2010,3,15
40251,666,2010,3,16
40252,587,2010,3,17
40253,532,2010,3,18
40254,490,2010,3,19
40255,455,2010,3,20
40256,448,2010,3,21
40257,454,2010,3,22
40258,411,2010,3,23
40259,384,2010,3,24
40260,454,2010,3,25
40261,950,2010,3,26
40262,963,2010,3,27
40263,815,2010,3,28
40264,1590,2010,3,29
40265,2870,2010,3,30
40266,2520,2010,3,31
40267,1800,2010,4,1
40268,1720,2010,4,2
40269,1880,2010,4,3
40270,1600,2010,4,4
40271,1380,2010,4,5
40272,1300,2010,4,6
40273,1190,2010,4,7
40274,1160,2010,4,8
40275,1040,2010,4,9
40276,953,2010,4,10
40277,938,2010,4,11
40278,882,2010,4,12
40279,858,2010,4,13
40280,834,2010,4,14
40281,906,2010,4,15
40282,820,2010,4,16
40283,749,2010,4,17
40284,680,2010,4,18
40285,624,2010,4,19
40286,619,2010,4,20
40287,712,2010,4,21
40288,614,2010,4,22
40289,558,2010,4,23
40290,522,2010,4,24
40291,480,2010,4,25
40292,455,2010,4,26
40293,1000,2010,4,27
40294,1310,2010,4,28
40295,1240,2010,4,29
40296,1080,2010,4,30
40297,959,2010,5,1
40298,846,2010,5,2
40299,826,2010,5,3
40300,775,2010,5,4
