; USGS 14171000 MARYS RIVER NEAR PHILOMATH  OR,,,,
day_index,Q_cfs,year,month,day
36798,17.1,2000,10,1
36799,19.5,2000,10,2
36800,26.1,2000,10,3
36801,21.8,2000,10,4
36802,18.2,2000,10,5
36803,16.3,2000,10,6
36804,16.1,2000,10,7
36805,17.7,2000,10,8
36806,28.7,2000,10,9
36807,36.8,2000,10,10
36808,45.4,2000,10,11
36809,34.6,2000,10,12
36810,30.9,2000,10,13
36811,25.4,2000,10,14
36812,21.7,2000,10,15
36813,21.7,2000,10,16
36814,20.6,2000,10,17
36815,22.8,2000,10,18
36816,24.4,2000,10,19
36817,39,2000,10,20
36818,55.8,2000,10,21
36819,57.1,2000,10,22
36820,42.6,2000,10,23
36821,34.4,2000,10,24
36822,29.8,2000,10,25
36823,28.1,2000,10,26
36824,27.8,2000,10,27
36825,49,2000,10,28
36826,63.1,2000,10,29
36827,66.4,2000,10,30
36828,52.1,2000,10,31
36829,46.3,2000,11,1
36830,54.1,2000,11,2
36831,47.4,2000,11,3
36832,45.9,2000,11,4
36833,42,2000,11,5
36834,42.8,2000,11,6
36835,42.4,2000,11,7
36836,53,2000,11,8
36837,86,2000,11,9
36838,90,2000,11,10
36839,71.8,2000,11,11
36840,57.3,2000,11,12
36841,49.1,2000,11,13
36842,44.3,2000,11,14
36843,40.8,2000,11,15
36844,38.5,2000,11,16
36845,0,2000,11,17
36846,35.3,2000,11,18
36847,31.9,2000,11,19
36848,35.2,2000,11,20
36849,32.3,2000,11,21
36850,32.3,2000,11,22
36851,36.7,2000,11,23
36852,55.7,2000,11,24
36853,77.5,2000,11,25
36854,70.7,2000,11,26
36855,85.1,2000,11,27
36856,87.9,2000,11,28
36857,101.2,2000,11,29
36858,191.5,2000,11,30
36859,131,2000,12,1
36860,110.6,2000,12,2
36861,97.9,2000,12,3
36862,80.8,2000,12,4
36863,67.1,2000,12,5
36864,59.5,2000,12,6
36865,55.7,2000,12,7
36866,53.2,2000,12,8
36867,48.8,2000,12,9
36868,39.6,2000,12,10
36869,39.1,2000,12,11
36870,41,2000,12,12
36871,71.9,2000,12,13
36872,238.8,2000,12,14
36873,518.6,2000,12,15
36874,462,2000,12,16
36875,477.4,2000,12,17
36876,377.1,2000,12,18
36877,299.3,2000,12,19
36878,265.2,2000,12,20
36879,259.6,2000,12,21
36880,1205.6,2000,12,22
36881,1150.9,2000,12,23
36882,779.2,2000,12,24
36883,572.3,2000,12,25
36884,447.5,2000,12,26
36885,366.9,2000,12,27
36886,309.3,2000,12,28
36887,266.4,2000,12,29
36888,234,2000,12,30
36889,210.6,2000,12,31
36890,189.6,2001,1,1
36891,171.7,2001,1,2
36892,157.9,2001,1,3
36893,147.2,2001,1,4
36894,141,2001,1,5
36895,135.6,2001,1,6
36896,126.6,2001,1,7
36897,123.7,2001,1,8
36898,123.5,2001,1,9
36899,136.6,2001,1,10
36900,130,2001,1,11
36901,118,2001,1,12
36902,133.5,2001,1,13
36903,344.8,2001,1,14
36904,339.9,2001,1,15
36905,274.3,2001,1,16
36906,232.5,2001,1,17
36907,206.5,2001,1,18
36908,191.4,2001,1,19
36909,181,2001,1,20
36910,198.1,2001,1,21
36911,203.5,2001,1,22
36912,187.9,2001,1,23
36913,195.1,2001,1,24
36914,207,2001,1,25
36915,209.2,2001,1,26
36916,192.7,2001,1,27
36917,181.2,2001,1,28
36918,222.9,2001,1,29
36919,277.6,2001,1,30
36920,253.2,2001,1,31
36921,231.7,2001,2,1
