; USGS 14171600 WILLAMETTE RIVER AT CORVALLIS  OR,,,,
day_index,Q_cfs,year,month,day
40177,22000,2010,1,1
40178,33500,2010,1,2
40179,29500,2010,1,3
40180,25000,2010,1,4
40181,24200,2010,1,5
40182,28200,2010,1,6
40183,35300,2010,1,7
40184,34500,2010,1,8
40185,32000,2010,1,9
40186,29400,2010,1,10
40187,25500,2010,1,11
40188,23700,2010,1,12
40189,23500,2010,1,13
40190,23200,2010,1,14
40191,21000,2010,1,15
40192,20400,2010,1,16
40193,22000,2010,1,17
40194,23000,2010,1,18
40195,21600,2010,1,19
40196,19100,2010,1,20
40197,17700,2010,1,21
40198,16300,2010,1,22
40199,14400,2010,1,23
40200,13000,2010,1,24
40201,13000,2010,1,25
40202,13700,2010,1,26
40203,13200,2010,1,27
40204,12400,2010,1,28
40205,11700,2010,1,29
40206,10900,2010,1,30
40207,10400,2010,1,31
40208,10200,2010,2,1
40209,10900,2010,2,2
40210,11500,2010,2,3
40211,11600,2010,2,4
40212,11300,2010,2,5
40213,10600,2010,2,6
40214,10200,2010,2,7
40215,9780,2010,2,8
40216,9200,2010,2,9
40217,8710,2010,2,10
40218,8540,2010,2,11
40219,9160,2010,2,12
40220,10700,2010,2,13
40221,10400,2010,2,14
40222,10300,2010,2,15
40223,10400,2010,2,16
40224,10500,2010,2,17
40225,9810,2010,2,18
40226,9210,2010,2,19
40227,8830,2010,2,20
40228,8640,2010,2,21
40229,8400,2010,2,22
40230,8210,2010,2,23
40231,8540,2010,2,24
40232,9340,2010,2,25
40233,10600,2010,2,26
40234,12400,2010,2,27
40235,11300,2010,2,28
40236,9990,2010,3,1
40237,9340,2010,3,2
40238,8960,2010,3,3
40239,8780,2010,3,4
40240,8580,2010,3,5
40241,8320,2010,3,6
40242,8120,2010,3,7
40243,7950,2010,3,8
40244,7920,2010,3,9
40245,7850,2010,3,10
40246,7820,2010,3,11
40247,8830,2010,3,12
40248,12300,2010,3,13
40249,12400,2010,3,14
40250,10800,2010,3,15
40251,9850,2010,3,16
40252,9190,2010,3,17
40253,8660,2010,3,18
40254,8390,2010,3,19
40255,8260,2010,3,20
40256,8090,2010,3,21
40257,8010,2010,3,22
40258,8060,2010,3,23
40259,7940,2010,3,24
40260,7930,2010,3,25
40261,9210,2010,3,26
40262,13300,2010,3,27
40263,13300,2010,3,28
40264,14800,2010,3,29
40265,28000,2010,3,30
40266,36200,2010,3,31
40267,31200,2010,4,1
40268,26900,2010,4,2
40269,28400,2010,4,3
40270,28300,2010,4,4
40271,25000,2010,4,5
40272,22800,2010,4,6
40273,20100,2010,4,7
40274,18000,2010,4,8
40275,17000,2010,4,9
40276,15200,2010,4,10
40277,14000,2010,4,11
40278,14700,2010,4,12
40279,14500,2010,4,13
40280,14300,2010,4,14
40281,13600,2010,4,15
40282,12900,2010,4,16
40283,11800,2010,4,17
40284,10900,2010,4,18
40285,10500,2010,4,19
40286,10500,2010,4,20
40287,11900,2010,4,21
40288,12500,2010,4,22
40289,11500,2010,4,23
40290,10500,2010,4,24
40291,9830,2010,4,25
40292,9380,2010,4,26
40293,10100,2010,4,27
40294,17200,2010,4,28
40295,20500,2010,4,29
40296,20500,2010,4,30
40297,19000,2010,5,1
40298,16800,2010,5,2
40299,15600,2010,5,3
40300,15000,2010,5,4
40301,14800,2010,5,5
40302,14100,2010,5,6
40303,12500,2010,5,7
40304,11300,2010,5,8
40305,10500,2010,5,9
40306,9860,2010,5,10
40307,9900,2010,5,11
40308,10300,2010,5,12
40309,11100,2010,5,13
40310,11000,2010,5,14
40311,10700,2010,5,15
40312,10200,2010,5,16
40313,10100,2010,5,17
40314,9930,2010,5,18
40315,10100,2010,5,19
40316,10600,2010,5,20
40317,12300,2010,5,21
40318,13100,2010,5,22
40319,14100,2010,5,23
40320,14400,2010,5,24
40321,13600,2010,5,25
40322,14000,2010,5,26
40323,15600,2010,5,27
40324,17100,2010,5,28
40325,16200,2010,5,29
40326,14300,2010,5,30
40327,13000,2010,5,31
40328,13200,2010,6,1
40329,15400,2010,6,2
40330,29000,2010,6,3
40331,43700,2010,6,4
40332,52100,2010,6,5
40333,55600,2010,6,6
40334,49000,2010,6,7
40335,39100,2010,6,8
40336,32600,2010,6,9
40337,30900,2010,6,10
40338,29400,2010,6,11
40339,27000,2010,6,12
40340,22800,2010,6,13
40341,19100,2010,6,14
40342,17000,2010,6,15
40343,15900,2010,6,16
40344,14700,2010,6,17
40345,13800,2010,6,18
40346,13200,2010,6,19
40347,12500,2010,6,20
40348,12100,2010,6,21
40349,11500,2010,6,22
40350,10500,2010,6,23
40351,9600,2010,6,24
40352,9400,2010,6,25
40353,9200,2010,6,26
40354,9000,2010,6,27
40355,8800,2010,6,28
40356,8500,2010,6,29
40357,8420,2010,6,30
40358,8190,2010,7,1
40359,8070,2010,7,2
40360,7970,2010,7,3
40361,7890,2010,7,4
40362,7710,2010,7,5
40363,7560,2010,7,6
40364,7530,2010,7,7
40365,7480,2010,7,8
40366,7450,2010,7,9
40367,7310,2010,7,10
40368,7460,2010,7,11
40369,7640,2010,7,12
40370,7860,2010,7,13
40371,7720,2010,7,14
40372,7580,2010,7,15
40373,7450,2010,7,16
40374,7370,2010,7,17
40375,7340,2010,7,18
40376,7350,2010,7,19
40377,7370,2010,7,20
40378,7370,2010,7,21
40379,7370,2010,7,22
40380,7320,2010,7,23
