; USGS 14174000 WILLAMETTE RIVER AT ALBANY  OR,,,,
day_index,Q_cfs,year,month,day
40177,24200,2010,1,1
40178,36000,2010,1,2
40179,33400,2010,1,3
40180,27900,2010,1,4
40181,26500,2010,1,5
40182,31300,2010,1,6
40183,38300,2010,1,7
40184,37500,2010,1,8
40185,34400,2010,1,9
40186,31800,2010,1,10
40187,27700,2010,1,11
40188,26100,2010,1,12
40189,26200,2010,1,13
40190,25600,2010,1,14
40191,23500,2010,1,15
40192,24100,2010,1,16
40193,26100,2010,1,17
40194,26800,2010,1,18
40195,24800,2010,1,19
40196,21700,2010,1,20
40197,19700,2010,1,21
40198,18200,2010,1,22
40199,16100,2010,1,23
40200,14600,2010,1,24
40201,14800,2010,1,25
40202,15700,2010,1,26
40203,14900,2010,1,27
40204,13900,2010,1,28
40205,12900,2010,1,29
40206,12000,2010,1,30
40207,11700,2010,1,31
40208,11500,2010,2,1
40209,12400,2010,2,2
40210,13000,2010,2,3
40211,13200,2010,2,4
40212,13000,2010,2,5
40213,11900,2010,2,6
40214,11500,2010,2,7
40215,10900,2010,2,8
40216,10100,2010,2,9
40217,9410,2010,2,10
40218,9210,2010,2,11
40219,10500,2010,2,12
40220,12500,2010,2,13
40221,12000,2010,2,14
40222,12000,2010,2,15
40223,12100,2010,2,16
40224,12100,2010,2,17
40225,11100,2010,2,18
40226,10300,2010,2,19
40227,9630,2010,2,20
40228,9050,2010,2,21
40229,8580,2010,2,22
40230,8220,2010,2,23
40231,9110,2010,2,24
40232,10400,2010,2,25
40233,12200,2010,2,26
40234,14700,2010,2,27
40235,12600,2010,2,28
40236,10800,2010,3,1
40237,9940,2010,3,2
40238,9380,2010,3,3
40239,9130,2010,3,4
40240,8830,2010,3,5
40241,8340,2010,3,6
40242,7880,2010,3,7
40243,7620,2010,3,8
40244,7650,2010,3,9
40245,7420,2010,3,10
40246,7380,2010,3,11
40247,9280,2010,3,12
40248,13900,2010,3,13
40249,13700,2010,3,14
40250,11800,2010,3,15
40251,10700,2010,3,16
40252,9830,2010,3,17
40253,9110,2010,3,18
40254,8550,2010,3,19
40255,8110,2010,3,20
40256,7730,2010,3,21
40257,7680,2010,3,22
40258,7840,2010,3,23
40259,7610,2010,3,24
40260,7670,2010,3,25
40261,10600,2010,3,26
40262,15500,2010,3,27
40263,14900,2010,3,28
40264,18200,2010,3,29
40265,31900,2010,3,30
40266,40900,2010,3,31
40267,35500,2010,4,1
40268,29300,2010,4,2
40269,30500,2010,4,3
40270,30700,2010,4,4
40271,26800,2010,4,5
40272,24600,2010,4,6
40273,21900,2010,4,7
40274,19500,2010,4,8
40275,18500,2010,4,9
40276,16500,2010,4,10
40277,15200,2010,4,11
40278,15900,2010,4,12
40279,15900,2010,4,13
40280,15700,2010,4,14
40281,14900,2010,4,15
40282,14100,2010,4,16
40283,12800,2010,4,17
40284,11800,2010,4,18
40285,11200,2010,4,19
40286,11200,2010,4,20
40287,12600,2010,4,21
40288,13300,2010,4,22
40289,12100,2010,4,23
40290,11000,2010,4,24
40291,10200,2010,4,25
40292,9680,2010,4,26
40293,10700,2010,4,27
40294,18900,2010,4,28
40295,22100,2010,4,29
40296,21800,2010,4,30
40297,20200,2010,5,1
40298,17900,2010,5,2
40299,16500,2010,5,3
40300,16100,2010,5,4
40301,15700,2010,5,5
40302,14900,2010,5,6
40303,13200,2010,5,7
40304,11900,2010,5,8
40305,10900,2010,5,9
40306,10300,2010,5,10
40307,10300,2010,5,11
40308,10700,2010,5,12
40309,11500,2010,5,13
40310,11300,2010,5,14
40311,11000,2010,5,15
40312,10500,2010,5,16
40313,10400,2010,5,17
40314,10100,2010,5,18
40315,10400,2010,5,19
40316,10800,2010,5,20
40317,12800,2010,5,21
40318,13600,2010,5,22
40319,14700,2010,5,23
40320,14900,2010,5,24
40321,14200,2010,5,25
40322,14500,2010,5,26
40323,16400,2010,5,27
40324,17800,2010,5,28
40325,16800,2010,5,29
40326,14900,2010,5,30
40327,13500,2010,5,31
40328,13600,2010,6,1
40329,16200,2010,6,2
40330,29900,2010,6,3
40331,43200,2010,6,4
40332,50500,2010,6,5
40333,53400,2010,6,6
40334,49100,2010,6,7
40335,40100,2010,6,8
40336,33300,2010,6,9
40337,31300,2010,6,10
40338,30300,2010,6,11
40339,28000,2010,6,12
40340,23800,2010,6,13
40341,20100,2010,6,14
40342,17800,2010,6,15
40343,16600,2010,6,16
40344,15400,2010,6,17
40345,14400,2010,6,18
40346,13700,2010,6,19
40347,13000,2010,6,20
40348,12500,2010,6,21
40349,11800,2010,6,22
