; USGS 14180300 BLOWOUT CREEK NEAR DETROIT  OR,,,,
day_index,Q_cfs,year,month,day
40177,495,2010,1,1
40178,493,2010,1,2
40179,339,2010,1,3
40180,266,2010,1,4
40181,483,2010,1,5
40182,723,2010,1,6
40183,473,2010,1,7
40184,330,2010,1,8
40185,264,2010,1,9
40186,215,2010,1,10
40187,182,2010,1,11
40188,175,2010,1,12
40189,186,2010,1,13
40190,200,2010,1,14
40191,181,2010,1,15
40192,262,2010,1,16
40193,290,2010,1,17
40194,273,2010,1,18
40195,221,2010,1,19
40196,178,2010,1,20
40197,147,2010,1,21
40198,128,2010,1,22
40199,109,2010,1,23
40200,123,2010,1,24
40201,192,2010,1,25
40202,175,2010,1,26
40203,152,2010,1,27
40204,132,2010,1,28
40205,120,2010,1,29
40206,118,2010,1,30
40207,113,2010,1,31
40208,108,2010,2,1
40209,108,2010,2,2
40210,108,2010,2,3
40211,127,2010,2,4
40212,142,2010,2,5
40213,132,2010,2,6
40214,119,2010,2,7
40215,107,2010,2,8
40216,95.8,2010,2,9
40217,87.6,2010,2,10
40218,98.2,2010,2,11
40219,141,2010,2,12
40220,139,2010,2,13
40221,140,2010,2,14
40222,135,2010,2,15
40223,130,2010,2,16
40224,120,2010,2,17
40225,107,2010,2,18
40226,96.4,2010,2,19
40227,86.6,2010,2,20
40228,77.9,2010,2,21
40229,71,2010,2,22
40230,68.2,2010,2,23
40231,92.6,2010,2,24
40232,105,2010,2,25
40233,107,2010,2,26
40234,108,2010,2,27
40235,98.3,2010,2,28
40236,89.1,2010,3,1
40237,82.7,2010,3,2
40238,79.2,2010,3,3
40239,76.4,2010,3,4
40240,70.5,2010,3,5
40241,65.9,2010,3,6
40242,61.5,2010,3,7
40243,59.6,2010,3,8
40244,55,2010,3,9
40245,53.3,2010,3,10
40246,68.5,2010,3,11
40247,122,2010,3,12
40248,108,2010,3,13
40249,94.4,2010,3,14
40250,87.1,2010,3,15
40251,83.5,2010,3,16
40252,80.1,2010,3,17
40253,75.2,2010,3,18
40254,70,2010,3,19
40255,65.6,2010,3,20
40256,72,2010,3,21
40257,85.1,2010,3,22
40258,80.6,2010,3,23
40259,75.1,2010,3,24
40260,85.1,2010,3,25
40261,119,2010,3,26
40262,118,2010,3,27
40263,141,2010,3,28
40264,892,2010,3,29
40265,675,2010,3,30
40266,392,2010,3,31
40267,271,2010,4,1
40268,252,2010,4,2
40269,232,2010,4,3
40270,189,2010,4,4
40271,163,2010,4,5
40272,152,2010,4,6
40273,151,2010,4,7
40274,170,2010,4,8
40275,153,2010,4,9
40276,137,2010,4,10
40277,129,2010,4,11
40278,149,2010,4,12
40279,162,2010,4,13
40280,180,2010,4,14
40281,297,2010,4,15
40282,253,2010,4,16
40283,235,2010,4,17
40284,224,2010,4,18
40285,223,2010,4,19
40286,222,2010,4,20
40287,217,2010,4,21
40288,180,2010,4,22
40289,153,2010,4,23
40290,142,2010,4,24
40291,127,2010,4,25
40292,118,2010,4,26
40293,179,2010,4,27
40294,201,2010,4,28
40295,202,2010,4,29
40296,197,2010,4,30
40297,188,2010,5,1
40298,179,2010,5,2
40299,210,2010,5,3
40300,215,2010,5,4
40301,187,2010,5,5
40302,159,2010,5,6
40303,139,2010,5,7
40304,123,2010,5,8
40305,114,2010,5,9
40306,116,2010,5,10
40307,112,2010,5,11
40308,105,2010,5,12
40309,101,2010,5,13
40310,100,2010,5,14
40311,103,2010,5,15
40312,105,2010,5,16
40313,110,2010,5,17
40314,114,2010,5,18
40315,122,2010,5,19
40316,154,2010,5,20
40317,147,2010,5,21
40318,135,2010,5,22
40319,123,2010,5,23
40320,112,2010,5,24
40321,107,2010,5,25
40322,117,2010,5,26
40323,134,2010,5,27
40324,151,2010,5,28
40325,138,2010,5,29
40326,123,2010,5,30
40327,120,2010,5,31
40328,113,2010,6,1
