; USGS 14182500 LITTLE NORTH SANTIAM RIVER NEAR MEHAMA  OR,,,,
day_index,Q_cfs,year,month,day
40177,3590,2010,1,1
40178,2850,2010,1,2
40179,1740,2010,1,3
40180,1370,2010,1,4
40181,3750,2010,1,5
40182,3710,2010,1,6
40183,2220,2010,1,7
40184,1480,2010,1,8
40185,1260,2010,1,9
40186,1050,2010,1,10
40187,880,2010,1,11
40188,850,2010,1,12
40189,899,2010,1,13
40190,1000,2010,1,14
40191,850,2010,1,15
40192,1480,2010,1,16
40193,1620,2010,1,17
40194,1450,2010,1,18
40195,1070,2010,1,19
40196,846,2010,1,20
40197,700,2010,1,21
40198,623,2010,1,22
40199,560,2010,1,23
40200,577,2010,1,24
40201,1110,2010,1,25
40202,977,2010,1,26
40203,783,2010,1,27
40204,659,2010,1,28
40205,576,2010,1,29
40206,536,2010,1,30
40207,533,2010,1,31
40208,511,2010,2,1
40209,553,2010,2,2
40210,532,2010,2,3
40211,615,2010,2,4
40212,664,2010,2,5
40213,614,2010,2,6
40214,551,2010,2,7
40215,493,2010,2,8
40216,442,2010,2,9
40217,405,2010,2,10
40218,573,2010,2,11
40219,852,2010,2,12
40220,841,2010,2,13
40221,802,2010,2,14
40222,844,2010,2,15
40223,816,2010,2,16
40224,757,2010,2,17
40225,647,2010,2,18
40226,557,2010,2,19
40227,484,2010,2,20
40228,423,2010,2,21
40229,375,2010,2,22
40230,352,2010,2,23
40231,602,2010,2,24
40232,992,2010,2,25
40233,830,2010,2,26
40234,791,2010,2,27
40235,664,2010,2,28
40236,562,2010,3,1
40237,495,2010,3,2
40238,444,2010,3,3
40239,414,2010,3,4
40240,372,2010,3,5
40241,340,2010,3,6
40242,315,2010,3,7
40243,313,2010,3,8
40244,288,2010,3,9
40245,286,2010,3,10
40246,368,2010,3,11
40247,1110,2010,3,12
40248,950,2010,3,13
40249,720,2010,3,14
40250,643,2010,3,15
40251,699,2010,3,16
40252,708,2010,3,17
40253,604,2010,3,18
40254,521,2010,3,19
40255,461,2010,3,20
40256,514,2010,3,21
40257,869,2010,3,22
40258,770,2010,3,23
40259,633,2010,3,24
40260,667,2010,3,25
40261,1170,2010,3,26
40262,1070,2010,3,27
40263,1090,2010,3,28
40264,4280,2010,3,29
40265,3160,2010,3,30
40266,1970,2010,3,31
40267,1410,2010,4,1
40268,1340,2010,4,2
40269,1380,2010,4,3
40270,1100,2010,4,4
40271,937,2010,4,5
40272,929,2010,4,6
40273,944,2010,4,7
40274,1100,2010,4,8
40275,950,2010,4,9
40276,805,2010,4,10
40277,754,2010,4,11
40278,872,2010,4,12
40279,1100,2010,4,13
40280,1170,2010,4,14
40281,1670,2010,4,15
40282,1370,2010,4,16
40283,1290,2010,4,17
40284,1190,2010,4,18
40285,1190,2010,4,19
40286,1140,2010,4,20
40287,994,2010,4,21
40288,783,2010,4,22
40289,647,2010,4,23
40290,640,2010,4,24
40291,600,2010,4,25
40292,549,2010,4,26
40293,1080,2010,4,27
40294,1490,2010,4,28
40295,1490,2010,4,29
40296,1290,2010,4,30
40297,1140,2010,5,1
40298,1110,2010,5,2
40299,1800,2010,5,3
40300,1710,2010,5,4
40301,1120,2010,5,5
40302,897,2010,5,6
40303,771,2010,5,7
40304,689,2010,5,8
40305,641,2010,5,9
40306,757,2010,5,10
40307,807,2010,5,11
40308,723,2010,5,12
40309,648,2010,5,13
40310,618,2010,5,14
40311,633,2010,5,15
40312,632,2010,5,16
40313,598,2010,5,17
40314,630,2010,5,18
40315,708,2010,5,19
40316,1010,2010,5,20
40317,917,2010,5,21
40318,924,2010,5,22
40319,906,2010,5,23
40320,834,2010,5,24
40321,729,2010,5,25
40322,787,2010,5,26
40323,841,2010,5,27
40324,722,2010,5,28
40325,739,2010,5,29
40326,699,2010,5,30
40327,745,2010,5,31
40328,872,2010,6,1
40329,4500,2010,6,2
40330,3980,2010,6,3
40331,3320,2010,6,4
40332,2440,2010,6,5
40333,1630,2010,6,6
40334,2140,2010,6,7
40335,1470,2010,6,8
40336,1200,2010,6,9
40337,1720,2010,6,10
40338,1690,2010,6,11
40339,1200,2010,6,12
40340,920,2010,6,13
40341,751,2010,6,14
40342,636,2010,6,15
40343,581,2010,6,16
40344,571,2010,6,17
40345,513,2010,6,18
40346,458,2010,6,19
40347,427,2010,6,20
40348,406,2010,6,21
40349,370,2010,6,22
40350,340,2010,6,23
40351,315,2010,6,24
40352,292,2010,6,25
40353,272,2010,6,26
40354,252,2010,6,27
40355,235,2010,6,28
40356,218,2010,6,29
40357,204,2010,6,30
40358,192,2010,7,1
40359,229,2010,7,2
40360,219,2010,7,3
40361,196,2010,7,4
40362,180,2010,7,5
40363,168,2010,7,6
40364,156,2010,7,7
40365,146,2010,7,8
40366,137,2010,7,9
40367,129,2010,7,10
40368,123,2010,7,11
40369,118,2010,7,12
40370,112,2010,7,13
40371,109,2010,7,14
40372,104,2010,7,15
40373,99.8,2010,7,16
40374,95.9,2010,7,17
40375,92.6,2010,7,18
40376,89.9,2010,7,19
40377,86.9,2010,7,20
40378,84.5,2010,7,21
40379,80.9,2010,7,22
40380,77,2010,7,23
40381,74.9,2010,7,24
40382,72.4,2010,7,25
40383,69.4,2010,7,26
40384,67,2010,7,27
40385,65.4,2010,7,28
40386,64,2010,7,29
40387,62.2,2010,7,30
40388,60.9,2010,7,31
40389,60.6,2010,8,1
40390,59.3,2010,8,2
40391,58,2010,8,3
40392,56.8,2010,8,4
40393,56,2010,8,5
40394,54.3,2010,8,6
40395,52.6,2010,8,7
40396,51.6,2010,8,8
40397,51,2010,8,9
40398,50.8,2010,8,10
40399,49.8,2010,8,11
40400,48.4,2010,8,12
40401,47.2,2010,8,13
40402,44.4,2010,8,14
40403,42.7,2010,8,15
40404,42.3,2010,8,16
40405,41.2,2010,8,17
40406,40.6,2010,8,18
40407,40.6,2010,8,19
40408,40.1,2010,8,20
40409,39.2,2010,8,21
40410,39,2010,8,22
40411,39.1,2010,8,23
40412,38.1,2010,8,24
40413,36.4,2010,8,25
40414,35.2,2010,8,26
40415,35.1,2010,8,27
40416,35.1,2010,8,28
40417,34.7,2010,8,29
40418,36.4,2010,8,30
40419,37.6,2010,8,31
40420,55.8,2010,9,1
40421,64.2,2010,9,2
40422,46.6,2010,9,3
40423,40.5,2010,9,4
40424,38.3,2010,9,5
40425,37.1,2010,9,6
40426,37.5,2010,9,7
40427,41.8,2010,9,8
40428,49.4,2010,9,9
40429,50.5,2010,9,10
40430,44,2010,9,11
40431,39.8,2010,9,12
40432,37.4,2010,9,13
40433,35.5,2010,9,14
40434,34.8,2010,9,15
40435,37.1,2010,9,16
40436,40.1,2010,9,17
40437,58.8,2010,9,18
40438,162,2010,9,19
40439,519,2010,9,20
40440,235,2010,9,21
40441,142,2010,9,22
40442,109,2010,9,23
40443,108,2010,9,24
40444,94.4,2010,9,25
40445,82.5,2010,9,26
40446,75.7,2010,9,27
40447,69.7,2010,9,28
40448,65.5,2010,9,29
40449,62,2010,9,30
40450,58.7,2010,10,1
40451,56.2,2010,10,2
40452,54.3,2010,10,3
40453,53.2,2010,10,4
40454,51.7,2010,10,5
40455,49.3,2010,10,6
40456,47.8,2010,10,7
40457,47.7,2010,10,8
40458,74.4,2010,10,9
40459,243,2010,10,10
40460,305,2010,10,11
40461,179,2010,10,12
40462,133,2010,10,13
40463,109,2010,10,14
40464,95.5,2010,10,15
40465,86.4,2010,10,16
40466,79.6,2010,10,17
40467,74.6,2010,10,18
40468,70.4,2010,10,19
40469,66.9,2010,10,20
40470,63.7,2010,10,21
40471,64.5,2010,10,22
40472,74.1,2010,10,23
40473,716,2010,10,24
40474,1610,2010,10,25
40475,1200,2010,10,26
40476,934,2010,10,27
40477,625,2010,10,28
40478,613,2010,10,29
40479,539,2010,10,30
40480,695,2010,10,31
40481,614,2010,11,1
40482,1990,2010,11,2
40483,1130,2010,11,3
40484,692,2010,11,4
40485,508,2010,11,5
40486,400,2010,11,6
40487,701,2010,11,7
40488,936,2010,11,8
40489,988,2010,11,9
40490,1610,2010,11,10
40491,1040,2010,11,11
40492,854,2010,11,12
40493,703,2010,11,13
40494,1190,2010,11,14
40495,1650,2010,11,15
40496,2660,2010,11,16
40497,1810,2010,11,17
40498,3070,2010,11,18
40499,1830,2010,11,19
40500,1290,2010,11,20
40501,973,2010,11,21
40502,864,2010,11,22
40503,766,2010,11,23
40504,619,2010,11,24
40505,539,2010,11,25
40506,650,2010,11,26
40507,1420,2010,11,27
40508,1040,2010,11,28
40509,838,2010,11,29
40510,1950,2010,11,30
40511,4250,2010,12,1
40512,2850,2010,12,2
40513,1890,2010,12,3
40514,1300,2010,12,4
40515,984,2010,12,5
40516,865,2010,12,6
40517,864,2010,12,7
40518,1490,2010,12,8
40519,3750,2010,12,9
40520,3730,2010,12,10
40521,3960,2010,12,11
40522,5520,2010,12,12
40523,7190,2010,12,13
40524,4770,2010,12,14
40525,2760,2010,12,15
40526,1780,2010,12,16
40527,1250,2010,12,17
40528,1010,2010,12,18
40529,841,2010,12,19
40530,741,2010,12,20
40531,663,2010,12,21
40532,602,2010,12,22
40533,544,2010,12,23
40534,493,2010,12,24
40535,492,2010,12,25
40536,545,2010,12,26
40537,566,2010,12,27
40538,3520,2010,12,28
40539,3250,2010,12,29
40540,1750,2010,12,30
40541,1160,2010,12,31
40542,895,2011,1,1
40543,742,2011,1,2
40544,634,2011,1,3
40545,555,2011,1,4
40546,498,2011,1,5
40547,462,2011,1,6
40548,452,2011,1,7
40549,524,2011,1,8
40550,494,2011,1,9
40551,449,2011,1,10
40552,411,2011,1,11
40553,1160,2011,1,12
40554,3920,2011,1,13
40555,3400,2011,1,14
40556,3240,2011,1,15
40557,13000,2011,1,16
40558,6590,2011,1,17
40559,3350,2011,1,18
40560,2760,2011,1,19
40561,1860,2011,1,20
40562,1480,2011,1,21
40563,1460,2011,1,22
40564,1130,2011,1,23
40565,922,2011,1,24
40566,790,2011,1,25
40567,690,2011,1,26
40568,620,2011,1,27
40569,580,2011,1,28
40570,540,2011,1,29
40571,490,2011,1,30
40572,441,2011,1,31
40573,397,2011,2,1
40574,363,2011,2,2
40575,335,2011,2,3
40576,312,2011,2,4
40577,352,2011,2,5
40578,452,2011,2,6
40579,554,2011,2,7
40580,582,2011,2,8
40581,501,2011,2,9
40582,442,2011,2,10
40583,405,2011,2,11
40584,392,2011,2,12
40585,578,2011,2,13
40586,607,2011,2,14
40587,913,2011,2,15
40588,899,2011,2,16
40589,699,2011,2,17
40590,586,2011,2,18
40591,513,2011,2,19
40592,454,2011,2,20
40593,407,2011,2,21
40594,393,2011,2,22
40595,370,2011,2,23
40596,347,2011,2,24
40597,310,2011,2,25
40598,283,2011,2,26
40599,285,2011,2,27
40600,379,2011,2,28
40601,550,2011,3,1
40602,828,2011,3,2
40603,964,2011,3,3
40604,813,2011,3,4
40605,1150,2011,3,5
40606,1050,2011,3,6
40607,834,2011,3,7
40608,844,2011,3,8
40609,1440,2011,3,9
40610,2810,2011,3,10
40611,2170,2011,3,11
40612,1370,2011,3,12
40613,1220,2011,3,13
40614,1650,2011,3,14
40615,1580,2011,3,15
40616,2120,2011,3,16
40617,1490,2011,3,17
40618,1200,2011,3,18
40619,1040,2011,3,19
40620,903,2011,3,20
40621,875,2011,3,21
40622,874,2011,3,22
40623,772,2011,3,23
40624,730,2011,3,24
40625,691,2011,3,25
40626,727,2011,3,26
40627,800,2011,3,27
40628,837,2011,3,28
40629,1310,2011,3,29
40630,3400,2011,3,30
40631,3300,2011,3,31
