; USGS 14185000 SOUTH SANTIAM RIVER BELOW CASCADIA  OR,,,,
day_index,Q_cfs,year,month,day
40177,4040,2010,1,1
40178,2870,2010,1,2
40179,1930,2010,1,3
40180,1490,2010,1,4
40181,1850,2010,1,5
40182,3540,2010,1,6
40183,2330,2010,1,7
40184,1690,2010,1,8
40185,1410,2010,1,9
40186,1160,2010,1,10
40187,986,2010,1,11
40188,971,2010,1,12
40189,972,2010,1,13
40190,1130,2010,1,14
40191,985,2010,1,15
40192,1410,2010,1,16
40193,1520,2010,1,17
40194,1490,2010,1,18
40195,1200,2010,1,19
40196,979,2010,1,20
40197,821,2010,1,21
40198,721,2010,1,22
40199,640,2010,1,23
40200,660,2010,1,24
40201,1000,2010,1,25
40202,943,2010,1,26
40203,802,2010,1,27
40204,699,2010,1,28
40205,631,2010,1,29
40206,607,2010,1,30
40207,606,2010,1,31
40208,601,2010,2,1
40209,701,2010,2,2
40210,674,2010,2,3
40211,703,2010,2,4
40212,702,2010,2,5
40213,660,2010,2,6
40214,647,2010,2,7
40215,609,2010,2,8
40216,564,2010,2,9
40217,529,2010,2,10
40218,655,2010,2,11
40219,1060,2010,2,12
40220,1030,2010,2,13
40221,942,2010,2,14
40222,867,2010,2,15
40223,854,2010,2,16
40224,795,2010,2,17
40225,706,2010,2,18
40226,625,2010,2,19
40227,556,2010,2,20
40228,499,2010,2,21
40229,451,2010,2,22
40230,423,2010,2,23
40231,532,2010,2,24
40232,688,2010,2,25
40233,698,2010,2,26
40234,689,2010,2,27
40235,598,2010,2,28
40236,531,2010,3,1
40237,488,2010,3,2
40238,482,2010,3,3
40239,466,2010,3,4
40240,431,2010,3,5
40241,401,2010,3,6
40242,375,2010,3,7
40243,383,2010,3,8
40244,348,2010,3,9
40245,343,2010,3,10
40246,386,2010,3,11
40247,755,2010,3,12
40248,773,2010,3,13
40249,648,2010,3,14
40250,592,2010,3,15
40251,584,2010,3,16
40252,557,2010,3,17
40253,508,2010,3,18
40254,465,2010,3,19
40255,430,2010,3,20
40256,460,2010,3,21
40257,605,2010,3,22
40258,558,2010,3,23
40259,508,2010,3,24
40260,650,2010,3,25
40261,1150,2010,3,26
40262,1150,2010,3,27
40263,1100,2010,3,28
40264,5240,2010,3,29
40265,4460,2010,3,30
40266,2620,2010,3,31
40267,1860,2010,4,1
40268,1790,2010,4,2
40269,1770,2010,4,3
40270,1420,2010,4,4
40271,1210,2010,4,5
40272,1140,2010,4,6
40273,1180,2010,4,7
40274,1320,2010,4,8
40275,1160,2010,4,9
40276,1020,2010,4,10
40277,1030,2010,4,11
40278,1090,2010,4,12
40279,1210,2010,4,13
40280,1400,2010,4,14
