; USGS 14185900 QUARTZVILLE CREEK NEAR CASCADIA  OR,,,,
day_index,Q_cfs,year,month,day
40177,4090,2010,1,1
40178,2650,2010,1,2
40179,1530,2010,1,3
40180,1180,2010,1,4
40181,3200,2010,1,5
40182,3460,2010,1,6
40183,1860,2010,1,7
40184,1220,2010,1,8
40185,1040,2010,1,9
40186,859,2010,1,10
40187,706,2010,1,11
40188,692,2010,1,12
40189,823,2010,1,13
40190,1020,2010,1,14
40191,819,2010,1,15
40192,1580,2010,1,16
40193,1780,2010,1,17
40194,1420,2010,1,18
40195,1000,2010,1,19
40196,763,2010,1,20
40197,618,2010,1,21
40198,536,2010,1,22
40199,471,2010,1,23
40200,538,2010,1,24
40201,1110,2010,1,25
40202,886,2010,1,26
40203,683,2010,1,27
40204,567,2010,1,28
40205,493,2010,1,29
40206,453,2010,1,30
40207,431,2010,1,31
40208,417,2010,2,1
40209,471,2010,2,2
40210,481,2010,2,3
40211,678,2010,2,4
40212,701,2010,2,5
40213,606,2010,2,6
40214,523,2010,2,7
40215,463,2010,2,8
40216,413,2010,2,9
40217,383,2010,2,10
40218,620,2010,2,11
40219,1080,2010,2,12
40220,915,2010,2,13
40221,795,2010,2,14
40222,748,2010,2,15
40223,745,2010,2,16
40224,698,2010,2,17
40225,584,2010,2,18
40226,495,2010,2,19
40227,428,2010,2,20
40228,376,2010,2,21
40229,334,2010,2,22
40230,315,2010,2,23
40231,557,2010,2,24
40232,776,2010,2,25
40233,686,2010,2,26
40234,647,2010,2,27
40235,534,2010,2,28
40236,453,2010,3,1
40237,401,2010,3,2
40238,372,2010,3,3
40239,349,2010,3,4
40240,318,2010,3,5
40241,292,2010,3,6
40242,270,2010,3,7
40243,272,2010,3,8
40244,245,2010,3,9
40245,245,2010,3,10
40246,408,2010,3,11
40247,1200,2010,3,12
40248,871,2010,3,13
40249,638,2010,3,14
40250,581,2010,3,15
40251,651,2010,3,16
40252,606,2010,3,17
40253,508,2010,3,18
40254,441,2010,3,19
40255,396,2010,3,20
40256,476,2010,3,21
40257,682,2010,3,22
40258,590,2010,3,23
40259,493,2010,3,24
