; USGS 14187500 SOUTH SANTIAM RIVER AT WATERLOO  OR,,,,
day_index,Q_cfs,year,month,day
40177,7580,2010,1,1
40178,8200,2010,1,2
40179,7370,2010,1,3
40180,5900,2010,1,4
40181,7880,2010,1,5
40182,10400,2010,1,6
40183,10400,2010,1,7
40184,9970,2010,1,8
40185,9290,2010,1,9
40186,8750,2010,1,10
40187,7280,2010,1,11
40188,6770,2010,1,12
40189,6880,2010,1,13
40190,5670,2010,1,14
40191,4390,2010,1,15
40192,3830,2010,1,16
40193,4130,2010,1,17
40194,4170,2010,1,18
40195,3820,2010,1,19
40196,3480,2010,1,20
40197,3290,2010,1,21
40198,2740,2010,1,22
40199,2630,2010,1,23
40200,2630,2010,1,24
40201,2820,2010,1,25
40202,2760,2010,1,26
40203,2500,2010,1,27
40204,2360,2010,1,28
40205,2220,2010,1,29
40206,2090,2010,1,30
40207,2090,2010,1,31
40208,2110,2010,2,1
40209,2180,2010,2,2
40210,2180,2010,2,3
40211,2290,2010,2,4
40212,2330,2010,2,5
40213,1980,2010,2,6
40214,1620,2010,2,7
40215,1400,2010,2,8
40216,1370,2010,2,9
40217,1240,2010,2,10
40218,1130,2010,2,11
40219,1320,2010,2,12
40220,1320,2010,2,13
40221,1300,2010,2,14
40222,1280,2010,2,15
40223,1350,2010,2,16
40224,1310,2010,2,17
40225,1260,2010,2,18
40226,1190,2010,2,19
40227,1110,2010,2,20
40228,1070,2010,2,21
40229,1050,2010,2,22
40230,1050,2010,2,23
40231,1120,2010,2,24
40232,1140,2010,2,25
40233,1180,2010,2,26
40234,1180,2010,2,27
40235,1120,2010,2,28
40236,1080,2010,3,1
40237,1270,2010,3,2
40238,1050,2010,3,3
40239,1060,2010,3,4
40240,1040,2010,3,5
40241,1040,2010,3,6
40242,1030,2010,3,7
40243,1060,2010,3,8
40244,1030,2010,3,9
40245,1030,2010,3,10
40246,1040,2010,3,11
40247,1420,2010,3,12
40248,1500,2010,3,13
40249,1350,2010,3,14
40250,1260,2010,3,15
