; USGS 14188800 THOMAS CREEK NEAR SCIO  OR,,,,
day_index,Q_cfs,year,month,day
40177,2070,2010,1,1
40178,1610,2010,1,2
40179,1080,2010,1,3
40180,874,2010,1,4
40181,1390,2010,1,5
40182,2010,2010,1,6
40183,1330,2010,1,7
40184,1000,2010,1,8
40185,877,2010,1,9
40186,725,2010,1,10
40187,626,2010,1,11
40188,662,2010,1,12
40189,704,2010,1,13
40190,736,2010,1,14
40191,696,2010,1,15
40192,1310,2010,1,16
40193,1370,2010,1,17
40194,1210,2010,1,18
40195,951,2010,1,19
40196,757,2010,1,20
40197,636,2010,1,21
40198,566,2010,1,22
40199,515,2010,1,23
40200,547,2010,1,24
40201,878,2010,1,25
40202,759,2010,1,26
40203,630,2010,1,27
40204,550,2010,1,28
40205,487,2010,1,29
40206,458,2010,1,30
40207,440,2010,1,31
40208,412,2010,2,1
40209,450,2010,2,2
40210,426,2010,2,3
40211,475,2010,2,4
40212,475,2010,2,5
40213,435,2010,2,6
40214,411,2010,2,7
40215,373,2010,2,8
40216,343,2010,2,9
40217,327,2010,2,10
40218,397,2010,2,11
40219,581,2010,2,12
40220,578,2010,2,13
40221,598,2010,2,14
40222,581,2010,2,15
40223,627,2010,2,16
40224,567,2010,2,17
40225,505,2010,2,18
40226,445,2010,2,19
40227,394,2010,2,20
40228,350,2010,2,21
40229,312,2010,2,22
40230,298,2010,2,23
40231,501,2010,2,24
40232,543,2010,2,25
40233,562,2010,2,26
40234,552,2010,2,27
40235,475,2010,2,28
40236,418,2010,3,1
40237,383,2010,3,2
40238,358,2010,3,3
40239,342,2010,3,4
40240,303,2010,3,5
40241,276,2010,3,6
40242,255,2010,3,7
40243,283,2010,3,8
40244,249,2010,3,9
40245,246,2010,3,10
40246,360,2010,3,11
40247,1050,2010,3,12
40248,960,2010,3,13
40249,718,2010,3,14
40250,604,2010,3,15
40251,548,2010,3,16
40252,499,2010,3,17
40253,439,2010,3,18
40254,391,2010,3,19
40255,351,2010,3,20
40256,377,2010,3,21
40257,466,2010,3,22
40258,406,2010,3,23
40259,360,2010,3,24
40260,487,2010,3,25
40261,1070,2010,3,26
40262,890,2010,3,27
40263,884,2010,3,28
40264,3580,2010,3,29
40265,3300,2010,3,30
40266,1930,2010,3,31
40267,1300,2010,4,1
40268,1400,2010,4,2
40269,1380,2010,4,3
40270,1140,2010,4,4
40271,971,2010,4,5
40272,907,2010,4,6
40273,811,2010,4,7
40274,871,2010,4,8
40275,753,2010,4,9
40276,669,2010,4,10
40277,660,2010,4,11
40278,657,2010,4,12
40279,668,2010,4,13
40280,670,2010,4,14
40281,1140,2010,4,15
40282,905,2010,4,16
40283,777,2010,4,17
40284,696,2010,4,18
40285,648,2010,4,19
40286,631,2010,4,20
40287,776,2010,4,21
40288,612,2010,4,22
40289,514,2010,4,23
40290,485,2010,4,24
40291,426,2010,4,25
40292,399,2010,4,26
40293,1000,2010,4,27
40294,1250,2010,4,28
40295,1170,2010,4,29
40296,1010,2010,4,30
40297,849,2010,5,1
40298,727,2010,5,2
40299,850,2010,5,3
40300,819,2010,5,4
40301,692,2010,5,5
40302,604,2010,5,6
40303,524,2010,5,7
40304,463,2010,5,8
40305,420,2010,5,9
40306,457,2010,5,10
40307,430,2010,5,11
40308,391,2010,5,12
40309,358,2010,5,13
40310,328,2010,5,14
40311,301,2010,5,15
40312,279,2010,5,16
40313,261,2010,5,17
40314,274,2010,5,18
40315,315,2010,5,19
40316,447,2010,5,20
40317,490,2010,5,21
40318,690,2010,5,22
40319,644,2010,5,23
40320,575,2010,5,24
40321,516,2010,5,25
40322,615,2010,5,26
40323,590,2010,5,27
40324,505,2010,5,28
40325,451,2010,5,29
40326,403,2010,5,30
40327,425,2010,5,31
40328,410,2010,6,1
40329,2350,2010,6,2
40330,2530,2010,6,3
40331,2900,2010,6,4
40332,2020,2010,6,5
40333,1340,2010,6,6
40334,1180,2010,6,7
40335,932,2010,6,8
40336,866,2010,6,9
40337,959,2010,6,10
40338,952,2010,6,11
40339,785,2010,6,12
40340,654,2010,6,13
40341,545,2010,6,14
40342,474,2010,6,15
40343,440,2010,6,16
40344,404,2010,6,17
40345,361,2010,6,18
40346,328,2010,6,19
40347,313,2010,6,20
40348,288,2010,6,21
40349,255,2010,6,22
40350,231,2010,6,23
40351,211,2010,6,24
40352,196,2010,6,25
40353,184,2010,6,26
40354,169,2010,6,27
40355,156,2010,6,28
40356,147,2010,6,29
40357,140,2010,6,30
40358,130,2010,7,1
40359,157,2010,7,2
40360,143,2010,7,3
40361,126,2010,7,4
40362,116,2010,7,5
40363,108,2010,7,6
40364,97.6,2010,7,7
40365,90.4,2010,7,8
40366,85.3,2010,7,9
40367,80.1,2010,7,10
40368,78.9,2010,7,11
40369,74.7,2010,7,12
40370,72.4,2010,7,13
40371,68.9,2010,7,14
40372,66.1,2010,7,15
40373,62.4,2010,7,16
40374,60,2010,7,17
40375,60.7,2010,7,18
40376,57.7,2010,7,19
40377,54.9,2010,7,20
40378,53.4,2010,7,21
40379,50.8,2010,7,22
40380,49.2,2010,7,23
40381,47.6,2010,7,24
40382,45.7,2010,7,25
40383,42.7,2010,7,26
40384,40.1,2010,7,27
40385,38.3,2010,7,28
40386,38.4,2010,7,29
40387,36.7,2010,7,30
40388,36.5,2010,7,31
40389,39.7,2010,8,1
40390,36.7,2010,8,2
40391,34.2,2010,8,3
40392,33.4,2010,8,4
40393,33.5,2010,8,5
40394,31.9,2010,8,6
40395,30.8,2010,8,7
40396,31.1,2010,8,8
40397,29.8,2010,8,9
40398,30.1,2010,8,10
40399,29.4,2010,8,11
40400,27.6,2010,8,12
40401,26.4,2010,8,13
40402,23.6,2010,8,14
40403,23.5,2010,8,15
40404,22.5,2010,8,16
40405,21.3,2010,8,17
40406,20.7,2010,8,18
40407,21.9,2010,8,19
40408,21.8,2010,8,20
40409,21.3,2010,8,21
40410,22.6,2010,8,22
40411,21.2,2010,8,23
40412,19.7,2010,8,24
40413,18.1,2010,8,25
40414,17.3,2010,8,26
40415,18.1,2010,8,27
40416,18.6,2010,8,28
40417,19.6,2010,8,29
40418,21.4,2010,8,30
40419,23.4,2010,8,31
40420,24.9,2010,9,1
40421,30.6,2010,9,2
40422,24.3,2010,9,3
40423,20.2,2010,9,4
40424,19.9,2010,9,5
40425,18.7,2010,9,6
40426,18.8,2010,9,7
40427,23.9,2010,9,8
40428,29.4,2010,9,9
40429,31.7,2010,9,10
40430,24.7,2010,9,11
40431,22.4,2010,9,12
40432,20.1,2010,9,13
40433,19,2010,9,14
40434,19.5,2010,9,15
40435,21.4,2010,9,16
40436,22.3,2010,9,17
40437,46.2,2010,9,18
40438,131,2010,9,19
40439,160,2010,9,20
40440,74,2010,9,21
40441,49.9,2010,9,22
40442,40.9,2010,9,23
40443,40.1,2010,9,24
40444,36.5,2010,9,25
40445,32.2,2010,9,26
40446,30.4,2010,9,27
40447,28.3,2010,9,28
40448,27.2,2010,9,29
40449,26.4,2010,9,30
40450,25.5,2010,10,1
40451,25.1,2010,10,2
40452,24.6,2010,10,3
40453,24.6,2010,10,4
40454,23.7,2010,10,5
40455,23.3,2010,10,6
40456,22.4,2010,10,7
40457,22.6,2010,10,8
40458,34.1,2010,10,9
40459,174,2010,10,10
40460,152,2010,10,11
40461,80.5,2010,10,12
40462,60.4,2010,10,13
40463,49,2010,10,14
40464,43.4,2010,10,15
40465,39.9,2010,10,16
40466,36.9,2010,10,17
40467,35.1,2010,10,18
40468,33.3,2010,10,19
40469,31.3,2010,10,20
40470,29.5,2010,10,21
40471,30.3,2010,10,22
40472,36.5,2010,10,23
40473,326,2010,10,24
40474,712,2010,10,25
40475,608,2010,10,26
40476,423,2010,10,27
40477,332,2010,10,28
40478,321,2010,10,29
40479,266,2010,10,30
40480,366,2010,10,31
40481,302,2010,11,1
40482,604,2010,11,2
40483,457,2010,11,3
40484,344,2010,11,4
40485,271,2010,11,5
40486,228,2010,11,6
40487,616,2010,11,7
40488,582,2010,11,8
40489,613,2010,11,9
40490,896,2010,11,10
40491,683,2010,11,11
40492,548,2010,11,12
40493,451,2010,11,13
40494,484,2010,11,14
40495,481,2010,11,15
40496,552,2010,11,16
40497,556,2010,11,17
40498,2080,2010,11,18
40499,1170,2010,11,19
40500,939,2010,11,20
40501,751,2010,11,21
40502,732,2010,11,22
40503,698,2010,11,23
40504,533,2010,11,24
40505,449,2010,11,25
40506,532,2010,11,26
40507,1100,2010,11,27
40508,869,2010,11,28
40509,707,2010,11,29
40510,1060,2010,11,30
40511,1990,2010,12,1
40512,1440,2010,12,2
40513,1070,2010,12,3
40514,861,2010,12,4
40515,721,2010,12,5
40516,640,2010,12,6
40517,583,2010,12,7
40518,759,2010,12,8
40519,1600,2010,12,9
40520,1990,2010,12,10
40521,1530,2010,12,11
40522,1850,2010,12,12
40523,3290,2010,12,13
40524,2960,2010,12,14
40525,1770,2010,12,15
40526,1190,2010,12,16
40527,945,2010,12,17
40528,906,2010,12,18
40529,798,2010,12,19
40530,731,2010,12,20
40531,663,2010,12,21
40532,589,2010,12,22
40533,514,2010,12,23
40534,457,2010,12,24
40535,436,2010,12,25
40536,482,2010,12,26
40537,560,2010,12,27
40538,2230,2010,12,28
40539,2500,2010,12,29
40540,1290,2010,12,30
40541,975,2010,12,31
40542,800,2011,1,1
40543,678,2011,1,2
40544,584,2011,1,3
40545,504,2011,1,4
40546,456,2011,1,5
40547,422,2011,1,6
40548,398,2011,1,7
40549,456,2011,1,8
40550,418,2011,1,9
40551,381,2011,1,10
40552,350,2011,1,11
40553,522,2011,1,12
40554,1150,2011,1,13
40555,1220,2011,1,14
40556,1250,2011,1,15
40557,4500,2011,1,16
40558,2980,2011,1,17
40559,1630,2011,1,18
40560,1390,2011,1,19
40561,1060,2011,1,20
40562,923,2011,1,21
40563,814,2011,1,22
40564,705,2011,1,23
40565,625,2011,1,24
40566,548,2011,1,25
40567,480,2011,1,26
40568,434,2011,1,27
40569,394,2011,1,28
40570,361,2011,1,29
40571,326,2011,1,30
40572,299,2011,1,31
40573,272,2011,2,1
40574,251,2011,2,2
40575,233,2011,2,3
40576,218,2011,2,4
40577,222,2011,2,5
40578,229,2011,2,6
40579,240,2011,2,7
40580,247,2011,2,8
40581,221,2011,2,9
40582,206,2011,2,10
40583,196,2011,2,11
40584,190,2011,2,12
40585,320,2011,2,13
40586,319,2011,2,14
40587,831,2011,2,15
40588,802,2011,2,16
40589,610,2011,2,17
40590,501,2011,2,18
40591,437,2011,2,19
40592,381,2011,2,20
40593,341,2011,2,21
40594,318,2011,2,22
40595,308,2011,2,23
40596,304,2011,2,24
40597,277,2011,2,25
40598,255,2011,2,26
40599,251,2011,2,27
40600,606,2011,2,28
40601,1320,2011,3,1
40602,1060,2011,3,2
40603,949,2011,3,3
40604,835,2011,3,4
40605,1030,2011,3,5
40606,870,2011,3,6
40607,733,2011,3,7
40608,681,2011,3,8
40609,810,2011,3,9
40610,1610,2011,3,10
40611,1260,2011,3,11
40612,986,2011,3,12
40613,972,2011,3,13
40614,1130,2011,3,14
40615,1150,2011,3,15
40616,1670,2011,3,16
40617,1390,2011,3,17
40618,1120,2011,3,18
40619,990,2011,3,19
40620,849,2011,3,20
40621,809,2011,3,21
40622,786,2011,3,22
40623,700,2011,3,23
40624,682,2011,3,24
40625,643,2011,3,25
40626,712,2011,3,26
