; USGS 14194150 SOUTH YAMHILL RIVER AT MCMINNVILLE  OR,,,,
day_index,Q_cfs,year,month,day
40177,5980,2010,1,1
40178,7740,2010,1,2
40179,7520,2010,1,3
40180,5790,2010,1,4
40181,4980,2010,1,5
40182,5850,2010,1,6
40183,6490,2010,1,7
40184,5590,2010,1,8
40185,5100,2010,1,9
40186,4620,2010,1,10
40187,3870,2010,1,11
40188,3770,2010,1,12
40189,5370,2010,1,13
40190,6100,2010,1,14
40191,5590,2010,1,15
40192,5990,2010,1,16
40193,6040,2010,1,17
40194,6490,2010,1,18
40195,7250,2010,1,19
40196,6010,2010,1,20
40197,4550,2010,1,21
40198,3600,2010,1,22
40199,2950,2010,1,23
40200,2530,2010,1,24
40201,3440,2010,1,25
40202,4070,2010,1,26
40203,3520,2010,1,27
40204,2970,2010,1,28
40205,2510,2010,1,29
40206,2180,2010,1,30
40207,1960,2010,1,31
40208,1800,2010,2,1
40209,1970,2010,2,2
40210,1960,2010,2,3
40211,2290,2010,2,4
40212,2810,2010,2,5
40213,2800,2010,2,6
40214,2520,2010,2,7
40215,2230,2010,2,8
40216,2000,2010,2,9
40217,1810,2010,2,10
40218,1790,2010,2,11
40219,2310,2010,2,12
40220,3450,2010,2,13
40221,3280,2010,2,14
40222,3090,2010,2,15
40223,2860,2010,2,16
40224,2670,2010,2,17
40225,2340,2010,2,18
40226,2070,2010,2,19
40227,1840,2010,2,20
40228,1640,2010,2,21
40229,1470,2010,2,22
40230,1360,2010,2,23
40231,1620,2010,2,24
40232,2200,2010,2,25
40233,2690,2010,2,26
40234,4750,2010,2,27
40235,4610,2010,2,28
40236,3780,2010,3,1
40237,3070,2010,3,2
40238,2550,2010,3,3
40239,2180,2010,3,4
40240,1910,2010,3,5
40241,1690,2010,3,6
40242,1520,2010,3,7
40243,1370,2010,3,8
40244,1250,2010,3,9
40245,1190,2010,3,10
40246,1170,2010,3,11
40247,2450,2010,3,12
40248,4850,2010,3,13
40249,4000,2010,3,14
40250,3200,2010,3,15
40251,2580,2010,3,16
40252,2190,2010,3,17
40253,1930,2010,3,18
40254,1700,2010,3,19
40255,1520,2010,3,20
40256,1380,2010,3,21
40257,1400,2010,3,22
40258,1330,2010,3,23
40259,1210,2010,3,24
40260,1210,2010,3,25
40261,2250,2010,3,26
40262,3270,2010,3,27
40263,2760,2010,3,28
40264,3520,2010,3,29
40265,6520,2010,3,30
40266,6950,2010,3,31
40267,5820,2010,4,1
40268,4660,2010,4,2
40269,5180,2010,4,3
40270,5040,2010,4,4
40271,4550,2010,4,5
40272,4720,2010,4,6
40273,5110,2010,4,7
40274,4670,2010,4,8
40275,4370,2010,4,9
40276,3700,2010,4,10
40277,3230,2010,4,11
40278,3000,2010,4,12
40279,2890,2010,4,13
40280,2520,2010,4,14
40281,2400,2010,4,15
40282,2430,2010,4,16
40283,2160,2010,4,17
40284,1940,2010,4,18
40285,1710,2010,4,19
40286,1570,2010,4,20
40287,1450,2010,4,21
40288,1310,2010,4,22
40289,1200,2010,4,23
40290,1120,2010,4,24
40291,1080,2010,4,25
40292,1010,2010,4,26
40293,1870,2010,4,27
40294,3370,2010,4,28
40295,3330,2010,4,29
40296,2930,2010,4,30
40297,2470,2010,5,1
40298,2130,2010,5,2
40299,1910,2010,5,3
40300,2020,2010,5,4
40301,1840,2010,5,5
40302,1670,2010,5,6
40303,1500,2010,5,7
40304,1350,2010,5,8
40305,1240,2010,5,9
40306,1140,2010,5,10
40307,1070,2010,5,11
40308,965,2010,5,12
40309,887,2010,5,13
40310,819,2010,5,14
40311,754,2010,5,15
40312,695,2010,5,16
40313,655,2010,5,17
40314,618,2010,5,18
40315,599,2010,5,19
40316,629,2010,5,20
40317,744,2010,5,21
40318,812,2010,5,22
40319,748,2010,5,23
40320,683,2010,5,24
40321,646,2010,5,25
40322,775,2010,5,26
40323,872,2010,5,27
40324,786,2010,5,28
40325,709,2010,5,29
40326,669,2010,5,30
40327,658,2010,5,31
40328,665,2010,6,1
40329,681,2010,6,2
40330,1650,2010,6,3
40331,2100,2010,6,4
40332,3370,2010,6,5
40333,3000,2010,6,6
40334,3780,2010,6,7
40335,2890,2010,6,8
40336,2220,2010,6,9
40337,1970,2010,6,10
40338,1760,2010,6,11
40339,1550,2010,6,12
40340,1350,2010,6,13
40341,1180,2010,6,14
40342,1060,2010,6,15
40343,963,2010,6,16
40344,879,2010,6,17
40345,812,2010,6,18
40346,737,2010,6,19
40347,671,2010,6,20
40348,646,2010,6,21
40349,608,2010,6,22
40350,562,2010,6,23
40351,517,2010,6,24
40352,473,2010,6,25
40353,435,2010,6,26
40354,406,2010,6,27
40355,378,2010,6,28
40356,355,2010,6,29
40357,341,2010,6,30
40358,322,2010,7,1
40359,315,2010,7,2
40360,332,2010,7,3
40361,312,2010,7,4
40362,287,2010,7,5
40363,269,2010,7,6
40364,257,2010,7,7
40365,241,2010,7,8
