; USGS 14198400 BULL CREEK NEAR WILHOIT  OR,,,,
day_index,Q_cfs,year,month,day
40177,4.68,2010,1,1
40178,5.57,2010,1,2
40179,4.27,2010,1,3
40180,2.88,2010,1,4
40181,2.63,2010,1,5
40182,6.24,2010,1,6
40183,5.53,2010,1,7
40184,3.51,2010,1,8
40185,2.48,2010,1,9
40186,1.94,2010,1,10
40187,1.63,2010,1,11
40188,1.56,2010,1,12
40189,1.58,2010,1,13
40190,1.62,2010,1,14
40191,1.64,2010,1,15
40192,1.87,2010,1,16
40193,2.49,2010,1,17
40194,3.64,2010,1,18
40195,2.83,2010,1,19
40196,2.05,2010,1,20
40197,1.61,2010,1,21
40198,1.47,2010,1,22
40199,1.26,2010,1,23
40200,1.27,2010,1,24
40201,2.01,2010,1,25
40202,2.24,2010,1,26
40203,1.9,2010,1,27
40204,1.55,2010,1,28
40205,1.33,2010,1,29
40206,1.2,2010,1,30
40207,1.16,2010,1,31
40208,1.17,2010,2,1
40209,1.21,2010,2,2
40210,1.25,2010,2,3
40211,1.32,2010,2,4
40212,1.46,2010,2,5
40213,1.42,2010,2,6
40214,1.3,2010,2,7
40215,1.18,2010,2,8
40216,1.04,2010,2,9
40217,0.83,2010,2,10
40218,0.81,2010,2,11
40219,1.02,2010,2,12
40220,1.07,2010,2,13
40221,1.12,2010,2,14
40222,1.12,2010,2,15
40223,1.14,2010,2,16
40224,1.13,2010,2,17
40225,0.96,2010,2,18
40226,0.82,2010,2,19
40227,0.74,2010,2,20
40228,0.66,2010,2,21
40229,0.59,2010,2,22
40230,0.56,2010,2,23
40231,0.65,2010,2,24
40232,0.72,2010,2,25
40233,1.13,2010,2,26
40234,1.39,2010,2,27
40235,1.28,2010,2,28
40236,1.13,2010,3,1
40237,0.94,2010,3,2
40238,0.82,2010,3,3
40239,0.74,2010,3,4
40240,0.66,2010,3,5
40241,0.6,2010,3,6
40242,0.55,2010,3,7
40243,0.52,2010,3,8
40244,0.49,2010,3,9
40245,0.49,2010,3,10
40246,0.74,2010,3,11
40247,3.08,2010,3,12
40248,3.59,2010,3,13
40249,2.42,2010,3,14
40250,1.89,2010,3,15
40251,1.58,2010,3,16
40252,1.36,2010,3,17
40253,1.2,2010,3,18
40254,0.93,2010,3,19
40255,0.77,2010,3,20
40256,0.82,2010,3,21
40257,0.95,2010,3,22
40258,0.88,2010,3,23
40259,0.86,2010,3,24
40260,1.07,2010,3,25
40261,2.28,2010,3,26
40262,3.35,2010,3,27
40263,3.49,2010,3,28
40264,27.5,2010,3,29
40265,17.7,2010,3,30
40266,7.02,2010,3,31
40267,4.23,2010,4,1
40268,4.51,2010,4,2
40269,5.93,2010,4,3
40270,4.55,2010,4,4
40271,3.23,2010,4,5
40272,2.62,2010,4,6
40273,2.5,2010,4,7
40274,2.87,2010,4,8
40275,2.96,2010,4,9
40276,2.55,2010,4,10
40277,2.24,2010,4,11
40278,2.3,2010,4,12
40279,4.67,2010,4,13
40280,4.92,2010,4,14
40281,6.57,2010,4,15
40282,4.73,2010,4,16
40283,2.87,2010,4,17
40284,2.16,2010,4,18
40285,1.78,2010,4,19
40286,1.66,2010,4,20
40287,2,2010,4,21
40288,1.92,2010,4,22
40289,1.77,2010,4,23
40290,1.66,2010,4,24
40291,1.52,2010,4,25
40292,1.4,2010,4,26
40293,3.11,2010,4,27
40294,5.47,2010,4,28
40295,5.07,2010,4,29
40296,4.84,2010,4,30
40297,3.78,2010,5,1
40298,2.76,2010,5,2
40299,2.5,2010,5,3
40300,2.37,2010,5,4
40301,2.26,2010,5,5
40302,2.24,2010,5,6
40303,2.12,2010,5,7
40304,1.9,2010,5,8
40305,1.73,2010,5,9
40306,1.73,2010,5,10
40307,2.04,2010,5,11
40308,2.18,2010,5,12
40309,2,2010,5,13
40310,1.74,2010,5,14
40311,1.5,2010,5,15
40312,1.19,2010,5,16
40313,1.17,2010,5,17
40314,1.12,2010,5,18
40315,1.37,2010,5,19
40316,1.93,2010,5,20
40317,1.99,2010,5,21
40318,2.02,2010,5,22
40319,2.12,2010,5,23
40320,2.14,2010,5,24
40321,1.96,2010,5,25
40322,1.86,2010,5,26
40323,1.7,2010,5,27
40324,1.68,2010,5,28
40325,2.46,2010,5,29
40326,3.14,2010,5,30
40327,2.77,2010,5,31
40328,2.27,2010,6,1
40329,5.42,2010,6,2
40330,10.2,2010,6,3
40331,10.9,2010,6,4
40332,9.51,2010,6,5
40333,4.91,2010,6,6
40334,3.16,2010,6,7
40335,2.49,2010,6,8
40336,2.51,2010,6,9
40337,3.59,2010,6,10
40338,5.49,2010,6,11
40339,4.03,2010,6,12
40340,2.62,2010,6,13
40341,1.97,2010,6,14
40342,1.63,2010,6,15
40343,1.43,2010,6,16
40344,1.32,2010,6,17
40345,1.15,2010,6,18
40346,1.02,2010,6,19
40347,1.07,2010,6,20
40348,1.01,2010,6,21
40349,0.98,2010,6,22
40350,0.96,2010,6,23
40351,0.91,2010,6,24
40352,0.85,2010,6,25
40353,0.8,2010,6,26
40354,0.73,2010,6,27
40355,0.7,2010,6,28
40356,0.66,2010,6,29
40357,0.63,2010,6,30
40358,0.62,2010,7,1
40359,0.64,2010,7,2
40360,0.6,2010,7,3
40361,0.55,2010,7,4
40362,0.52,2010,7,5
40363,0.49,2010,7,6
40364,0.51,2010,7,7
40365,0.46,2010,7,8
40366,0.43,2010,7,9
40367,0.41,2010,7,10
40368,0.4,2010,7,11
40369,0.4,2010,7,12
40370,0.38,2010,7,13
40371,0.35,2010,7,14
40372,0.33,2010,7,15
40373,0.32,2010,7,16
40374,0.31,2010,7,17
40375,0.3,2010,7,18
40376,0.28,2010,7,19
40377,0.28,2010,7,20
40378,0.28,2010,7,21
40379,0.27,2010,7,22
40380,0.27,2010,7,23
40381,0.25,2010,7,24
40382,0.22,2010,7,25
40383,0.21,2010,7,26
40384,0.22,2010,7,27
40385,0.21,2010,7,28
40386,0.2,2010,7,29
40387,0.2,2010,7,30
40388,0.2,2010,7,31
40389,0.2,2010,8,1
40390,0.19,2010,8,2
40391,0.19,2010,8,3
40392,0.18,2010,8,4
