; USGS 14199704 NATE CREEK TRIBUTARY NEAR COLTON  OR,,,,
day_index,Q_cfs,year,month,day
40177,2.56,2010,1,1
40178,2.4,2010,1,2
40179,2.19,2010,1,3
40180,2.12,2010,1,4
40181,3.08,2010,1,5
40182,4.36,2010,1,6
40183,3.91,2010,1,7
40184,3.39,2010,1,8
40185,3.17,2010,1,9
40186,2.93,2010,1,10
40187,2.76,2010,1,11
40188,2.88,2010,1,12
40189,2.72,2010,1,13
40190,2.51,2010,1,14
40191,2.57,2010,1,15
40192,2.97,2010,1,16
40193,3.29,2010,1,17
40194,3.29,2010,1,18
40195,3.02,2010,1,19
40196,2.78,2010,1,20
40197,2.55,2010,1,21
40198,2.46,2010,1,22
40199,2.33,2010,1,23
40200,2.36,2010,1,24
40201,2.73,2010,1,25
40202,2.67,2010,1,26
40203,2.49,2010,1,27
40204,2.32,2010,1,28
40205,2.14,2010,1,29
40206,2.06,2010,1,30
40207,2,2010,1,31
40208,1.97,2010,2,1
40209,1.99,2010,2,2
40210,1.93,2010,2,3
40211,1.89,2010,2,4
40212,1.83,2010,2,5
40213,1.74,2010,2,6
40214,1.64,2010,2,7
40215,1.55,2010,2,8
40216,1.48,2010,2,9
40217,1.41,2010,2,10
40218,1.4,2010,2,11
40219,1.44,2010,2,12
40220,1.39,2010,2,13
40221,1.5,2010,2,14
40222,1.56,2010,2,15
40223,1.7,2010,2,16
40224,1.71,2010,2,17
40225,1.63,2010,2,18
40226,1.57,2010,2,19
40227,1.48,2010,2,20
40228,1.39,2010,2,21
40229,1.28,2010,2,22
40230,1.23,2010,2,23
40231,1.29,2010,2,24
40232,1.33,2010,2,25
40233,1.41,2010,2,26
40234,1.41,2010,2,27
40235,1.38,2010,2,28
40236,1.33,2010,3,1
40237,1.33,2010,3,2
40238,1.25,2010,3,3
40239,1.19,2010,3,4
40240,1.13,2010,3,5
40241,1.07,2010,3,6
40242,1.04,2010,3,7
40243,1.07,2010,3,8
40244,0.95,2010,3,9
40245,0.95,2010,3,10
40246,0.94,2010,3,11
40247,1.07,2010,3,12
40248,1.12,2010,3,13
40249,1.2,2010,3,14
40250,1.21,2010,3,15
40251,1.19,2010,3,16
40252,1.13,2010,3,17
40253,1.08,2010,3,18
40254,1.05,2010,3,19
40255,1.03,2010,3,20
40256,1.04,2010,3,21
40257,0.99,2010,3,22
40258,0.93,2010,3,23
40259,0.93,2010,3,24
40260,0.99,2010,3,25
40261,0.99,2010,3,26
40262,0.95,2010,3,27
40263,1.12,2010,3,28
40264,2.85,2010,3,29
40265,3.95,2010,3,30
40266,3.33,2010,3,31
40267,2.89,2010,4,1
40268,2.73,2010,4,2
40269,2.62,2010,4,3
40270,2.55,2010,4,4
40271,2.4,2010,4,5
40272,2.26,2010,4,6
40273,2.16,2010,4,7
40274,2.31,2010,4,8
40275,2.2,2010,4,9
40276,2.12,2010,4,10
40277,2.04,2010,4,11
40278,1.96,2010,4,12
40279,1.82,2010,4,13
40280,1.71,2010,4,14
40281,1.75,2010,4,15
40282,1.64,2010,4,16
40283,1.57,2010,4,17
40284,1.51,2010,4,18
40285,1.47,2010,4,19
40286,1.43,2010,4,20
40287,1.55,2010,4,21
40288,1.4,2010,4,22
40289,1.34,2010,4,23
40290,1.32,2010,4,24
40291,1.24,2010,4,25
40292,1.24,2010,4,26
40293,1.27,2010,4,27
40294,1.27,2010,4,28
40295,1.28,2010,4,29
40296,1.33,2010,4,30
40297,1.36,2010,5,1
40298,1.33,2010,5,2
40299,1.42,2010,5,3
40300,1.45,2010,5,4
40301,1.71,2010,5,5
40302,1.95,2010,5,6
40303,1.92,2010,5,7
40304,1.81,2010,5,8
40305,1.7,2010,5,9
40306,1.66,2010,5,10
40307,1.5,2010,5,11
40308,1.41,2010,5,12
40309,1.32,2010,5,13
40310,1.26,2010,5,14
40311,1.17,2010,5,15
40312,1.13,2010,5,16
40313,1.11,2010,5,17
40314,1.1,2010,5,18
40315,1.07,2010,5,19
40316,1.03,2010,5,20
40317,1.03,2010,5,21
40318,1.42,2010,5,22
40319,1.58,2010,5,23
40320,1.57,2010,5,24
40321,1.59,2010,5,25
40322,1.63,2010,5,26
40323,1.63,2010,5,27
40324,1.59,2010,5,28
40325,1.69,2010,5,29
40326,1.71,2010,5,30
40327,1.88,2010,5,31
40328,1.89,2010,6,1
40329,4.93,2010,6,2
40330,5.4,2010,6,3
40331,6.5,2010,6,4
40332,5.75,2010,6,5
40333,4.79,2010,6,6
40334,6.48,2010,6,7
40335,5.66,2010,6,8
40336,5.42,2010,6,9
40337,5.25,2010,6,10
40338,4.96,2010,6,11
40339,4.44,2010,6,12
40340,3.95,2010,6,13
40341,3.47,2010,6,14
40342,3.17,2010,6,15
40343,2.93,2010,6,16
40344,2.58,2010,6,17
40345,2.31,2010,6,18
40346,2.15,2010,6,19
40347,1.99,2010,6,20
40348,1.82,2010,6,21
40349,1.64,2010,6,22
40350,1.51,2010,6,23
40351,1.37,2010,6,24
40352,1.33,2010,6,25
40353,1.2,2010,6,26
40354,1.12,2010,6,27
40355,1.15,2010,6,28
40356,1.1,2010,6,29
40357,1,2010,6,30
40358,0.9,2010,7,1
40359,0.9,2010,7,2
40360,0.9,2010,7,3
40361,0.9,2010,7,4
40362,0.9,2010,7,5
40363,0.8,2010,7,6
40364,0.8,2010,7,7
40365,0.8,2010,7,8
40366,0.8,2010,7,9
40367,0.8,2010,7,10
40368,0.7,2010,7,11
40369,0.7,2010,7,12
40370,0.7,2010,7,13
40371,0.7,2010,7,14
40372,0.7,2010,7,15
40373,0.6,2010,7,16
40374,0.6,2010,7,17
40375,0.6,2010,7,18
40376,0.6,2010,7,19
40377,0.6,2010,7,20
40378,0.5,2010,7,21
40379,0.5,2010,7,22
40380,0.5,2010,7,23
40381,0.5,2010,7,24
40382,0.5,2010,7,25
40383,0.4,2010,7,26
40384,0.4,2010,7,27
40385,0.4,2010,7,28
40386,0.4,2010,7,29
40387,0.4,2010,7,30
40388,0.4,2010,7,31
40389,0.4,2010,8,1
40390,0.4,2010,8,2
40391,0.4,2010,8,3
40392,0.4,2010,8,4
40393,0.4,2010,8,5
