; USGS 14203500 TUALATIN RIVER NEAR DILLEY  OR,,,,
day_index,Q_cfs,year,month,day
40177,751,2010,1,1
40178,951,2010,1,2
40179,887,2010,1,3
40180,784,2010,1,4
40181,773,2010,1,5
40182,887,2010,1,6
40183,941,2010,1,7
40184,918,2010,1,8
40185,920,2010,1,9
40186,879,2010,1,10
40187,839,2010,1,11
40188,883,2010,1,12
40189,1030,2010,1,13
40190,1100,2010,1,14
40191,1060,2010,1,15
40192,1060,2010,1,16
40193,990,2010,1,17
40194,1120,2010,1,18
40195,1180,2010,1,19
40196,1060,2010,1,20
40197,1050,2010,1,21
40198,1100,2010,1,22
40199,1090,2010,1,23
40200,1040,2010,1,24
40201,1100,2010,1,25
40202,889,2010,1,26
40203,805,2010,1,27
40204,740,2010,1,28
40205,683,2010,1,29
40206,636,2010,1,30
40207,602,2010,1,31
40208,573,2010,2,1
40209,564,2010,2,2
40210,550,2010,2,3
40211,566,2010,2,4
40212,564,2010,2,5
40213,504,2010,2,6
40214,471,2010,2,7
40215,438,2010,2,8
40216,411,2010,2,9
40217,393,2010,2,10
40218,394,2010,2,11
40219,460,2010,2,12
40220,550,2010,2,13
40221,571,2010,2,14
40222,559,2010,2,15
40223,547,2010,2,16
40224,489,2010,2,17
40225,429,2010,2,18
40226,392,2010,2,19
40227,355,2010,2,20
40228,327,2010,2,21
40229,303,2010,2,22
40230,296,2010,2,23
40231,342,2010,2,24
40232,366,2010,2,25
40233,436,2010,2,26
40234,573,2010,2,27
40235,587,2010,2,28
40236,548,2010,3,1
40237,485,2010,3,2
40238,442,2010,3,3
40239,389,2010,3,4
40240,351,2010,3,5
40241,324,2010,3,6
40242,303,2010,3,7
40243,283,2010,3,8
40244,277,2010,3,9
40245,298,2010,3,10
40246,334,2010,3,11
40247,575,2010,3,12
40248,676,2010,3,13
40249,676,2010,3,14
40250,645,2010,3,15
40251,610,2010,3,16
40252,579,2010,3,17
40253,514,2010,3,18
40254,374,2010,3,19
40255,338,2010,3,20
40256,313,2010,3,21
40257,304,2010,3,22
40258,292,2010,3,23
40259,278,2010,3,24
40260,305,2010,3,25
40261,440,2010,3,26
40262,549,2010,3,27
40263,555,2010,3,28
40264,616,2010,3,29
40265,815,2010,3,30
40266,989,2010,3,31
40267,1090,2010,4,1
40268,1050,2010,4,2
40269,913,2010,4,3
40270,874,2010,4,4
40271,841,2010,4,5
40272,912,2010,4,6
40273,988,2010,4,7
40274,1070,2010,4,8
40275,971,2010,4,9
40276,778,2010,4,10
40277,710,2010,4,11
40278,675,2010,4,12
40279,656,2010,4,13
40280,614,2010,4,14
40281,556,2010,4,15
40282,516,2010,4,16
40283,478,2010,4,17
40284,444,2010,4,18
40285,416,2010,4,19
40286,397,2010,4,20
