; USGS 14206900 FANNO CREEK AT 56TH AVE  AT PORTLAND  OR,,,,
day_index,Q_cfs,year,month,day
40177,16.4,2010,1,1
40178,5.44,2010,1,2
40179,3.37,2010,1,3
40180,5.51,2010,1,4
40181,6.6,2010,1,5
40182,9.34,2010,1,6
40183,3.78,2010,1,7
40184,7.04,2010,1,8
40185,5.31,2010,1,9
40186,3.25,2010,1,10
40187,2.79,2010,1,11
40188,6.84,2010,1,12
40189,6.39,2010,1,13
40190,3.6,2010,1,14
40191,10.8,2010,1,15
40192,9.34,2010,1,16
40193,10.5,2010,1,17
40194,5.44,2010,1,18
40195,4.05,2010,1,19
40196,3.48,2010,1,20
40197,3.13,2010,1,21
40198,3.99,2010,1,22
40199,2.85,2010,1,23
40200,12.5,2010,1,24
40201,10,2010,1,25
40202,5.58,2010,1,26
40203,3.93,2010,1,27
40204,2.97,2010,1,28
40205,2.66,2010,1,29
40206,2.73,2010,1,30
40207,2.63,2010,1,31
40208,3.52,2010,2,1
40209,2.6,2010,2,2
40210,3.28,2010,2,3
40211,3.58,2010,2,4
40212,3.25,2010,2,5
40213,2.47,2010,2,6
40214,2.27,2010,2,7
40215,1.71,2010,2,8
40216,1.57,2010,2,9
40217,2.25,2010,2,10
40218,3.46,2010,2,11
40219,4.1,2010,2,12
40220,2.19,2010,2,13
40221,5.74,2010,2,14
40222,3.36,2010,2,15
40223,3.45,2010,2,16
40224,2.38,2010,2,17
40225,2.11,2010,2,18
40226,1.86,2010,2,19
40227,1.61,2010,2,20
40228,1.47,2010,2,21
40229,1.37,2010,2,22
40230,3.05,2010,2,23
40231,3.61,2010,2,24
40232,2.56,2010,2,25
40233,10.4,2010,2,26
40234,3.05,2010,2,27
40235,2.21,2010,2,28
40236,1.93,2010,3,1
40237,1.7,2010,3,2
40238,1.5,2010,3,3
40239,1.37,2010,3,4
40240,1.27,2010,3,5
40241,1.19,2010,3,6
40242,1.28,2010,3,7
40243,1.31,2010,3,8
40244,2.13,2010,3,9
40245,2.02,2010,3,10
40246,9.42,2010,3,11
40247,8.49,2010,3,12
40248,3.18,2010,3,13
40249,2.36,2010,3,14
40250,2.1,2010,3,15
40251,2.04,2010,3,16
40252,1.63,2010,3,17
40253,1.5,2010,3,18
40254,1.43,2010,3,19
40255,1.49,2010,3,20
40256,1.42,2010,3,21
40257,1.49,2010,3,22
40258,1.25,2010,3,23
40259,1.32,2010,3,24
40260,4.95,2010,3,25
40261,6.21,2010,3,26
40262,2.02,2010,3,27
40263,10,2010,3,28
40264,25.5,2010,3,29
40265,8.96,2010,3,30
40266,4.63,2010,3,31
40267,3.29,2010,4,1
40268,12,2010,4,2
40269,6.57,2010,4,3
40270,5.26,2010,4,4
40271,4.81,2010,4,5
40272,5.73,2010,4,6
40273,3.41,2010,4,7
40274,5.02,2010,4,8
40275,2.73,2010,4,9
40276,2.47,2010,4,10
40277,2.29,2010,4,11
40278,6.17,2010,4,12
40279,2.39,2010,4,13
40280,2.02,2010,4,14
40281,3.97,2010,4,15
40282,1.98,2010,4,16
40283,2.13,2010,4,17
40284,1.59,2010,4,18
40285,1.39,2010,4,19
40286,1.3,2010,4,20
40287,1.23,2010,4,21
40288,1.12,2010,4,22
40289,1.11,2010,4,23
40290,1.24,2010,4,24
40291,1.01,2010,4,25
40292,3.84,2010,4,26
40293,8.93,2010,4,27
40294,11,2010,4,28
40295,4.56,2010,4,29
40296,2.38,2010,4,30
40297,1.95,2010,5,1
40298,1.6,2010,5,2
40299,1.97,2010,5,3
40300,2.68,2010,5,4
40301,2.39,2010,5,5
40302,1.61,2010,5,6
40303,1.35,2010,5,7
40304,1.23,2010,5,8
40305,1.16,2010,5,9
40306,1.61,2010,5,10
40307,1.03,2010,5,11
40308,0.94,2010,5,12
40309,0.89,2010,5,13
40310,0.81,2010,5,14
40311,0.75,2010,5,15
40312,0.69,2010,5,16
40313,1.63,2010,5,17
40314,2.64,2010,5,18
40315,4.07,2010,5,19
40316,2.43,2010,5,20
40317,4.31,2010,5,21
40318,11.6,2010,5,22
40319,3.8,2010,5,23
40320,2.3,2010,5,24
40321,2.01,2010,5,25
40322,5.94,2010,5,26
40323,6.99,2010,5,27
40324,6.36,2010,5,28
40325,5.58,2010,5,29
40326,2.78,2010,5,30
40327,5.16,2010,5,31
40328,2.73,2010,6,1
40329,20.2,2010,6,2
40330,5.71,2010,6,3
40331,19.3,2010,6,4
40332,4.03,2010,6,5
40333,49.8,2010,6,6
40334,6.43,2010,6,7
40335,3.85,2010,6,8
40336,4.65,2010,6,9
40337,7.9,2010,6,10
40338,3.32,2010,6,11
40339,2.63,2010,6,12
40340,2.25,2010,6,13
40341,1.97,2010,6,14
40342,6.67,2010,6,15
40343,2.13,2010,6,16
40344,1.77,2010,6,17
40345,1.57,2010,6,18
40346,1.48,2010,6,19
40347,1.49,2010,6,20
40348,1.35,2010,6,21
40349,1.22,2010,6,22
40350,1.13,2010,6,23
40351,1.06,2010,6,24
40352,0.99,2010,6,25
40353,0.92,2010,6,26
40354,0.85,2010,6,27
40355,0.8,2010,6,28
