; USGS 14207500 TUALATIN RIVER AT WEST LINN  OR,,,,
day_index,Q_cfs,year,month,day
40177,2780,2010,1,1
40178,3700,2010,1,2
40179,3730,2010,1,3
40180,3690,2010,1,4
40181,3830,2010,1,5
40182,4440,2010,1,6
40183,4470,2010,1,7
40184,4460,2010,1,8
40185,4730,2010,1,9
40186,4690,2010,1,10
40187,4610,2010,1,11
40188,4680,2010,1,12
40189,4680,2010,1,13
40190,4670,2010,1,14
40191,4650,2010,1,15
40192,5170,2010,1,16
40193,5300,2010,1,17
40194,5460,2010,1,18
40195,5440,2010,1,19
40196,5460,2010,1,20
40197,5470,2010,1,21
40198,5430,2010,1,22
40199,5290,2010,1,23
40200,5160,2010,1,24
40201,5370,2010,1,25
40202,5100,2010,1,26
40203,4890,2010,1,27
40204,4650,2010,1,28
40205,4370,2010,1,29
40206,4040,2010,1,30
40207,3680,2010,1,31
40208,3300,2010,2,1
40209,2990,2010,2,2
40210,2660,2010,2,3
40211,2440,2010,2,4
40212,2400,2010,2,5
40213,2350,2010,2,6
40214,2250,2010,2,7
40215,2090,2010,2,8
40216,1930,2010,2,9
40217,1800,2010,2,10
40218,1710,2010,2,11
40219,1840,2010,2,12
40220,2110,2010,2,13
40221,2490,2010,2,14
40222,2640,2010,2,15
40223,2730,2010,2,16
40224,2700,2010,2,17
40225,2590,2010,2,18
40226,2390,2010,2,19
40227,2170,2010,2,20
40228,1940,2010,2,21
40229,1730,2010,2,22
40230,1580,2010,2,23
40231,1670,2010,2,24
40232,1770,2010,2,25
40233,2040,2010,2,26
40234,2600,2010,2,27
40235,2910,2010,2,28
40236,2880,2010,3,1
40237,2760,2010,3,2
40238,2580,2010,3,3
40239,2320,2010,3,4
40240,2050,2010,3,5
40241,1800,2010,3,6
40242,1600,2010,3,7
40243,1470,2010,3,8
40244,1370,2010,3,9
40245,1350,2010,3,10
40246,1390,2010,3,11
40247,1970,2010,3,12
40248,2600,2010,3,13
40249,2880,2010,3,14
40250,2910,2010,3,15
40251,2880,2010,3,16
40252,2790,2010,3,17
40253,2620,2010,3,18
40254,2360,2010,3,19
40255,2050,2010,3,20
40256,1750,2010,3,21
40257,1540,2010,3,22
40258,1400,2010,3,23
40259,1290,2010,3,24
40260,1300,2010,3,25
40261,1550,2010,3,26
40262,1720,2010,3,27
40263,1950,2010,3,28
40264,2800,2010,3,29
40265,3630,2010,3,30
40266,3640,2010,3,31
40267,3580,2010,4,1
40268,3860,2010,4,2
40269,4380,2010,4,3
40270,4520,2010,4,4
40271,4570,2010,4,5
40272,4640,2010,4,6
40273,4620,2010,4,7
40274,4600,2010,4,8
40275,4500,2010,4,9
40276,4400,2010,4,10
40277,4270,2010,4,11
40278,4200,2010,4,12
40279,3940,2010,4,13
40280,3600,2010,4,14
40281,3300,2010,4,15
40282,2930,2010,4,16
40283,2520,2010,4,17
40284,2150,2010,4,18
40285,1870,2010,4,19
40286,1690,2010,4,20
40287,1560,2010,4,21
40288,1450,2010,4,22
40289,1330,2010,4,23
40290,1230,2010,4,24
40291,1140,2010,4,25
40292,1100,2010,4,26
40293,1390,2010,4,27
40294,1750,2010,4,28
40295,1990,2010,4,29
40296,1880,2010,4,30
40297,1630,2010,5,1
40298,1410,2010,5,2
40299,1290,2010,5,3
40300,1220,2010,5,4
40301,1340,2010,5,5
40302,1310,2010,5,6
40303,1200,2010,5,7
40304,1120,2010,5,8
40305,1050,2010,5,9
40306,1010,2010,5,10
40307,991,2010,5,11
40308,945,2010,5,12
40309,865,2010,5,13
40310,807,2010,5,14
40311,766,2010,5,15
40312,721,2010,5,16
40313,693,2010,5,17
40314,693,2010,5,18
40315,761,2010,5,19
40316,839,2010,5,20
40317,978,2010,5,21
40318,1400,2010,5,22
40319,1450,2010,5,23
40320,1350,2010,5,24
40321,1210,2010,5,25
40322,1140,2010,5,26
40323,1180,2010,5,27
40324,1310,2010,5,28
40325,1240,2010,5,29
40326,1120,2010,5,30
40327,1100,2010,5,31
40328,1070,2010,6,1
40329,1290,2010,6,2
40330,1500,2010,6,3
40331,2040,2010,6,4
40332,2210,2010,6,5
40333,2750,2010,6,6
40334,3450,2010,6,7
40335,3550,2010,6,8
40336,3300,2010,6,9
40337,3000,2010,6,10
40338,2750,2010,6,11
40339,2620,2010,6,12
40340,2210,2010,6,13
40341,1900,2010,6,14
40342,1730,2010,6,15
40343,1690,2010,6,16
40344,1620,2010,6,17
40345,1480,2010,6,18
40346,1390,2010,6,19
40347,1290,2010,6,20
40348,1210,2010,6,21
40349,1150,2010,6,22
40350,962,2010,6,23
40351,785,2010,6,24
40352,676,2010,6,25
40353,621,2010,6,26
40354,569,2010,6,27
40355,532,2010,6,28
40356,495,2010,6,29
40357,457,2010,6,30
40358,434,2010,7,1
40359,420,2010,7,2
40360,499,2010,7,3
40361,545,2010,7,4
40362,503,2010,7,5
40363,466,2010,7,6
40364,425,2010,7,7
40365,369,2010,7,8
40366,355,2010,7,9
40367,354,2010,7,10
40368,355,2010,7,11
40369,361,2010,7,12
40370,367,2010,7,13
40371,361,2010,7,14
40372,344,2010,7,15
40373,326,2010,7,16
40374,307,2010,7,17
40375,301,2010,7,18
40376,306,2010,7,19
40377,314,2010,7,20
40378,308,2010,7,21
40379,290,2010,7,22
40380,278,2010,7,23
40381,269,2010,7,24
40382,268,2010,7,25
40383,279,2010,7,26
40384,275,2010,7,27
40385,266,2010,7,28
40386,262,2010,7,29
40387,246,2010,7,30
40388,238,2010,7,31
40389,236,2010,8,1
40390,248,2010,8,2
40391,259,2010,8,3
40392,250,2010,8,4
40393,245,2010,8,5
40394,246,2010,8,6
40395,238,2010,8,7
40396,239,2010,8,8
40397,252,2010,8,9
40398,267,2010,8,10
40399,264,2010,8,11
40400,254,2010,8,12
40401,249,2010,8,13
40402,236,2010,8,14
40403,232,2010,8,15
40404,244,2010,8,16
40405,242,2010,8,17
40406,234,2010,8,18
40407,236,2010,8,19
40408,249,2010,8,20
40409,254,2010,8,21
40410,254,2010,8,22
40411,255,2010,8,23
40412,262,2010,8,24
40413,248,2010,8,25
40414,226,2010,8,26
40415,213,2010,8,27
40416,228,2010,8,28
40417,234,2010,8,29
40418,236,2010,8,30
40419,245,2010,8,31
40420,259,2010,9,1
40421,271,2010,9,2
40422,285,2010,9,3
40423,273,2010,9,4
40424,245,2010,9,5
40425,235,2010,9,6
40426,259,2010,9,7
40427,396,2010,9,8
40428,407,2010,9,9
40429,354,2010,9,10
40430,289,2010,9,11
40431,264,2010,9,12
40432,257,2010,9,13
40433,243,2010,9,14
40434,235,2010,9,15
40435,276,2010,9,16
40436,306,2010,9,17
40437,373,2010,9,18
40438,691,2010,9,19
40439,660,2010,9,20
40440,530,2010,9,21
40441,408,2010,9,22
40442,342,2010,9,23
40443,307,2010,9,24
40444,290,2010,9,25
40445,289,2010,9,26
40446,301,2010,9,27
40447,307,2010,9,28
40448,295,2010,9,29
40449,290,2010,9,30
40450,279,2010,10,1
40451,270,2010,10,2
40452,268,2010,10,3
40453,274,2010,10,4
40454,274,2010,10,5
40455,268,2010,10,6
40456,266,2010,10,7
40457,260,2010,10,8
40458,312,2010,10,9
40459,521,2010,10,10
40460,600,2010,10,11
40461,547,2010,10,12
40462,421,2010,10,13
40463,346,2010,10,14
40464,315,2010,10,15
40465,289,2010,10,16
40466,274,2010,10,17
40467,272,2010,10,18
40468,274,2010,10,19
40469,271,2010,10,20
40470,264,2010,10,21
40471,266,2010,10,22
40472,274,2010,10,23
40473,698,2010,10,24
40474,944,2010,10,25
40475,1110,2010,10,26
40476,1120,2010,10,27
40477,942,2010,10,28
40478,859,2010,10,29
40479,748,2010,10,30
40480,783,2010,10,31
40481,712,2010,11,1
40482,920,2010,11,2
40483,1160,2010,11,3
40484,1100,2010,11,4
40485,865,2010,11,5
40486,706,2010,11,6
40487,876,2010,11,7
40488,902,2010,11,8
40489,876,2010,11,9
40490,912,2010,11,10
40491,930,2010,11,11
40492,955,2010,11,12
40493,855,2010,11,13
40494,800,2010,11,14
40495,749,2010,11,15
40496,702,2010,11,16
40497,711,2010,11,17
40498,1520,2010,11,18
40499,2290,2010,11,19
40500,2850,2010,11,20
40501,2770,2010,11,21
40502,2630,2010,11,22
40503,2440,2010,11,23
40504,2240,2010,11,24
40505,1980,2010,11,25
40506,1710,2010,11,26
40507,1570,2010,11,27
40508,1550,2010,11,28
40509,1570,2010,11,29
40510,1720,2010,11,30
40511,2220,2010,12,1
40512,2750,2010,12,2
40513,2930,2010,12,3
40514,2920,2010,12,4
40515,2830,2010,12,5
40516,2650,2010,12,6
40517,2420,2010,12,7
40518,2410,2010,12,8
40519,3560,2010,12,9
40520,4920,2010,12,10
40521,5180,2010,12,11
40522,5530,2010,12,12
40523,5510,2010,12,13
40524,6030,2010,12,14
40525,6470,2010,12,15
40526,6740,2010,12,16
40527,6840,2010,12,17
40528,6850,2010,12,18
40529,6630,2010,12,19
40530,6460,2010,12,20
40531,6210,2010,12,21
40532,5970,2010,12,22
