; USGS 14209000 OAK GROVE FORK ABOVE POWERPLANT INTAKE  OR.,,,,
day_index,Q_cfs,year,month,day
40177,521,2010,1,1
40178,518,2010,1,2
40179,481,2010,1,3
40180,476,2010,1,4
40181,720,2010,1,5
40182,799,2010,1,6
40183,670,2010,1,7
40184,645,2010,1,8
40185,637,2010,1,9
40186,642,2010,1,10
40187,656,2010,1,11
40188,654,2010,1,12
40189,658,2010,1,13
40190,645,2010,1,14
40191,641,2010,1,15
40192,672,2010,1,16
40193,680,2010,1,17
40194,657,2010,1,18
40195,641,2010,1,19
40196,619,2010,1,20
40197,599,2010,1,21
40198,584,2010,1,22
40199,562,2010,1,23
40200,527,2010,1,24
40201,548,2010,1,25
40202,522,2010,1,26
40203,487,2010,1,27
40204,473,2010,1,28
40205,454,2010,1,29
40206,384,2010,1,30
40207,410,2010,1,31
40208,426,2010,2,1
40209,424,2010,2,2
40210,423,2010,2,3
40211,411,2010,2,4
40212,417,2010,2,5
40213,407,2010,2,6
40214,408,2010,2,7
40215,403,2010,2,8
40216,382,2010,2,9
40217,378,2010,2,10
40218,388,2010,2,11
40219,413,2010,2,12
40220,408,2010,2,13
40221,411,2010,2,14
40222,412,2010,2,15
40223,421,2010,2,16
40224,419,2010,2,17
40225,439,2010,2,18
40226,400,2010,2,19
40227,392,2010,2,20
40228,382,2010,2,21
40229,373,2010,2,22
40230,372,2010,2,23
40231,406,2010,2,24
40232,413,2010,2,25
40233,417,2010,2,26
40234,435,2010,2,27
40235,413,2010,2,28
40236,404,2010,3,1
40237,409,2010,3,2
40238,415,2010,3,3
40239,408,2010,3,4
40240,397,2010,3,5
40241,390,2010,3,6
40242,387,2010,3,7
40243,384,2010,3,8
40244,376,2010,3,9
40245,373,2010,3,10
40246,382,2010,3,11
40247,419,2010,3,12
40248,392,2010,3,13
40249,377,2010,3,14
40250,372,2010,3,15
40251,371,2010,3,16
40252,367,2010,3,17
40253,361,2010,3,18
40254,357,2010,3,19
40255,355,2010,3,20
40256,371,2010,3,21
40257,393,2010,3,22
40258,376,2010,3,23
40259,370,2010,3,24
40260,386,2010,3,25
40261,407,2010,3,26
40262,394,2010,3,27
40263,410,2010,3,28
40264,828,2010,3,29
40265,728,2010,3,30
40266,619,2010,3,31
40267,614,2010,4,1
40268,604,2010,4,2
40269,620,2010,4,3
40270,625,2010,4,4
40271,613,2010,4,5
40272,609,2010,4,6
40273,606,2010,4,7
40274,606,2010,4,8
40275,608,2010,4,9
40276,595,2010,4,10
40277,560,2010,4,11
40278,537,2010,4,12
40279,544,2010,4,13
40280,551,2010,4,14
40281,570,2010,4,15
40282,572,2010,4,16
40283,580,2010,4,17
40284,582,2010,4,18
40285,591,2010,4,19
40286,599,2010,4,20
40287,603,2010,4,21
40288,567,2010,4,22
40289,552,2010,4,23
40290,555,2010,4,24
40291,538,2010,4,25
40292,532,2010,4,26
40293,561,2010,4,27
40294,570,2010,4,28
40295,580,2010,4,29
40296,592,2010,4,30
40297,586,2010,5,1
40298,596,2010,5,2
40299,677,2010,5,3
40300,667,2010,5,4
40301,639,2010,5,5
40302,616,2010,5,6
40303,583,2010,5,7
40304,560,2010,5,8
40305,551,2010,5,9
40306,555,2010,5,10
40307,524,2010,5,11
40308,512,2010,5,12
40309,527,2010,5,13
40310,526,2010,5,14
40311,531,2010,5,15
40312,540,2010,5,16
40313,579,2010,5,17
40314,624,2010,5,18
40315,599,2010,5,19
40316,559,2010,5,20
40317,541,2010,5,21
40318,523,2010,5,22
40319,504,2010,5,23
40320,487,2010,5,24
40321,480,2010,5,25
40322,493,2010,5,26
40323,482,2010,5,27
40324,486,2010,5,28
40325,524,2010,5,29
40326,501,2010,5,30
40327,523,2010,5,31
40328,532,2010,6,1
40329,733,2010,6,2
40330,840,2010,6,3
40331,1020,2010,6,4
40332,941,2010,6,5
40333,876,2010,6,6
40334,870,2010,6,7
40335,807,2010,6,8
40336,708,2010,6,9
40337,780,2010,6,10
40338,750,2010,6,11
40339,666,2010,6,12
40340,620,2010,6,13
40341,595,2010,6,14
40342,570,2010,6,15
40343,575,2010,6,16
40344,564,2010,6,17
40345,540,2010,6,18
40346,528,2010,6,19
40347,515,2010,6,20
40348,507,2010,6,21
40349,495,2010,6,22
40350,486,2010,6,23
40351,459,2010,6,24
40352,444,2010,6,25
40353,435,2010,6,26
40354,428,2010,6,27
40355,424,2010,6,28
40356,417,2010,6,29
40357,402,2010,6,30
40358,382,2010,7,1
40359,388,2010,7,2
40360,381,2010,7,3
40361,373,2010,7,4
40362,369,2010,7,5
40363,366,2010,7,6
40364,363,2010,7,7
40365,359,2010,7,8
40366,356,2010,7,9
40367,354,2010,7,10
40368,352,2010,7,11
40369,351,2010,7,12
40370,347,2010,7,13
40371,339,2010,7,14
40372,333,2010,7,15
40373,332,2010,7,16
40374,329,2010,7,17
40375,328,2010,7,18
40376,326,2010,7,19
40377,326,2010,7,20
40378,324,2010,7,21
40379,323,2010,7,22
40380,322,2010,7,23
40381,320,2010,7,24
40382,319,2010,7,25
40383,318,2010,7,26
40384,317,2010,7,27
40385,315,2010,7,28
40386,314,2010,7,29
40387,313,2010,7,30
40388,313,2010,7,31
40389,312,2010,8,1
40390,312,2010,8,2
40391,306,2010,8,3
40392,287,2010,8,4
40393,287,2010,8,5
40394,293,2010,8,6
40395,292,2010,8,7
40396,297,2010,8,8
40397,301,2010,8,9
40398,300,2010,8,10
40399,299,2010,8,11
40400,298,2010,8,12
40401,298,2010,8,13
40402,291,2010,8,14
40403,283,2010,8,15
40404,283,2010,8,16
40405,283,2010,8,17
40406,283,2010,8,18
40407,282,2010,8,19
40408,282,2010,8,20
40409,281,2010,8,21
40410,281,2010,8,22
40411,280,2010,8,23
40412,279,2010,8,24
40413,279,2010,8,25
40414,279,2010,8,26
40415,279,2010,8,27
40416,279,2010,8,28
40417,279,2010,8,29
40418,279,2010,8,30
40419,304,2010,8,31
40420,367,2010,9,1
40421,358,2010,9,2
40422,355,2010,9,3
40423,354,2010,9,4
40424,352,2010,9,5
40425,352,2010,9,6
40426,387,2010,9,7
40427,409,2010,9,8
40428,419,2010,9,9
40429,406,2010,9,10
40430,403,2010,9,11
40431,403,2010,9,12
40432,402,2010,9,13
40433,376,2010,9,14
40434,400,2010,9,15
40435,403,2010,9,16
40436,414,2010,9,17
40437,393,2010,9,18
40438,363,2010,9,19
40439,363,2010,9,20
40440,378,2010,9,21
40441,424,2010,9,22
40442,412,2010,9,23
40443,394,2010,9,24
40444,391,2010,9,25
40445,391,2010,9,26
40446,405,2010,9,27
40447,381,2010,9,28
40448,378,2010,9,29
40449,377,2010,9,30
40450,376,2010,10,1
40451,424,2010,10,2
40452,443,2010,10,3
40453,441,2010,10,4
40454,437,2010,10,5
40455,437,2010,10,6
40456,436,2010,10,7
40457,441,2010,10,8
40458,458,2010,10,9
40459,457,2010,10,10
40460,451,2010,10,11
40461,457,2010,10,12
40462,390,2010,10,13
40463,414,2010,10,14
40464,348,2010,10,15
40465,369,2010,10,16
40466,383,2010,10,17
40467,314,2010,10,18
40468,289,2010,10,19
40469,288,2010,10,20
40470,329,2010,10,21
40471,441,2010,10,22
40472,443,2010,10,23
40473,512,2010,10,24
40474,495,2010,10,25
40475,518,2010,10,26
40476,515,2010,10,27
40477,509,2010,10,28
40478,498,2010,10,29
40479,492,2010,10,30
40480,501,2010,10,31
40481,497,2010,11,1
40482,513,2010,11,2
40483,496,2010,11,3
40484,491,2010,11,4
40485,486,2010,11,5
40486,482,2010,11,6
40487,503,2010,11,7
40488,500,2010,11,8
40489,497,2010,11,9
40490,500,2010,11,10
40491,496,2010,11,11
40492,500,2010,11,12
40493,495,2010,11,13
40494,537,2010,11,14
40495,589,2010,11,15
40496,615,2010,11,16
40497,591,2010,11,17
40498,623,2010,11,18
40499,592,2010,11,19
40500,560,2010,11,20
40501,541,2010,11,21
40502,536,2010,11,22
40503,520,2010,11,23
40504,507,2010,11,24
40505,504,2010,11,25
40506,509,2010,11,26
40507,499,2010,11,27
40508,478,2010,11,28
40509,469,2010,11,29
40510,500,2010,11,30
40511,549,2010,12,1
40512,521,2010,12,2
40513,500,2010,12,3
40514,490,2010,12,4
40515,474,2010,12,5
40516,412,2010,12,6
40517,362,2010,12,7
40518,408,2010,12,8
40519,668,2010,12,9
40520,759,2010,12,10
40521,759,2010,12,11
40522,1060,2010,12,12
40523,1290,2010,12,13
40524,1280,2010,12,14
40525,996,2010,12,15
40526,799,2010,12,16
40527,691,2010,12,17
40528,649,2010,12,18
40529,654,2010,12,19
40530,645,2010,12,20
40531,638,2010,12,21
40532,626,2010,12,22
40533,611,2010,12,23
40534,596,2010,12,24
40535,590,2010,12,25
40536,599,2010,12,26
40537,604,2010,12,27
40538,654,2010,12,28
40539,597,2010,12,29
40540,620,2010,12,30
40541,615,2010,12,31
40542,578,2011,1,1
40543,559,2011,1,2
40544,544,2011,1,3
40545,534,2011,1,4
40546,549,2011,1,5
40547,552,2011,1,6
40548,549,2011,1,7
40549,549,2011,1,8
40550,493,2011,1,9
40551,397,2011,1,10
40552,490,2011,1,11
40553,586,2011,1,12
40554,611,2011,1,13
40555,653,2011,1,14
40556,686,2011,1,15
40557,2230,2011,1,16
40558,2100,2011,1,17
40559,1460,2011,1,18
40560,1160,2011,1,19
40561,966,2011,1,20
40562,932,2011,1,21
40563,866,2011,1,22
40564,758,2011,1,23
40565,698,2011,1,24
40566,677,2011,1,25
40567,684,2011,1,26
40568,670,2011,1,27
40569,662,2011,1,28
40570,670,2011,1,29
40571,676,2011,1,30
40572,659,2011,1,31
40573,635,2011,2,1
40574,638,2011,2,2
40575,639,2011,2,3
40576,651,2011,2,4
40577,676,2011,2,5
40578,693,2011,2,6
40579,671,2011,2,7
40580,652,2011,2,8
40581,648,2011,2,9
40582,658,2011,2,10
40583,649,2011,2,11
40584,649,2011,2,12
40585,662,2011,2,13
40586,664,2011,2,14
40587,684,2011,2,15
40588,655,2011,2,16
40589,644,2011,2,17
40590,638,2011,2,18
40591,639,2011,2,19
40592,644,2011,2,20
40593,641,2011,2,21
40594,646,2011,2,22
40595,649,2011,2,23
40596,643,2011,2,24
40597,643,2011,2,25
40598,640,2011,2,26
40599,649,2011,2,27
40600,626,2011,2,28
40601,526,2011,3,1
40602,534,2011,3,2
40603,546,2011,3,3
40604,553,2011,3,4
40605,563,2011,3,5
40606,539,2011,3,6
40607,493,2011,3,7
40608,505,2011,3,8
40609,537,2011,3,9
40610,674,2011,3,10
40611,652,2011,3,11
40612,634,2011,3,12
40613,644,2011,3,13
40614,656,2011,3,14
40615,690,2011,3,15
40616,710,2011,3,16
40617,669,2011,3,17
40618,662,2011,3,18
40619,659,2011,3,19
40620,644,2011,3,20
40621,638,2011,3,21
40622,626,2011,3,22
40623,598,2011,3,23
40624,613,2011,3,24
40625,609,2011,3,25
40626,608,2011,3,26
40627,609,2011,3,27
40628,615,2011,3,28
40629,667,2011,3,29
40630,778,2011,3,30
40631,861,2011,3,31
40632,877,2011,4,1
40633,877,2011,4,2
40634,759,2011,4,3
40635,787,2011,4,4
40636,1030,2011,4,5
40637,879,2011,4,6
40638,793,2011,4,7
40639,788,2011,4,8
40640,741,2011,4,9
40641,706,2011,4,10
40642,711,2011,4,11
40643,704,2011,4,12
40644,692,2011,4,13
40645,686,2011,4,14
40646,735,2011,4,15
40647,832,2011,4,16
40648,845,2011,4,17
40649,785,2011,4,18
40650,737,2011,4,19
40651,713,2011,4,20
40652,710,2011,4,21
40653,707,2011,4,22
40654,682,2011,4,23
40655,669,2011,4,24
40656,721,2011,4,25
40657,735,2011,4,26
40658,715,2011,4,27
40659,707,2011,4,28
40660,691,2011,4,29
40661,672,2011,4,30
40662,655,2011,5,1
40663,657,2011,5,2
40664,648,2011,5,3
40665,645,2011,5,4
40666,655,2011,5,5
40667,664,2011,5,6
40668,699,2011,5,7
40669,716,2011,5,8
40670,704,2011,5,9
40671,704,2011,5,10
40672,727,2011,5,11
40673,742,2011,5,12
40674,731,2011,5,13
40675,745,2011,5,14
40676,803,2011,5,15
40677,805,2011,5,16
40678,781,2011,5,17
40679,772,2011,5,18
40680,755,2011,5,19
40681,764,2011,5,20
40682,785,2011,5,21
40683,773,2011,5,22
40684,765,2011,5,23
40685,757,2011,5,24
40686,764,2011,5,25
40687,751,2011,5,26
40688,772,2011,5,27
40689,781,2011,5,28
40690,750,2011,5,29
40691,706,2011,5,30
40692,733,2011,5,31
40693,759,2011,6,1
40694,778,2011,6,2
40695,758,2011,6,3
40696,758,2011,6,4
40697,779,2011,6,5
40698,852,2011,6,6
40699,823,2011,6,7
40700,792,2011,6,8
40701,750,2011,6,9
40702,729,2011,6,10
40703,721,2011,6,11
40704,700,2011,6,12
40705,671,2011,6,13
40706,653,2011,6,14
40707,651,2011,6,15
40708,633,2011,6,16
40709,618,2011,6,17
40710,614,2011,6,18
40711,619,2011,6,19
40712,596,2011,6,20
40713,563,2011,6,21
40714,551,2011,6,22
40715,567,2011,6,23
40716,543,2011,6,24
40717,525,2011,6,25
40718,513,2011,6,26
40719,517,2011,6,27
40720,522,2011,6,28
40721,515,2011,6,29
40722,514,2011,6,30
40723,490,2011,7,1
40724,477,2011,7,2
40725,473,2011,7,3
40726,456,2011,7,4
40727,433,2011,7,5
40728,424,2011,7,6
40729,422,2011,7,7
40730,422,2011,7,8
40731,429,2011,7,9
40732,426,2011,7,10
40733,423,2011,7,11
40734,423,2011,7,12
40735,423,2011,7,13
40736,445,2011,7,14
40737,463,2011,7,15
40738,467,2011,7,16
40739,472,2011,7,17
40740,462,2011,7,18
40741,446,2011,7,19
40742,440,2011,7,20
40743,437,2011,7,21
40744,435,2011,7,22
40745,420,2011,7,23
40746,400,2011,7,24
40747,386,2011,7,25
40748,384,2011,7,26
40749,381,2011,7,27
40750,379,2011,7,28
40751,378,2011,7,29
40752,377,2011,7,30
40753,375,2011,7,31
40754,329,2011,8,1
40755,329,2011,8,2
40756,329,2011,8,3
40757,344,2011,8,4
40758,358,2011,8,5
40759,373,2011,8,6
40760,373,2011,8,7
40761,375,2011,8,8
40762,365,2011,8,9
40763,357,2011,8,10
40764,356,2011,8,11
40765,355,2011,8,12
40766,355,2011,8,13
40767,354,2011,8,14
40768,317,2011,8,15
40769,316,2011,8,16
40770,353,2011,8,17
40771,353,2011,8,18
