; USGS 14209500 CLACKAMAS RIVER ABOVE THREE LYNX CREEK  OR,,,,
day_index,Q_cfs,year,month,day
40177,4040,2010,1,1
40178,4740,2010,1,2
40179,3570,2010,1,3
40180,2970,2010,1,4
40181,4610,2010,1,5
40182,6190,2010,1,6
40183,4510,2010,1,7
40184,3500,2010,1,8
40185,3100,2010,1,9
40186,2820,2010,1,10
40187,2590,2010,1,11
40188,2610,2010,1,12
40189,2830,2010,1,13
40190,2970,2010,1,14
40191,2720,2010,1,15
40192,3140,2010,1,16
40193,3520,2010,1,17
40194,3640,2010,1,18
40195,3120,2010,1,19
40196,2710,2010,1,20
40197,2420,2010,1,21
40198,2210,2010,1,22
40199,2030,2010,1,23
40200,1920,2010,1,24
40201,2380,2010,1,25
40202,2370,2010,1,26
40203,2140,2010,1,27
40204,1960,2010,1,28
40205,1860,2010,1,29
40206,1690,2010,1,30
40207,1730,2010,1,31
40208,1670,2010,2,1
40209,1680,2010,2,2
40210,1660,2010,2,3
40211,1800,2010,2,4
40212,1970,2010,2,5
40213,1920,2010,2,6
40214,1830,2010,2,7
40215,1720,2010,2,8
40216,1620,2010,2,9
40217,1540,2010,2,10
40218,1610,2010,2,11
40219,1930,2010,2,12
40220,2040,2010,2,13
40221,2050,2010,2,14
40222,2120,2010,2,15
40223,2110,2010,2,16
40224,2070,2010,2,17
40225,1940,2010,2,18
40226,1770,2010,2,19
40227,1650,2010,2,20
40228,1550,2010,2,21
40229,1460,2010,2,22
40230,1410,2010,2,23
40231,1660,2010,2,24
40232,1950,2010,2,25
40233,2020,2010,2,26
40234,2240,2010,2,27
40235,2050,2010,2,28
40236,1880,2010,3,1
40237,1790,2010,3,2
40238,1760,2010,3,3
40239,1710,2010,3,4
40240,1610,2010,3,5
40241,1530,2010,3,6
40242,1470,2010,3,7
40243,1430,2010,3,8
40244,1370,2010,3,9
40245,1340,2010,3,10
40246,1380,2010,3,11
40247,1950,2010,3,12
40248,1860,2010,3,13
40249,1680,2010,3,14
40250,1590,2010,3,15
40251,1560,2010,3,16
40252,1530,2010,3,17
40253,1480,2010,3,18
40254,1420,2010,3,19
40255,1370,2010,3,20
40256,1420,2010,3,21
40257,1710,2010,3,22
40258,1620,2010,3,23
