; USGS 14210000 CLACKAMAS RIVER AT ESTACADA  OR,,,,
day_index,Q_cfs,year,month,day
40177,5780,2010,1,1
40178,7090,2010,1,2
40179,5550,2010,1,3
40180,4530,2010,1,4
40181,6820,2010,1,5
40182,9720,2010,1,6
40183,7260,2010,1,7
40184,5600,2010,1,8
40185,4850,2010,1,9
40186,4310,2010,1,10
40187,3880,2010,1,11
40188,3850,2010,1,12
40189,4070,2010,1,13
40190,4260,2010,1,14
40191,3940,2010,1,15
40192,4570,2010,1,16
40193,4990,2010,1,17
40194,5490,2010,1,18
40195,4730,2010,1,19
40196,4080,2010,1,20
40197,3560,2010,1,21
40198,3280,2010,1,22
40199,3040,2010,1,23
40200,2910,2010,1,24
40201,3780,2010,1,25
40202,3780,2010,1,26
40203,3340,2010,1,27
40204,3010,2010,1,28
40205,2820,2010,1,29
40206,2730,2010,1,30
40207,2600,2010,1,31
40208,2570,2010,2,1
40209,2670,2010,2,2
40210,2510,2010,2,3
40211,2620,2010,2,4
40212,2990,2010,2,5
40213,2850,2010,2,6
40214,2690,2010,2,7
40215,2530,2010,2,8
40216,2370,2010,2,9
40217,2270,2010,2,10
40218,2360,2010,2,11
40219,2790,2010,2,12
40220,2970,2010,2,13
40221,3000,2010,2,14
40222,3140,2010,2,15
40223,3160,2010,2,16
40224,3090,2010,2,17
40225,2870,2010,2,18
40226,2620,2010,2,19
40227,2430,2010,2,20
40228,2300,2010,2,21
40229,2140,2010,2,22
40230,2030,2010,2,23
40231,2390,2010,2,24
40232,2850,2010,2,25
40233,2930,2010,2,26
40234,3340,2010,2,27
40235,3010,2010,2,28
40236,2740,2010,3,1
40237,2560,2010,3,2
40238,2500,2010,3,3
40239,2440,2010,3,4
40240,2280,2010,3,5
40241,2150,2010,3,6
40242,2060,2010,3,7
40243,2020,2010,3,8
40244,1910,2010,3,9
40245,1890,2010,3,10
40246,1910,2010,3,11
40247,2880,2010,3,12
40248,2850,2010,3,13
40249,2500,2010,3,14
40250,2350,2010,3,15
40251,2280,2010,3,16
40252,2240,2010,3,17
40253,2100,2010,3,18
40254,2030,2010,3,19
40255,1940,2010,3,20
40256,2040,2010,3,21
40257,2540,2010,3,22
40258,2420,2010,3,23
40259,2290,2010,3,24
40260,2320,2010,3,25
40261,2800,2010,3,26
40262,2780,2010,3,27
40263,2880,2010,3,28
40264,10500,2010,3,29
40265,10500,2010,3,30
