; USGS 14211010 CLACKAMAS RIVER NEAR OREGON CITY  OR,,,,
day_index,Q_cfs,year,month,day
40177,6390,2010,1,1
40178,8140,2010,1,2
40179,6410,2010,1,3
40180,5250,2010,1,4
40181,7200,2010,1,5
40182,12200,2010,1,6
40183,9170,2010,1,7
40184,6810,2010,1,8
40185,5940,2010,1,9
40186,5140,2010,1,10
40187,4560,2010,1,11
40188,4610,2010,1,12
40189,4720,2010,1,13
40190,4860,2010,1,14
40191,4640,2010,1,15
40192,5610,2010,1,16
40193,6150,2010,1,17
40194,6630,2010,1,18
40195,5750,2010,1,19
40196,4920,2010,1,20
40197,4270,2010,1,21
40198,3880,2010,1,22
40199,3790,2010,1,23
40200,3560,2010,1,24
40201,4590,2010,1,25
40202,4620,2010,1,26
40203,4060,2010,1,27
40204,3670,2010,1,28
40205,3390,2010,1,29
40206,3310,2010,1,30
40207,3140,2010,1,31
40208,3080,2010,2,1
40209,3310,2010,2,2
40210,3120,2010,2,3
40211,3210,2010,2,4
40212,3600,2010,2,5
40213,3400,2010,2,6
40214,3200,2010,2,7
40215,3000,2010,2,8
40216,2800,2010,2,9
40217,2700,2010,2,10
40218,2820,2010,2,11
40219,3250,2010,2,12
40220,3470,2010,2,13
40221,3580,2010,2,14
40222,3830,2010,2,15
40223,3920,2010,2,16
40224,3830,2010,2,17
40225,3540,2010,2,18
40226,3220,2010,2,19
40227,2990,2010,2,20
40228,2770,2010,2,21
40229,2580,2010,2,22
40230,2440,2010,2,23
40231,2700,2010,2,24
40232,3260,2010,2,25
40233,3380,2010,2,26
40234,3790,2010,2,27
40235,3500,2010,2,28
40236,3220,2010,3,1
40237,2990,2010,3,2
40238,2880,2010,3,3
40239,2780,2010,3,4
40240,2620,2010,3,5
40241,2440,2010,3,6
40242,2360,2010,3,7
40243,2360,2010,3,8
40244,2220,2010,3,9
40245,2170,2010,3,10
40246,2220,2010,3,11
40247,3250,2010,3,12
40248,3610,2010,3,13
40249,3140,2010,3,14
40250,2900,2010,3,15
40251,2770,2010,3,16
40252,2680,2010,3,17
40253,2540,2010,3,18
40254,2410,2010,3,19
40255,2290,2010,3,20
40256,2310,2010,3,21
40257,2840,2010,3,22
40258,2790,2010,3,23
40259,2620,2010,3,24
40260,2640,2010,3,25
40261,3150,2010,3,26
40262,3220,2010,3,27
40263,3240,2010,3,28
40264,11300,2010,3,29
40265,14600,2010,3,30
40266,9340,2010,3,31
40267,6940,2010,4,1
40268,6040,2010,4,2
40269,5900,2010,4,3
40270,5240,2010,4,4
40271,4770,2010,4,5
40272,4380,2010,4,6
40273,4160,2010,4,7
40274,4510,2010,4,8
40275,4250,2010,4,9
40276,3930,2010,4,10
40277,3640,2010,4,11
40278,3630,2010,4,12
40279,3780,2010,4,13
40280,3920,2010,4,14
40281,4270,2010,4,15
40282,4290,2010,4,16
40283,4380,2010,4,17
40284,4310,2010,4,18
40285,4330,2010,4,19
40286,4400,2010,4,20
40287,5080,2010,4,21
40288,4510,2010,4,22
40289,4030,2010,4,23
40290,3860,2010,4,24
40291,3590,2010,4,25
40292,3390,2010,4,26
40293,3750,2010,4,27
40294,4290,2010,4,28
40295,4390,2010,4,29
40296,4750,2010,4,30
40297,4610,2010,5,1
40298,4570,2010,5,2
40299,5010,2010,5,3
40300,6090,2010,5,4
40301,5370,2010,5,5
40302,4990,2010,5,6
40303,4550,2010,5,7
40304,4160,2010,5,8
40305,3820,2010,5,9
40306,3790,2010,5,10
40307,3810,2010,5,11
40308,3620,2010,5,12
40309,3460,2010,5,13
40310,3330,2010,5,14
40311,3330,2010,5,15
40312,3370,2010,5,16
40313,3440,2010,5,17
40314,3950,2010,5,18
40315,3890,2010,5,19
40316,4330,2010,5,20
40317,4110,2010,5,21
40318,4560,2010,5,22
40319,4420,2010,5,23
40320,4040,2010,5,24
40321,3760,2010,5,25
40322,3780,2010,5,26
40323,3670,2010,5,27
40324,3590,2010,5,28
40325,4340,2010,5,29
40326,4260,2010,5,30
40327,4220,2010,5,31
40328,4110,2010,6,1
40329,7240,2010,6,2
40330,13400,2010,6,3
40331,13200,2010,6,4
40332,12100,2010,6,5
40333,8790,2010,6,6
40334,8780,2010,6,7
40335,7370,2010,6,8
40336,6370,2010,6,9
40337,7030,2010,6,10
40338,7550,2010,6,11
40339,6340,2010,6,12
40340,5290,2010,6,13
40341,4620,2010,6,14
40342,4050,2010,6,15
40343,3980,2010,6,16
40344,3850,2010,6,17
40345,3480,2010,6,18
40346,3360,2010,6,19
40347,3180,2010,6,20
40348,3080,2010,6,21
40349,2910,2010,6,22
40350,2700,2010,6,23
40351,2540,2010,6,24
40352,2390,2010,6,25
40353,2280,2010,6,26
40354,2160,2010,6,27
40355,2060,2010,6,28
40356,1960,2010,6,29
40357,1890,2010,6,30
40358,1810,2010,7,1
40359,1890,2010,7,2
40360,1910,2010,7,3
40361,1760,2010,7,4
40362,1690,2010,7,5
40363,1600,2010,7,6
40364,1540,2010,7,7
40365,1480,2010,7,8
40366,1450,2010,7,9
40367,1400,2010,7,10
40368,1380,2010,7,11
40369,1350,2010,7,12
40370,1320,2010,7,13
40371,1290,2010,7,14
40372,1250,2010,7,15
40373,1230,2010,7,16
40374,1210,2010,7,17
40375,1190,2010,7,18
40376,1170,2010,7,19
40377,1200,2010,7,20
40378,1180,2010,7,21
40379,1150,2010,7,22
40380,1130,2010,7,23
40381,1080,2010,7,24
40382,1060,2010,7,25
40383,1120,2010,7,26
40384,1030,2010,7,27
40385,1000,2010,7,28
40386,1000,2010,7,29
40387,994,2010,7,30
40388,979,2010,7,31
40389,992,2010,8,1
40390,953,2010,8,2
40391,892,2010,8,3
40392,970,2010,8,4
40393,942,2010,8,5
40394,925,2010,8,6
40395,910,2010,8,7
40396,919,2010,8,8
40397,907,2010,8,9
40398,897,2010,8,10
40399,903,2010,8,11
40400,885,2010,8,12
40401,856,2010,8,13
40402,849,2010,8,14
40403,859,2010,8,15
40404,802,2010,8,16
40405,798,2010,8,17
40406,816,2010,8,18
40407,818,2010,8,19
40408,816,2010,8,20
40409,813,2010,8,21
40410,806,2010,8,22
40411,803,2010,8,23
40412,782,2010,8,24
40413,773,2010,8,25
40414,780,2010,8,26
40415,781,2010,8,27
40416,792,2010,8,28
40417,788,2010,8,29
40418,792,2010,8,30
40419,808,2010,8,31
40420,1000,2010,9,1
40421,1020,2010,9,2
40422,870,2010,9,3
40423,848,2010,9,4
40424,846,2010,9,5
40425,836,2010,9,6
40426,856,2010,9,7
40427,996,2010,9,8
40428,1060,2010,9,9
40429,1080,2010,9,10
40430,956,2010,9,11
40431,909,2010,9,12
40432,884,2010,9,13
40433,865,2010,9,14
40434,883,2010,9,15
40435,938,2010,9,16
40436,938,2010,9,17
40437,1160,2010,9,18
40438,1390,2010,9,19
40439,1790,2010,9,20
40440,1460,2010,9,21
40441,1190,2010,9,22
40442,1120,2010,9,23
40443,1080,2010,9,24
40444,1030,2010,9,25
40445,985,2010,9,26
40446,988,2010,9,27
40447,950,2010,9,28
40448,944,2010,9,29
40449,936,2010,9,30
40450,914,2010,10,1
40451,911,2010,10,2
40452,945,2010,10,3
40453,948,2010,10,4
40454,903,2010,10,5
