; USGS 14211400 JOHNSON CREEK AT REGNER ROAD  AT GRESHAM  OR,,,,
day_index,Q_cfs,year,month,day
40177,160,2010,1,1
40178,106,2010,1,2
40179,74,2010,1,3
40180,88.8,2010,1,4
40181,134,2010,1,5
40182,147,2010,1,6
40183,89.2,2010,1,7
40184,78,2010,1,8
40185,102,2010,1,9
40186,70.2,2010,1,10
40187,56.1,2010,1,11
40188,83.1,2010,1,12
40189,78,2010,1,13
40190,62.2,2010,1,14
40191,97.6,2010,1,15
40192,164,2010,1,16
40193,167,2010,1,17
40194,123,2010,1,18
40195,88.2,2010,1,19
40196,73.6,2010,1,20
40197,54.6,2010,1,21
40198,50.7,2010,1,22
40199,53.3,2010,1,23
40200,84.2,2010,1,24
40201,129,2010,1,25
40202,84.8,2010,1,26
40203,61.5,2010,1,27
40204,47.6,2010,1,28
40205,36.7,2010,1,29
40206,36.7,2010,1,30
40207,37.5,2010,1,31
40208,39.3,2010,2,1
40209,50.8,2010,2,2
40210,47.4,2010,2,3
40211,57.9,2010,2,4
40212,89.3,2010,2,5
40213,62,2010,2,6
40214,51,2010,2,7
40215,39.7,2010,2,8
40216,30.8,2010,2,9
40217,32.2,2010,2,10
40218,40.4,2010,2,11
40219,62.6,2010,2,12
40220,49.6,2010,2,13
40221,82.7,2010,2,14
40222,76.1,2010,2,15
40223,84.9,2010,2,16
40224,62.7,2010,2,17
40225,50.1,2010,2,18
40226,38.2,2010,2,19
40227,28.4,2010,2,20
40228,22.4,2010,2,21
40229,17.6,2010,2,22
40230,16.2,2010,2,23
40231,29,2010,2,24
40232,20.8,2010,2,25
40233,58.6,2010,2,26
40234,52.4,2010,2,27
40235,38,2010,2,28
40236,30.4,2010,3,1
40237,26.5,2010,3,2
40238,21.7,2010,3,3
40239,17.2,2010,3,4
40240,14.3,2010,3,5
40241,12.1,2010,3,6
40242,11.1,2010,3,7
40243,14.1,2010,3,8
40244,10.2,2010,3,9
40245,12.3,2010,3,10
40246,26.5,2010,3,11
40247,73.4,2010,3,12
40248,56.2,2010,3,13
40249,42.5,2010,3,14
40250,33.4,2010,3,15
40251,26.5,2010,3,16
40252,20.1,2010,3,17
40253,15.7,2010,3,18
40254,13.4,2010,3,19
40255,11.6,2010,3,20
40256,14.4,2010,3,21
