; USGS 14211499 KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND  OR,,,,
day_index,Q_cfs,year,month,day
40177,75.6,2010,1,1
40178,27.8,2010,1,2
40179,15.2,2010,1,3
40180,22,2010,1,4
40181,32,2010,1,5
40182,36.1,2010,1,6
40183,15,2010,1,7
40184,13.7,2010,1,8
40185,21.2,2010,1,9
40186,12.4,2010,1,10
40187,8.93,2010,1,11
40188,23.5,2010,1,12
40189,18.1,2010,1,13
40190,12.4,2010,1,14
40191,40,2010,1,15
40192,58.2,2010,1,16
40193,54.9,2010,1,17
40194,29,2010,1,18
40195,16.1,2010,1,19
40196,12.5,2010,1,20
40197,10.3,2010,1,21
40198,9.55,2010,1,22
40199,10.9,2010,1,23
40200,26.5,2010,1,24
40201,37.4,2010,1,25
40202,18,2010,1,26
40203,11.9,2010,1,27
40204,8.36,2010,1,28
40205,5.98,2010,1,29
40206,6.3,2010,1,30
40207,5.81,2010,1,31
40208,7.01,2010,2,1
40209,8.72,2010,2,2
40210,9.05,2010,2,3
40211,9.53,2010,2,4
40212,25.8,2010,2,5
40213,12.3,2010,2,6
40214,8.82,2010,2,7
40215,6.54,2010,2,8
40216,5.3,2010,2,9
40217,6.74,2010,2,10
40218,9.29,2010,2,11
40219,15.4,2010,2,12
40220,10.9,2010,2,13
40221,22.6,2010,2,14
40222,15.8,2010,2,15
40223,19.3,2010,2,16
40224,12.6,2010,2,17
40225,9.15,2010,2,18
40226,6.63,2010,2,19
40227,4.95,2010,2,20
40228,3.8,2010,2,21
40229,3.05,2010,2,22
40230,4.07,2010,2,23
40231,9.67,2010,2,24
40232,5.38,2010,2,25
40233,19.1,2010,2,26
40234,12.7,2010,2,27
40235,7.9,2010,2,28
40236,5.93,2010,3,1
40237,5.2,2010,3,2
40238,4.44,2010,3,3
40239,3.51,2010,3,4
40240,2.91,2010,3,5
40241,2.51,2010,3,6
40242,2.43,2010,3,7
40243,3.72,2010,3,8
40244,2.52,2010,3,9
40245,3.16,2010,3,10
40246,6.45,2010,3,11
40247,17.2,2010,3,12
40248,10.1,2010,3,13
40249,6.57,2010,3,14
40250,5.12,2010,3,15
40251,4.01,2010,3,16
40252,3.16,2010,3,17
40253,2.7,2010,3,18
40254,2.3,2010,3,19
40255,1.96,2010,3,20
40256,2.07,2010,3,21
40257,2.08,2010,3,22
40258,1.72,2010,3,23
40259,1.64,2010,3,24
40260,2.84,2010,3,25
40261,9.16,2010,3,26
40262,4.09,2010,3,27
40263,14,2010,3,28
40264,135,2010,3,29
40265,76,2010,3,30
40266,30.4,2010,3,31
40267,17.9,2010,4,1
40268,31.7,2010,4,2
40269,25.6,2010,4,3
40270,19.1,2010,4,4
40271,14.4,2010,4,5
40272,13.2,2010,4,6
40273,9.97,2010,4,7
40274,11.4,2010,4,8
40275,8.05,2010,4,9
40276,6.49,2010,4,10
40277,5.16,2010,4,11
40278,6.71,2010,4,12
40279,4.95,2010,4,13
40280,4.04,2010,4,14
40281,5.59,2010,4,15
40282,4,2010,4,16
40283,3.4,2010,4,17
40284,2.75,2010,4,18
40285,2.51,2010,4,19
40286,2.47,2010,4,20
40287,2.77,2010,4,21
40288,2.11,2010,4,22
40289,1.97,2010,4,23
40290,1.87,2010,4,24
40291,1.48,2010,4,25
40292,1.85,2010,4,26
40293,6.65,2010,4,27
40294,8.81,2010,4,28
40295,10.6,2010,4,29
40296,6.59,2010,4,30
40297,4.89,2010,5,1
40298,3.51,2010,5,2
40299,4.41,2010,5,3
40300,3.2,2010,5,4
40301,3.23,2010,5,5
40302,2.71,2010,5,6
40303,2.35,2010,5,7
40304,2.05,2010,5,8
40305,1.75,2010,5,9
40306,2.18,2010,5,10
40307,1.58,2010,5,11
40308,1.35,2010,5,12
40309,1.27,2010,5,13
40310,1.14,2010,5,14
40311,1.04,2010,5,15
40312,0.99,2010,5,16
40313,0.91,2010,5,17
40314,1.61,2010,5,18
40315,2.52,2010,5,19
