; USGS 14211500 JOHNSON CREEK AT SYCAMORE  OR,,,,
day_index,Q_cfs,year,month,day
40177,310,2010,1,1
40178,154,2010,1,2
40179,87.1,2010,1,3
40180,115,2010,1,4
40181,185,2010,1,5
40182,223,2010,1,6
40183,109,2010,1,7
40184,90.2,2010,1,8
40185,141,2010,1,9
40186,81.5,2010,1,10
40187,64.1,2010,1,11
40188,119,2010,1,12
40189,99.6,2010,1,13
40190,75.7,2010,1,14
40191,150,2010,1,15
40192,293,2010,1,16
40193,279,2010,1,17
40194,185,2010,1,18
40195,114,2010,1,19
40196,91.7,2010,1,20
40197,67,2010,1,21
40198,61.3,2010,1,22
40199,67.6,2010,1,23
40200,123,2010,1,24
40201,205,2010,1,25
40202,111,2010,1,26
40203,77.8,2010,1,27
40204,61.1,2010,1,28
40205,48.4,2010,1,29
40206,49,2010,1,30
40207,49.1,2010,1,31
40208,51.4,2010,2,1
40209,63,2010,2,2
40210,59.1,2010,2,3
40211,66.9,2010,2,4
40212,128,2010,2,5
40213,75.4,2010,2,6
40214,61.1,2010,2,7
40215,50.7,2010,2,8
40216,43.4,2010,2,9
40217,46.2,2010,2,10
40218,54.6,2010,2,11
40219,82.8,2010,2,12
40220,61.9,2010,2,13
40221,115,2010,2,14
40222,96.6,2010,2,15
40223,112,2010,2,16
40224,78,2010,2,17
40225,61.8,2010,2,18
40226,50.5,2010,2,19
40227,41.8,2010,2,20
40228,35.3,2010,2,21
40229,30.5,2010,2,22
40230,30.6,2010,2,23
40231,47.8,2010,2,24
40232,34.7,2010,2,25
40233,78.9,2010,2,26
40234,64.8,2010,2,27
40235,48.2,2010,2,28
40236,41.5,2010,3,1
40237,37.9,2010,3,2
40238,34.1,2010,3,3
40239,29.7,2010,3,4
40240,26.8,2010,3,5
40241,24.7,2010,3,6
40242,23.6,2010,3,7
40243,30.1,2010,3,8
40244,23.5,2010,3,9
40245,26,2010,3,10
40246,38,2010,3,11
40247,86.6,2010,3,12
40248,62.5,2010,3,13
40249,47.1,2010,3,14
40250,39.6,2010,3,15
40251,35.2,2010,3,16
40252,30.4,2010,3,17
40253,27.1,2010,3,18
40254,24.9,2010,3,19
40255,23,2010,3,20
40256,25.6,2010,3,21
40257,27.7,2010,3,22
40258,22.6,2010,3,23
40259,21.1,2010,3,24
40260,29.7,2010,3,25
40261,59.1,2010,3,26
40262,35.6,2010,3,27
40263,66.3,2010,3,28
40264,541,2010,3,29
40265,395,2010,3,30
40266,201,2010,3,31
40267,139,2010,4,1
40268,197,2010,4,2
40269,174,2010,4,3
40270,130,2010,4,4
40271,103,2010,4,5
40272,92.9,2010,4,6
40273,70.5,2010,4,7
40274,81.9,2010,4,8
40275,61.5,2010,4,9
40276,53,2010,4,10
40277,45.1,2010,4,11
40278,52.8,2010,4,12
40279,42.2,2010,4,13
40280,36.6,2010,4,14
40281,43.5,2010,4,15
40282,33.4,2010,4,16
40283,29.3,2010,4,17
40284,26.6,2010,4,18
40285,23.4,2010,4,19
40286,21.5,2010,4,20
40287,29.5,2010,4,21
40288,21.3,2010,4,22
40289,18.4,2010,4,23
40290,18.6,2010,4,24
40291,14.5,2010,4,25
40292,16,2010,4,26
40293,53,2010,4,27
40294,47.7,2010,4,28
40295,77.2,2010,4,29
40296,60.9,2010,4,30
40297,45.1,2010,5,1
40298,35.8,2010,5,2
40299,46.8,2010,5,3
40300,33.4,2010,5,4
40301,35.2,2010,5,5
40302,32.7,2010,5,6
40303,28,2010,5,7
40304,24.5,2010,5,8
40305,20.8,2010,5,9
40306,24.1,2010,5,10
40307,17.6,2010,5,11
40308,14.8,2010,5,12
40309,12.9,2010,5,13
40310,11.7,2010,5,14
40311,10.4,2010,5,15
40312,9.25,2010,5,16
40313,9,2010,5,17
40314,14.9,2010,5,18
40315,23.4,2010,5,19
40316,36.7,2010,5,20
40317,40.3,2010,5,21
40318,116,2010,5,22
40319,79.9,2010,5,23
40320,61.9,2010,5,24
40321,57.6,2010,5,25
40322,72.8,2010,5,26
40323,53,2010,5,27
40324,50.4,2010,5,28
40325,74.4,2010,5,29
40326,53.3,2010,5,30
40327,83.3,2010,5,31
40328,60.9,2010,6,1
40329,260,2010,6,2
40330,167,2010,6,3
40331,360,2010,6,4
40332,175,2010,6,5
40333,165,2010,6,6
40334,137,2010,6,7
40335,85.9,2010,6,8
40336,91.5,2010,6,9
40337,136,2010,6,10
40338,119,2010,6,11
40339,79.5,2010,6,12
40340,57.5,2010,6,13
40341,43.4,2010,6,14
40342,39.4,2010,6,15
40343,63.9,2010,6,16
40344,42.7,2010,6,17
40345,34.2,2010,6,18
40346,32.8,2010,6,19
40347,30.9,2010,6,20
40348,30.1,2010,6,21
40349,23.8,2010,6,22
40350,20.1,2010,6,23
40351,16.9,2010,6,24
40352,15,2010,6,25
40353,12.9,2010,6,26
40354,11,2010,6,27
40355,9.76,2010,6,28
40356,8.9,2010,6,29
