; USGS 14211720 WILLAMETTE RIVER AT PORTLAND  OR,,,,
day_index,Q_cfs,year,month,day
40177,62100,2010,1,1
40178,88600,2010,1,2
40179,92700,2010,1,3
40180,79700,2010,1,4
40181,72900,2010,1,5
40182,85900,2010,1,6
40183,95500,2010,1,7
40184,98200,2010,1,8
40185,92400,2010,1,9
40186,85600,2010,1,10
40187,78900,2010,1,11
40188,72400,2010,1,12
40189,73400,2010,1,13
40190,72500,2010,1,14
40191,71800,2010,1,15
40192,70500,2010,1,16
40193,75000,2010,1,17
40194,75200,2010,1,18
40195,72300,2010,1,19
40196,65900,2010,1,20
40197,57200,2010,1,21
40198,50400,2010,1,22
40199,47600,2010,1,23
40200,45300,2010,1,24
40201,44900,2010,1,25
40202,49700,2010,1,26
40203,46300,2010,1,27
40204,42400,2010,1,28
40205,37900,2010,1,29
40206,35500,2010,1,30
40207,31100,2010,1,31
40208,31100,2010,2,1
40209,33300,2010,2,2
40210,33800,2010,2,3
40211,35000,2010,2,4
40212,36000,2010,2,5
40213,35100,2010,2,6
40214,32500,2010,2,7
40215,29800,2010,2,8
40216,28100,2010,2,9
40217,26200,2010,2,10
40218,25400,2010,2,11
40219,28400,2010,2,12
40220,34500,2010,2,13
40221,36500,2010,2,14
40222,39100,2010,2,15
40223,39200,2010,2,16
40224,38700,2010,2,17
40225,35400,2010,2,18
40226,31900,2010,2,19
40227,29200,2010,2,20
40228,25400,2010,2,21
40229,23100,2010,2,22
40230,25400,2010,2,23
40231,26600,2010,2,24
40232,27500,2010,2,25
40233,35100,2010,2,26
40234,41700,2010,2,27
40235,46300,2010,2,28
40236,37800,2010,3,1
40237,30600,2010,3,2
40238,28300,2010,3,3
40239,26900,2010,3,4
40240,27000,2010,3,5
40241,26100,2010,3,6
40242,24800,2010,3,7
40243,24300,2010,3,8
40244,25800,2010,3,9
40245,20700,2010,3,10
40246,23900,2010,3,11
40247,26500,2010,3,12
40248,35900,2010,3,13
40249,41800,2010,3,14
40250,41100,2010,3,15
40251,35200,2010,3,16
40252,32600,2010,3,17
40253,31900,2010,3,18
40254,29400,2010,3,19
40255,29200,2010,3,20
40256,31000,2010,3,21
40257,27200,2010,3,22
40258,26100,2010,3,23
40259,25700,2010,3,24
40260,32000,2010,3,25
40261,30300,2010,3,26
40262,35600,2010,3,27
40263,42700,2010,3,28
40264,57800,2010,3,29
40265,86500,2010,3,30
40266,98300,2010,3,31
40267,95300,2010,4,1
40268,84000,2010,4,2
40269,79600,2010,4,3
40270,77600,2010,4,4
40271,75600,2010,4,5
40272,68500,2010,4,6
40273,64600,2010,4,7
40274,60500,2010,4,8
40275,57800,2010,4,9
40276,54900,2010,4,10
40277,49500,2010,4,11
40278,46100,2010,4,12
40279,43200,2010,4,13
40280,42900,2010,4,14
40281,43500,2010,4,15
40282,43200,2010,4,16
40283,42100,2010,4,17
40284,38000,2010,4,18
40285,34100,2010,4,19
40286,32200,2010,4,20
40287,32900,2010,4,21
40288,35700,2010,4,22
40289,33900,2010,4,23
40290,31100,2010,4,24
40291,28600,2010,4,25
40292,29900,2010,4,26
40293,30900,2010,4,27
40294,39400,2010,4,28
40295,50600,2010,4,29
40296,54000,2010,4,30
40297,53800,2010,5,1
40298,49000,2010,5,2
40299,46000,2010,5,3
40300,44100,2010,5,4
40301,44400,2010,5,5
40302,43000,2010,5,6
40303,36700,2010,5,7
40304,32800,2010,5,8
40305,32800,2010,5,9
40306,30100,2010,5,10
40307,29600,2010,5,11
40308,26400,2010,5,12
40309,27000,2010,5,13
40310,27400,2010,5,14
40311,28300,2010,5,15
40312,27000,2010,5,16
40313,25700,2010,5,17
40314,26900,2010,5,18
40315,28500,2010,5,19
40316,31300,2010,5,20
40317,30200,2010,5,21
40318,32600,2010,5,22
40319,35700,2010,5,23
40320,33500,2010,5,24
40321,34800,2010,5,25
40322,34900,2010,5,26
40323,33500,2010,5,27
40324,38100,2010,5,28
40325,38000,2010,5,29
40326,36500,2010,5,30
40327,33600,2010,5,31
40328,31000,2010,6,1
40329,40600,2010,6,2
40330,65600,2010,6,3
40331,93600,2010,6,4
40332,106000,2010,6,5
40333,110000,2010,6,6
40334,110000,2010,6,7
40335,98200,2010,6,8
40336,81000,2010,6,9
40337,72100,2010,6,10
40338,70300,2010,6,11
40339,67800,2010,6,12
40340,61300,2010,6,13
40341,51900,2010,6,14
40342,45700,2010,6,15
40343,37800,2010,6,16
40344,36800,2010,6,17
40345,33300,2010,6,18
40346,30800,2010,6,19
40347,29700,2010,6,20
40348,26500,2010,6,21
40349,24400,2010,6,22
40350,24700,2010,6,23
40351,23500,2010,6,24
40352,18200,2010,6,25
40353,20600,2010,6,26
40354,21000,2010,6,27
40355,18500,2010,6,28
40356,16100,2010,6,29
40357,15800,2010,6,30
40358,16700,2010,7,1
40359,18700,2010,7,2
40360,19200,2010,7,3
40361,19600,2010,7,4
40362,18600,2010,7,5
40363,18000,2010,7,6
40364,17700,2010,7,7
40365,15400,2010,7,8
40366,13200,2010,7,9
40367,15700,2010,7,10
40368,14000,2010,7,11
40369,14700,2010,7,12
