# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:12 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14145500 MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE,OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14145500
#            TS   parameter     statistic     Description
#        113626       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113626_00060_00003	113626_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14145500	2010-01-01	1320	A
USGS	14145500	2010-01-02	1670	A
USGS	14145500	2010-01-03	1660	A
USGS	14145500	2010-01-04	1860	A
USGS	14145500	2010-01-05	3720	A
USGS	14145500	2010-01-06	3850	A
USGS	14145500	2010-01-07	3940	A
USGS	14145500	2010-01-08	3830	A
USGS	14145500	2010-01-09	3460	A
USGS	14145500	2010-01-10	2700	A
USGS	14145500	2010-01-11	2290	A
USGS	14145500	2010-01-12	2260	A
USGS	14145500	2010-01-13	2250	A
USGS	14145500	2010-01-14	2270	A
USGS	14145500	2010-01-15	2290	A
USGS	14145500	2010-01-16	1890	A
USGS	14145500	2010-01-17	1240	A
USGS	14145500	2010-01-18	807	A
USGS	14145500	2010-01-19	461	A
USGS	14145500	2010-01-20	797	A
USGS	14145500	2010-01-21	1480	A
USGS	14145500	2010-01-22	1450	A
USGS	14145500	2010-01-23	1100	A
USGS	14145500	2010-01-24	1110	A
USGS	14145500	2010-01-25	1110	A
USGS	14145500	2010-01-26	1110	A
USGS	14145500	2010-01-27	1120	A
USGS	14145500	2010-01-28	938	A
USGS	14145500	2010-01-29	736	A
USGS	14145500	2010-01-30	520	A
USGS	14145500	2010-01-31	403	A
USGS	14145500	2010-02-01	404	A
USGS	14145500	2010-02-02	409	A
USGS	14145500	2010-02-03	419	A
USGS	14145500	2010-02-04	424	A
USGS	14145500	2010-02-05	426	A
USGS	14145500	2010-02-06	428	A
USGS	14145500	2010-02-07	430	A
USGS	14145500	2010-02-08	420	A
USGS	14145500	2010-02-09	413	A
USGS	14145500	2010-02-10	415	A
USGS	14145500	2010-02-11	412	A
USGS	14145500	2010-02-12	407	A
USGS	14145500	2010-02-13	405	A
USGS	14145500	2010-02-14	405	A
USGS	14145500	2010-02-15	414	A
USGS	14145500	2010-02-16	413	A
USGS	14145500	2010-02-17	412	A
USGS	14145500	2010-02-18	410	A
USGS	14145500	2010-02-19	411	A
USGS	14145500	2010-02-20	413	A
USGS	14145500	2010-02-21	413	A
USGS	14145500	2010-02-22	412	A
