# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:14 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14148000 MF WILLAMETTE RIVER BLW N FORK, NR OAKRIDGE, OR.
# -----------------------------------------------------------------------------------
#
# Data provided for site 14148000
#            TS   parameter     statistic     Description
#        113639       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113639_00060_00003	113639_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14148000	2010-01-01	7320	A
USGS	14148000	2010-01-02	6410	A
USGS	14148000	2010-01-03	5100	A
USGS	14148000	2010-01-04	4530	A
USGS	14148000	2010-01-05	6570	A
USGS	14148000	2010-01-06	9630	A
USGS	14148000	2010-01-07	9260	A
USGS	14148000	2010-01-08	7930	A
USGS	14148000	2010-01-09	7030	A
USGS	14148000	2010-01-10	5710	A
USGS	14148000	2010-01-11	4870	A
USGS	14148000	2010-01-12	4690	A
USGS	14148000	2010-01-13	4560	A
USGS	14148000	2010-01-14	4370	A
USGS	14148000	2010-01-15	4200	A
USGS	14148000	2010-01-16	3980	A
USGS	14148000	2010-01-17	3330	A
USGS	14148000	2010-01-18	2850	A
USGS	14148000	2010-01-19	2360	A
USGS	14148000	2010-01-20	2410	A
USGS	14148000	2010-01-21	3030	A
USGS	14148000	2010-01-22	2920	A
USGS	14148000	2010-01-23	2490	A
USGS	14148000	2010-01-24	2510	A
USGS	14148000	2010-01-25	2880	A
USGS	14148000	2010-01-26	2890	A
USGS	14148000	2010-01-27	2850	A
USGS	14148000	2010-01-28	2610	A
USGS	14148000	2010-01-29	2280	A
USGS	14148000	2010-01-30	2040	A
USGS	14148000	2010-01-31	1850	A
USGS	14148000	2010-02-01	1820	A
USGS	14148000	2010-02-02	1940	A
USGS	14148000	2010-02-03	1890	A
USGS	14148000	2010-02-04	1840	A
USGS	14148000	2010-02-05	1780	A
USGS	14148000	2010-02-06	1730	A
USGS	14148000	2010-02-07	1700	A
USGS	14148000	2010-02-08	1640	A
USGS	14148000	2010-02-09	1580	A
USGS	14148000	2010-02-10	1530	A
USGS	14148000	2010-02-11	1580	A
USGS	14148000	2010-02-12	1640	A
USGS	14148000	2010-02-13	1660	A
USGS	14148000	2010-02-14	1680	A
USGS	14148000	2010-02-15	1770	A
USGS	14148000	2010-02-16	1810	A
USGS	14148000	2010-02-17	1790	A
USGS	14148000	2010-02-18	1730	A
USGS	14148000	2010-02-19	1670	A
USGS	14148000	2010-02-20	1610	A
USGS	14148000	2010-02-21	1550	A
USGS	14148000	2010-02-22	1490	A
USGS	14148000	2010-02-23	1440	A
USGS	14148000	2010-02-24	1590	A
USGS	14148000	2010-02-25	1780	A
USGS	14148000	2010-02-26	1750	A
USGS	14148000	2010-02-27	1730	A
USGS	14148000	2010-02-28	1640	A
USGS	14148000	2010-03-01	1580	A
USGS	14148000	2010-03-02	1530	A
USGS	14148000	2010-03-03	1530	A
USGS	14148000	2010-03-04	1500	A
USGS	14148000	2010-03-05	1440	A
USGS	14148000	2010-03-06	1420	A
USGS	14148000	2010-03-07	1390	A
USGS	14148000	2010-03-08	1380	A
USGS	14148000	2010-03-09	1340	A
USGS	14148000	2010-03-10	1340	A
USGS	14148000	2010-03-11	1350	A
USGS	14148000	2010-03-12	1500	A
USGS	14148000	2010-03-13	1590	A
USGS	14148000	2010-03-14	1550	A
USGS	14148000	2010-03-15	1530	A
USGS	14148000	2010-03-16	1550	A
USGS	14148000	2010-03-17	1550	A
USGS	14148000	2010-03-18	1510	A
USGS	14148000	2010-03-19	1470	A
USGS	14148000	2010-03-20	1430	A
USGS	14148000	2010-03-21	1430	A
USGS	14148000	2010-03-22	1610	A
USGS	14148000	2010-03-23	1550	A
USGS	14148000	2010-03-24	1510	A
USGS	14148000	2010-03-25	1590	A
USGS	14148000	2010-03-26	1840	A
USGS	14148000	2010-03-27	2040	A
USGS	14148000	2010-03-28	2090	A
USGS	14148000	2010-03-29	3570	A
USGS	14148000	2010-03-30	5450	A
USGS	14148000	2010-03-31	4400	A
USGS	14148000	2010-04-01	3580	A
USGS	14148000	2010-04-02	3320	A
USGS	14148000	2010-04-03	3390	A
USGS	14148000	2010-04-04	3090	A
USGS	14148000	2010-04-05	2780	A
USGS	14148000	2010-04-06	2560	A
USGS	14148000	2010-04-07	2490	A
USGS	14148000	2010-04-08	2680	A
USGS	14148000	2010-04-09	2560	A
USGS	14148000	2010-04-10	2420	A
USGS	14148000	2010-04-11	2380	A
USGS	14148000	2010-04-12	2370	A
USGS	14148000	2010-04-13	2370	A
USGS	14148000	2010-04-14	2440	A
USGS	14148000	2010-04-15	2630	A
USGS	14148000	2010-04-16	2580	A
USGS	14148000	2010-04-17	2560	A
USGS	14148000	2010-04-18	2550	A
USGS	14148000	2010-04-19	2550	A
USGS	14148000	2010-04-20	2610	A
USGS	14148000	2010-04-21	3010	A
USGS	14148000	2010-04-22	2800	A
USGS	14148000	2010-04-23	2600	A
USGS	14148000	2010-04-24	2440	A
USGS	14148000	2010-04-25	2270	A
USGS	14148000	2010-04-26	2170	A
USGS	14148000	2010-04-27	2790	A
USGS	14148000	2010-04-28	3280	A
USGS	14148000	2010-04-29	3560	A
USGS	14148000	2010-04-30	3670	A
USGS	14148000	2010-05-01	3440	A
USGS	14148000	2010-05-02	3300	A
USGS	14148000	2010-05-03	3420	A
USGS	14148000	2010-05-04	3890	A
USGS	14148000	2010-05-05	3510	A
USGS	14148000	2010-05-06	3120	A
USGS	14148000	2010-05-07	2840	A
USGS	14148000	2010-05-08	2620	A
USGS	14148000	2010-05-09	2470	A
USGS	14148000	2010-05-10	2710	A
USGS	14148000	2010-05-11	2980	A
USGS	14148000	2010-05-12	2860	A
USGS	14148000	2010-05-13	2720	A
USGS	14148000	2010-05-14	2620	A
USGS	14148000	2010-05-15	2590	A
USGS	14148000	2010-05-16	2640	A
USGS	14148000	2010-05-17	2670	A
USGS	14148000	2010-05-18	2850	A
USGS	14148000	2010-05-19	2920	A
USGS	14148000	2010-05-20	3480	A
