# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:16 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14150800 WINBERRY CREEK NEAR LOWELL,OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14150800
#            TS   parameter     statistic     Description
#        113672       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113672_00060_00003	113672_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14150800	2010-01-01	579	A
USGS	14150800	2010-01-02	381	A
USGS	14150800	2010-01-03	245	A
USGS	14150800	2010-01-04	178	A
USGS	14150800	2010-01-05	151	A
USGS	14150800	2010-01-06	448	A
USGS	14150800	2010-01-07	384	A
USGS	14150800	2010-01-08	274	A
USGS	14150800	2010-01-09	216	A
USGS	14150800	2010-01-10	170	A
USGS	14150800	2010-01-11	141	A
USGS	14150800	2010-01-12	122	A
USGS	14150800	2010-01-13	107	A
USGS	14150800	2010-01-14	91.9	A
USGS	14150800	2010-01-15	82.2	A
USGS	14150800	2010-01-16	115	A
USGS	14150800	2010-01-17	121	A
USGS	14150800	2010-01-18	116	A
USGS	14150800	2010-01-19	103	A
USGS	14150800	2010-01-20	88.8	A
USGS	14150800	2010-01-21	77.7	A
USGS	14150800	2010-01-22	71.2	A
USGS	14150800	2010-01-23	64.0	A
USGS	14150800	2010-01-24	81.3	A
USGS	14150800	2010-01-25	127	A
USGS	14150800	2010-01-26	134	A
USGS	14150800	2010-01-27	135	A
USGS	14150800	2010-01-28	118	A
USGS	14150800	2010-01-29	100	A
USGS	14150800	2010-01-30	89.7	A
USGS	14150800	2010-01-31	82.6	A
USGS	14150800	2010-02-01	89.6	A
USGS	14150800	2010-02-02	114	A
USGS	14150800	2010-02-03	104	A
USGS	14150800	2010-02-04	95.2	A
USGS	14150800	2010-02-05	86.2	A
USGS	14150800	2010-02-06	78.5	A
USGS	14150800	2010-02-07	82.8	A
USGS	14150800	2010-02-08	80.8	A
USGS	14150800	2010-02-09	76.2	A
USGS	14150800	2010-02-10	71.0	A
USGS	14150800	2010-02-11	72.2	A
USGS	14150800	2010-02-12	72.6	A
USGS	14150800	2010-02-13	70.8	A
USGS	14150800	2010-02-14	73.3	A
USGS	14150800	2010-02-15	78.9	A
USGS	14150800	2010-02-16	87.8	A
USGS	14150800	2010-02-17	84.7	A
USGS	14150800	2010-02-18	78.8	A
USGS	14150800	2010-02-19	70.3	A
USGS	14150800	2010-02-20	61.8	A
USGS	14150800	2010-02-21	54.2	A
USGS	14150800	2010-02-22	48.0	A
USGS	14150800	2010-02-23	46.2	A
USGS	14150800	2010-02-24	78.0	A
USGS	14150800	2010-02-25	130	A
USGS	14150800	2010-02-26	114	A
USGS	14150800	2010-02-27	98.5	A
USGS	14150800	2010-02-28	82.1	A
USGS	14150800	2010-03-01	70.9	A
USGS	14150800	2010-03-02	63.5	A
USGS	14150800	2010-03-03	64.1	A
USGS	14150800	2010-03-04	67.8	A
USGS	14150800	2010-03-05	63.0	A
USGS	14150800	2010-03-06	57.3	A
USGS	14150800	2010-03-07	52.5	A
USGS	14150800	2010-03-08	62.2	A
USGS	14150800	2010-03-09	56.5	A
USGS	14150800	2010-03-10	57.6	A
USGS	14150800	2010-03-11	68.1	A
USGS	14150800	2010-03-12	118	A
USGS	14150800	2010-03-13	167	A
USGS	14150800	2010-03-14	151	A
USGS	14150800	2010-03-15	132	A
USGS	14150800	2010-03-16	124	A
USGS	14150800	2010-03-17	108	A
USGS	14150800	2010-03-18	91.7	A
USGS	14150800	2010-03-19	79.5	A
USGS	14150800	2010-03-20	69.9	A
USGS	14150800	2010-03-21	69.0	A
USGS	14150800	2010-03-22	94.1	A
USGS	14150800	2010-03-23	89.9	A
USGS	14150800	2010-03-24	81.9	A
USGS	14150800	2010-03-25	90.4	A
USGS	14150800	2010-03-26	118	A
USGS	14150800	2010-03-27	167	A
USGS	14150800	2010-03-28	157	A
USGS	14150800	2010-03-29	308	A
USGS	14150800	2010-03-30	530	A
USGS	14150800	2010-03-31	423	A
USGS	14150800	2010-04-01	313	A
USGS	14150800	2010-04-02	300	A
USGS	14150800	2010-04-03	324	A
USGS	14150800	2010-04-04	267	A
USGS	14150800	2010-04-05	206	A
USGS	14150800	2010-04-06	174	A
USGS	14150800	2010-04-07	187	A
USGS	14150800	2010-04-08	213	A
USGS	14150800	2010-04-09	188	A
USGS	14150800	2010-04-10	165	A
USGS	14150800	2010-04-11	161	A
USGS	14150800	2010-04-12	169	A
USGS	14150800	2010-04-13	172	A
USGS	14150800	2010-04-14	178	A
USGS	14150800	2010-04-15	218	A
USGS	14150800	2010-04-16	192	A
USGS	14150800	2010-04-17	167	A
USGS	14150800	2010-04-18	146	A
USGS	14150800	2010-04-19	130	A
USGS	14150800	2010-04-20	144	A
USGS	14150800	2010-04-21	327	A
USGS	14150800	2010-04-22	274	A
USGS	14150800	2010-04-23	211	A
USGS	14150800	2010-04-24	174	A
USGS	14150800	2010-04-25	143	A
USGS	14150800	2010-04-26	123	A
USGS	14150800	2010-04-27	183	A
USGS	14150800	2010-04-28	275	A
USGS	14150800	2010-04-29	351	A
USGS	14150800	2010-04-30	389	A
USGS	14150800	2010-05-01	335	A
USGS	14150800	2010-05-02	294	A
USGS	14150800	2010-05-03	298	A
USGS	14150800	2010-05-04	330	A
USGS	14150800	2010-05-05	267	A
USGS	14150800	2010-05-06	209	A
USGS	14150800	2010-05-07	170	A
USGS	14150800	2010-05-08	142	A
USGS	14150800	2010-05-09	122	A
USGS	14150800	2010-05-10	127	A
USGS	14150800	2010-05-11	185	A
USGS	14150800	2010-05-12	164	A
USGS	14150800	2010-05-13	143	A
USGS	14150800	2010-05-14	123	A
USGS	14150800	2010-05-15	109	A
USGS	14150800	2010-05-16	97.3	A
USGS	14150800	2010-05-17	91.0	A
USGS	14150800	2010-05-18	97.4	A
USGS	14150800	2010-05-19	97.2	A
USGS	14150800	2010-05-20	134	A
USGS	14150800	2010-05-21	153	A
USGS	14150800	2010-05-22	201	A
USGS	14150800	2010-05-23	291	A
USGS	14150800	2010-05-24	266	A
USGS	14150800	2010-05-25	213	A
USGS	14150800	2010-05-26	224	A
USGS	14150800	2010-05-27	274	A
USGS	14150800	2010-05-28	249	A
USGS	14150800	2010-05-29	196	A
USGS	14150800	2010-05-30	157	A
USGS	14150800	2010-05-31	142	A
USGS	14150800	2010-06-01	131	A
USGS	14150800	2010-06-02	377	A
USGS	14150800	2010-06-03	738	A
USGS	14150800	2010-06-04	1020	A
USGS	14150800	2010-06-05	687	A
USGS	14150800	2010-06-06	423	A
USGS	14150800	2010-06-07	303	A
USGS	14150800	2010-06-08	223	A
USGS	14150800	2010-06-09	200	A
USGS	14150800	2010-06-10	378	A
USGS	14150800	2010-06-11	572	A
USGS	14150800	2010-06-12	372	A
USGS	14150800	2010-06-13	253	A
USGS	14150800	2010-06-14	185	A
USGS	14150800	2010-06-15	144	A
USGS	14150800	2010-06-16	122	A
USGS	14150800	2010-06-17	107	A
USGS	14150800	2010-06-18	91.0	A
USGS	14150800	2010-06-19	79.6	A
USGS	14150800	2010-06-20	80.3	A
USGS	14150800	2010-06-21	70.8	A
USGS	14150800	2010-06-22	62.5	A
USGS	14150800	2010-06-23	56.4	A
USGS	14150800	2010-06-24	51.2	A
USGS	14150800	2010-06-25	46.9	A
USGS	14150800	2010-06-26	43.3	A
USGS	14150800	2010-06-27	39.7	A
USGS	14150800	2010-06-28	37.0	A
USGS	14150800	2010-06-29	35.1	A
USGS	14150800	2010-06-30	33.5	A
USGS	14150800	2010-07-01	31.0	A
USGS	14150800	2010-07-02	34.5	A
USGS	14150800	2010-07-03	31.5	A
USGS	14150800	2010-07-04	28.1	A
USGS	14150800	2010-07-05	26.2	A
USGS	14150800	2010-07-06	24.8	A
USGS	14150800	2010-07-07	23.0	A
USGS	14150800	2010-07-08	21.4	A
USGS	14150800	2010-07-09	20.3	A
USGS	14150800	2010-07-10	18.9	A
USGS	14150800	2010-07-11	18.1	A
USGS	14150800	2010-07-12	17.7	A
USGS	14150800	2010-07-13	17.3	A
USGS	14150800	2010-07-14	16.4	A
USGS	14150800	2010-07-15	15.6	A
USGS	14150800	2010-07-16	14.9	A
USGS	14150800	2010-07-17	14.3	A
USGS	14150800	2010-07-18	13.8	A
USGS	14150800	2010-07-19	13.5	A
USGS	14150800	2010-07-20	13.2	A
USGS	14150800	2010-07-21	12.9	A
USGS	14150800	2010-07-22	12.5	A
USGS	14150800	2010-07-23	11.9	A
USGS	14150800	2010-07-24	11.6	A
USGS	14150800	2010-07-25	11.0	A
USGS	14150800	2010-07-26	10.5	A
USGS	14150800	2010-07-27	10.1	A
USGS	14150800	2010-07-28	9.80	A
USGS	14150800	2010-07-29	9.54	A
USGS	14150800	2010-07-30	9.32	A
USGS	14150800	2010-07-31	9.05	A
USGS	14150800	2010-08-01	9.08	A
USGS	14150800	2010-08-02	8.87	A
USGS	14150800	2010-08-03	8.63	A
USGS	14150800	2010-08-04	8.40	A
USGS	14150800	2010-08-05	8.26	A
USGS	14150800	2010-08-06	8.05	A
USGS	14150800	2010-08-07	7.77	A
USGS	14150800	2010-08-08	7.66	A
USGS	14150800	2010-08-09	7.70	A
USGS	14150800	2010-08-10	7.60	A
USGS	14150800	2010-08-11	7.41	A
USGS	14150800	2010-08-12	7.16	A
USGS	14150800	2010-08-13	6.87	A
USGS	14150800	2010-08-14	6.62	A
USGS	14150800	2010-08-15	6.20	A
USGS	14150800	2010-08-16	6.08	A
USGS	14150800	2010-08-17	6.14	A
USGS	14150800	2010-08-18	6.84	A
USGS	14150800	2010-08-19	6.60	A
USGS	14150800	2010-08-20	6.17	A
USGS	14150800	2010-08-21	5.99	A
USGS	14150800	2010-08-22	5.80	A
USGS	14150800	2010-08-23	5.74	A
USGS	14150800	2010-08-24	5.66	A
USGS	14150800	2010-08-25	5.39	A
USGS	14150800	2010-08-26	5.23	A
USGS	14150800	2010-08-27	5.19	A
USGS	14150800	2010-08-28	5.23	A
USGS	14150800	2010-08-29	5.24	A
USGS	14150800	2010-08-30	8.45	A
USGS	14150800	2010-08-31	10.5	A
USGS	14150800	2010-09-01	8.14	A
USGS	14150800	2010-09-02	10.1	A
USGS	14150800	2010-09-03	7.22	A
USGS	14150800	2010-09-04	6.18	A
USGS	14150800	2010-09-05	5.76	A
USGS	14150800	2010-09-06	5.47	A
USGS	14150800	2010-09-07	5.86	A
USGS	14150800	2010-09-08	11.3	A
USGS	14150800	2010-09-09	31.5	A
USGS	14150800	2010-09-10	15.3	A
USGS	14150800	2010-09-11	9.16	A
USGS	14150800	2010-09-12	7.55	A
USGS	14150800	2010-09-13	6.85	A
USGS	14150800	2010-09-14	6.44	A
USGS	14150800	2010-09-15	6.17	A
USGS	14150800	2010-09-16	6.00	A
USGS	14150800	2010-09-17	6.15	A
USGS	14150800	2010-09-18	12.8	A
USGS	14150800	2010-09-19	80.8	A
USGS	14150800	2010-09-20	58.4	A
USGS	14150800	2010-09-21	32.8	A
USGS	14150800	2010-09-22	19.6	A
USGS	14150800	2010-09-23	14.3	A
USGS	14150800	2010-09-24	12.2	A
USGS	14150800	2010-09-25	10.3	A
USGS	14150800	2010-09-26	9.01	A
