# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:18 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14151000 FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14151000
#            TS   parameter     statistic     Description
#        113680       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113680_00060_00003	113680_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14151000	2010-01-01	1120	A
USGS	14151000	2010-01-02	1240	A
USGS	14151000	2010-01-03	1320	A
USGS	14151000	2010-01-04	1840	A
USGS	14151000	2010-01-05	1820	A
USGS	14151000	2010-01-06	2000	A
USGS	14151000	2010-01-07	2160	A
USGS	14151000	2010-01-08	2090	A
USGS	14151000	2010-01-09	1730	A
USGS	14151000	2010-01-10	1110	A
USGS	14151000	2010-01-11	756	A
USGS	14151000	2010-01-12	571	A
USGS	14151000	2010-01-13	409	A
USGS	14151000	2010-01-14	378	A
USGS	14151000	2010-01-15	379	A
USGS	14151000	2010-01-16	474	A
USGS	14151000	2010-01-17	712	A
USGS	14151000	2010-01-18	774	A
USGS	14151000	2010-01-19	768	A
USGS	14151000	2010-01-20	663	A
USGS	14151000	2010-01-21	402	A
USGS	14151000	2010-01-22	236	A
USGS	14151000	2010-01-23	156	A
USGS	14151000	2010-01-24	121	A
USGS	14151000	2010-01-25	125	A
USGS	14151000	2010-01-26	129	A
