# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:19 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14152000 MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14152000
#            TS   parameter     statistic     Description
#        113691       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	113691_00060_00003	113691_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14152000	2010-01-01	6350	A
USGS	14152000	2010-01-02	7100	A
USGS	14152000	2010-01-03	6920	A
USGS	14152000	2010-01-04	7220	A
USGS	14152000	2010-01-05	8550	A
USGS	14152000	2010-01-06	11400	A
USGS	14152000	2010-01-07	12300	A
USGS	14152000	2010-01-08	12600	A
USGS	14152000	2010-01-09	12900	A
USGS	14152000	2010-01-10	11700	A
USGS	14152000	2010-01-11	11100	A
USGS	14152000	2010-01-12	10200	A
USGS	14152000	2010-01-13	8760	A
USGS	14152000	2010-01-14	6750	A
USGS	14152000	2010-01-15	4560	A
USGS	14152000	2010-01-16	3410	A
USGS	14152000	2010-01-17	3030	A
USGS	14152000	2010-01-18	3150	A
USGS	14152000	2010-01-19	3060	A
USGS	14152000	2010-01-20	3410	A
USGS	14152000	2010-01-21	4330	A
USGS	14152000	2010-01-22	4100	A
USGS	14152000	2010-01-23	4130	A
USGS	14152000	2010-01-24	3620	A
USGS	14152000	2010-01-25	3940	A
USGS	14152000	2010-01-26	3960	A
USGS	14152000	2010-01-27	3900	A
USGS	14152000	2010-01-28	3530	A
USGS	14152000	2010-01-29	3060	A
USGS	14152000	2010-01-30	2630	A
USGS	14152000	2010-01-31	2330	A
USGS	14152000	2010-02-01	2370	A
USGS	14152000	2010-02-02	2470	A
USGS	14152000	2010-02-03	2410	A
USGS	14152000	2010-02-04	2450	A
USGS	14152000	2010-02-05	2190	A
USGS	14152000	2010-02-06	1900	A
USGS	14152000	2010-02-07	1900	A
USGS	14152000	2010-02-08	1760	A
USGS	14152000	2010-02-09	1730	A
USGS	14152000	2010-02-10	1730	A
USGS	14152000	2010-02-11	1740	A
USGS	14152000	2010-02-12	1810	A
USGS	14152000	2010-02-13	1830	A
USGS	14152000	2010-02-14	1840	A
USGS	14152000	2010-02-15	1840	A
USGS	14152000	2010-02-16	1930	A
USGS	14152000	2010-02-17	1880	A
USGS	14152000	2010-02-18	1880	A
USGS	14152000	2010-02-19	1850	A
USGS	14152000	2010-02-20	1790	A
USGS	14152000	2010-02-21	1750	A
USGS	14152000	2010-02-22	1720	A
USGS	14152000	2010-02-23	1700	A
USGS	14152000	2010-02-24	1820	A
USGS	14152000	2010-02-25	1950	A
USGS	14152000	2010-02-26	1890	A
USGS	14152000	2010-02-27	1840	A
USGS	14152000	2010-02-28	1790	A
USGS	14152000	2010-03-01	1780	A
USGS	14152000	2010-03-02	1680	A
USGS	14152000	2010-03-03	1530	A
USGS	14152000	2010-03-04	1530	A
USGS	14152000	2010-03-05	1510	A
USGS	14152000	2010-03-06	1480	A
USGS	14152000	2010-03-07	1460	A
USGS	14152000	2010-03-08	1510	A
USGS	14152000	2010-03-09	1480	A
USGS	14152000	2010-03-10	1480	A
USGS	14152000	2010-03-11	1560	A
USGS	14152000	2010-03-12	1980	A
USGS	14152000	2010-03-13	2210	A
USGS	14152000	2010-03-14	2080	A
USGS	14152000	2010-03-15	2030	A
USGS	14152000	2010-03-16	1900	A
USGS	14152000	2010-03-17	1850	A
USGS	14152000	2010-03-18	1810	A
USGS	14152000	2010-03-19	1750	A
USGS	14152000	2010-03-20	1740	A
USGS	14152000	2010-03-21	1720	A
USGS	14152000	2010-03-22	1740	A
USGS	14152000	2010-03-23	1750	A
USGS	14152000	2010-03-24	1710	A
USGS	14152000	2010-03-25	1740	A
USGS	14152000	2010-03-26	2010	A
USGS	14152000	2010-03-27	2170	A
USGS	14152000	2010-03-28	2020	A
USGS	14152000	2010-03-29	3030	A
USGS	14152000	2010-03-30	3970	A
USGS	14152000	2010-03-31	3310	A
USGS	14152000	2010-04-01	2740	A
USGS	14152000	2010-04-02	2770	A
USGS	14152000	2010-04-03	2980	A
USGS	14152000	2010-04-04	2730	A
USGS	14152000	2010-04-05	2480	A
USGS	14152000	2010-04-06	2400	A
USGS	14152000	2010-04-07	2370	A
USGS	14152000	2010-04-08	2350	A
USGS	14152000	2010-04-09	2230	A
USGS	14152000	2010-04-10	2170	A
USGS	14152000	2010-04-11	2270	A
USGS	14152000	2010-04-12	2220	A
USGS	14152000	2010-04-13	2220	A
USGS	14152000	2010-04-14	2110	A
USGS	14152000	2010-04-15	2170	A
USGS	14152000	2010-04-16	2150	A
USGS	14152000	2010-04-17	1970	A
USGS	14152000	2010-04-18	1890	A
USGS	14152000	2010-04-19	1850	A
USGS	14152000	2010-04-20	1890	A
USGS	14152000	2010-04-21	2220	A
USGS	14152000	2010-04-22	2100	A
USGS	14152000	2010-04-23	1880	A
USGS	14152000	2010-04-24	1840	A
USGS	14152000	2010-04-25	1800	A
USGS	14152000	2010-04-26	1780	A
USGS	14152000	2010-04-27	2660	A
USGS	14152000	2010-04-28	3310	A
USGS	14152000	2010-04-29	4220	A
USGS	14152000	2010-04-30	4140	A
USGS	14152000	2010-05-01	3880	A
USGS	14152000	2010-05-02	3660	A
USGS	14152000	2010-05-03	3440	A
USGS	14152000	2010-05-04	3700	A
USGS	14152000	2010-05-05	4170	A
USGS	14152000	2010-05-06	3830	A
USGS	14152000	2010-05-07	3350	A
USGS	14152000	2010-05-08	2830	A
USGS	14152000	2010-05-09	2400	A
USGS	14152000	2010-05-10	2340	A
USGS	14152000	2010-05-11	2620	A
USGS	14152000	2010-05-12	4000	A
USGS	14152000	2010-05-13	4140	A
USGS	14152000	2010-05-14	4120	A
USGS	14152000	2010-05-15	3840	A
USGS	14152000	2010-05-16	3750	A
USGS	14152000	2010-05-17	3660	A
USGS	14152000	2010-05-18	3820	A
USGS	14152000	2010-05-19	3690	A
USGS	14152000	2010-05-20	4490	A
USGS	14152000	2010-05-21	4500	A
USGS	14152000	2010-05-22	4810	A
USGS	14152000	2010-05-23	4980	A
USGS	14152000	2010-05-24	4960	A
USGS	14152000	2010-05-25	5740	A
USGS	14152000	2010-05-26	5980	A
USGS	14152000	2010-05-27	6100	A
USGS	14152000	2010-05-28	6120	A
USGS	14152000	2010-05-29	5870	A
USGS	14152000	2010-05-30	5520	A
USGS	14152000	2010-05-31	5490	A
USGS	14152000	2010-06-01	6480	A
USGS	14152000	2010-06-02	13000	A
USGS	14152000	2010-06-03	17700	A
USGS	14152000	2010-06-04	19500	A
USGS	14152000	2010-06-05	18800	A
USGS	14152000	2010-06-06	17900	A
USGS	14152000	2010-06-07	17000	A
USGS	14152000	2010-06-08	16200	A
USGS	14152000	2010-06-09	16200	A
USGS	14152000	2010-06-10	14000	A
USGS	14152000	2010-06-11	11300	A
USGS	14152000	2010-06-12	9290	A
USGS	14152000	2010-06-13	7750	A
USGS	14152000	2010-06-14	6830	A
USGS	14152000	2010-06-15	6560	A
USGS	14152000	2010-06-16	5990	A
USGS	14152000	2010-06-17	5440	A
USGS	14152000	2010-06-18	5330	A
USGS	14152000	2010-06-19	5300	A
USGS	14152000	2010-06-20	5130	A
USGS	14152000	2010-06-21	4980	A
USGS	14152000	2010-06-22	4470	A
USGS	14152000	2010-06-23	4060	A
USGS	14152000	2010-06-24	4030	A
USGS	14152000	2010-06-25	3880	A
USGS	14152000	2010-06-26	3940	A
USGS	14152000	2010-06-27	4050	A
USGS	14152000	2010-06-28	3880	A
USGS	14152000	2010-06-29	3980	A
