# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:21 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14153500 COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14153500
#            TS   parameter     statistic     Description
#        113703       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113703_00060_00003	113703_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14153500	2010-01-01	601	A
USGS	14153500	2010-01-02	651	A
USGS	14153500	2010-01-03	651	A
USGS	14153500	2010-01-04	751	A
USGS	14153500	2010-01-05	901	A
USGS	14153500	2010-01-06	751	A
USGS	14153500	2010-01-07	527	A
USGS	14153500	2010-01-08	511	A
USGS	14153500	2010-01-09	387	A
USGS	14153500	2010-01-10	289	A
USGS	14153500	2010-01-11	271	A
USGS	14153500	2010-01-12	269	A
USGS	14153500	2010-01-13	271	A
USGS	14153500	2010-01-14	273	A
USGS	14153500	2010-01-15	275	A
USGS	14153500	2010-01-16	284	A
USGS	14153500	2010-01-17	350	A
USGS	14153500	2010-01-18	356	A
USGS	14153500	2010-01-19	356	A
USGS	14153500	2010-01-20	353	A
USGS	14153500	2010-01-21	264	A
USGS	14153500	2010-01-22	172	A
USGS	14153500	2010-01-23	119	A
USGS	14153500	2010-01-24	89.2	A
USGS	14153500	2010-01-25	89.8	A
USGS	14153500	2010-01-26	92.7	A
USGS	14153500	2010-01-27	93.4	A
USGS	14153500	2010-01-28	94.9	A
USGS	14153500	2010-01-29	127	A
USGS	14153500	2010-01-30	185	A
USGS	14153500	2010-01-31	185	A
USGS	14153500	2010-02-01	185	A
USGS	14153500	2010-02-02	223	A
USGS	14153500	2010-02-03	224	A
USGS	14153500	2010-02-04	195	A
USGS	14153500	2010-02-05	195	A
USGS	14153500	2010-02-06	193	A
USGS	14153500	2010-02-07	193	A
USGS	14153500	2010-02-08	143	A
USGS	14153500	2010-02-09	105	A
USGS	14153500	2010-02-10	105	A
USGS	14153500	2010-02-11	105	A
USGS	14153500	2010-02-12	105	A
USGS	14153500	2010-02-13	106	A
USGS	14153500	2010-02-14	107	A
USGS	14153500	2010-02-15	107	A
USGS	14153500	2010-02-16	108	A
USGS	14153500	2010-02-17	109	A
USGS	14153500	2010-02-18	109	A
USGS	14153500	2010-02-19	109	A
USGS	14153500	2010-02-20	107	A
USGS	14153500	2010-02-21	101	A
USGS	14153500	2010-02-22	87.5	A
USGS	14153500	2010-02-23	74.3	A
USGS	14153500	2010-02-24	74.6	A
USGS	14153500	2010-02-25	76.1	A
USGS	14153500	2010-02-26	76.8	A
USGS	14153500	2010-02-27	77.9	A
USGS	14153500	2010-02-28	77.9	A
USGS	14153500	2010-03-01	77.9	A
USGS	14153500	2010-03-02	77.9	A
USGS	14153500	2010-03-03	77.9	A
USGS	14153500	2010-03-04	79.3	A
USGS	14153500	2010-03-05	79.8	A
USGS	14153500	2010-03-06	79.8	A
USGS	14153500	2010-03-07	79.8	A
USGS	14153500	2010-03-08	79.8	A
USGS	14153500	2010-03-09	79.8	A
USGS	14153500	2010-03-10	79.8	A
USGS	14153500	2010-03-11	79.8	A
USGS	14153500	2010-03-12	82.0	A
USGS	14153500	2010-03-13	81.4	A
USGS	14153500	2010-03-14	81.6	A
USGS	14153500	2010-03-15	81.5	A
USGS	14153500	2010-03-16	79.8	A
USGS	14153500	2010-03-17	79.8	A
USGS	14153500	2010-03-18	79.8	A
USGS	14153500	2010-03-19	79.8	A
USGS	14153500	2010-03-20	79.8	A
USGS	14153500	2010-03-21	79.8	A
USGS	14153500	2010-03-22	88.2	A
USGS	14153500	2010-03-23	94.9	A
USGS	14153500	2010-03-24	94.9	A
USGS	14153500	2010-03-25	94.9	A
USGS	14153500	2010-03-26	353	A
USGS	14153500	2010-03-27	628	A
USGS	14153500	2010-03-28	626	A
USGS	14153500	2010-03-29	735	A
USGS	14153500	2010-03-30	910	A
USGS	14153500	2010-03-31	1230	A
USGS	14153500	2010-04-01	1450	A
USGS	14153500	2010-04-02	1430	A
USGS	14153500	2010-04-03	1390	A
USGS	14153500	2010-04-04	1140	A
USGS	14153500	2010-04-05	759	A
USGS	14153500	2010-04-06	601	A
USGS	14153500	2010-04-07	524	A
USGS	14153500	2010-04-08	503	A
USGS	14153500	2010-04-09	465	A
USGS	14153500	2010-04-10	350	A
USGS	14153500	2010-04-11	357	A
USGS	14153500	2010-04-12	359	A
USGS	14153500	2010-04-13	360	A
USGS	14153500	2010-04-14	363	A
USGS	14153500	2010-04-15	222	A
USGS	14153500	2010-04-16	96.2	A
USGS	14153500	2010-04-17	79.8	A
USGS	14153500	2010-04-18	79.8	A
USGS	14153500	2010-04-19	259	A
USGS	14153500	2010-04-20	527	A
USGS	14153500	2010-04-21	528	A
USGS	14153500	2010-04-22	527	A
USGS	14153500	2010-04-23	423	A
USGS	14153500	2010-04-24	322	A
USGS	14153500	2010-04-25	275	A
USGS	14153500	2010-04-26	247	A
USGS	14153500	2010-04-27	630	A
USGS	14153500	2010-04-28	812	A
USGS	14153500	2010-04-29	764	A
USGS	14153500	2010-04-30	698	A
USGS	14153500	2010-05-01	572	A
USGS	14153500	2010-05-02	522	A
USGS	14153500	2010-05-03	404	A
USGS	14153500	2010-05-04	333	A
USGS	14153500	2010-05-05	251	A
USGS	14153500	2010-05-06	127	A
USGS	14153500	2010-05-07	77.4	A
USGS	14153500	2010-05-08	76.1	A
USGS	14153500	2010-05-09	76.1	A
USGS	14153500	2010-05-10	77.0	A
USGS	14153500	2010-05-11	77.9	A
USGS	14153500	2010-05-12	77.9	A
USGS	14153500	2010-05-13	77.9	A
USGS	14153500	2010-05-14	77.9	A
USGS	14153500	2010-05-15	77.9	A
USGS	14153500	2010-05-16	79.8	A
USGS	14153500	2010-05-17	121	A
USGS	14153500	2010-05-18	153	A
USGS	14153500	2010-05-19	191	A
USGS	14153500	2010-05-20	293	A
USGS	14153500	2010-05-21	321	A
USGS	14153500	2010-05-22	341	A
USGS	14153500	2010-05-23	430	A
USGS	14153500	2010-05-24	344	A
USGS	14153500	2010-05-25	303	A
USGS	14153500	2010-05-26	305	A
USGS	14153500	2010-05-27	479	A
USGS	14153500	2010-05-28	490	A
USGS	14153500	2010-05-29	356	A
USGS	14153500	2010-05-30	226	A
USGS	14153500	2010-05-31	294	A
USGS	14153500	2010-06-01	409	A
USGS	14153500	2010-06-02	636	A
USGS	14153500	2010-06-03	869	A
USGS	14153500	2010-06-04	1390	A
USGS	14153500	2010-06-05	1370	A
USGS	14153500	2010-06-06	822	A
USGS	14153500	2010-06-07	582	A
USGS	14153500	2010-06-08	416	A
USGS	14153500	2010-06-09	416	A
USGS	14153500	2010-06-10	441	A
USGS	14153500	2010-06-11	547	A
USGS	14153500	2010-06-12	431	A
USGS	14153500	2010-06-13	361	A
USGS	14153500	2010-06-14	321	A
USGS	14153500	2010-06-15	268	A
USGS	14153500	2010-06-16	241	A
USGS	14153500	2010-06-17	237	A
USGS	14153500	2010-06-18	205	A
USGS	14153500	2010-06-19	171	A
USGS	14153500	2010-06-20	172	A
USGS	14153500	2010-06-21	166	A
USGS	14153500	2010-06-22	143	A
USGS	14153500	2010-06-23	139	A
USGS	14153500	2010-06-24	125	A
USGS	14153500	2010-06-25	96.9	A
USGS	14153500	2010-06-26	74.3	A
USGS	14153500	2010-06-27	79.6	A
USGS	14153500	2010-06-28	100	A
USGS	14153500	2010-06-29	112	A
USGS	14153500	2010-06-30	111	A
USGS	14153500	2010-07-01	70.0	A
USGS	14153500	2010-07-02	53.5	A
USGS	14153500	2010-07-03	68.9	A
USGS	14153500	2010-07-04	82.2	A
USGS	14153500	2010-07-05	82.1	A
USGS	14153500	2010-07-06	82.3	A
USGS	14153500	2010-07-07	81.9	A
USGS	14153500	2010-07-08	83.1	A
USGS	14153500	2010-07-09	67.8	A
USGS	14153500	2010-07-10	58.3	A
USGS	14153500	2010-07-11	60.0	A
USGS	14153500	2010-07-12	60.0	A
USGS	14153500	2010-07-13	60.0	A
USGS	14153500	2010-07-14	60.0	A
USGS	14153500	2010-07-15	60.0	A
USGS	14153500	2010-07-16	52.3	A
USGS	14153500	2010-07-17	49.9	A
USGS	14153500	2010-07-18	49.9	A
USGS	14153500	2010-07-19	49.9	A
USGS	14153500	2010-07-20	49.9	A
USGS	14153500	2010-07-21	49.9	A
USGS	14153500	2010-07-22	49.9	A
USGS	14153500	2010-07-23	49.9	A
USGS	14153500	2010-07-24	49.0	A
USGS	14153500	2010-07-25	48.2	A
USGS	14153500	2010-07-26	49.5	A
USGS	14153500	2010-07-27	51.6	A
USGS	14153500	2010-07-28	51.6	A
USGS	14153500	2010-07-29	51.6	A
USGS	14153500	2010-07-30	51.6	A
USGS	14153500	2010-07-31	51.8	A
USGS	14153500	2010-08-01	53.2	A
USGS	14153500	2010-08-02	53.2	A
USGS	14153500	2010-08-03	53.2	A
USGS	14153500	2010-08-04	53.2	A
USGS	14153500	2010-08-05	53.8	A
USGS	14153500	2010-08-06	54.9	A
USGS	14153500	2010-08-07	54.9	A
USGS	14153500	2010-08-08	54.9	A
USGS	14153500	2010-08-09	54.9	A
USGS	14153500	2010-08-10	54.9	A
USGS	14153500	2010-08-11	54.9	A
USGS	14153500	2010-08-12	54.9	A
USGS	14153500	2010-08-13	55.3	A
USGS	14153500	2010-08-14	54.9	A
USGS	14153500	2010-08-15	54.9	A
USGS	14153500	2010-08-16	54.9	A
USGS	14153500	2010-08-17	54.9	A
USGS	14153500	2010-08-18	54.9	A
USGS	14153500	2010-08-19	54.9	A
USGS	14153500	2010-08-20	54.9	A
USGS	14153500	2010-08-21	54.4	A
USGS	14153500	2010-08-22	53.2	A
USGS	14153500	2010-08-23	104	A
USGS	14153500	2010-08-24	155	A
USGS	14153500	2010-08-25	153	A
USGS	14153500	2010-08-26	153	A
USGS	14153500	2010-08-27	153	A
USGS	14153500	2010-08-28	153	A
USGS	14153500	2010-08-29	153	A
USGS	14153500	2010-08-30	153	A
USGS	14153500	2010-08-31	153	A
USGS	14153500	2010-09-01	153	A
USGS	14153500	2010-09-02	153	A
USGS	14153500	2010-09-03	153	A
USGS	14153500	2010-09-04	153	A
USGS	14153500	2010-09-05	153	A
USGS	14153500	2010-09-06	152	A
USGS	14153500	2010-09-07	150	A
USGS	14153500	2010-09-08	150	A
USGS	14153500	2010-09-09	149	A
USGS	14153500	2010-09-10	148	A
USGS	14153500	2010-09-11	148	A
USGS	14153500	2010-09-12	147	A
USGS	14153500	2010-09-13	146	A
USGS	14153500	2010-09-14	146	A
USGS	14153500	2010-09-15	146	A
USGS	14153500	2010-09-16	146	A
USGS	14153500	2010-09-17	185	A
USGS	14153500	2010-09-18	252	A
USGS	14153500	2010-09-19	251	A
USGS	14153500	2010-09-20	251	A
USGS	14153500	2010-09-21	279	A
USGS	14153500	2010-09-22	451	A
USGS	14153500	2010-09-23	449	A
USGS	14153500	2010-09-24	444	A
USGS	14153500	2010-09-25	440	A
USGS	14153500	2010-09-26	436	A
USGS	14153500	2010-09-27	433	A
USGS	14153500	2010-09-28	429	A
USGS	14153500	2010-09-29	424	A
USGS	14153500	2010-09-30	376	A
USGS	14153500	2010-10-01	330	A
USGS	14153500	2010-10-02	328	A
USGS	14153500	2010-10-03	324	A
USGS	14153500	2010-10-04	304	A
USGS	14153500	2010-10-05	254	A
USGS	14153500	2010-10-06	253	A
USGS	14153500	2010-10-07	250	A
USGS	14153500	2010-10-08	248	A
USGS	14153500	2010-10-09	246	A
USGS	14153500	2010-10-10	247	A
USGS	14153500	2010-10-11	260	A
USGS	14153500	2010-10-12	258	A
USGS	14153500	2010-10-13	256	A
USGS	14153500	2010-10-14	254	A
USGS	14153500	2010-10-15	253	A
USGS	14153500	2010-10-16	249	A
USGS	14153500	2010-10-17	246	A
USGS	14153500	2010-10-18	225	A
USGS	14153500	2010-10-19	206	A
USGS	14153500	2010-10-20	204	A
USGS	14153500	2010-10-21	201	A
USGS	14153500	2010-10-22	198	A
USGS	14153500	2010-10-23	196	A
USGS	14153500	2010-10-24	196	A
USGS	14153500	2010-10-25	196	A
USGS	14153500	2010-10-26	237	A
USGS	14153500	2010-10-27	303	A
USGS	14153500	2010-10-28	303	A
USGS	14153500	2010-10-29	299	A
USGS	14153500	2010-10-30	256	A
USGS	14153500	2010-10-31	167	A
USGS	14153500	2010-11-01	82.9	A
USGS	14153500	2010-11-02	79.8	A
USGS	14153500	2010-11-03	65.5	A
USGS	14153500	2010-11-04	60.0	A
USGS	14153500	2010-11-05	60.0	A
USGS	14153500	2010-11-06	53.9	A
USGS	14153500	2010-11-07	169	A
USGS	14153500	2010-11-08	287	A
USGS	14153500	2010-11-09	287	A
USGS	14153500	2010-11-10	289	A
USGS	14153500	2010-11-11	339	A
USGS	14153500	2010-11-12	385	A
USGS	14153500	2010-11-13	231	A
USGS	14153500	2010-11-14	165	A
USGS	14153500	2010-11-15	132	A
USGS	14153500	2010-11-16	134	A
USGS	14153500	2010-11-17	135	A
USGS	14153500	2010-11-18	294	A
USGS	14153500	2010-11-19	427	A
USGS	14153500	2010-11-20	424	A
USGS	14153500	2010-11-21	419	A
USGS	14153500	2010-11-22	335	A
USGS	14153500	2010-11-23	534	A
USGS	14153500	2010-11-24	483	A
USGS	14153500	2010-11-25	295	A
USGS	14153500	2010-11-26	244	A
USGS	14153500	2010-11-27	306	A
USGS	14153500	2010-11-28	502	A
USGS	14153500	2010-11-29	487	A
USGS	14153500	2010-11-30	448	A
USGS	14153500	2010-12-01	502	A
USGS	14153500	2010-12-02	723	A
USGS	14153500	2010-12-03	672	A
USGS	14153500	2010-12-04	462	A
USGS	14153500	2010-12-05	411	A
USGS	14153500	2010-12-06	328	A
USGS	14153500	2010-12-07	268	A
USGS	14153500	2010-12-08	221	A
USGS	14153500	2010-12-09	342	A
USGS	14153500	2010-12-10	499	A
USGS	14153500	2010-12-11	503	A
USGS	14153500	2010-12-12	524	A
USGS	14153500	2010-12-13	538	A
USGS	14153500	2010-12-14	565	A
USGS	14153500	2010-12-15	584	A
USGS	14153500	2010-12-16	837	A
USGS	14153500	2010-12-17	903	A
USGS	14153500	2010-12-18	902	A
USGS	14153500	2010-12-19	943	A
USGS	14153500	2010-12-20	952	A
USGS	14153500	2010-12-21	843	A
USGS	14153500	2010-12-22	706	A
USGS	14153500	2010-12-23	702	A
USGS	14153500	2010-12-24	605	A
USGS	14153500	2010-12-25	427	A
USGS	14153500	2010-12-26	390	A
USGS	14153500	2010-12-27	539	A
USGS	14153500	2010-12-28	634	A
USGS	14153500	2010-12-29	908	A
USGS	14153500	2010-12-30	1000	A
USGS	14153500	2010-12-31	989	A
USGS	14153500	2011-01-01	965	A
USGS	14153500	2011-01-02	764	A
USGS	14153500	2011-01-03	510	A
USGS	14153500	2011-01-04	420	A
USGS	14153500	2011-01-05	343	A
USGS	14153500	2011-01-06	337	A
USGS	14153500	2011-01-07	319	A
USGS	14153500	2011-01-08	315	A
USGS	14153500	2011-01-09	315	A
USGS	14153500	2011-01-10	251	A
USGS	14153500	2011-01-11	244	A
USGS	14153500	2011-01-12	251	A
USGS	14153500	2011-01-13	282	A
USGS	14153500	2011-01-14	498	A
USGS	14153500	2011-01-15	513	A
USGS	14153500	2011-01-16	549	A
USGS	14153500	2011-01-17	598	A
USGS	14153500	2011-01-18	696	A
USGS	14153500	2011-01-19	1020	A
USGS	14153500	2011-01-20	1020	A
USGS	14153500	2011-01-21	1000	A
