# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:22 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14154500 ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14154500
#            TS   parameter     statistic     Description
#        113707       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113707_00060_00003	113707_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14154500	2010-01-01	4680	A
USGS	14154500	2010-01-02	2150	A
USGS	14154500	2010-01-03	1240	A
USGS	14154500	2010-01-04	863	A
USGS	14154500	2010-01-05	705	A
USGS	14154500	2010-01-06	1930	A
USGS	14154500	2010-01-07	1800	A
USGS	14154500	2010-01-08	1210	A
USGS	14154500	2010-01-09	977	A
USGS	14154500	2010-01-10	768	A
USGS	14154500	2010-01-11	630	A
USGS	14154500	2010-01-12	568	A
USGS	14154500	2010-01-13	596	A
USGS	14154500	2010-01-14	660	A
USGS	14154500	2010-01-15	547	A
USGS	14154500	2010-01-16	656	A
USGS	14154500	2010-01-17	746	A
USGS	14154500	2010-01-18	687	A
USGS	14154500	2010-01-19	573	A
USGS	14154500	2010-01-20	472	A
USGS	14154500	2010-01-21	402	A
USGS	14154500	2010-01-22	354	A
USGS	14154500	2010-01-23	308	A
USGS	14154500	2010-01-24	354	A
USGS	14154500	2010-01-25	802	A
USGS	14154500	2010-01-26	780	A
USGS	14154500	2010-01-27	776	A
USGS	14154500	2010-01-28	628	A
USGS	14154500	2010-01-29	514	A
USGS	14154500	2010-01-30	442	A
USGS	14154500	2010-01-31	418	A
USGS	14154500	2010-02-01	424	A
USGS	14154500	2010-02-02	526	A
USGS	14154500	2010-02-03	480	A
USGS	14154500	2010-02-04	430	A
